title	company_author	caption
真・女神転生 4コマ合体本	アスキーコミック編集部	
空手小公子小日向海流公式ガイドブック	ヤングマガジン編集部	
聖smiley学園高等部smiley*2Gアンソロジー	創作工房	
聖闘士星矢-神々の熱き戦い-	少年ジャンプ編集部	
聖闘士星矢―最終聖戦の戦士たち―	少年ジャンプ編集部	
聖闘士星矢―真紅の少年伝説―	少年ジャンプ編集部	
舞-乙HiMEアニメパーフェクトブック	週刊少年チャンピオン編集部	
艦々日和	ファミ通コンテンツ企画編集部	『反撃！第二次SN作戦』〜『秋の秋刀魚漁』〜『突入！海上輸送作戦』まで、2015年後半の限定イベント
花とみつばちmemorialモテバイブル	ヤングマガジン編集部	
莫逆家族最終章	ヤングマガジン編集部	
落第騎士の英雄譚アンソロジー	SBクリエイティブ株式会社	
裸執事アンソロジー	マーダー工房	
賭博黙示録 カイジ語録	ヤングマガジン編集部	
追悼水木しげるゲゲゲの人生展	朝日新聞社出版本部ムック編集部	
連写ポーズライブラリー	連写ポーズライブラリー編集部	
頭文字D the message	ヤングマガジン編集部	
風車	若木書房「風車」編集部	
鬼灯の冷徹地獄の手引書	モーニング編集部	
