slug	current_authors	rakuten_author
gorisen	酒井大輔pub. 2021	酒井 大輔
goryou-toushi-ooki-den	☆よしみる	よしみる　徳隆
goseichou-arigatou-gozaimasu	小倉あすか	三本阪奈
gosujin-daisuki-ponta-no-yuuutsu	(unknown)	山口さぷり
gosurori-jk-mujintou-hyouryuuki	つっつ	青田めい
gougai-on-blue-2015	ためこう|丸木戸マキ|紗久楽さわ|松本ミーコハウス|井田さと子|小林嵩人|都陽子	たなと
goukai-san-datsu	ねてる	泉昌之
gouketsuji-ichizoku-2	氏賀Y太	古葉美一
goukon-aite-wa-nikushoku-keikan	月乃ひかり|二日市とふろう	佐鳥 百/踊る毒林檎
goukon-ni-ittara-onna-ga-inakatta-hanashi	楢島さち	蒼川なな
goukyuu-shoujo	千葉きよかず	千葉潔和
goulart-knights	瀬之たつね	sion
goumon-baito-kun-no-nichijou	小手万里	次見 やをら
gourmet-namamono-ni-aisarete-imasu	COCO	星名あんじ
gpx	佐野まさき|わたなべ京	佐野真砂輝
gr-giant-robo	稜町しろー	稜町しろ-
grapefruit-strawberry	ささやななえこ	ささやななえ
grass-breath	コージィ城倉	城倉浩司
gray-no-gureko-san-wa-oshi-ga-toutoi	まさみティー	伊藤りかばり
gray-zone	(unknown)	ノアール出版
green-carnation	山岸凉子	山岸　涼子
green-contrast	ミヤコヒト	西尾メシ
green-geito-monogatari	めるへんめーかー	めるへんめ-か-
grenimal-no-shokeinin	森由羅	鴉鬼助
grimm-douwa	樋口雅一	ヤ-コプ・グリム/ヴィルヘルム・グリム
ground-maker	SYUFO	板橋しゅうほう
groundless	森野きこり	影待蛍太
guild-no-cheat-na-uketsukejou	三弥カズトモ	八月明久/夏にコタツ
guilty-crown-dancing-endlaves	かんの糖子	深井　涼介/ギルティクラウン/砂阿久　雁
gun-festa	銀麦	芝村　裕吏/ku-ba
gun-frontier	島崎譲	松本零士
gundam-tanpenshuu	岩村俊哉|松本久志|杉山実|西川伸司|津島直人|加登屋みつる	高山瑞穂/矢立肇
gunjin-shoujo-kouritsu-mahou-gakuen-ni-sennyuu-suru-koto-ni-narimashita	久慈マサムネ	syuri22/冬瀬/タムラヨウ
gunjou-2012	吉田秋生	かねさだ雪緒/宮木あや子
gunjou-ni-siren	河下水希	桃栗みかん
gunners	天王寺きつね	天王寺キツネ
gunrou-ni-hana	眞生みち	月凪 あやせ
guns-and-girls	榊	武　シノブ
gunyouken-yamato	桑田二郎	真樹日佐夫/桑田次郎
guraburutsu	縞	Cygames/菊一文字
guranburuu-fantasy-souken-no-kizuna	縞|兎ろうと	Cygames/兔ろうと
gurazeni-dairiiguhen	アダチケイジ|コージィ城倉	森高 夕次/足立 金太郎
gurazeni-pa-riiguhen	コージィ城倉	足立 金太郎/森高 夕次
gurazeni-tokyo-doomuhen	アダチケイジ|コージィ城倉	足立 金太郎/森高 夕次
gurechawanaidene	高嶋ひろみ	南京ぐれ子
guriddoman-shinseiki-chuugakusei-nikki	鈴紀オズク	あり子/SSSS.GRIDMAN
guruguru-kakumei	(unknown)	ノアール出版
gush-mania	葛井美鳥|千歳ぴよこ	アンソロジー
gusha-no-koi	松山花子	九州男児
guuguu-datte-neko-de-aru	秋本尚美	大島弓子
gyagumagedon	相原コージ	相原コ-ジ
gyakuhaa-mousou-konfuyuujon	ヨコイエミ	司馬かなん
gyakusou-randevuu	小手万里	次見 やをら
gyo-tto-paradise	紺野比奈子	ひな。
h-na-omocha-no-tsukurikata	I-Ⅳ	永谷えんがわ
ha-omae-kurogyaru-no-kuse-ni-shojo-nano	神戸遥真	ENVY
haado-gumi	いしわた周一	石綿周一
haai-eichikyuu-okaasanzu	恭	アンソロジー
haai-mari-chan	上原きみ子	上原 きみこ
habibi	InmanMatthew	クレイグ・トンプソン/風間賢二
habou-no-wadachi	ながてゆか	ナガテ ユカ
hachidai-shuzoku-no-saijaku-kettousha	ざわっこ	藤木わしろ/児玉 酉/YUTTOU
hachigatsu-kokonoka-boku-wa-kimi-ni-kuwareru	tomomi漫画家	tomomi
hadakaikkan-tsuzui-san	内野こめこ	つづ井
hadee-hendorikkusu-monogatari	漫☆画太郎	漫F画太郎
hadou-no-mon	東元俊哉	東元俊也
hadou-no-mon-special	東元俊哉	東元俊也
hagaki-suit-janpudan	編著	井沢ひろし
hageshiina-sakurai-kun	高倉あつこ	高倉あつ子
haguchi-san	倉金篤史	くらっぺ
hagure-ningyo-no-diana	すあまpub. 2023	すあま
haguruma-drive	kanbe	かばやきだれ/紺藤　けい/かばやきだれ・杉浩太郎（キャラクター原案）
haha-ga-rachisareta-toki-boku-wa-mada-1saidatta	須本壮一	飯塚耕一郎/本そういち
haha-ni-naru-noga-osoroshii	山田可南	ヤマダカナン
haha-o-nakushita-toki-boku-wa-ikotsu-o-tabetai-to-omotta	宮川サトシ	宮川さとし
hai-spec-dayo-iona-chan	九品そういん	星野 蒼一朗/新木 伸/森沢 晴行
hai-to-gin-no-hane	古町ゆき	文ノ梛
haibasu-ni-sumu	暁葉悠	イチヒ
haihi-wa-futatabi-gyokuza-ni-noboru	井上知之	はるおか りの/ミナミ
haikaburi-hime-wa-kekkon-shita-nao-ouji-wa	ハシモトミツ	壱崎 煉/中 てい
haikei-arishihi-ni-saku-hanatachi-e	はとぼし	五十嵐　純
haikei-catalog-mangaka-animeetaa-hikkei-no-shashin-shiryoushuu	(unknown)	マール社
haikei-mishiranu-danna-sama-rikon-shite-itadakimasu	OemingMichael Avon	紬　いろと/久川　航璃/あいるむ
haikou-dolls	吉野貝	君と子音
haikyo-no-meshi	北大路みみ	ムジハ
haikyuubu	京橋こより	宮島 京平
haishinsha-haken-ooeru-to-shugeiya-mero	映画館	らくだ
haisouki-2013	國津武士	しまたけひと
haisupe-sugiru-jiki-shachou-ga-naze-watashi-hon-no-mushi-ni-go-shuushin	Ryokopub. 2021	Ryoko
haiyaa-toraivu	藤山素心	高橋 構造
haiyore-super-nyaruko-chan-time	九品そういん	逢空万太/星野蒼一朗
hajime-algorithm	中馬孝博	三原 和人
hajime-ningen-gon	しのだひでお	園山俊二/篠田ひでお
hajime-rabukome-ogabebe	小木ハム	おきらくボーイ
hajimete-no-nippon-no-rekishi	さいとうしげき	山本 博文/三条 和都/大谷 じろう/松木 武彦
hajimete-no-ojou-sama	久川はる	橙夏りり
hakake-no-uta	小幡文生	ふんわり/かわさき健
hakase-noshippai	史群アル仙	七野ワビせん
hakiri-san-wa-kimi-dake-no-shinigami-ni-naritai	SAIPACo	35まち
hakobune	風町ふく|栗田こなち|郷本|小松万記|白野ほなみ|梅眉よつを|八ツ目青児|トクヲ	アンソロジー
hakoiri	御米椎	飯閃澪
hakone-no-nekoha	臼井ともみ	渡辺 一平
hakoniwa	坂井久仁江	国枝彩香
hakoniwa-no-aruji-to-saigo-no-majo	津島つしま	うさ沢 妹子
hakoniwa-no-furoirain	壱臣	立花慎之介/おかざきおか
hakoniwa-no-ie	須王あや	小森 江莉
hakoniwa-no-yakujutsushi	鳴海みわ	ふじもとまめ/ぷにちゃん
hakoniwa-yuugi	はるこ	田中文
haku	渋沢サツキ	渋沢さつき
hakua	愛・まどんな	愛☆まどんな/山田玲司
hakugei-kagemaru-2004	影丸穣也	影丸譲也/梶原一騎
hakugetsu-no-ban-ni	霧崎秀征	渋江 ヨフネ
hakugin-gymnasium	蕗	ひるのつき子
hakuhou-hongi	山崎匡佑	白鵬翔/山崎享祐
hakui-no-ou-sama	うみハル	綾瀬れつ
hakui-no-suit-operenjaa	みもり	伊井トモ
hakui-no-tora-wa-gokudou-de-zetsurin	森田りょうpub. 2020|ハルpub. 2020	ハル．/森田りょう
hakushaku-reijou-to-juusha-no-futekisetsu-na-kankei	三日月シズカ	くせつきこ
hal-ayase-2017	hal	牧野あおい
half-and-half	HanukaAssaf	夏芽あこ
hallelujah-baby	多賀タイラ	仔縞 楽々
halloween-town	瀬之たつね	佐野響/project1031
hamaguri-emaki	岩谷テンホー	岩谷テンホ-
hamaguri-emaki-zenshuu	岩谷テンホー	岩谷テンホ-
hametsu-no-oukoku	和泉カズマ	yoruhashi
hamster-club	めで鯛	アンソロジー
hamster-club-1996	樹原ちさと	アンソロジー
hamster-family	じゅりあーの	じゅりあ-の
hamster-shiiku-nikki	めで鯛	アンソロジー
hamuko-mairu	小倉あん子	尼子騒兵衛
hana-matsu-ibara-meguru-haru	ユエミチタカ	スガワラ エスコ
hana-mo-kimi-o-miteru	くじらいいく子	くじらいいくこ
hana-no-android-gakuen	西村西	加山紀章
hana-no-chiruran-yoshiwara-yuukaku-koigatari	朝吹まり	森猫 まりり
hana-no-koe	皇名月	皇なつき
hana-o-meshimase	瀬之たつね	シロヒト梨太
hana-ouji-to-himitsu-no-fianc	くろばR	ナガトカヨ
hanabasu	Jkyum	三好 宏平
hanabiki	小幡文生	ふんわり/小池一夫
hanadoki-road	ワタセセイゾウ	わたせせいぞう
hanafuri-yado-no-yadokari-otome	上原ひびき	大堀ユタカ
hanagata	こやす珠世	小安珠世
hanahada-hanaya	高橋あさみ	若菜
hanako-lavatory	秋★枝	施川　ユウキ/秋枝
hanakouji-komachi	花小路ゆみ	花小路小町
hanamakura	浅生鴨	華壇倶楽部/まちこ
hanamaru-manga	高永ひなこ	アンソロジー
hanamaruden	いわしげ孝	岩重孝
hanamori-no-kitsune	西澤暁	西沢暁
hanamoto-ari	まずりん	花本アリ
hanasaki-san-no-shuukatsu-nikki	伊丹澄一	小野田真央
hanatsumugu-higo-no-kami	たこつむり	丹野　いち子
hanayome-no-yangotonaki-jijou	兎ろうと	兔ろうと/夕鷺　かのう/山下　ナナオ
hanayome-noren	テラガミタクロウ	岡峯 有衣子/小松 江里子/テレビドラマ「花嫁のれん」（原作：小松江里子 脚本：
hanayome-to-akuma-no-yakusoku	堂島高博	浅井 結衣
hanayome-to-yajuu	美波はるこ	アンソロジー
hanbun-aoppoi	なかはら★ももた	なかはら・ももた
handsome-must-die	あさがお	アストラ 芦魔
hane-kun-no-10-nen-romance	野妻まゆ美	野妻まゆみ
hane-kun-no-ki-ni-naru-omae	野妻まゆ美	野妻まゆみ
hane-kun-no-kiken-na-futari	野妻まゆ美	野妻まゆみ
hane-kun-no-kimi-o-nosete	野妻まゆ美	野妻まゆみ
hane-kun-no-miserareta-yoru	野妻まゆ美	野妻まゆみ
hane-kun-no-sayonara-o-iu-ki-mo-nai	野妻まゆ美	野妻まゆみ
hanechin-to-bucky-no-oko-sama-shinryouroku	夢花李|北岡寛己	佐原ミズ
haneru-kimi-o-tomeru-boku	みきぽん	きたむら　ましゅう
hangyaku-no-kagetsukai	神﨑新	神崎新
hanikami-o-toke	藤本桜	桂馬びんぞこ
hanjuku-eiyuu	沖野真歩	スクウェア・エニックス/時田貴司
hannya-shingyou	池田淳一	渋川驍
hanzawa-naoki	12Log	池井戸 潤/フジモト シゲキ/津覇 圭一
happy-birthday-komikku	オ・スギル	青木和雄/吉富多美
happy-family-fukushuunorentaruokaasan	坂崎未侑	船木涼介
happy-nanako	村祖俊一	如月次郎
happy-omajinai-comic	上重☆さゆり	じょうさゆり
happy-penguin	谷間夢路	出井州　忍
happy-people	釋英勝	釈英勝
happy-world	竹下けんじろう	竹下堅次朗
haraguro-ouji-ni-himitsu-o-nigiraremashita	本橋雄一	北見明子/きたみまゆ
haramu-made-midare-ike	山本泰一郎	神崎柚
harapeko-oyako-to-moto-kare-yanushi	松本蓮士	りおり
harapeko-seijo-to-manpuku-majo-no-isekai-surooraifu	蛙田あめこ	蛙田アメコ/冬野なべ/KeG
hard-worker-nakada	南部ゼロイチ	内海 瀬戸
hardboiled-matatabi-bebop	12Log	フジモト シゲキ
hare-no-hi-tanuki-no-yoi-furumai	(unknown)	フジモト
hare-nochi-cinderella	宮成樂	宮成楽
hare-tokidoki-gachou	つきりのゆみ	月梨野ゆみ
harebare-hiyori	石津カユ	吉村佳
harem-resort	音乃夏	アンソロジー
harenchi-gakuen	有賀照人	永井豪とダイナミックプロ
hareta-hi-ni-shoujo-wa-guitar-o	青辺マヒト	ツカモリ　シュウジ/矢島　弘一/錦織　伊代/YUI/AZU（CYNTIA）
harigane-service	咲	荒達哉
harigane-service-ace	咲	荒達哉
harinezumi-no-harry	伊海	村松 まつり
harmony	金魚鉢でめ	三巷　文/伊藤計劃／Project Itoh
haru-made-no-kyori	新多奏日	ハルモト紺
haru-natsu-aki-fuyu	つだみきよ	蔵王大志/影木栄貴
haru-ni-kaeru	坂井久仁江	国枝彩香
haru-no-mushoku	杉山鉄兵	井上 まい
haru-no-yuki	宮本えりか	三島由紀夫/池田理代子
haru-wa-na-nomi-no	河井英杞	河井 英槻
haru-x-kiyo	尾崎あきら	オザキアキラ
haru-yo-kuruna	濱﨑真代	濱崎 真代/草水 敏
haruka-tsuushin-haruka-naru-toki-no-naka-de	はるか通信編集部	光栄
harukanari-yume-no-kanata	竹宮惠子	竹宮恵子
haruki-murakami-manga-stories	村上春樹|日乃チハヤ	Haruki Murakami/Jean-Christophe Deveney'
harukiya-san-wa-ijippari	神田はるか	カワハラ　恋
haruo	榎本ナリコ	野火ノビタ
harusaki-red	さとる	浅川まゆみ
harusame-to-koi-moyou	児嶋建洋	行村 コウ
harutsuge-to-yukimusuko	碓井ツカサ	hagi/弓部　早苗（melt Lab.）
haruzakari	甘岸久弥	伊藤レイヂ
hasegawa-kunnoga-ookiku-te-iri-masen	花岡美莉	さんかく
hashire-kawata-kun	ヘンリエッタ	伊佐 義勇
hatarake-oji-san-no-mori	朱雀新吾	中原 開平/朱雀 伸吾/深山 フギン
hataraku-basu-girl	リベルエンタテインメント	犬吠あか太
hataraku-indojin	流水凜子	流水りんこ
hataraku-maou-sama-no-meshi	姫なっつん	さだうおじ/和ヶ原　聡司/029
hataraku-neko	渡辺電機(株)	渡辺電機
hataraku-saibou-baby	福田やすひろ	福田 泰宏/清水 茜
hataraku-saibou-lady	竹村優作	原田 重光/乙川 灯/清水 茜
hate-no-shoutsuushin	楢島さち	メノタ
hatou-senkan-musashi	居村眞二	居村真二
hatred	シチ	六甲島　カモメ
hatsujou-rippusuteikku	見田竜介	花筐絢
hatsujouki-ja-nakya-nagutteru	(unknown)	佐崎いま＋高瀬ろく
hatsukoi-body	内田実	萩倉ゆうき
hatsukoi-futatabi	藤野もやむ	桑佳 あさ
hatsukoi-gossip	金森ケイタ	モト
hatsukoi-lesson	やぶうち優	やぶうちゆう
hatsukoi-ni-tokeru-yukimoyou	美和	いもはた
hatsukoi-oobaadoozu	かくたすず	amai
hatsukoi-shinjuu	須﨑洋輔	須崎洋輔
hatsukoi-wa-minoranai-nante-uso	hal	ハル
hatsuyuki-sakura	御影獏	SAGA　PLANETS/滝乃　大祐
hattatsu-shougai-demo-piano-ga-hikemasuka	かなしろにゃんこ。	中嶋 恵美子
hawkeye	AjaDavid	マット・フラクション/デイビッド・アジャ/ハビエル・プリード/アラン・デイビス/
hayako-sakemichi-o-iku	玉川重機	玉川敏秀
hayami-shachou-sono-kiss-no-wake-o-oshiete	勝川ユミ	シラカワイチ/紅カオル
hayano-sensei-no-aijou-hyougen-ga-kyou-mo-okashii	いちこ漫画家	いちこ
hayasegawa-kun-to-megami-na-onee-san	ゆめの	ちくわ。
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	なつみ理奈	久遠アユム
hayawakari-comic-sangokushi	とみ新蔵	臣新蔵/守屋洋
hazukashigariya-no-tsuma-to-shinkon-seikatsu-hajimemashita	的場りょう	桐灰　きねそ
hazukashisou-na-kao-de-oppai-misete-moraitai	河内和泉	アンソロジー
hazure-skill-mappingu-o-te-ni-shita-shounen-wa-saikyou-party-to-dungeon-ni-idomu	(unknown)	SAVAN/鴨野うどん/雫綺一生
hazure-skill-mezamashi-de-tondemo-ryouchi-keiei	山崎将	ホマレ/五木友人
heart-cocktail	ワタセセイゾウ	わたせせいぞう
heart-cocktail-colorful	ワタセセイゾウ	わたせ せいぞう
heart-cocktail-eleven	ワタセセイゾウ	わたせせいぞう
heart-cocktail-renaissance	ワタセセイゾウ	わたせ せいぞう
heart-ni-goyoujin	内田カヲル	内田かおる
heart-no-alice	真敷ひさめ	三浦ひらく
heart-no-kuni-no-alice	ほしの総明	ほしの聡明/ＱｕｉｎＲｏｓｅ
heart-no-kuni-no-alice-boushiya-to-shinya-no-ochakai	上田にく	佐倉リコ/Quin　Rose
heart-of-stone	真行寺たつや	富本たつや
heart-station	ワタセセイゾウ	わたせせいぞう
heart-telephone	ワタセセイゾウ	わたせせいぞう
heartful-life	ワタセセイゾウ	わたせせいぞう
heartstopper	OsemanAlice	アリス・オズマン/牧野琴子
heaven-no-tenbin	村崎ハネル	浄土 るる
hebi	楳図かずお	井口かのん
hebigami-sama-to-nie-no-hanahime	AKR	蓮水りく
hebio	白樺鹿夜	モコ
heian-akashi-ayakashi-onmyouji	星月渉|こはくpub. 2021	こはく/遠藤 遼/沙月
heian-joururi-monogatari	竹宮惠子	竹宮恵子
heilang	みやこかっく	百地 元
heisei-haizanhei-sumire-chan	野田大輔	里見 U
heisei-namaiki-idol-sama-ga-zutto-tsuiteru	三嶋しょう子	とめおにぎり
heisei-tekkihei	影丸穣也	影丸譲也/梶研吾
heisha-no-joushi-wa-motoyuusha	小手万里	次見やをら
heishishuveikunobouken	(unknown)	ヤロスラフ・ハシェク/栗栖継
heiwateki-dungeon-seikatsu	睦月れい	睦月 伶依/広瀬 煉
hell-dogs	後藤正人	イイヅカケイタ/深町　秋生
hello	冬樹久生	宮田大輔
hello-morning-star	meco	倉橋トモ
helvetica	ひのた	染井 紬希/津木波 シズカ
hengen-no-hanko	にどね杉	いくた はな
henkyou-no-shishi-wa-ruriiro-no-bara-o-dekiai-suru	ナフセ|蛸八太二	まろ乃/三沢 ケイ/宵マチ
henshin-ninja-arashi	大賀浅木	石ノ森章太郎
hensoukyoku	竹宮惠子|増山のりえ	竹宮恵子
henteko-basu-to-amedama-kururi	鈴木日和子	笛
hermes-no-michi	竹宮惠子	竹宮恵子
hero-datte-omae-o-dakitai	春キャベツ	祈崎ひな汰
hero-kun-ni-koishiterutsu	八街潤	如月 ゆきの
heroine	函岬誉	瀬口恵子
herscherik-aaru-tensei-ouji-no-eiyuu-tan	伊恵中二	柚葵ゆゆ/楠のびる
herscherik-tensei-ouji-no-eiyuu-tan	鈴紀オズク	北国良人/楠のびる
herumesu-ai-ha-kaze-no-gotoku	美村あきの	大川隆法/ヘルメス・シナリオプロジェクト
heruzu-warrior-maou	苅部誠	刈部誠
hetare-onna-maou-no-irekawari	津々巳あや	内水　亜彩子
hey-doctor	内田カヲル	内田かおる
hi-izuru-tokoro-no-sunakku	みずの雪見	山元玲奈
hi-no-ataranai-basho	龍本みお	たつもとみお
hi-no-hitsugi	松志ぐら	よしゆき/多武峰洸
hidamari-ga-kikoeru	茜田千	文乃　ゆき
hidamari-ga-kikoeru-koufukuron	茜田千	文乃ゆき
hidamari-ga-kikoeru-limit	茜田千	文乃 ゆき
hidamari-ga-kikoeru-shunka-shuutou	茜田千	文乃 ゆき
hidan-no-aria-aa	橘書画子	赤松中学/こぶいち
hierarchy-ni-oyogu-shinkaigyo-wa-yume-o-miru	山本中学	まくた/池★沼太郎
higanbana-no-joou	岡児志太郎	岡仁志 太郎
higanbana-no-saku-yoru-ni	奴隷ジャッキー	竜騎士07/西　E田/つのはず壱郎
higashi-no-mori-no-majo-no-niwa	紺津名子	越田うめ
higashino-keigo-mystery	オキモト・シュウ|浦川まさる＆佳弥|風祭壮太	アンソロジー
hige-o-soru-soshite-joshikousei-o-hirou	士土幽太郎	しめさば/ぶーた/足立　いまる
higher-ground	小幡文生	小幡フミオ
higurashi-no-naku-koro-ni-itagaki-hako-senshuu	オンディ	板垣ハコ/竜騎士07
higyaku-otoko-fujisaki-kun	わかつきひかる	若槻 ヒカル
hiina-no-maisou	山岸凉子	山岸　涼子
hiiragi-buchou-no-panst-line	吉宗	ウシハシル
hiiragi-shougakkou-love-club	あずまゆき	あづまゆき
hijuumura	唯野	宗方 馨/白輝 蓮
hikare-meshisutanto	(unknown)	310
hikari-no-daishain	ÖYSTER	O¨YSTER
hikari-to-kage	叶輝	ひおん/RYU
hikiage-no-higeki	村上もとか	中野 晴信
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	日乃チハヤ|北郷豊	直江亜季子/百門一新
hikikomori-tensei	石川ちか	片岡直太郎/石川チカ
hikkoshi-daimyou-sanzenri	(unknown)	土橋 章宏/永田 狐子
hikou-meikyuu-gakuen-dangerous	猫井ミィ	猫井ヤスユキ/架神恭介
hikou-shounenzu	榎本ナリコ	野火ノビタ
hima-inu-pepper	YASCORN	杉木やすこ
hima-nanode-hajimetemimasu	右京あやね	左京亜也
himari-no-mawari	studio HIP-CATs	桜木蓮
himawari-2010	銀八	檜山大輔/ごぉ
hime-kishi-sama-no-himo	七緒一綺	白金　透/きぃやん/マシマ　サキ
hime-kuzushi	竹宮惠子|滝瀬源一	竹宮恵子
hime-no-dameshi	くりもとぴんこ	二階堂幸
hime-to-ouji-to-romance-to	奈知未佐子	萩尾 望都/さいとう ちほ/篠原 千絵
himegoto-2010	國津武士	堀多磊音
himegoto-o-ajiwatte	marie漫画家	梅田みそ
himeiden	KudranskiSzymon	光谷 理/西尾 維新
himejijou-living-dead	筧	漆原玖
himeno-kun-wa-hime-ni-naritakunai	うすいかつら	三日月ランプ
himetarou	大本鶏	大本鴉/安原いちる
himitsu-book	おーなり由子	お-なり由子
himitsu-de-hanazono	硝音あや	しょうおとあや
himitsu-kessha-arufaa	イダタツヒコ	井田辰彦
himitsu-no-akko-chan-m	上北双子	上北 ふたご/赤塚 不二夫/井沢 ひろし/フジオ・プロダクション
himitsu-no-chikashitsu	中ノ尾恵	矢追町成増
himitsu-no-kemonotachi	極楽院櫻子	さくらあしか
himitsu-no-otome-chan	千月さかき	蒼井 ひな太
himitsu-no-reptiles	さかめがね	鯨川 リョウ
himootoko-to-fubinna-boku	ChiangCliff	かむ
hina-wa-mitsuiro-no-koi-ni-torawareru	MaleevAlexander	椿野イメリ
hinichijoutekina-nepaaru-taizaiki	三部敬	三部けい/三部りえ
hinmin-no-shokutaku	おおつぼマキ	大坪万記
hinomoto-3-shimai-wa-kamatte-hoshii	浪咲ゆか	ねこ末端
hirari	TONO|カザマアヤミ|ささだあすか|磯谷友紀|雨隠ギド|王嶋環|雁須磨子|吉田	アンソロジー
hirasaka-hinako-ga-ero-kawaii-koto-o-ore-dake-ga-shitte-iru	白松	紺矢　ユキオ
hirotta-inui-kun-to-koi-o-suru	児嶋建洋	行村 コウ
hiroware-lily-wa-amai-uso-ni-hodasareru	夏木美香	tsugumi
hisshou-dungeon-unei-houhou	ファルまろ	山猫　スズメ/雪だるま
hiten-no-asuka	空兎	218/天那 光汰
hitman-go-go	(unknown)	ノアール出版
hito-hitori-futari	髙橋ツトム	高橋ツトム
hito-no-musuko	つるまいかだ	あの あやの
hitokuchi-futakuchi	岡田れいみ	倉月忍
hitomi-gokuu-no-hiyama-san	けものの☆ 	けものの★
hitomi-ni-utsuru-kimi-wa-zenbu-ore-no-mono	るすけ	カモ
hitori-h-online	都氏	めがね
hitoribocchi-no-lullaby	江波譲二	江波じょうじ/南海宏一郎
hitorigurashi-no-shougakusei	RibicEsad	松下幸市朗
hitotsubana	井上知之	ミナミ
hitozuma-no-shitsuke-ka-ta	青木幹治	アンソロジー
hitsuji-gari	(unknown)	黒澤海/葉月かんな
hiyama-kun-wa-katei-kyoushi	春巻トキコ	三月 トモコ
hiyori-chan-no-onegaii-wa-zettai	餅田まか	岬鷺宮/有馬ツカサ/堀泉インコ
hizamazukinayo-joou-sama	honeybee+	千葉　たゆり
hk-dragnet	SantoloucoMateus	乃一ミクロ/松岡なつき
hna-koakuma-kun-wa-nugasejouzu-de-yajuusugi	鹿島こたる	庭鳥ヒナコ
hogosha-shikkaku	モタ	つきのおまめ
hohoemu-shounen	竹宮惠子	竹宮恵子
hokahibito	中村ミネ	北森 サイ
hoken-kanyuusha-ni-tsugu	ビタワン	渡辺 悠/田丸 哲二
hokenshitsu-no-nemurihime	ゆうさとな	やなぎ りと/兎山 もなか
hokenshitsu-no-wotaku-onee-san-wa-suki-desuka	めぇ田のん	川端 新
hokkai-no-datenshi	飯島祐輔	飯島ゆうすけ/吉岡平
hokuou-joshi-oosa-ga-mitsuketa-nippon-no-fushigi	EkströmÅsa	オーサ・イェークストロム
hokuriku-triangle	田仲みのる	ちさこ
holmes	久保田眞二	久保田真二
holmes-san-wa-suiri-ga-dekinai	由村	沼地どろまる
homun-no-renkinjutsubu	浪咲ゆか	長谷川真也
hon-no-mushi	九重リココ	小虎
honda-souichirou	ひきの真二	竹内 均
honey-boys-spiral	みなみ遥	南かずか
honey-tochka	吉宗	ウシハシル
honmono-no-hou-no-yuusha-sama-ga-suterarete-ita-node-watashi-ga-morattemo-ii-desu-ka	宇島葉	トモエキコ/花果　唯/村上　ゆいち
honno-koi-nado	日高あすま	カワカミコマ
honobono-enikki	菇凉	□凉
honoo-no-ryourinin-shuu-tomitoku	今泉伸二	Kisho/荒仁
honto-ni-atta-gakkou-kaidan	猪川朱美	アンソロジー
honto-ni-atta-itai-ohanashi	うぐいすみつる	流水りんこ
honto-wa-dashitai-dashi-san	佐野妙漫画家	佐野妙
hontoni-atta-kowai-hanashi	山本まゆり	アンソロジー
hontou-ni-atta-chibi-waraeru-hanashi	桜木さゆみ|梅宮あいこ|チャールズ後藤	アンソロジー
hontou-ni-atta-kowai-hanashi-2015	かわぐちけい	雅るな
hontou-ni-kowai-gakkou-no-kaidan	阿部ゆたか	アンソロジー
honya-no-kotoha-hanbunko	よつばますみ	よつば◎ますみ。
honya-no-onii-san	オカカ	ももたん
hoobare-soushoku-joshi	玖乃緑	あらたまい
hoozuki-no-shima	三部敬	三部けい
hop-step-sing	畑田知里	講談社/小玉 励/明日部 結衣
hop-suteppushou-selection	光原伸	ジャンプ編集部
horeta-otoko-ga-warukatta	松山花子	九州男児
horobi-no-fue	田辺節雄	西村寿行
horobi-no-utage	田辺節雄	西村寿行
horoyoi-shubou	長尾ともひさ	長尾朋寿
horror-manga-no-gyakushuu	(unknown)	唐沢俊一
hoshi-furu-mori-no-little-majo	めるへんめーかー	めるへんめ-か-
hoshi-ni-ochiru-efude	こん炉	櫻川なろ
hoshi-no-kazu-dake-dakishimete	あさいもとゆき	浅井裕
hoshi-no-koimonogatari	谷川史子	石井ゆかり
hoshi-no-rekishi	獸木野生	伸たまき
hoshi-no-seijin	喧噪社	小夏うみれ
hoshigaru-anata-ni-nuretewa-ikenai	やまち	吉田にん
hoshikage-no-bless	しもがやぴくす＆みらい戻	しもがやぴくす/みらい戻
hoshikuzu-gakuen-shiikoosu	あすか	なま子
hoshikuzu-terepasu	カコベン	大熊らすこ
hoshino-doubutsuen-koi-monogatari	澄谷ゼニコ	小山
hoshitsukai-serena	LEN〈A7〉	LEN［A-7］
hoshizora-o-mitsumeta-sono-ato-de	秋じたく	季田　ビスコ
hot-zone	柳澤一明	リチャード・プレストン/林日出夫
hottoiteyo-mama	富田安紀子	富田安紀良
houkago-2014	伊藤ハチ	アンソロジー
houkago-boku-wa-kimi-ni-naru	インド僧	多喜 れい
houkago-kimi-dake-no-heroine	北村有香	きたむら ゆうか
houkago-ni-wa-madoushi	くら☆りっさ	くらりっさ
houkago-no-iruma-kun	秋田書店	西修/プリンセス編集部・編
houkago-pedal	秋田書店	渡辺航/プリンセス編集部
houkago-pedal-hai-keidensu	秋田書店	渡辺航/プリンセス編集部・編
houkago-sentai-gotakkii	月島冬二	そらみみくろすけ
houkago-shoujo-bout	昭時大紀	藤田かくじ
houkago-strip	電柱棒	若鶏にこみ
houkago-wa-kimi-no-kanojo	石井たくま	佐々木 奈緒
