title	series_key	current_company	rakuten_author	caption
スピリット・ジャンプ	name:Aum Mat Studio|name:スピリット・ジャンプ	オウム出版広報編集部	オウム出版/Ａｕｍ　ｍａｔ　ｓｔｕｄｉｏ	
センゴクバトルランキング	name:ヤングマガジン編集部|name:センゴクバトルランキング	ヤングマガジン編集部		
ダビスタコミック	name:コミック編集部|name:ダビスタコミック	コミック編集部	アスキー	
デジタル四コマまんが制作マニュアル	name:第一I/O編集部|name:デジタル四コマまんが制作マニュアル	I/O編集部		
ドラゴンドライブスターターブック	name:月刊少年ジャンプ編集部|name:ドラゴンドライブスターターブック	月刊少年ジャンプ編集部	佐倉ケンイチ	
ドラゴンボールZ	name:週刊少年ジャンプ編集部|name:ドラゴンボールZ	少年ジャンプ編集部	週刊少年ジャンプ編集部	
ハドソン魔境	name:ゲームプレイヤー編集部|name:ハドソン魔境	ゲームプレイヤー編集部		
パチスロ北斗の拳 設定6攻略づくし	name:漫画パチスロパニック7編集部|name:パチスロ北斗の拳 設定6攻略づくし	漫画パチスロパニック7編集部	漫画パチスロパニック７編集部	
マンガと劇画のかき方	name:ひばり書房編集部|name:マンガと劇画のかき方	ひばり書房編集部		
マンガ面白いほどよくわかる!古事記	name:かみゆ歴史編集部|name:マンガ面白いほどよくわかる!古事記	かみゆ歴史編集部	かみゆ歴史編集部	"★★マンガで紐解く「この国」の原点! ★★ 
話の流れがわかりにくい『古事記』をほぼ全編マンガで解説!
 国の誕生から雄"
ラグこみ!	name:ガンホー・オンライン・エンターテイメント株式会社|name:ラグこみ!	Comic Rush編集部	COMIC　RUSH編集部	
一騎当千	name:大峡和歌子|name:一騎当千	コミックガム編集部	ワニブックス	
人間まるわかりの動物占い	name:ビッグコミックスピリッツ編集部|name:人間まるわかりの動物占い	ビッグコミックスピリッツ編集部	ビッグコミックスピリッツ編集部	ほんのささいな言葉や態度がきっかけで、気持ちがすれ違ってしまうのは、よくあることです。それは、お互いの性質をよく知らない
仙術士李白	name:台湾角川編集部|name:仙術士李白	台湾角川編集部	葉　明軒/台湾角川編集部	大唐開元四年。父の願いを叶えるため、李白は国家仙術士になると誓った。仙術士が溢れる時代に、庶民出身の天才仙術士・李白は夢
北斗の拳＆吉宗＆ SBJ	name:漫画パチスロ大連勝編集部|name:北斗の拳＆吉宗＆ SBJ	漫画パチスロ大連勝編集部	漫画パチスロ大連勝編集部	
地獄先生ぬ～べ～-午前0時ぬ～べ～死す!-	name:週刊少年ジャンプ編集部|name:地獄先生ぬ～べ～-午前0時ぬ～べ～死す!-	少年ジャンプ編集部	週刊少年ジャンプ編集部	
地獄先生ぬ～べ～-恐怖の夏休み!!妖しの海の伝説!	name:週刊少年ジャンプ編集部|name:地獄先生ぬ～べ～-恐怖の夏休み!!妖しの海の伝説!	少年ジャンプ編集部	週刊少年ジャンプ編集部	
大人の少女マンガ手帖偏愛!美少年の世界	name:『このマンガがすごい!』編集部|name:大人の少女マンガ手帖偏愛!美少年の世界	『このマンガがすごい!』編集部		
寄生獣の秘密	name:パラサイト博物誌編集部|name:寄生獣の秘密	パラサイト博物誌編集部	パラサイト博物誌編集部	
少女まんが文庫カタログ	name:ぱふ編集部|name:少女まんが文庫カタログ	ぱふ編集部		
島耕作クロニクル1970～2006	name:モーニング編集部|name:島耕作クロニクル1970～2006	モーニング編集部		
島耕作クロニクル40th	name:モーニング編集部|name:島耕作クロニクル40th	モーニング編集部		
干物女の恋愛図鑑	name:Kiss編集部|name:干物女の恋愛図鑑	Kiss編集部		
彼岸島手引書	name:ヤングマガジン編集部|name:彼岸島手引書	ヤングマガジン編集部		
彼岸島手引書零	name:ヤングマガジン編集部|name:彼岸島手引書零	ヤングマガジン編集部		
徹底攻略!!必勝CR新海物語	name:漫画パチンコ大連勝編集部|name:徹底攻略!!必勝CR新海物語	漫画パチンコ大連勝編集部	漫画パチンコ大連勝編集部	
恐怖体験集 わたしは霊にとりつかれた!	name:マイバースデイ編集部|name:恐怖体験集 わたしは霊にとりつかれた!	マイバースデイ編集部		
新世紀エヴァンゲリオン	qid:Q6343869|name:新世紀エヴァンゲリオン	少年エース編集部	吉崎　観音/少年エース	エヴァ＆エヴァ2アンソロジー本がついに登場！　吉崎観音、トニーたけざき、乙一など豪華執筆陣も描いたまるごと一冊エヴァ・ワ
漫画大賞	name:読売新聞社|name:漫画大賞	読売新聞社ぴーぷる編集部		
漫画家人名事典	name:日外アソシエーツ編集部|name:漫画家人名事典	日外アソシエーツ編集部		
生徒会役員共＆オールキャラクターズ	name:週刊少年マガジン編集部|name:生徒会役員共＆オールキャラクターズ	週刊少年マガジン編集部		
生徒諸君!教師編オフィシャルファンBOOK	name:Be・love編集部|name:生徒諸君!教師編オフィシャルファンBOOK	Be・love編集部		
真・女神転生 4コマ合体本	name:アスキーコミック編集部|name:真・女神転生 4コマ合体本	アスキーコミック編集部	アスキー	
聖闘士星矢-神々の熱き戦い-	name:週刊少年ジャンプ編集部|name:聖闘士星矢-神々の熱き戦い-	少年ジャンプ編集部	週刊少年ジャンプ編集部	
聖闘士星矢―最終聖戦の戦士たち―	name:週刊少年ジャンプ編集部|name:聖闘士星矢―最終聖戦の戦士たち―	少年ジャンプ編集部	週刊少年ジャンプ編集部	
聖闘士星矢―真紅の少年伝説―	name:週刊少年ジャンプ編集部|name:聖闘士星矢―真紅の少年伝説―	少年ジャンプ編集部	週刊少年ジャンプ編集部	
舞-乙HiMEアニメパーフェクトブック	name:週刊少年チャンピオン編集部|name:舞-乙HiMEアニメパーフェクトブック	週刊少年チャンピオン編集部	週刊少年チャンピオン編集部	
艦々日和	name:ファミ通コンテンツ企画編集部|name:艦々日和	ファミ通コンテンツ企画編集部	水本　正	『反撃！第二次SN作戦』〜『秋の秋刀魚漁』〜『突入！海上輸送作戦』まで、2015年後半の限定イベントを駆け抜ける！　水本
花とみつばちmemorialモテバイブル	name:ヤングマガジン編集部|name:花とみつばちmemorialモテバイブル	ヤングマガジン編集部		
莫逆家族最終章	name:ヤングマガジン編集部|name:莫逆家族最終章	ヤングマガジン編集部		
賭博黙示録 カイジ語録	name:ヤングマガジン編集部|name:賭博黙示録 カイジ語録	ヤングマガジン編集部		
追悼水木しげるゲゲゲの人生展	name:朝日新聞社企画事業本部大阪企画事業部|name:追悼水木しげるゲゲゲの人生展	朝日新聞社出版本部ムック編集部		
連写ポーズライブラリー	name:連写ポーズライブラリー編集部|name:連写ポーズライブラリー	連写ポーズライブラリー編集部		
頭文字D the message	name:ヤングマガジン編集部|name:頭文字D the message	ヤングマガジン編集部		
風車	name:若木書房「風車」編集部|name:風車	若木書房「風車」編集部		
鬼灯の冷徹地獄の手引書	name:モーニング編集部|name:鬼灯の冷徹地獄の手引書	モーニング編集部		
