slug	title	year	missing
genroku-yawahada-ki-tan-midare-mandala	元禄柔肌奇譚みだれまんだら	2026	両方欠
ginmakuromansu-shiitagerarekazokureijougareikokudannasamanosaiainina	銀幕ロマンス	2026	説明欠
gintamasannenzuiigumiginpachisensei	銀魂3年Z組銀八先生	2026	説明欠
glass-no-kutsu-hakasemasu	ガラスの靴、はかせます!	2026	両方欠
gohannootomooatosukoshi	ごはんのおともをあと少し	2026	説明欠
gokujoshi-gokudoujoshishougakuseininaru	ごくじょし : 極道、女子小学生になる	2026	説明欠
gosenroppyakusainofuroufushiinfuruensaaiwaku	5600歳の不老不死インフルエンサーいわく。	2026	説明欠
gozennijinohaatofizu	午前2時のハートフィズ	2026	説明欠
gunyochanwashippaisakujanai	ぐにょちゃんは失敗作じゃない!	2026	説明欠
gyakkounokuruchan	虐幸のくるちゃん	2026	説明欠
gyakkyounimakenaichaariiburaun	逆境に負けないチャーリー・ブラウン	2026	説明欠
gyarugishichannoyabeenichijou-houshasengishinokawaikunaioshigoto	ギャル技師ちゃんのやべぇ日常 : 放射線技師のかわいくないお仕事	2026	説明欠
gyouten-no-crown	暁天のクラウン	2026	両方欠
hadaka-no-shouzou	裸の肖像	2026	キャッチ欠
haikaburitohimitsunoyakata	灰かぶりと秘密の館	2026	説明欠
hakushinouedesayounara	白紙の上でさようなら	2026	両方欠
hametsu-machi-akuyaku-reijou-wa-zetsurin-kikoushi-ni-dakitsubusareru	破滅待ち悪役令嬢は絶倫貴公子に抱きつぶされる	2026	両方欠
hangyaku-no-nijigasaki	叛逆のニジガサキ	2026	キャッチ欠
hatori-to-furuta-no-hinichijou-sahanji	羽鳥と古田の非日常茶飯事	2026	キャッチ欠
hatsukoinoyukuewanidomenokisukara	初恋のゆくえは二度目のキスから	2026	説明欠
hayaku-ore-ni-ochinasai	はやく俺に落ちなさい	2026	両方欠
hayamirasenjinnobashaumadaisakusenbisu	速水螺旋人の馬車馬大作戦bis = Операция&quot;Рабочая лощадь&quot;bis. 赤本	2026	説明欠
henshin-hero-tanjou	変身ヒーロー誕生	2026	両方欠
high-school-hack-and-slash	ハイスクールハックアンドスラッシュ	2026	キャッチ欠
himebushoumasamunemairu	姫武将まさむね参る!! ぼんたん激動編	2026	説明欠
hitori-de-shinu-no-wa-iya-da	独りで死ぬのはイヤだ	2026	両方欠
hitoyo-kagiri-no-hazu-ga-cool-na-teiou-no-netsuretsu-kyuuai-ga-hajimarimashita	一夜限りのはずが、クールな帝王の熱烈求愛が始まりました	2026	両方欠
honneoiebadakaretai	本音を言えば抱かれたい	2026	説明欠
hoshinokaabiimottopupupunamainichi	星のカービィもっと!!プププなまいにち	2026	説明欠
hoshinokaabiiyuruttopupupu	星のカービィゆるっとプププ. きょろきょろ編	2026	説明欠
hoshinokawariniaishiteyaruyo	星のかわりに愛してやるよ	2026	説明欠
houkagobokakende	放課後、ボカ研で!	2026	説明欠
ichijouhanaowakoioshiranai	一条華緒は恋を知らない	2026	説明欠
ichiru-no-nozomi	いちるののぞみ	2026	両方欠
ieoowaretareijouwakuronekooujinookiniiri-norowaretakuronekowasugata	家を追われた令嬢は黒猫王子のお気に入り : 呪われた黒猫は姿を消した王子様でした	2026	説明欠
ii-fuufu-1122-dai-fuufu-no-baai	1122五代夫婦の場合	2026	キャッチ欠
ijiwaru-joushi-ga-deretara-metcha-dekiai-ga-tomarimasentsu	いじわる上司がデレたら、めっちゃ溺愛が止まりませんっ	2026	両方欠
ikagoriranodoeraigenkigaderumanga	いかゴリラのどえらい!元気が出るマンガ	2026	説明欠
ikasamanashinokisugashitai	イカサマなしのkissがしたい	2026	説明欠
ikeniehimenokoufuku-kodokunanienoshoujowamamononoounohanayometonaru	生贄姫の幸福 : 孤独な贄の少女は、魔物の王の花嫁となる	2026	説明欠
ima-kimi-ni-furetai	今君に触れたい。	2026	両方欠
imamadebakanisareteitakiyowareijounitenseishitaratondemonaikotoninatta	今まで馬鹿にされていた気弱令嬢に転生したら、とんでもない事になった話、聞く?	2026	説明欠
inko-demo-seishun-shitai	インコでも青春したい	2026	キャッチ欠
inunekosanbikinadetemonadetemotegatarinai	犬猫3匹、撫でても撫でても手が足りない	2026	説明欠
irezumitopiasutokoigokoro	刺青とピアスと恋心	2026	説明欠
isekai-dungeon-seikatsu	異世界ダンジョン性活	2026	両方欠
isekaidehanmanokodomoosodatetarayanderenisodatta	異世界で半魔の子供を育てたらヤンデレに育った	2026	説明欠
isekaidekajishinnochikaraoetaore-megamitosurooraifuhajimemashita	異世界で鍛冶神の力を得た俺、女神とスローライフはじめました。	2026	説明欠
isekaidemojoousama	異世界でも女王様	2026	説明欠
isekaihaaremumassaaji-goddohandodenayamerumonsutaamusumetachiomomihogu	異世界ハーレムマッサージ : 神の指圧で悩めるモンスター娘たちを揉みほぐす!	2026	説明欠
isekaikarakaettekitayuushadearuoregakabukichoudeouninaruhanashi	異世界から帰ってきた勇者であるオレが歌舞伎町で王になる話	2026	説明欠
isekaisaihateonsenkikou	異世界サイハテ温泉紀行	2026	説明欠
issokondowanumarasete	いっそ今度は沼らせて	2026	説明欠
itainoitainosoraotobe	いたいのいたいのそらをとべ	2026	説明欠
itarusenpainodamenatoko	至センパイのダメなとこ	2026	説明欠
jieekeeyuushatoinkyomaou	JK勇者と隠居魔王	2026	説明欠
jimiooezukeshitarajitsuwaikemen-onzoushideshita	地味男を餌付けしたら、実はイケメン御曹司でした	2026	説明欠
jin-kakutou-haouden	ジン格斗破王伝	2026	両方欠
jingai-kenshi-wa-chikara-ni-miserare-ura-meikyuu-o-kouryakusu	人外剣士は力に魅せられ裏迷宮を攻略す	2026	両方欠
jinseidonzokonawatashitooopunmarijjinoojisamanokeiyakujun-ai	人生どん底な私とオープンマリッジの王子様の契約純愛	2026	説明欠
jirerumunasakiwanemurenai	焦れる胸先は眠れない	2026	説明欠
joshi-keimusho-2-nido-hairimashita	女子刑務所に2度入りました	2026	両方欠
joukyoukoroshiyamusume	上京コロシヤ娘	2026	両方欠
jouzunigamandekirumade	じょうずに我慢できるまで	2026	説明欠
junjouhaafubeikudoomega	純情ハーフベイクドオメガ	2026	説明欠
juujin-ounootetsukigamigomorimashite	獣人王のお手つきが身ごもりまして	2026	説明欠
juujinkouteiwadansoureijouodekiaisuru-tadanojuushanohazudesu	獣人皇帝は男装令嬢を溺愛する : ただの従者のはずですが!	2026	説明欠
juunenmenomitsugetsu	十年目の蜜月	2026	説明欠
kaadofaitovangaadodivainzugenmakakuseihen	カードファイト!!ヴァンガードDivinez幻真覚醒編	2026	説明欠
kagetorakunwamodorenai	景虎君はもどれない	2026	説明欠
kaidanshi-shizukikanadenoyoiyamibanashi-yuureiga	怪談師・志月かなでの宵闇話 : 幽霊画	2026	説明欠
kaigekinokinato	回撃のキナト	2026	説明欠
kaiinu-to-yakuza	飼い犬とヤクザ	2026	両方欠
kainarasejunjou	飼いならせ純情	2026	説明欠
kamakura-shiyakusho-fuurekika	鎌倉市役所風歴課	2026	両方欠
kamakuramonogatari	鎌倉ものがたり. 魔界編	2026	説明欠
kamennokurokishishoutaibaretanodemougakuendemomusousuru	仮面の黒騎士。正体バレたのでもう学園でも無双する	2026	説明欠
kaminarisamanokoigoromo	かみなり様の恋衣	2026	説明欠
kandaatokaratsugaininaruniwaafutaa	噛んだあとから番になるにはafter	2026	説明欠
kankin-kun-to-goumon-san	監禁くんと拷問さん	2026	両方欠
kanojo-kanri-chuu-ni-tsuki	彼女管理中につき	2026	両方欠
kanojo-no-mirai-to-boku-no-kakuu-genjitsu	彼女の未来と僕の架空現実	2026	両方欠
kanojotachinotsumoruhanashi	彼女たちのツモる話	2026	説明欠
kansaiben-otokotomodachitoguchatoromassaaji	関西弁男友達とぐちゃとろマッサージ	2026	説明欠
kanzakisantsunodetemasutsu	神崎さん、ツノ出てますっ!?	2026	説明欠
kanzenfukachinogedouteimaa-danjonnosaikyoumonsutaamusumeoorenosu	完全不可知の外道テイマー : ダンジョンの最強モンスター娘を俺のスキルで支配する	2026	説明欠
kara-chan-to-shitoo-san-to	カラちゃんとシトーさんと、	2026	両方欠
kaseifunosetsunaikeiyaku	家政婦の切ない契約	2026	説明欠
kaseifuwashinderera	家政婦はシンデレラ	2026	説明欠
kashin-yuugiden	花神遊戯伝	2026	両方欠
kazokunohanayome-hanamukotachinobacherorette	花族の花嫁 : 花婿たちのバチェロレッテ	2026	説明欠
keiyakukarahajimerubooi-miitsu-gaaru-oyakata-sorakaradaakuerufunoon	契約から始めるボーイ・ミーツ・ガール : 親方、空からダークエルフの女の子が!	2026	説明欠
kekkonmimannobokutachidesuga	結婚未満の僕たちですが	2026	説明欠
kemonosamawaongaeshideharamasetai	獣様は恩返しで孕ませたい. 邪神編	2026	説明欠
kengeki-issen	剣戟一閃	2026	両方欠
kigatsukebanekogairu	気がつけば猫がいる	2026	説明欠
kigen-tsuki-koujo-no-hazu-ga-umaku-yarisugite-shimatta-you-desu	期限つき皇女のはずが、うまくやりすぎてしまったようです	2026	両方欠
kikangenteikoibitokeiyaku-onzoushinadouryouwashoushinjoshionigasa	期間限定恋人契約 : 御曹司な同僚は傷心女子を逃がさない	2026	説明欠
kimi-ha-shuumatsu	きみは終末	2026	両方欠
kiminohitominiochiruyoru	君の瞳に堕ちる夜	2026	説明欠
kimitonokoiwagaadofunou	君との恋はガード不能	2026	説明欠
kimiwasaiainosutera	きみは最愛のステラ. 下	2026	説明欠
kinyokushieahausu	禁欲シェアハウス	2026	説明欠
kiraatouinkuru-anchiwasuteejiniagaremasen	Killer Twinkle : アンチはステージに上がれません	2026	説明欠
kirawaremononoorewayarinaoshinosekaidegiteitachinigomaosuru	嫌われ者の俺はやり直しの世界で義弟達にごまをする	2026	説明欠
kisudedamashiteochinaide	キスで騙して落ちないで	2026	説明欠
kisudeochinaisukyandaru	キスでオチないスキャンダル	2026	説明欠
kisuwasousanoatodeagein	キスは捜査のあとでアゲイン	2026	説明欠
kitsunetoisshonikurashitara	きつねと一緒に暮らしたら	2026	説明欠
kittokamisamamoshiranai	きっと神様も知らない	2026	説明欠
kittoshiawasenoasagakuru	きっと幸せの朝がくる	2026	説明欠
kiyora-tamayura	きよらたまゆら	2026	キャッチ欠
kobakunwakoigawakaranai	古葉くんは恋がワカらない	2026	説明欠
kobushi-samurai	こぶしざむらい	2026	両方欠
koe-no-furu-heya	声の降るへや	2026	キャッチ欠
koi-no-katamichi-kippu	恋の片道切符	2026	両方欠
koibitokeiyakuchuunitsuki-koushin	恋人契約中につき : 更新!	2026	説明欠
koigokorokaihatsujikkyou	恋心開発実況	2026	説明欠
koimookawaridekimasuka	恋もおかわりできますか?	2026	説明欠
koinohatemadeyoyaminoounisarawarete	恋の果てまで、夜闇の王に攫われて	2026	説明欠
koiotsuzuruniariiikooru	恋を綴るニアリーイコール	2026	説明欠
koishitekurerunamaibadi	恋してくれるな、マイバディ	2026	説明欠
koitoshinkuronishitei	恋とシンクロニシティ	2026	説明欠
kojiraseyamasewawakarasetai	こじらせ山瀬はわからせたい	2026	説明欠
konkuriito-no-fune	コンクリートの船	2026	両方欠
