slug	title	year	missing
yume-no-amo-kun	夢のあもくん	2022	説明欠
yume-tefu-mono-wa-tanomisometeki	夢てふものは頼みそめてき	2022	両方欠
yurameki-lagoon	ゆらめきラグーン	2022	両方欠
yuri-no-sono-nimo-mushi-wa-iru	百合の園にも蟲はいる	2022	両方欠
yurufuwa-kaeru-zukan	ゆるふわカエル図鑑	2022	両方欠
yuruyuru-tanoshii-40-dai-bocchi-kurashi	ゆるゆる楽しい40代ぼっち暮らし	2022	両方欠
yuugai-choujuu	有害超獣	2022	説明欠
yuugiou-goorasshu	遊☆戯☆王ゴーラッシュ!!	2022	説明欠
yuugiou-ooshiijii-stories	遊☆戯☆王OCG(オフィシャルカードゲーム)STORIES	2022	説明欠
yuugiou-rush-duel-erupii	遊☆戯☆王RUSH DUEL LP	2022	両方欠
yuugure-no-anata-ha-sukoshi-kubi-o-kashigete	夕暮れのあなたは、少し首をかしげて	2022	説明欠
yuujin-ni-500-en-kashitara-shakkin-no-kata-ni-imouto-o-yokoshitekita-nodakeredo-ore-ha-ittai	友人に500円貸したら借金のカタに妹をよこしてきたのだけれど、俺は一体どうすればいいんだろう	2022	説明欠
yuunou-enjinia-niwa-ura-no-kao-ga-aru	有能エンジニアにはウラの顔がある	2022	説明欠
yuuri-chan-wa-namaiki-zakari	ゆーりちゃんはナマイキざかり!!	2022	説明欠
yuusha-ni-narenakatta-sanbaka-torio-wa-kyou-mo-otokomeshi-o-koshiraeru	勇者になれなかった三馬鹿トリオは、今日も男飯を拵える。	2022	両方欠
yuusha-no-deban-nee-karatsu	勇者の出番ねぇからっ!!	2022	両方欠
yuusha-no-haha-desu-maougun-no-kanbu-ni-narimashita	勇者の母ですが、魔王軍の幹部になりました。	2022	説明欠
yuusha-no-hiza-ni-wa-neko-ga-iru	勇者のひざには猫がいる	2022	説明欠
yuusha-no-kuzu	勇者のクズ	2022	説明欠
yuusha-party-o-oidasareta-kiyou-binbou	勇者パーティを追い出された器用貧乏	2022	説明欠
yuusha-party-o-oidasareta-shiryou-majutsushi-wa-lich-ni-natte-maougun-de-daisuki-na-kenkyuu-life-o	勇者パーティーを追い出された死霊魔術師はリッチになって魔王軍で大好きな研究ライフを送る	2022	説明欠
yuusha-party-o-tsuihousareta-sareta-node-maou-o-torikaeshi-ga-tsukanai-hodo-tsuyoku-sodatete-mita	勇者パーティーを追放されたので、魔王を取り返しがつかないほど強く育ててみた	2022	説明欠
yuusha-party-o-tsuihousareta-sareta-ore-daga-ore-kara-sudatte-kureta-you-de-ureshii	勇者パーティーを追放された俺だが、俺から巣立ってくれたようで嬉しい。	2022	説明欠
yuusha-wa-osorezu	囿者は懼れず	2022	説明欠
yuushakei-ni-shosu	勇者刑に処す	2022	説明欠
yuushun-no-mon-munku	優駿の門ムンク	2022	両方欠
yuuyuu-no-tsuihousareta-mahoutsukai-to-osananajimi-na-mori-no-megami-sama	悠優の追放魔法使いと幼なじみな森の女神様。	2022	両方欠
yuyunoyu	ゆゆのゆ!	2022	両方欠
zaako-zako-zako-zako-sensei	ざーこざこざこざこ先生	2022	説明欠
zakken	ザッケン!	2022	両方欠
zange	惨家	2022	説明欠
zannen-reijou	残念令嬢	2022	両方欠
zannen-yousei-doruma-san	残念妖精ドルマさん	2022	両方欠
zanshoku-gaiku	残蝕街区	2022	説明欠
zassou-tensei	雑草転生	2022	説明欠
zawazawa-mainichi-yarakashitemasu	ざわざわ毎日やらかしてます。	2022	両方欠
zecchou-ninkyou	絶頂任侠	2022	両方欠
zekkyou	絶叫	2022	両方欠
zenbu-bukkowasu	全部ぶっ壊す	2022	両方欠
zenbu-kimi-no-sei-da	全部君のせいだ	2022	説明欠
zenbu-tabete-ii-nougyou-otoko-wa-bukiyou-na-moujuu	全部食べていい?農業男子は不器用な猛獣	2022	両方欠
zenryoku-de-aishite-ii-kana	全力で、愛していいかな?	2022	説明欠
zenryoku-tariki-hongan	全力他力本願	2022	両方欠
zense-deshi-ni-korosareta-majo-desu-norowareta-deshi-ni-ai-ni-ikimasu	前世、弟子に殺された魔女ですが、呪われた弟子に会いに行きます	2022	両方欠
zetsumetsu-doubutsu-monogatari	絶滅動物物語	2022	説明欠
zetsurin-daiou-sama-no-dekiai-ga-omosugiru	絶倫大王様の溺愛が重すぎる	2022	両方欠
zetsurin-jieikan-tsunagare-ikasare-mamorarete	絶倫自衛官、繋がれイカされ守られて	2022	両方欠
zetsurin-mutsu-kun-wa-ookii-kuri-ga-suki	絶倫陸奥くんは大きいクリが好き	2022	説明欠
zombie-busters	ゾンビバスターズ	2022	両方欠
zombie-no-afureta-sekai-de-ore-dake-ga-osowarenai	ゾンビのあふれた世界で俺だけが襲われない	2022	説明欠
zombie-sagashitemasu	#ゾンビさがしてます	2022	説明欠
zomia	ゾミア	2022	説明欠
zouhyou-meshi-monogatari	雑兵めし物語	2022	両方欠
zouhyou-monogatari	雑兵物語	2022	両方欠
zutto-himitsu-ni-shiteita-anokoto-zenbu-oshiemasu	ずっと秘密にしていたアノコト全部教えます	2022	両方欠
1-paasento-no-koi	1%の恋	2021	両方欠
100-se-ari-kare-no-jundo-wa-100	癖あり彼の純度は100%	2021	両方欠
17-21	17-21	2021	両方欠
18	18	2021	両方欠
19-sai-doutei-no-boku-ga-tobikonda-no-wa-av-gyokai-deshita	19歳・童貞の僕が飛び込んだのは、AV業界でした。	2021	両方欠
2-ban-sekando	2番セカンド	2021	両方欠
20-jisugi-no-houkokukai	20時過ぎの報告会	2021	両方欠
22-26	22-26	2021	両方欠
29-sai-no-limit	29歳のリミット	2021	両方欠
2dk-g-pen-aftertime	2DK、Gペン、アフタータイム。	2021	両方欠
33-sai-batsuichi-love-kara-hajimemasu	33歳、バツイチ、恋愛からはじめます。	2021	両方欠
35sai-no-fu-junai	35歳の不・純愛	2021	両方欠
38-sai-batsuichi-dokushin-onna-ga-matchingu-app-o-yattemita-yabai-kekka-nikki	38歳バツイチ独身女がマッチングアプリをやってみたヤバい結果日記	2021	両方欠
40-dai-ga-konnani-shindoinante-kiitenakatta	40代が、こんなにしんどいなんて聞いてなかった	2021	両方欠
4nin-no-last-blue	4人のラストブルー	2021	両方欠
4x4-otonari-san-wa-4b-otoko	4×4～お隣さんは4B男子～	2021	キャッチ欠
a-bout-surf	A-BOUT!SURF	2021	両方欠
a-k-a	A.K.A	2021	両方欠
a3-winter	A3 ! winter	2021	両方欠
ai-dake-ni	愛だけに。	2021	両方欠
ai-to-piisu-to	愛とピースと	2021	両方欠
aibou-wa-slime	相棒はスライム!?	2021	両方欠
aidoruhimemiyasakurako	その淑女は偶像となる	2021	説明欠
aijin-keiyaku-nochi-dekiai	愛人契約のち溺愛!?	2021	両方欠
aisare-ouji-no-isekai-honobono-seikatsu	愛され王子の異世界ほのぼの生活	2021	両方欠
akimoto-osamu-show-time	秋本治showタイム	2021	両方欠
akita-shoten-no-ahosuta-san	秋田書店のあほすたさん	2021	両方欠
akujo-wa-sunadokei-o-hikkuri-kaesu	悪女は砂時計をひっくり返す	2021	両方欠
akuma-mo-ochiru-akuma-meshi	悪魔も堕ちる悪魔飯	2021	両方欠
akutai-wa-houyou-ni-kakikieeru	悪態は抱擁にかき消える	2021	両方欠
akutou-no-otou-sama-watashi-to-kekkon-shite-kudasai	悪党のお父様、私と結婚してください	2021	両方欠
akuyaku-fureijou-sama-to-oyobi	悪役腐令嬢様とお呼び!	2021	両方欠
akuyaku-reijou-kari-no-funtou	悪役令嬢〈仮〉の奮闘	2021	両方欠
akuyaku-reijou-nanode-yorokonde-shikaeshi-itashimasu	悪役令嬢なので喜んで仕返しいたします	2021	両方欠
akuyaku-reijou-no-onii-sama-wa-kouryaku-taishougai-desu	悪役令嬢のお兄様は攻略対象外です!!	2021	キャッチ欠
akuyaku-reijou-wa-nidome-no-jinsei-o-juusha-ni-sasagetai	悪役令嬢は二度目の人生を従者に捧げたい	2021	両方欠
akuyaku-reijou-wa-oshi-ga-toutosugite-kyou-mo-shiawase	悪役令嬢は推しが尊すぎて今日も幸せ	2021	両方欠
akuyaku-reijou-yotei-rashii-kedo-watashi-wa-okashi-ga-tabetai	悪役令嬢 (予定) らしいけど、私はお菓子が食べたい	2021	両方欠
akuyaku-reijourashiku-kouryaku-taishou-o-fukujuu-sasemasu	悪役令嬢らしく、攻略対象を服従させます	2021	両方欠
akuyaku-wa-koi-shicha-dame-desu-ka	悪役は恋しちゃダメですか?	2021	両方欠
alternative-melancholy	オルタナティブメランコリー	2021	両方欠
amai-choubatsu-scarlet	甘い懲罰SCARLET	2021	両方欠
amai-mamono-date-club	甘い魔ものデートクラブ	2021	キャッチ欠
amarimono-demo-koi-wa-amai	あまりものでも恋は甘い	2021	両方欠
ame-to-kimi-to	雨と君と	2021	キャッチ欠
anata-wa-otto-ni-damasareteiru	あなたは夫に騙されている	2021	両方欠
andaazu-rina-no-monogatari	アンダーズ〈里奈の物語〉	2021	両方欠
ane-ga-kensei-de-imouto-ga-kenja-de	姉が剣聖で妹が賢者で	2021	両方欠
ane-ni-iwarerugamama-ni-totsu-kun-o-shite-itara-tondemonai-tsuyosa-ni-natte-ita-otouto	姉に言われるがままに特訓をしていたら、とんでもない強さになっていた弟	2021	両方欠
ane-no-onaka-o-fukuramaseru-nowa-boku-okawari	姉のおなかをふくらませるのは僕おかわり!	2021	両方欠
anmetto	アンメット	2021	両方欠
ano-hi-chikyuu-ni-dungeon-ga-shutsugen-shita	あの日地球にダンジョンが出現した	2021	両方欠
ano-ko-yori-aishite	あの子より愛して	2021	両方欠
anoyo-no-shakaika-kengaku	あの世の社会科見学	2021	両方欠
antoroposen-no-inudorobou	アントロポセンの犬泥棒	2021	キャッチ欠
ao-2021	青	2021	両方欠
ao-no-iris	青のアイリス	2021	キャッチ欠
aoi-shibafu-to-amai-mizu	青い芝生と甘い水	2021	両方欠
arafoo-eigyouman-isekai-ni-tatsu	アラフォー営業マン、異世界に起つ!	2021	両方欠
aragami-kyoudai-no-fukushuu	荒神兄弟の復讐	2021	両方欠
aru-hi-watashi-wa-reiketsu-koushaku-no-musume-ni-natta	ある日、私は冷血公爵の娘になった	2021	両方欠
aru-mamahaha-no-meruhen	ある継母のメルヘン	2021	両方欠
aru-otoko-ga-shinyuu-no-imouto-to-kekkon-suru-made-no-hanashi	ある男が親友の妹と結婚するまでの話	2021	両方欠
asahi-daikazoku	あさひ大家族	2021	両方欠
ashiato	あしあと	2021	両方欠
ashita-kimi-to-koi-o-shiru	あした、君と恋を知る	2021	キャッチ欠
asleep	アスリープ	2021	両方欠
asobi-ja-neenda	遊びじゃねえんだ	2021	両方欠
atama-no-naka-no-suzu-senpai	アタマのナカの鈴せんぱい	2021	両方欠
atashinchi-super	あたしンちSUPER	2021	両方欠
atsu-koko-shinrei-zemi-de-yatta-yatsu	あっ、ここ心霊ゼミでやったやつ!!	2021	両方欠
atsumare-doubutsu-no-mori-minna-to-tsukuru-shimaseikatsu	あつまれどうぶつの森みんなと作る島生活	2021	両方欠
atsumare-doubutsu-no-mori-tokoton-ichibanjima	あつまれどうぶつの森とことん!イチバン島	2021	両方欠
atsuyomi-motomiya-hiroshi-dramatic-best	熱ヨミ!本宮ひろ志ドラマチックベスト	2021	両方欠
aurora-node	AURORA NODE	2021	両方欠
av-joyuu-hajimemasu	AV女優はじめます。	2021	両方欠
ayakashi-no-yometori	あやかしの嫁取り	2021	両方欠
azatokawaii-kanojo-no-tawawa-ni-tsutsumaretai	あざとカワイイ彼女のたわわに包まれたい	2021	両方欠
azatokutte-hentai	あざとくって、変態	2021	両方欠
azur-lane-smile-dish	アズールレーンスマイルディッシュ!	2021	両方欠
azur-lane-the-animation	アズールレーンthe animation	2021	両方欠
baba-ikuko-ga-koyonaku-bike-o-ice-wake	馬場郁子がこよなくバイクを愛す理由	2021	両方欠
baby-baby-2021	Baby Baby	2021	両方欠
baby-blue-cluster	ベイビー・ブルー・クラスター	2021	両方欠
baito-no-nezumida-kun	バイトのネズミダくん	2021	両方欠
bakumatsu	幕末	2021	両方欠
baritachi-no-ore-ga-jimionna-ni-tatsu-toka-arienee	バリタチの俺が、地味オンナに勃つとかありえねえ	2021	両方欠
battle-healer-wa-shugyouchuu	異世界看護師は修行中!!	2021	両方欠
beach-journey	ビーチジャーニー	2021	両方欠
berlin-uwanosora-range-shurange	ベルリンうわの空ランゲシュランゲ	2021	両方欠
bijutsushitsu-no-monsters	美術室のモンスターず	2021	両方欠
binbou-kizoku-noodo-no-bouken-tan	貧乏貴族ノードの冒険譚	2021	両方欠
biriketsu	ビリケツ	2021	両方欠
bite-maker-ousamanoomega-2	バイトメーカー	2021	両方欠
bitter-end-roll	ビターエンドロール	2021	両方欠
blood-doom	ブラッド・ドゥーム	2021	両方欠
blossoms	blossoms	2021	両方欠
blue-moon-ni-koi-o-shite	bluemoonに恋をして	2021	両方欠
boku-imasuyo	僕、いますよ。	2021	両方欠
boku-no-mirai-wa-majo-no-naka	僕の未来は魔女の中	2021	両方欠
boku-no-otou-san-2021	ぼくのお父さん	2021	両方欠
boku-no-uwamezukai	ぼくの上目遣い	2021	両方欠
boku-wa-ashita-no-yume-o-miru	僕は、明日の夢をみる	2021	両方欠
bokura-no-koi-to-seishun-no-subete-hokenshitsu-no-bokura	【僕らの恋と青春のすべて】保健室の僕ら	2021	両方欠
bokura-wa-minna-ikite-yuku	ボクらはみんな生きてゆく!	2021	キャッチ欠
bokutachi-ga-kazoku-ni-naru-made	僕たちが家族になるまで	2021	両方欠
borderless-name	ボーダレスネーム	2021	両方欠
bou-kun-vaaderu-no-hanayome-mitsugetsuhen	暴君ヴァーデルの花嫁蜜月編	2021	両方欠
boukensha-guild-no-bannou-adobaizaa	冒険者ギルドの万能アドバイザー	2021	両方欠
boukensha-guild-no-cheat-keiei-kaikaku	冒険者ギルドのチート経営改革	2021	両方欠
bourei-madoushi-no-hiroiage-hanayome	亡霊魔道士の拾い上げ花嫁	2021	両方欠
bubble	バブル	2021	キャッチ欠
build-king	BUILD KING	2021	キャッチ欠
bullet-fang	バレット×ファング	2021	両方欠
bye-bye-sentimental	バイバイ、センチメンタル	2021	両方欠
byoutou-shounen	病棟少年	2021	両方欠
caligula-no-koi	カリギュラの恋	2021	両方欠
canis	Canis	2021	両方欠
canon-to-papa	かのんとぱぱ	2021	両方欠
captain-2	キャプテン2	2021	両方欠
captain-no-mae	「キャプテン」の前	2021	キャッチ欠
captain-tsubasa-memories	キャプテン翼MEMORIES	2021	キャッチ欠
channel-touroku-yoroshikune	チャンネル登録よろしくね♡	2021	両方欠
chi-o-hau-mono-ni-tsubasa-wa-iranu	地を這う者に翼はいらぬ	2021	両方欠
chiiki-neko-wa-itsumo-gokigen	ちいき猫はいつもご機嫌	2021	両方欠
chijou-no-rakuen	地上の楽園	2021	キャッチ欠
chikyuu-kara-kita-alien	地球から来たエイリアン	2021	両方欠
chikyuu-san-wa-level-appu-shimashita-comic	地球さんはレベルアップしました!@COMIC	2021	両方欠
chimamire-regret	血まみれリグレット	2021	両方欠
chinsuru-naisho-gohan	チンするナイショご飯	2021	両方欠
chou-yo-hana-yo-to-sono-kuchibiru-de	蝶よ花よとそのくちびるで	2021	両方欠
chouri-deka-no-sousaku-gohan	調理刑事(デカ)の捜索ごはん	2021	両方欠
clover-cinderella	クローバー・シンデレラ	2021	両方欠
clover-melodie	クローバーmélodie	2021	両方欠
coco-long-vacation	ココ・ロングバケーション	2021	両方欠
comic-inagawa-junji-no-kaidan-gatari	コミック稲川淳二の怪談語り	2021	両方欠
d4dj-4-koma-mix	D4DJ-4コマmix!-	2021	キャッチ欠
d4dj-the-starting-of-photon-maiden	D4DJ-The Starting of Photon Maiden-	2021	キャッチ欠
d4dj-the-story-of-happy-around	D4DJ-The story of Happy Around!-	2021	キャッチ欠
daijoubu-man	大丈夫マン	2021	両方欠
daikokubashirazuma-no-nichijou	大黒柱妻の日常	2021	両方欠
dairokukan-no-shieameito	醍鹿館のシェアメイト	2021	両方欠
daisy	デイジー	2021	両方欠
daiuchuu-hitoribocchi	大宇宙ひとりぼっち	2021	両方欠
daken-ni-chuui	駄犬に注意!	2021	両方欠
damasare-uragirare-shokei-sareta-watashi-ga-dare-o-shinjirareruto-iunodeshou	騙され裏切られ処刑された私が……誰を信じられるというのでしょう?	2021	両方欠
damatte-ore-ni-oboretero	黙って俺に溺れてろ	2021	両方欠
dame-an-mou-saikai-0byou-yakuza-no-xx-0-sarechaimashita	ダメ!あん!もう!再会0秒、ヤクザの××にされちゃいました	2021	両方欠
dame-skill-ooto-mode-ga-kakusei-shimashita	ダメスキル〈自動機能(オートモード)〉が覚醒しました	2021	両方欠
dandina-batsuichi-no-sewa-shitemasu	ダンディなバツイチの世話してます	2021	キャッチ欠
danna-ga-bibou-o-kakusu-wake	旦那が美貌を隠す訳	2021	両方欠
danna-sama-wa-niizuma-o-yosougai-ni-aishisugitemasu	旦那様は新妻を〈予想外に〉愛しすぎてます	2021	両方欠
dansou-reijou-no-fuhonina-kekkon	男装令嬢の不本意な結婚	2021	両方欠
darling-wa-75-sai	ダーリンは75歳	2021	キャッチ欠
datsu-inkya-de-jiko-produce	脱・陰キャで事故プロデュース	2021	両方欠
dattara-ore-ga-daiteyaru	だったら俺が抱いてやる	2021	両方欠
dbs-dirty-business-secret	D.B.Sダーティー・ビジネス・シークレット	2021	両方欠
dekasegi-reijou-no-konyaku-soudou	出稼ぎ令嬢の婚約騒動	2021	両方欠
dekiai-seifuku	溺愛征服	2021	両方欠
dekiai-shinshi-umeda-san	溺愛紳士梅田さん。	2021	両方欠
dekiaisuru-nomo-hodohodo-ni	溺愛するのもほどほどに。	2021	両方欠
deshi-ga-kawaisugite-tsurai	弟子が可愛すぎてつらい	2021	キャッチ欠
destro-016	デストロ016	2021	両方欠
deyuerunoouninaruotoko	遊☆戯☆王SEVENSルーク!爆裂覇道伝!!	2021	両方欠
dilettante	ディレッタント	2021	両方欠
disney-twisted-wonderland-the-comic	ディズニーツイステッドワンダーランドザコミック	2021	両方欠
doesu-onzoushi-no-hanayome-kouho	ドS御曹司の花嫁候補	2021	両方欠
dogedou	ドゲドウ	2021	両方欠
doku-o-kurawaba-kanojo-made	毒を喰らわば彼女まで	2021	キャッチ欠
dokuoya-ni-sodateraremashita	毒親に育てられました	2021	両方欠
dokusha-toukou-derakkusu	読者投稿DX	2021	両方欠
dokyun-saga	ドキュンサーガ	2021	両方欠
doppel-san	ドッペルさん	2021	両方欠
dou-kangaetemo-shindeiru	どう考えても死んでいる	2021	両方欠
double-revenge	ダブルリベンジ	2021	両方欠
doyoubi-no-lunch-mate	土曜日のランチメイト	2021	両方欠
dr-koyori-no-bimi-karte	Dr. こよりの美味カルテ	2021	両方欠
dragon-quest-dai-no-dai-bouken-cross-blade	ドラゴンクエスト ダイの大冒険クロスブレイド	2021	両方欠
dragons-summer	ドラゴンズサマー	2021	両方欠
dual-mound	デュアルマウンド	2021	両方欠
dual-na-kanojo-no-taoshikata	デュアルな彼女の倒し方	2021	両方欠
dungeon-ga-omotta-yori-mo-fukakute-doushiyoumo-nai-node-akiramete-onnanoko-o-kudoiteiku-koto-ni	ダンジョンが思ったよりも深くてどうしようもないので諦めて女の子を口説いていくことにした	2021	両方欠
edo-no-oiran-to-irekawatta-node-hanamachi-no-chouten-o-mezashite-miru	江戸の花魁と入れ替わったので、花街の頂点を目指してみる	2021	両方欠
eeai-supiikaa-to-dokushin-salaryman	AIスピーカーと独身サラリーマン	2021	両方欠
egao-no-yukue	笑顔の行方	2021	両方欠
eigo-boys	英語BOYS	2021	両方欠
eigyou-smile-danjo	営業スマイル男女	2021	両方欠
eiichi	栄一	2021	両方欠
eikyuu-kikan-shimaenaga	永久機関シマエナガ	2021	両方欠
eiyuu-majutsushi-wa-nonbiri-kurashitai-attomaaku-comic	英雄魔術師はのんびり暮らしたい@COMIC	2021	両方欠
ekiben-jikan	駅弁時間	2021	両方欠
elevator-orite-hidari	エレベーター降りて左	2021	両方欠
end-of-balor	エンド・オブ・バロル	2021	両方欠
enjou-hero-ako	炎上ヒーローアコ	2021	キャッチ欠
enmadou-sara-no-suiri-ki-tan	閻魔堂沙羅の推理奇譚	2021	両方欠
ensa-no-kusabi	怨嗟の楔	2021	両方欠
erika-futatabi	エリカふたたび	2021	両方欠
eroi-skill-de-isekai-musou	エロいスキルで異世界無双	2021	両方欠
esuooesu-mushi-mushi-tanteidan	SOS!ムシムシ探偵団	2021	両方欠
esuranku-party-o-kubi-ni-natta-node-sekaiju-to-satogaeri-shimasu	Sランクパーティをクビになったので世界樹と里帰りします	2021	両方欠
etchina-konishi-san-to-inkyarana-uchida-san-no-shanai-love-jijou	エッチな小西さんと陰キャラな内田さんの社内恋愛事情	2021	キャッチ欠
faindaa-no-saihate	ファインダーの最果て	2021	両方欠
fake-hashiba-2022	フェイク	2021	両方欠
fantasy-niwa-najimenai	ファンタジーには馴染めない	2021	両方欠
fashion	ファッション!!	2021	両方欠
fate-grand-order-fujimaru-ritsuka-wa-wakaranai	Fate/Grand Order藤丸立香はわからない	2021	キャッチ欠
fianc-sama-kara-nigerarenai	婚約者(フィアンセ)さまから逃げられない	2021	両方欠
firipin-de-hashagu	フィリピンではしゃぐ。	2021	両方欠
follower-no-naka-ni-oshi-ga-imasu	フォロワーの中に推しがいます	2021	両方欠
follower-san-no-hontou-ni-atta-kowai-hanashi	フォロワーさんの本当にあった怖い話	2021	両方欠
fuguushoku-no-yumitsukai-dakedo-nantoka-bunan-ni-yattemasu	不遇職の弓使いだけど何とか無難にやってます	2021	両方欠
fujoshi-koshimizu-shiori	腐女子、小清水詩織。	2021	両方欠
fukenkou-bookarisuto-to-oishii-senzoku-keiyaku	不健康ボーカリストとオイシイ専属契約	2021	両方欠
fuku-fuku-gohan	ふくふくごはん	2021	両方欠
fukushachou-to-himitsu-no-koibito-keiyaku	副社長と秘密の恋人契約	2021	両方欠
fukushuu-no-dokko-riwaindo	復讐の毒鼓REWIND	2021	両方欠
fukushuu-no-kougou	復讐の皇后	2021	両方欠
furimukeba-azarashi	ふりむけばアザラシ	2021	両方欠
fushi-no-gunzei-o-hikiiru-bocchi-shiryoujutsushi-necromancer-tenshoku-shite-esuesuesu-rank	不死の軍勢を率いるぼっち死霊術師(ネクロマンサー)、転職してSSSランク冒険者になる。	2021	両方欠
futari-no-konyakusha-ni-dekiai-sarete	二人の婚約者に溺愛されて	2021	両方欠
futsuu-ni-dekinai-watashitachi	普通にできない私たち	2021	両方欠
fuwamoko-tantei-panyanya	ふわもこたんていぱにゃにゃ	2021	両方欠
fuzoroi-bokura-wa-uso-o-tsuku	ふぞろい僕らは嘘をつく	2021	両方欠
ga-kirai-na-joshi-nanka-imasen	××が嫌いな女子なんかいません!	2021	両方欠
gakuen-bangaichi	学園番外地	2021	両方欠
garugaku	ガル学。	2021	両方欠
gatenkei-shachou-wa-zetsurin-deshita	ガテン系社長は絶倫でした。	2021	両方欠
gekikara-kachou	激辛課長	2021	両方欠
genkai-fuufu	限界夫婦	2021	両方欠
getup-getlive	Getup! getlive!	2021	両方欠
giant-gig	ジャイアント・ギグ	2021	両方欠
giant-killer-kaijuu-bushidou	GIANTKILLER怪獣武士道	2021	両方欠
girls-dawn	ガールズドーン!	2021	両方欠
gokuchuu	ごくちゅう!	2021	両方欠
gokudou-koukousei	極道高校生	2021	両方欠
golden-raspberry	ゴールデンラズベリー	2021	両方欠
golf-no-hohoemi	ゴルフの微笑み。	2021	両方欠
golgo-13-best-of-200	ゴルゴ13 best of 200	2021	両方欠
gomen-oji-san-dakedo-shite-ii	ごめん、おじさんだけどシていい?	2021	両方欠
good-father-board	グッドファザーボード	2021	両方欠
gorisen	ゴリせん	2021	両方欠
goudou-kaisha-seigiya	合同会社・正義屋	2021	両方欠
gunbu-no-pair-go	群舞のペア碁	2021	両方欠
gunmaken	群馬犬!	2021	両方欠
gureitesuto-m	グレイテストM	2021	両方欠
gyakuisekai-tensei-shite-kimowota-ni-natte-shimatta-daimajutsushi-derurei-kaachisu-no-fujouri-na	逆異世界転生してキモヲタになってしまった大魔術師デルレイ・カーチスの不条理な日常	2021	両方欠
gyarutetsu	ギャル鉄	2021	両方欠
gyokou-no-nikuko-chan	漁港の肉子ちゃん	2021	両方欠
gyokuza-to-nightingale	玉座と小夜啼鳥	2021	両方欠
gyoukai-no-kowai-urabanashi-esupii	業界の怖いウラ話SP	2021	両方欠
h-na-omocha-no-tsukurikata	Hなおもちゃの作り方	2021	両方欠
habatake-kotatsu-chan	はばたけ!こたつちゃん	2021	両方欠
hagure-yuusha-no-isekai-bible	はぐれ勇者の異世界バイブル	2021	キャッチ欠
haihi-wa-futatabi-gyokuza-ni-noboru	廃妃は再び玉座に昇る	2021	両方欠
haikaburi-hime-wa-kekkon-shita-nao-ouji-wa	灰被り姫は結婚した、なお王子は	2021	両方欠
haikai-sensei	徘徊先生	2021	両方欠
haisha-fukkatsu-no-uta	敗者復活のうた。	2021	両方欠
haishin-chuu-megami-channel	【配信中】女神チャンネル!	2021	両方欠
haken-shine-asumi-no-kakeibo-attomaaku-comic	派遣社員あすみの家計簿@comic	2021	両方欠
hakuhou-hongi	白鵬本紀	2021	両方欠
hakumai-rai-san	白米礼賛	2021	両方欠
hametsu-no-keishisha	破滅の刑死者	2021	両方欠
hana-no-asukagumi-infinitei	花のあすか組!∞インフィニティ	2021	両方欠
hana-to-kisu-tsuki-2dk	**(はな)とキス付き2DK	2021	キャッチ欠
hana-wa-ingoku-e-ochizu-ni-sumu-ka	花は淫獄へ堕ちずにすむか	2021	両方欠
hana-wa-kuchi-hodo-ni-mono-o-iu	花は口ほどにモノを言う	2021	両方欠
hanabi-yoshihara-2021	花火	2021	キャッチ欠
hanamachi-no-youjinbou	花街の用心棒	2021	両方欠
hanamaru-skip	はなまるスキップ	2021	両方欠
hanaregatai-kemono	はなれがたいけもの	2021	両方欠
hanauta-record	はなうたレコード	2021	キャッチ欠
hanayome-wa-houmatsu-no-uso-o-tsuku	花嫁は泡沫の嘘をつく	2021	両方欠
hanbaagaa-chan-enikki	ハンバーガーちゃん絵日記	2021	両方欠
hangyaku-no-kessenjutsushi	叛逆の血戦術士	2021	両方欠
hanitora	はにとらっ!	2021	両方欠
hankouki-na-kareshi	反抗期なカレシ	2021	両方欠
happy-end-wa-iranai	ハッピーエンドはいらない	2021	両方欠
haraguro-joushi-to-gisou-kekkon	腹黒上司と偽装結婚	2021	両方欠
harimaware-koinu	貼りまわれ!こいぬ	2021	両方欠
haru-ojou-sama-koi-no-ojikan-desu	はるお嬢さま、恋のお時間です!	2021	キャッチ欠
haru-to-aki-to-kanade-chan-to	春と秋と奏ちゃんと。	2021	両方欠
haruka-naru-toki-no-naka-de-7	遙かなる時空(とき)の中で7	2021	両方欠
hashire-unkooo	走れ!ウンコオー	2021	両方欠
hato-bu	ハト部	2021	両方欠
hatsukoi-to-iinazuke	ハツコイと許嫁	2021	両方欠
heartstopper	ハートストッパー	2021	両方欠
heibon-koukousei-no-ore-ga-game-dewa-saikyou-guild-no-guild-master-nandesuga	平凡高校生の俺がゲームでは最強ギルドのギルドマスターなんですが…	2021	両方欠
heijitsu-yasumi-no-horide-san	平日休みの堀出さん	2021	両方欠
heisei-kochikame-13-nen	平成こち亀13年	2021	両方欠
heisei-kochikame-14-nen	平成こち亀14年	2021	両方欠
heisei-kochikame-15-nen	平成こち亀15年	2021	両方欠
heisei-kochikame-16-nen	平成こち亀16年	2021	両方欠
heisei-kochikame-17-nen	平成こち亀17年	2021	両方欠
heisei-kochikame-18-nen	平成こち亀18年	2021	両方欠
heisei-kochikame-19-nen	平成こち亀19年	2021	両方欠
hensachi-10-no-ore-ga-isekai-de-chie-no-yuusha-ni-nareta-wake	偏差値10の俺がい世界で知恵の勇者になれたワケ	2021	両方欠
