区分	現slug	title
新刊	samishiimamonotoniseyuusha	さみしいマモノと偽勇者
新刊	shimobenooujisama	しもべの王子様
新刊	jouzunigamandekirumade	じょうずに我慢できるまで
新刊	dashichaimashousenpai	だしちゃいましょう先輩!
新刊	nikonikogenkihappiichan	にこにこ元気☆ハッピーちゃん
新刊	agaribitonoatoshimatsu	アガリビトの後始末
新刊	adoribukararaimei	アドリブから雷鳴
新刊	ikasamanashinokisugashitai	イカサマなしのkissがしたい
新刊	erufunomonchankoukousei	エルフのモンちゃん高校生!!
新刊	erufusenseitoyobanaide	エルフ先生と呼ばないで!
新刊	kaadofaitovangaadodivainzugenmakakuseihen	カードファイト!!ヴァンガードDivinez幻真覚醒編
新刊	kisudeochinaisukyandaru	キスでオチないスキャンダル
新刊	kisudedamashiteochinaide	キスで騙して落ちないで
新刊	kisuwasousanoatodeagein	キスは捜査のあとでアゲイン
新刊	kurisutahajimetenomangaseisakunyuumon	クリスタはじめての漫画制作入門
新刊	geemunosekainitenseishitaoregamarumaruninarumade	ゲームの世界に転生した俺が○○になるまで
新刊	santareijouwanemurenukishienopurezentoninaritakunai	サンタ令嬢は眠れぬ騎士へのプレゼントになりたくない
新刊	dekaiusagininatsukareta	デカいうさぎに懐かれた!?
新刊	nishitookyoometaruburazaazu	ニシトーキョーメタルブラザーズ
新刊	buruuejjiengeeji	ブルーエッジエンゲージ
新刊	makinaniomakase	マキナにおまかせ
新刊	ichijouhanaowakoioshiranai	一条華緒は恋を知らない
新刊	joukyoukoroshiyamusume	上京コロシヤ娘
新刊	nigatsunikoroshitesakuraniumeru	二月に殺して桜に埋める
新刊	imamadebakanisareteitakiyowareijounitenseishitaratondemonaikotoninatta	今まで馬鹿にされていた気弱令嬢に転生したら、とんでもない事になった話、聞く?
新刊	kyoukarabokuwakanojonobatsubatsuokaishousuru	今日から僕は、彼女の××を解消する。
新刊	kyoumokafenanakusabiyori	今日もカフェななくさ日和
新刊	kamennokurokishishoutaibaretanodemougakuendemomusousuru	仮面の黒騎士。正体バレたのでもう学園でも無双する
新刊	orenogachiotagasemenanbaawantokakiitenai	俺のガチオタが攻めナンバーワンとか聞いてない
新刊	oretachiwashinkonsankamoshirenai	俺達は新婚さんかもしれない. 蓮根編 上
新刊	bokuwajissaideichiokuenkaseida	僕は10歳で1億円稼いだ = 10-YEAR-OLD BILLIONAIRE
新刊	okumanchoujaniienaihimitsu	億万長者に言えない秘密
