slug	title	volumes	missing
watashi-no-hara-no-naka-no-bakemono	私の胎の中の化け物	6	説明欠
sora-made-itchau	空までイっちゃう	6	説明欠
ryuu-to-ayumu-nariagari-boukensha-dou	竜と歩む成り上がり冒険者道	6	説明欠
ryuu-ni-sodaterareta-saikyou	竜に育てられた最強	6	両方欠
utsukushii-kare	美しい彼	6	説明欠
seijo-mellia-to-sennen-oukoku-no-kishi	聖女メリアと千年王国の騎士	6	説明欠
kusa-mahoushi-kuroe-no-nidome-no-jinsei	草魔法師クロエの二度目の人生	6	両方欠
wakeari-shinrei-mansion	訳アリ心霊マンション	6	説明欠
suika	誰何suika	6	説明欠
tensei-shitara-kozakana-dattakedo-ryuu-ni-nareru-rashii-node-ganbarimasu	転生したら小魚だったけど龍になれるらしいので頑張ります	6	説明欠
tenseimae-wa-otoko-datta-node-gyaku-harem-wa-okotowari-shite-orimasu	転生前は男だったので逆ハーレムはお断りしております	6	説明欠
tensei-tantou-megami-ga-100-nin-ita-no-de-cheat-skill-hyakko-moraeta	転生担当女神が100人いたのでチートスキル100個貰えた	6	両方欠
root-route-of-odd-taxi	RoOT/ルートオブオッドタクシー	6	両方欠
ijimerarekko-no-akuyaku-reijou-tenseiki	いじめられっ子の悪役令嬢転生記	6	両方欠
kono-boukensha-jinruishi-saikyou-desu	この冒険者、人類史最強です	6	両方欠
tada-no-tomodachi-ja-nakunaru-shunkan	ただの友達じゃなくなる瞬間	6	説明欠
tamaranai-no-wa-koi-nanoka	たまらないのは恋なのか	6	説明欠
mofumofu-to-mukumuku-to-isekai-hyouryuu-seikatsu	もふもふとむくむくと異世界漂流生活	6	両方欠
yasashii-milk	やさしいミルク	6	説明欠
umamusume-pretty-derby-star-blossom	ウマ娘プリティーダービースターブロッサム	6	説明欠
oorasu-uramichi-no-yanagi	オーラス	6	両方欠
cardfight-vanguard-youthquake	カードファイト!!ヴァンガードYouthQuake	6	両方欠
class-mushoku-no-eiyuu-tan	クラス《無職》の英雄譚	6	両方欠
ken-tsukikage-shugyoku-sakuhinsen	ケン月影珠玉作品選	6	両方欠
sandman	サンドマン	6	両方欠
shining	シャイニング!	6	両方欠
serial-killer-isekai-ni-oritatsu	シリアルキラー異世界に降り立つ	6	説明欠
jukai	ジュカイ	6	両方欠
school-back	スクールバック	6	説明欠
nurse-no-chikara-plus	ナースのチカラplus	6	キャッチ欠
versus	バーサス	6	説明欠
horror-joyuu-ga-tensai-koyaku-ni-tensei-shimashita	ホラー女優が天才子役に転生しました	6	両方欠
sekai-no-hate-wa-shinai	世界の果ては深愛	6	説明欠
konsei-wa-toushu-ni-narimasu	今世は当主になります	6	両方欠
tsumetakute-yawaraka	冷たくて柔らか	6	説明欠
yuusha-ni-zenbu-ubawareta-ore-wa-yuusha-no-hahaoya-to-party-o-kumimashita	勇者に全部奪われた俺は勇者の母親とパーティを組みました!	6	説明欠
yuusha-party-no-nimotsumochi	勇者パーティーの荷物持ち	6	説明欠
yuusha-sama-sakuya-mo-otanoshimi-deshita-ne	勇者様、昨夜もお楽しみでしたね。	6	両方欠
shijou-saikyou-no-kyuutei-tamer	史上最強の宮廷テイマー	6	両方欠
tairan-sekigahara	大乱関ヶ原	6	説明欠
kiraware-ouji-no-yarinaoshi	嫌われ皇子のやりなおし	6	両方欠
shounenin-ushijima-kun	少年院ウシジマくん	6	説明欠
akuma-hanayome	悪魔×花嫁	6	両方欠
gaman-shite-kudasai-taikou-sama	我慢してください、大公様	6	両方欠
tefuda-ga-oome-no-victoria	手札が多めのビクトリア	6	説明欠
saikyou-chiyushi-no-techigai-surooraifu	最強治癒師の手違いスローライフ	6	両方欠
tokyo-apparel-girl	東京アパレルガール	6	説明欠
shokubutsu-byourigaku-wa-ashita-no-kimi-o-negau	植物病理学は明日の君を願う	6	説明欠
mukiryoku-neet-na-moto-shindou-boukensha-ni-naru	無気力ニートな元神童、冒険者になる	6	両方欠
rou-no-naka-de-mezameta-akuyaku-reijou-wa-shinitakunai	牢の中で目覚めた悪役令嬢は死にたくない	6	両方欠
isekai-de-tame-shita-saikyou-no-tsukaima-wa-osananajimi-no-bishoujo-deshita	異世界でテイムした最強の使い魔は、幼馴染の美少女でした	6	両方欠
isekai-kaeri-no-arafoo-riiman-17-sai-no-koro-ni-modotte-musou-suru	異世界帰りのアラフォーリーマン、17歳の頃に戻って無双する	6	両方欠
isekai-kaeri-no-yuusha-wa-dungeon-ga-shutsugen-shita-genjitsu-sekai-de-influencer-ni-natte-kane-o	異世界帰りの勇者は、ダンジョンが出現した現実世界で、インフルエンサーになって金を稼ぎます!	6	両方欠
ryuui-no-luka	竜医のルカ	6	説明欠
ryuu-heika-no-okisaki-wa-okotowari-shitai	竜陛下のお妃はお断りしたい!	6	説明欠
dai-3-ouji-wa-surooraifu-o-go-goshomou	第3王子はスローライフをご所望	6	両方欠
wakiyaku-ni-tensei-shita-hazu-ga-itsunomanika-densetsu-no-renkinjutsushi-ni-natteta	脇役に転生したはずが、いつの間にか伝説の錬金術師になってた	6	両方欠
ochikobore-maken-tsukai-no-eiyuu-tan	落ちこぼれ魔剣使いの英雄譚	6	両方欠
robou-no-fujii	路傍のフジイ	6	説明欠
tensei-shitara-sainou-ga-atta-ken	転生したら才能があった件	6	説明欠
tensei-seijo-to-shinkan-wa-mada-ai-o-shiranai	転生聖女と神官はまだ愛を知らない	6	両方欠
tensei-maou-no-yuusha-gakuen-musou	転生魔王の勇者学園無双	6	両方欠
tsuihousareta-kizoku-wa-hazure-skill-kodai-shoukan-de-eireitachi-to-henkyou-ryouchi-o-saikou-suru	追放貴族は、外れスキル〈古代召喚〉で英霊たちと辺境領地を再興する	6	両方欠
kousaka-shachou-wa-gaman-dekinai	高坂社長は我慢できない	6	両方欠
oni-joushi-no-dekiai-ga-tomarimasen	鬼上司の溺愛が止まりません	6	両方欠
maryoku-0-de-tsuihousareta-saremashita-ga-daiseirei-to-keiyaku-shi-maken-no-chikara-ga-kakusei	魔力0で追放されましたが、大精霊と契約し魔剣の力が覚醒しました	6	両方欠
ennead	Ennead	6	両方欠
so-young	So young	6	両方欠
tonari-wa-futsuu-no-nijika-chan	となりはふつうのニジカ〈ちゃん〉	6	説明欠
yoki-houritsuka-wa-ashiki-rinjin	よき法律家は悪しき隣人	6	説明欠
renge-to-naruto	れんげとなると!	6	説明欠
iron-familia	アイアンファミリア	6	両方欠
apparel-dog	アパレルドッグ	6	両方欠
will-sama-wa-kyou-mo-mahou-de-asonde-imasu-next	ウィル様は今日も魔法で遊んでいます。ねくすと!	6	両方欠
salaryman-z	サラリーマンZ	6	説明欠
the-boxer	ザ・ボクサー	6	両方欠
skill-saisei-to-hakai-kara-hajimaru-saikyou-boukensha-life	スキル〈再生〉と〈破壊〉から始まる最強冒険者ライフ	6	両方欠
slime-seijo	スライム聖女	6	説明欠
tower-dungeon	タワーダンジョン	6	説明欠
bear-face	ベアフェイス	6	両方欠
road-magear-no-deshi	ロードマギアの弟子	6	説明欠
kenka-dokugaku	喧嘩独学	6	両方欠
yontouryuu-no-saikyou-haishinsha	四刀流の最強配信者	6	説明欠
megami-no-hyouteki	女神の標的	6	両方欠
suki-na-otoko-to-wakaretai	好きなオトコと別れたい	6	説明欠
youko-no-danna-sama	妖狐の旦那さま	6	説明欠
ai-mo-nikushimi-mo-chinmoku-no-naka-de	愛も憎しみも沈黙の中で	6	両方欠
tokyo-shinrou	東京§神狼	6	両方欠
mori-no-naka-de-koushaku-ga-hirotta-nowa	森の中で公爵が拾ったのは	6	両方欠
satsujinki-tensei	殺人鬼×転生	6	説明欠
umarekawattemo-yoroshiku	生まれ変わってもよろしく	6	両方欠
isekaiten-ishitekyoushininattagamajotoosorerareteiruken-aoisensei	異世界転移して教師になったが、魔女と恐れられている件	6	説明欠
koutei-no-mago-ni-tensei-suru-koutei	皇帝の孫に転生する皇帝	6	両方欠
shinketsu-no-kyuuseishu	神血の救世主	6	説明欠
ryuuokuri-no-isagi	竜送りのイサギ	6	説明欠
shuumatsu-no-hakoniwa	終末の箱庭	6	両方欠
seijo-sama-o-osagashi-deshitara-imouto-de-machigai-arimasen-saa-douzo-otsure-kudasai-imasugu	聖女様をお探しでしたら妹で間違いありません。さあどうぞお連れください、今すぐ。	6	説明欠
tensei-shitara-slime-datta-ken-bishokuden	転生したらスライムだった件美食伝	6	説明欠
tsuihousareta-sareta-tensei-ouji-jidou-seisaku-skill-de-ryouchi-o-bakusoku-de-kaitaku-shi-saikyou	追放された転生王子、『自動製作』スキルで領地を爆速で開拓し最強の村を作ってしまう	6	説明欠
shuumatsu-yarakashi-meshi	週末やらかし飯	6	説明欠
sekigansekiwansekkyakunomajutsushiattomaakukomikku-morinokoyanikomotte	隻眼・隻腕・隻脚の魔術師@COMIC	6	説明欠
seishun-bakusou	青春爆走!	6	説明欠
hiitoteki-love-dan	非意図的恋愛談	6	両方欠
hal-s-moto	HAL'S MOTO	6	両方欠
oyasumi-fumi-san	おやすみふみさん	6	両方欠
sankyuu-pitch	サンキューピッチ	6	説明欠
cherry-yuusha-to-sei-naru-tsurugi	チェリー勇者とせいなる剣	6	両方欠
ueno-kun-wa-kaihatsuzumi	上野くんは開発済み	6	説明欠
sora-e	地上へ…	6	説明欠
toki-no-yuusha	廻刻の勇者	6	説明欠
wagahai-wa-neko-madoushi-de-aru	我輩は猫魔導師である	6	説明欠
isekai-kaeri-no-otsu-san-wa-shuumatsu-sekai-de-musou-suru	異世界還りのおっさんは終末世界で無双する	6	両方欠
shachou-to-sake-to-hoshi	社長と酒と星	6	説明欠
watashi-no-aisuru-asseisha	私の愛する圧制者	6	両方欠
tsumi-to-batsu-no-spica	罪と罰のスピカ	6	説明欠
minamoto-no-yoshitsune	源義経	5	両方欠
norakuro-tankentai	のらくろ探検隊	5	両方欠
tako-no-hatsu-chan	蛸の八ちゃん	5	両方欠
sabaku-no-maou	沙漠の魔王	5	両方欠
fuichin-san	フイチンさん	5	両方欠
angel-no-oka	エンゼルの丘	5	両方欠
0	0戦はやと	5	両方欠
shounen-doumei	少年同盟	5	両方欠
nagareboshi-gojuusantsugi	流れ星五十三次	5	両方欠
denjin-arrow	電人アロー	5	両方欠
akatsuki-sentoutai	あかつき戦闘隊	5	両方欠
wild-cat	ワイルド・キャット	5	両方欠
maro	まろ	5	両方欠
fuuten	フーテン	5	キャッチ欠
genshishounenryuu	原始少年リュウ	5	説明欠
hitoribocchi-ruka	ひとりぼっち流花	5	両方欠
oni-rinban	鬼輪番	5	両方欠
thomas-no-shinzou	トーマの心臓	5	説明欠
hey-cathy	ヘーイ!キャシー	5	両方欠
yakyuu-doahou-den	野球どアホウ伝	5	両方欠
kuroiwashi	黒い鷲	5	両方欠
kai	怪	5	両方欠
ai-no-jidai	愛の時代	5	両方欠
himitsushireimashinkeiji999	ひみつ指令マシン刑事999	5	両方欠
apollo-no-uta	アポロの歌	5	両方欠
hato-yo-ten-made	ハトよ天まで	5	キャッチ欠
megiddo-no-hi	メギドの火	5	両方欠
irodori-no-koro	彩りのころ	5	両方欠
tetsu-chan	手っちゃん	5	両方欠
saiyuuki-1998	西遊記	5	両方欠
zenikko	銭っ子	5	説明欠
seishunkikkuofu	青春キック・オフ!	5	両方欠
ultraman	ウルトラマン	5	両方欠
sexadoll	セクサドール	5	両方欠
ichiman-jiyuubiyou-monogatari	一万十秒物語	5	両方欠
daijunjou-kun	大純情くん	5	両方欠
burai-za-kid	無頼・ザ・キッド	5	両方欠
sora-ga-suki	空がすき!	5	両方欠
god-arm	ゴッド・アーム	5	両方欠
teddy-bear	テディ・ベア	5	両方欠
hustler-the-kid	ハスラー.ザ.キッド	5	両方欠
ikkimandara	一輝まんだら	5	両方欠
ryourinin	料理人	5	説明欠
aoi-sora-o-shiroi-kumo-ga-kaketetta	青い空を、白い雲がかけてった	5	キャッチ欠
gakuran-kaikyou	がくらん海峡	5	両方欠
star-red	スター・レッド	5	説明欠
nippon-hakubutsushi	ニッポン博物誌	5	両方欠
violence-tokkyuu	バイオレンス特急	5	両方欠
rindo-3	リンド3!	5	説明欠
usagi-ga-hashiru	兎が走る	5	両方欠
yuni-e	由似へ…	5	両方欠
aa-ichirou	ああ一郎	5	両方欠
sayonara-ganpeki-sensei	さよなら!!岸壁先生	5	両方欠
yasashisa-endless	やさしさエンドレス	5	両方欠
ozuma-taichou	オズマ隊長	5	両方欠
shishii-girl	シシイ・ガール	5	両方欠
taigaamasukunisei	タイガーマスク二世	5	説明欠
saiko	奇子	5	説明欠
shu-ni-aka	朱に赤	5	両方欠
kaze-no-saburou	風の三郎	5	両方欠
boys	Boys	5	両方欠
scramble-game	すくらんぶるゲーム	5	両方欠
tokimeite-pako	ときめいて❤パコ	5	両方欠
dosanko	どさんこ	5	両方欠
dokkiri-doctor	どっきりドクター	5	両方欠
wanpaku-shiyouchikubai	わんぱく松竹梅	5	両方欠
count-11	カウント11	5	両方欠
the-kureetaa	ザ・クレーター	5	両方欠
tropical-hanjirou	トロピカル半次郎	5	説明欠
dreamer	ドリーマー	5	両方欠
harajuku-furiiku	原宿フリーク	5	両方欠
meitantei-edogawa-ranko	名探偵江戸川乱子	5	両方欠
komugi-batake-no-santousei	小麦畑の三等星	5	両方欠
akuma-ha-nemura-nai	悪魔は眠らない	5	両方欠
gekisaiuchuuken	撃殺!宇宙拳	5	両方欠
hoshi-no-reel	星のリール	5	両方欠
hoshi-no-rookasu	星のローカス	5	両方欠
mobile-suit-gundam-3	機動戦士ガンダムⅢめぐりあい宇宙編	5	両方欠
tsugaru-seishun-sanga	津軽青春山河	5	両方欠
hana-no-taichirou	花の太一郎	5	両方欠
seishun-rabu-try	青春ラブ・トライ	5	両方欠
biijiiemu-wa-iranai	B・G・Mはいらない	5	両方欠
juudoo-shitetsu	JUDOしてっ!	5	両方欠
ny-bird	N・Yバード	5	両方欠
sayonara-nante-ienai	さよならなんていえない	5	両方欠
shocking-pink-33-13	しょっきんぐぴんく33 1/3	5	両方欠
hoero-toushi	ほえろ!闘志	5	両方欠
iron-muscle	アイアンマッスル	5	両方欠
orange-city	オレンジ・シティ	5	両方欠
buriki-zaiku-no-to-tan-yane	ブリキ細工のトタン屋根	5	両方欠
locomotion	ロコモーション	5	両方欠
ten-made-agare	天まであがれ!	5	両方欠
wagana-wa-wolf	我が名は狼	5	両方欠
haisouki	敗走記	5	両方欠
shin-jikenya-kagyou	新事件屋稼業	5	説明欠
shin-tsuri-baka-taishou	新釣りバカ大将	5	両方欠
nekkyuu-no-tora	熱球の虎	5	両方欠
ao-ni-nare	青になれ! 高校編	5	両方欠
tasogare-city-graffiti	黄昏シティ・グラフィティ	5	説明欠
kyan-kyan-everyday	Can☆キャンえぶりでい	5	両方欠
otonari-no-higashi-kun	おとなりの東くん	5	両方欠
fushigi-na-melmo	ふしぎなメルモ	5	両方欠
bokura-no-jidai	ぼくらの時代	5	両方欠
kiriko-ekisupuresu	キリコ特急	5	両方欠
giant-1984	ジャイアント	5	両方欠
nostradamus-ai-densetsu	ノストラダムス愛伝説	5	両方欠
pandora	パンドラ	5	両方欠
kigekishinshisoutaikei	喜劇新思想大系	5	両方欠
ai-no-chikai	愛のちかい	5	両方欠
umi-no-ouji	海の王子	5	両方欠
atsu-kun-no-binetsu	熱くんの微熱	5	両方欠
akaakamaru	赤々丸	5	両方欠
bibiddo-kids-company	V-K☆カンパニー	5	両方欠
z	Z	5	説明欠
aitsu-ga-gotchi	あいつがゴッチ	5	両方欠
aru-hazu-no-nai-umi	あるはずのない海	5	両方欠
ichigo-jidai	いちご時代	5	両方欠
namida-no-rikujoubu	なみだの陸上部	5	両方欠
bakudan-1985	ばくだん	5	説明欠
milk-miracle	みるく★みらくる	5	両方欠
rajikaru-doriimin	らじかるDreamin'	5	両方欠
compola-kid	コンポラキッド	5	両方欠
za-bandai-shounen	ザ・番台少年	5	両方欠
super-jetter	スーパー・ジェッター	5	両方欠
target	ターゲット	5	両方欠
fish-lage	フィッシュ・ラーゲ	5	両方欠
popcorn-o-hoobatte	ポップコーンをほおばって	5	両方欠
radio-club	レィディオクラブ	5	両方欠
lady-knights	レディ・ナイツ	5	両方欠
ore-wa-haruku	俺は春九郎	5	両方欠
yuu-to-yuu	優と勇	5	両方欠
sougyoushachou	創業社長	5	両方欠
komugi-panic	小麦パニック!	5	両方欠
dan-alive	弾アライブ	5	両方欠
momoiro-mystery	桃色ミステリー	5	両方欠
nagareboshi-mitaka	流れ星見たか	5	両方欠
sora-no-meikyuu	空の迷宮	5	説明欠
pink-mairoodo	緋色マイロード	5	両方欠
sougen-no-aoki-ookami	草原の蒼き狼	5	両方欠
ao-no-otoko	蒼の男	5	両方欠
koma-ga-mau	駒が舞う	5	両方欠
blue-moon	Blue Moon	5	説明欠
akane	〔あかね〕	5	両方欠
abinai-doumei	あBない同盟	5	両方欠
ureshi-hazukashi-monogatari	うれしはずかし物語	5	両方欠
sonoki-no-houkago	その気の放課後	5	両方欠
dokidoki-heart-beat	どきどきハートビート	5	両方欠
asura-1986	アスラ	5	両方欠
alkali-lady	アルカリ・レディー	5	両方欠
on-air	オン・エア	5	両方欠
schwatch	シュワッチ	5	説明欠
baransaa	バランサー	5	両方欠
famicom-rannaa-takahashi-meijin-monogatari	ファミコンランナー高橋名人物語	5	両方欠
bouken-gabotenjima	冒険ガボテン島	5	両方欠
ishi-no-kioku	化石の記憶	5	キャッチ欠
hanjuku-kakumei	半熟革命	5	両方欠
kawamata-sensei-kyouiku-nisshi	川俣先生教育日誌	5	両方欠
shin-tsurikichi-itchokusen	新・釣りキチ一直線	5	両方欠
hiko-densetsu	火子伝説	5	両方欠
sarusuberi	百日紅	5	説明欠
sorairo-miina	空色みーな	5	両方欠
kin-to-gin-no-canon	金と銀のカノン	5	両方欠
5-00pm-revolution	>5:00PM REVOLUTION	5	両方欠
dan-gan	Dan-gan	5	両方欠
za-nigao-show	Theにがおショー!	5	両方欠
milky-comic	milky comic	5	両方欠
usagi-tsukiyo-ni-hoshi-no-fune	うさぎ月夜に星のふね	5	両方欠
ore-wa-chef	おれはシェフ	5	両方欠
kotton-tetsumaru	こっとん鉄丸	5	両方欠
dontatchi-hitomiko	どんたっち!瞳子	5	両方欠
hitoribocchi-no-rin	ひとりぼっちのリン	5	両方欠
manmaru-highschool	まんまるハイスクール	5	両方欠
atakushi-enikki-bougetsu-boujitsu	アタクシ絵日記忘月忘日	5	両方欠
ahiru-no-sora-akiyama-1987	アヒルの空	5	両方欠
comic-tulip	コミックチューリップ	5	両方欠
twin	ツイン	5	両方欠
biollante	ビオランテ	5	両方欠
mission-2	ミッションⅡ	5	両方欠
ore-ga-koshien	俺が甲子園	5	両方欠
meitantei-mr-katagiri	名探偵Mr.カタギリ	5	両方欠
shuunen-no-deka	執念の刑事	5	両方欠
sora-no-kairou	天の回廊	5	両方欠
ai-no-sakaagari	愛のさかあがり	5	両方欠
yubiwa-monogatari	指輪物語	5	両方欠
shin-kamen-no-ninja-akakage	新・仮面の忍者赤影	5	両方欠
hitomi-ippai-no-namida	瞳いっぱいの涙	5	両方欠
watashi-wa-shujinkou	私は主人公	5	両方欠
shiritsu-shinsengumi	私立新鮮組	5	両方欠
warau-michael	笑う大天使	5	説明欠
touko	陶子	5	両方欠
39c-39-yokku	39℃ショック	5	両方欠
9ji-kara-5jihan-made	9時から5時半まで	5	両方欠
magnitude9-99	MAGNITUDE9.99	5	両方欠
oo-taiken-jidai	Oh!体験時代	5	両方欠
ane-san-wa-iinchou	あねさんは委員長	5	両方欠
omochabako-kakumei	おもちゃ箱革命	5	両方欠
fureai-kankaku	ふれあい間隔	5	両方欠
yuurei-kozou-ga-yatsutekita	ゆうれい小僧がやってきた!	5	両方欠
ruriiro-princess	るり色プリンセス	5	説明欠
sandaa-daiou	サンダー大王	5	両方欠
the-king	ザ・キング	5	両方欠
naive	ナイーヴ	5	両方欠
nurse-station-kozan-1990	ナースステーション	5	両方欠
banana-kids	バナナキッズ	5	両方欠
beamaadaa-ryuusuke	ベアマーダー流介	5	両方欠
maharadja	マハラジャ	5	両方欠
repisshu	レピッシュ!	5	両方欠
kyou-kara-wa-binetsujin	今日からは微熱人	5	両方欠
abunai-kinyoubi	危ない金曜日	5	両方欠
hoshi-no-rekishi	星の歴史	5	両方欠
akai-handoru	紅いハンドル	5	両方欠
juun-bride	純ブライド	5	両方欠
shoumaru	翔丸	5	説明欠
zakkyo-jidai	雑居時代	5	説明欠
fuuhai-ni-kike	風牌に訊け	5	両方欠
count-3-de-kimete-ageru	1・2・3でキメてあげる	5	両方欠
2-choume-no-donkihoote	2丁目のドンキホーテ	5	両方欠
cho-hakkai	Cho八戒	5	両方欠
girl-ga-abunai	GIRLがあぶない	5	両方欠
kiss-1989	KISS××××	5	両方欠
anata-ni-au-made	あなたに逢うまで…	5	両方欠
aburemon	あぶれもん	5	両方欠
udon-land	うどんランド	5	両方欠
katteni-shido	かってに志土	5	両方欠
dororon-patsu	どろろんぱっ!	5	両方欠
manga-nippon-kodaishi-nyuumon	まんが日本古代史入門	5	両方欠
miracle-mimi-kun	みらくるミミkun	5	両方欠
yuu-ando-yuu	ゆう＆YOU	5	両方欠
ikenai-boy	イケナイBOY	5	両方欠
kyaatsu	キャーッ!!	5	両方欠
sakusesu-tappei	サクセス辰平	5	両方欠
series-1-1000sec	シリーズ1/1000sec.	5	両方欠
chime	チャイム	5	キャッチ欠
test-run	テスト・ラン	5	両方欠
violence-de-shinina	バイオレンスで死にな	5	両方欠
full-base	フルベース	5	両方欠
pride-1989	プライド	5	両方欠
little-cop	リトルコップ	5	両方欠
wind-up	ワインドアップ!!	5	両方欠
hakata-fuuunroku	博多風雲録	5	両方欠
kimi-dakeni-kagayaku	君だけに輝く	5	両方欠
doguu-family	土偶ファミリー	5	両方欠
tenshi-no-towaaru	天使のTWIRL	5	両方欠
ai-no-you-ni-odorinasai	愛のように幻想りなさい	5	両方欠
nihonshi-tanbou	日本史探訪 幕末維新	5	両方欠
maido-raamenya-desu	毎度ラーメン屋です	5	両方欠
juujin-seiiki	獣人聖域	5	両方欠
hakuin-oshou-monogatari	白隠和尚物語	5	両方欠
hanabira-no-tou	花びらの塔	5	両方欠
hanaoni	花鬼	5	両方欠
akai-pegasasu-tsuu-show	赤いペガサスⅡ翔	5	両方欠
toritsu-horohoro-nougyou-koukou	都立ホロホロ農業高校	5	両方欠
kaze-no-bohyou	風の墓標	5	両方欠
kaze-no-umareru-tokoro	風の生まれるところ	5	両方欠
ariel-comic	ARIEL COMIC	5	両方欠
boss	Boss	5	両方欠
charger-500	Charger 500	5	両方欠
fuck	F・U・C・K	5	両方欠
garfield-1990	Garfield	5	両方欠
moegi-sensation	Moegi・せんせーしょん!	5	キャッチ欠
soopu-no-moko-chan	SoapのMokoちゃん	5	両方欠
osawagase-junpei	お騒がせ純平	5	両方欠
koitsura-100-paasento-densetsu	こいつら100%伝説	5	両方欠
tekoteko-hakobe	てこてこはこべ	5	両方欠
buttobihiromi-kun	ぶっ飛び広海くん	5	両方欠
mad-angel	まっどエンジェル	5	両方欠
yunbo-kun	ゆんぼくん	5	両方欠
actress	アクトレス	5	両方欠
elan	エラン	5	両方欠
tamanegi-nanka-kowaku-nai	タマネギなんかこわくない!	5	説明欠
dekoboko-diamond	デコボコ・ダイアモンド	5	両方欠
vampire-lullaby	バンパイア・ララバイ	5	両方欠
fighter	ファイター	5	両方欠
musume-nikki	ムスメ日記	5	両方欠
ninkimono-de-ikou	人気者でいこう	5	両方欠
reizouko-ni-pineapple-pai	冷蔵庫にパイナップル・パイ	5	両方欠
harajuku-fasshon-monogatari	原宿ファッション物語	5	両方欠
suki-shika-shiranai	好きしか知らない	5	両方欠
gekka-bijin	月下美人	5	両方欠
umi-no-aria	海のアリア	5	説明欠
gekitou	激濤	5	両方欠
ikai-e-no-tabi	異界への旅	5	両方欠
shinran	親鸞	5	両方欠
yuujin-brand	遊人ブランド	5	両方欠
fighting-cock	Fighting cock	5	両方欠
v8-kid	V8キッド	5	両方欠
version	VERSION	5	説明欠
sakura-no-uta	さくらの唄	5	両方欠
suttonkyoona-kyoudai	すっとんきょーな兄妹	5	説明欠
midori	みどり	5	両方欠
merry-san-no-hitsuji	めりーさんの羊	5	両方欠
occult-virgin	オカルト・バージン	5	両方欠
kuma-no-puutarou	クマのプー太郎	5	両方欠
combat-high-school	コンバット★ハイスクール	5	両方欠
saber-cats	セイバーキャッツ	5	両方欠
tough-nakahara-1991	タフ	5	両方欠
tamaroido-choucgandamu	タマロイド超Cガンダム	5	両方欠
chalk	チョーク	5	両方欠
cheap-thrill	チープスリル	5	両方欠
no-huddle	ノーハドル	5	両方欠
muumin-no-bouken-nikki	ムーミンの冒険日記	5	両方欠
kuchibiru-ni-punk	唇にパンク	5	両方欠
aa-yuutenjike	嗚呼!祐天寺家	5	両方欠
sakamoto-ryouma	坂本龍馬	5	両方欠
dai-to-dai	大と大	5	両方欠
ten-no-terasu	天のテラス	5	両方欠
ten-no-hate-made	天の涯まで	5	説明欠
ane-san-koinyoubou	姐さん恋女房	5	両方欠
kodomo-ja-naimon	子供じゃないモン!	5	両方欠
sakufuu-no-banka	朔風の挽歌	5	両方欠
tokyo-yakyuu-kozou	東京野球小僧	5	両方欠
kabushikigaisha-tokugawa-ieyasu	株式会社徳川家康	5	両方欠
gokudou-otoko-juku	極道おとこ塾	5	両方欠
kaze-no-matsurigoto	疾風のまつりごと	5	両方欠
ki-tan-club	綺譚倶楽部	5	両方欠
hana-mo-arashi-mo-ouendan	花も嵐も応援団!	5	両方欠
nagayaou-zanshouki	長屋王残照記	5	両方欠
raidenou	雷電王	5	両方欠
dennou-boy	電脳ボーイ	5	両方欠
adventure2030-gakuen	Adventure2030学園	5	両方欠
blue-blood	Blue blood	5	両方欠
friends	Friends	5	説明欠
q-i	Q＆I	5	両方欠
itsumo-jou-tenki	いつも上天気	5	両方欠
onnanoko-pokopon	おんなのこポコポン	5	両方欠
oniwaban-mairu	お庭番参る!	5	両方欠
shiawase-no-katachi	しあわせのかたち	5	両方欠
deekkirai	でぇっ嫌い!	5	両方欠
adventure-2030-gakuen	アドベンチャー2030学園	5	両方欠
cutey-honey	キューティーハニー	5	両方欠
gyanburu-ouji-arashi	ギャンブル王子 嵐	5	両方欠
comic-nanjou-tokimitsu	コミック南条時光	5	両方欠
super-mario-4-koma-manga-oukoku	スーパーマリオ 4コマまんが王国	5	両方欠
chaneringu-taikenki	チャネリング体験記	5	両方欠
tennessee-waltz	テネシー・ワルツ	5	両方欠
dreamer-1992	ドリーマー!!	5	両方欠
barcode-fighter	バーコードファイター	5	キャッチ欠
fire-emblem-watanabe-1992	ファイアーエムブレム	5	キャッチ欠
flag	フラッグ!	5	両方欠
best-friend	ベスト・フレンド	5	両方欠
maple-senki	メイプル戦記	5	両方欠
torishimariyaku-hira-namijirou	取締役平並次郎	5	両方欠
doudou-to	堂々と	5	両方欠
dai-fuyuusen-jidai	大浮遊船時代	5	両方欠
uchuusenkanyamato	宇宙戦艦ヤマト	5	両方欠
shounen-no-kuni	少年の国	5	両方欠
dotou-jamuka-no-daibouken	怒涛!ジャムカの大冒険	5	両方欠
akumu-no-shoutai-jou	悪夢の招待状	5	両方欠
tezuka-osamu-monogatari	手塚治虫物語	5	説明欠
shin-shiratori-reiko-de-gozaimasu	新・白鳥麗子でございます!	5	説明欠
shin-vampire-miyu	新吸血姫美夕	5	説明欠
sakinokuchibiru	早紀の唇	5	両方欠
hoshi-no-kazu-dake-dakishimete	星の数だけ抱きしめて	5	両方欠
doku-o-kurawaba	毒を喰らわば	5	両方欠
doll-1992	真弾劾凰聖伝DOLL	5	両方欠
fuku-chan	福ちゃん	5	両方欠
seijuu-denshou-dark-angel	聖獣伝承ダークエンジェル	5	説明欠
akage-no-an	赤毛のアン	5	説明欠
