slug	title	volumes	missing
kabachi	カバチ!!!	39	両方欠
shinrupansansei	新ルパン三世	38	説明欠
rookies	Rookies	38	説明欠
taishi-kakka-no-ryourinin	大使閣下の料理人	38	両方欠
senri-no-michi-mo-dai-sanshou	千里の道も 第三章	38	両方欠
tough	TOUGH	38	説明欠
kinpeibai	金瓶梅	38	両方欠
shinjuku-swan	新宿スワン	38	説明欠
shuujin-riku	囚人リク	38	説明欠
arukimedesu-no-taisen	アルキメデスの大戦	38	両方欠
tetsuwan-atom	鉄腕アトム	37	説明欠
ranpou	らんぽう	37	両方欠
kochira-tsubaki-sanfujinka	こちら椿産婦人科	37	両方欠
x	X	37	説明欠
sangokushi-1993	三国志	37	両方欠
vagabond	バガボンド	37	説明欠
tenpai-gaiden	天牌外伝	37	説明欠
worst-gaiden-guriko	WORST外伝グリコ	37	説明欠
seito-sho-kun	生徒諸君!	36	説明欠
oyakodeka	おやこ刑事	36	両方欠
dekasuron	デカスロン	36	両方欠
seikimatsu-leader-den-takeshi	世紀末リーダー伝たけし!	36	説明欠
yamato-nadeshiko-shichihenge	ヤマトナデシコ七変化	36	説明欠
tsugumomo	つぐもも	36	説明欠
shokugeki-no-sooma	食戟のソーマ	36	説明欠
satanophany	サタノファニ	36	説明欠
sasuke	サスケ	35	説明欠
tiger-mask	タイガー・マスク	35	説明欠
uwasa-no-himeko	うわさの姫子	35	両方欠
hinotori	火の鳥	35	両方欠
dokushinapaatodokudamisou	独身アパートどくだみ荘	35	説明欠
daidaya-toogoo	代打屋トーゴー	35	両方欠
shura-no-toki	修羅の刻	35	説明欠
naniwa-kinyuudou	ナニワ金融道	35	両方欠
shaman-king	シャーマンキング	35	説明欠
rising-impact	ライジングインパクト	35	説明欠
ore-wa-captain	おれはキャプテン	35	両方欠
toripan	とりぱん	35	説明欠
tough-ryuu-o-tsugu-otoko	TOUGH龍を継ぐ男	35	両方欠
tonikaku-kawaii	トニカクカワイイ	35	説明欠
sukeban-deka	スケバン刑事	34	説明欠
fuuunjitachi	風雲児たち	34	両方欠
tenjounoniji	天上の虹	34	説明欠
auction-house	オークション・ハウス	34	両方欠
yuke-nangoku-ice-hokkeebu	行け!!南国アイスホッケー部	34	説明欠
tokyo-daigaku-monogatari	東京大学物語	34	説明欠
shamo	軍鶏	34	説明欠
tantei-gakuen-q	探偵学園Q	34	説明欠
in-shuu-densetsu-taikoubou-denki	殷周伝説 太公望伝奇	34	両方欠
