slug	title	have	max	miss	ratio	missing
ore-o-tatasete-miroyo	俺を、たたせてみろよ	5	6	1	0.83	1
touhou-chirei-kiden	東方智霊奇伝	5	6	1	0.83	5
katakoi-kekkon	片恋結婚	5	6	1	0.83	1
shokuba-to-jitaku-de-gap-no-aru-papa	職場と自宅でギャップのあるパパ	5	6	1	0.83	5
mobile-zekki-gundam-sequel	機動絶記ガンダムSEQUEL	5	6	1	0.83	5
tokubetsu-ja-nai-hi	特別じゃない日	5	6	1	0.83	1
ouhi-sama-wa-rikon-shitai	王妃様は離婚したい	5	6	1	0.83	5
yuugiou-ooshiijii-stories	遊☆戯☆王OCG(オフィシャルカードゲーム)STORIE	5	6	1	0.83	4
resu	レス	5	6	1	0.83	3
zettai-bl-ni-naru-sekai-vs-zettai-bl-ni-naritakunai-otoko	絶対BLになる世界vs絶対BLになりたくない男	5	6	1	0.83	5
pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べる	5	6	1	0.83	1
kaisei-no-ketsumeisha	廻生の血盟者	5	6	1	0.83	1
kamuigaiden	カムイ外伝	14	17	3	0.82	13,14,16
perman	パーマン	9	11	2	0.82	9,10
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	9	11	2	0.82	1,3
fate-kishi	Fate騎士	9	11	2	0.82	1,3
kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばり	9	11	2	0.82	3,4
hannintachi-no-file-kindaichi-shounen-no-file-gaiden	犯人たちの事件簿	9	11	2	0.82	1,2
yuugiou-ofisharu-card-ocg-structures	遊☆戯☆王OCG(オフィシャルカードゲーム)ストラクチャ	9	11	2	0.82	9,10
himekishi-wa-barubaroi-no-yome	姫騎士は蛮族(バルバロイ)の嫁	9	11	2	0.82	8,9
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	17	21	4	0.81	13,14,15,16
b-t-x	ビート・エックス	13	16	3	0.81	13,14,15
kokkyou-no-emilia	国境のエミーリャ	13	16	3	0.81	12,13,14
nurse-station	ナース・ステーション	16	20	4	0.8	1,2,3,4
utahime-obaka-miiko	打姫オバカミーコ	12	15	3	0.8	4,8,11
robot-santou-hei	ロボット三等兵	8	10	2	0.8	6,8
shin-ranchesutaa-senryaku	新ランチェスター戦略	8	10	2	0.8	4,5
tokyo-monogatari	東京物語	8	10	2	0.8	7,8
seiden-rg-veeda	聖伝 RG VEDA	8	10	2	0.8	7,9
hitokui-origin	ヒトクイ-origin-	8	10	2	0.8	1,2
microman	ミクロマン	4	5	1	0.8	4
ossu-miri-chan	オッス!美里ちゃん	4	5	1	0.8	4
tanpopo-san-no-uta	たんぽぽさんの詩	4	5	1	0.8	3
ehon-kouroumu	画本紅楼夢	4	5	1	0.8	2
miyazawa-kenji-mangakan-1996	宮澤賢治・漫画館	4	5	1	0.8	1
hitori-toranpu	夢の果て	4	5	1	0.8	3
bikkuriman-omoshirorando	ビックリマン おもしろランド	4	5	1	0.8	4
red-mask	レッドマスク	4	5	1	0.8	4
botsu-chan-no-jidai-1989	坊ちゃんの時代	4	5	1	0.8	1
v8-kid	V8キッド	4	5	1	0.8	1
watashi-ga-mama-yo	わたしがママよ	4	5	1	0.8	4
kameraman-monogatari	カメラマン物語	4	5	1	0.8	2
heba-hello-chan	へば!Helloちゃん	4	5	1	0.8	4
fire-emblem-watanabe-1992	ファイアーエムブレム	4	5	1	0.8	4
gekiga-hiroike-chikurou	劇画広池千九郎	4	5	1	0.8	1
comic-bii-tarou	コミックビー太郎	4	5	1	0.8	1
honto-ni-atta-gakkou-kaidan	ほんとにあった学校怪談	4	5	1	0.8	4
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	4	5	1	0.8	2
dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	4	5	1	0.8	2
bushigin	武士銀	4	5	1	0.8	1
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	4	5	1	0.8	4
