slug	title	top_prefix	top_n	minority	total
eden-no-tohoku	エデンの東北	8019	12	"{""8124"": 6, ""88475"": 2}"	20
karura-mau	カルラ舞う!	257	18	"{""253"": 8}"	26
gattsu-ranpei	ガッツ乱平	8342	11	"{""08"": 8}"	19
saibaradake	サイバラ茸	06	8	"{""09"": 8}"	16
sign-wa-ui	サインはV!	537	8	"{""12"": 8}"	16
dance-in-the-vampire-bund-age-of-scarlet-order	ダンスインザヴァンパイアバンドエイジオブスカーレットオーダー	86699	9	"{""86472"": 4, ""86794"": 4}"	17
recorder-to-randoseru	リコーダーとランドセル	8019	15	"{""8124"": 8}"	23
rontai-baby	ロンタイbaby	06	23	"{""04"": 8}"	31
world-teacher	ワールド・ティーチャー	86554	9	"{""8240"": 8}"	17
jinsei-wa-kekka-oorai	人生は結果オーライ!	88741	12	"{""86423"": 8}"	20
samurai-giants	侍ジャイアンツ	944154	8	"{""06"": 8}"	16
kizuoibito	傷追い人	09	11	"{""88315"": 8}"	19
boku-wa-tomodachi-ga-sukunai	僕は友達が少ない	04	12	"{""8401"": 8}"	20
yume-de-aetara-2000	夢で逢えたら	08	17	"{""8401"": 8}"	25
youma-no-fuuin	妖魔の封印	88570	14	"{""930787"": 8}"	22
shimaizaka	姉妹坂	09	10	"{""06"": 8}"	18
yose-geininden	寄席芸人伝	09	9	"{""12"": 8}"	17
chiisana-koi-no-monogatari	小さな恋のものがたり	651	34	"{""05"": 8}"	42
mari-to-shingo	摩利と新吾	592	12	"{""04"": 8}"	20
nippon-o-yasumou	日本を休もう	88741	18	"{""86423"": 8}"	26
hoshirenge	星恋華	391	10	"{""87287"": 1, ""7767"": 7}"	18
yuukan-miwa-san	有閑みわさん	8124	9	"{""8019"": 8}"	17
morita-san-wa-mukuchi	森田さんは無口	8019	14	"{""8124"": 8}"	22
bakuretsu-hunter	爆れつハンター	07	13	"{""06"": 8}"	21
tokkou-artemis	特攻!アルテミス	7859	19	"{""8211"": 8}"	27
akai-kiba	紅い牙	8401	11	"{""592"": 8}"	19
hidan-no-aria	緋弾のアリア	8401	8	"{""04"": 8}"	16
nijiiro-no-trotsky	虹色のトロツキー	12	8	"{""575"": 3, ""267"": 5}"	16
kubikiri-asa	首斬り朝	88315	10	"{""86225"": 8}"	18
matarou-ga-kuru-2020	魔太郎がくる!!	253	12	"{""12"": 8}"	20
hero	HERO	8019	11	"{""8124"": 7}"	18
ikusa-no-ko	いくさの子	19	13	"{""86720"": 7}"	20
okashina-tensei	おかしな転生	86699	7	"{""86472"": 3, ""86794"": 4}"	14
sukkuto-kitsune	すっくと狐	8211	14	"{""257"": 7}"	21
yotsuba-to	よつばと!	04	9	"{""8402"": 7}"	16
itihasa	イティハーサ	08	15	"{""15"": 7}"	22
eleven	イレブン	08	43	"{""06"": 7}"	50
crying-freeman	クライングフリーマン	09	9	"{""88315"": 7}"	16
d-flag	ディーふらぐ!	04	13	"{""8401"": 7}"	20
pachisuro-hitoritabi	パチスロひとり旅	86191	7	"{""89367"": 4, ""906936"": 1, ""86535"": 2}"	14
pink-no-curtain	ピンクのカーテン	8124	14	"{""537"": 7}"	21
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	8401	12	"{""88991"": 7}"	19
full-metal-panic-sigma	フルメタル・パニック!Σ	04	19	"{""8291"": 7}"	26
madonna	マドンナ	09	22	"{""12"": 7}"	29
kyoukai-meikyuu-to-ikai-no-majutsushi	境界迷宮と異界の魔術師	8240	8	"{""86554"": 7}"	15
hare-nochi-cinderella	晴れのちシンデレラ	8019	11	"{""8124"": 7}"	18
saihate-no-paladin	最果てのパラディン	8240	8	"{""86554"": 7}"	15
judo-itchokusen	柔道一直線	7770	7	"{""334"": 7}"	14
