slug	title	top_prefix	top_n	minority	total
boukenshitemo-ii-koro	冒険してもいい頃	7962	14	"{""09"": 4}"	18
toki-no-daichi	刻の大地	8354	6	"{""7575"": 4}"	10
juubei-kurenai-henge	十兵衛紅変化	04	8	"{""257"": 4}"	12
doukyonin-wa-hiza-tokidoki-atama-no-ue	同居人はひざ、時々、頭のうえ。	86675	8	"{""593"": 4}"	12
naki-no-ryuu	哭きの竜	09	5	"{""88475"": 4}"	9
mibu-gishiden	壬生義士伝	8342	13	"{""06"": 4}"	17
hentai-ouji-to-warawanai-neko	変態王子と笑わない猫。	8401	4	"{""04"": 4}"	8
kiitarou-shounen-no-youkai-enikki	奇異太郎少年の妖怪絵日記	89637	11	"{""86716"": 4}"	15
jotei-no-shuki	女帝の手記	643	5	"{""12"": 4}"	9
kimi-no-tame-nara-shineru	姫のためなら死ねる	8019	10	"{""8124"": 4}"	14
shounen-nureyasuku-koi-narigatashi	少年濡れやすく恋成りがたし	04	7	"{""575"": 4}"	11
makikomarete-isekai-teni-suru-yatsu-wa-taitei-cheat	巻き込まれて異世界転移する奴は、大抵チート	299	10	"{""8002"": 4}"	14
kaibutsu-kun-1988	怪物くん	8354	19	"{""12"": 4}"	23
houkago-assault-girls	放課後アサルト×ガールズ	593	4	"{""86675"": 4}"	8
dansai-bunri-no-crime-edge	断裁分離のクライムエッジ	8401	7	"{""04"": 4}"	11
7-nwairudo7	新ワイルド7	8211	8	"{""19"": 4}"	12
tabi-no-tochuu	旅の途中	06	7	"{""8401"": 4}"	11
hi-izuru-tokoro-no-tenshi	日出処の天子	592	14	"{""04"": 4}"	18
bouryoku-taishou	暴力大将	253	10	"{""19"": 4}"	14
boushoku-no-beruseruku	暴食のベルセルク	86716	11	"{""89637"": 4}"	15
senki-senki-momotama	殲鬼戦記ももたま	86127	6	"{""8000"": 4}"	10
mizu-no-mori-ki-tan	水の森綺譚	267	5	"{""89594"": 1, ""03"": 3}"	9
kawaita-watashi-o-sono-ai-de-yurashite	渇いた私をその愛で揺らして	434	4	"{""7997"": 4}"	8
hinotori	火の鳥	04	26	"{""06"": 4}"	30
shakugan-no-shana	灼眼のシャナ	04	6	"{""8402"": 4}"	10
katabami-to-ougon	片喰と黄金	08	6	"{""06"": 4}"	10
monokage-ni-ashibyoushi	物陰に足拍子	408	4	"{""04"": 4}"	8
isekai-no-binbou-nouka-ni-tensei-shita-node-renga-o-tsukutte-shiro-o-tateru-koto-ni-shimashita	異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました	86699	4	"{""86794"": 3, ""86854"": 1}"	8
isekainobinbounoukanitenseishitanoderengaotsukutteshirootaterukotonishima	異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました	86699	4	"{""86794"": 3, ""86854"": 1}"	8
isekai-meikyuu-no-saishinbu-o-mezasou	異世界迷宮の最深部を目指そう	86554	5	"{""8240"": 4}"	9
shingetsu-tan-tsukihime	真月譚月姫	8402	6	"{""04"": 4}"	10
sanada-juuyuushi	真田十勇士	420	4	"{""08"": 4}"	8
yaguruma-kennosuke	矢車剣之助	87270	6	"{""7759"": 3, ""7952"": 1}"	10
shukufukuou	祝福王	06	8	"{""8401"": 4}"	12
obaa-chan-shoujo-hinata-chan	老女的 (おばあちゃん) 少女ひなたちゃん	19	7	"{""86720"": 4}"	11
seibonjinden	聖凡人伝	09	6	"{""257"": 4}"	10
maihime-shichihenge	舞姫七変化	253	11	"{""396"": 4}"	15
eiyuu-majutsushi-wa-nonbiri-kurashitai-attomaaku-comic	英雄魔術師はのんびり暮らしたい@COMIC	86699	7	"{""86794"": 4}"	11
ichigomashimaro	苺ましまろ	8402	5	"{""04"": 4}"	9
akai-hato	赤い鳩	09	6	"{""88315"": 4}"	10
tensei-kenja-no-isekai-life	転生賢者の異世界ライフ	7575	27	"{""301"": 4}"	31
buchou-no-yoru-teku-ga-sugosu-gite-koshi-ga-uki-masu-uzuki-masu	部長の夜テクが凄すぎて腰が浮きます疼きます	86778	7	"{""910429"": 4}"	11
tetsuwan-atom	鉄腕アトム	06	31	"{""253"": 2, ""334"": 2}"	35
yami-no-alexandra	闇のアレキサンドラ	06	5	"{""05"": 4}"	9
seishun-no-shippo	青春の尻尾	88315	5	"{""09"": 4}"	9
fuuunjitachi	風雲児たち	267	30	"{""8458"": 4}"	34
kuronoshishi	黒の獅士	257	4	"{""12"": 4}"	8
0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	86778	6	"{""910429"": 3}"	9
aria	ARIA	86127	9	"{""8000"": 3}"	12
b-t-x-1999	B'T X-ビート・エックス-	8342	8	"{""04"": 3}"	11
doraemon-2013	DORAEMON	09	28	"{""12"": 3}"	31
flat	Flat	86127	5	"{""8000"": 3}"	8
jinki-extend	JINKI:EXTEND	86127	6	"{""901926"": 3}"	9
ms-saga	MS SAGA	07	7	"{""89189"": 3}"	10
ooesu-no-mahoutsukai	OSの魔法使い	909767	3	"{""86697"": 3}"	6
p-b-b	P.B.B.	86263	3	"{""7997"": 3}"	6
punch	Punch↑	86263	4	"{""7997"": 3}"	7
saint	SAINT	04	5	"{""09"": 3}"	8
shadow-skill	Shadow skill	06	12	"{""04"": 3}"	15
sweet-sangokushi	Sweet三国志	06	5	"{""8401"": 3}"	8
s-x	S○X	05	4	"{""257"": 3}"	7
s-kare-x-kindan	S彼×禁断	86495	5	"{""88653"": 3}"	8
akkanbeeikkyuu	あっかんべェ一休	04	4	"{""06"": 3}"	7
offline-game	おふらいんげーむ	575	5	"{""87306"": 3}"	8
omae-o-wotaku-ni-shiteyaru-kara-ore-o-riajuu-ni-shitekure	おまえをオタクにしてやるから、俺をリア充にしてくれ!	04	4	"{""8401"": 3}"	7
oruchuban-ebichu	おるちゅばんエビちゅ	575	5	"{""391"": 3}"	8
ore-wa-teppei	おれは鉄兵	06	30	"{""8342"": 3}"	33
omaera-zenin-mendokusai	お前ら全員めんどくさい!	593	7	"{""86675"": 3}"	10
kuruneko	くるねこ	04	17	"{""7577"": 3}"	20
konoyo-ibun	この世異聞	86263	4	"{""7997"": 3}"	7
gomenasobase	ごめんあそばせ	7962	3	"{""7897"": 2, ""537"": 1}"	6
sekkaku-cheat-o-moratte-isekai-ni-teni-shitandakara-suki-na-youni-ikite-mitai	せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい	86716	8	"{""89637"": 3}"	11
sensei-ni-naremasen	せんせいになれません	8124	8	"{""8019"": 3}"	11
takaga-shishaku-chakunan-ni-kouki-na-hitotachi-ga-guigui-kite-comic	たかが子爵嫡男に高貴な人たちがグイグイきて困る@COMIC	86699	3	"{""86794"": 3}"	6
tsuraize-boku-chan	つらいぜ!ボクちゃん	09	3	"{""575"": 3}"	6
tekipaki-waakin-rabu	てきぱきワーキン・ラブ	7577	3	"{""89366"": 1, ""7572"": 2}"	6
tottemo-hijikata-kun	とってもひじかた君	09	6	"{""257"": 3}"	9
toraneko-folklore	とらねこフォークロア	86127	3	"{""8000"": 3}"	6
tondemo-skill-de-isekai-hourou-meshi-sui-no-daibouken	とんでもスキルで異世界放浪メシ スイの大冒険	86554	5	"{""8240"": 3}"	8
nanako-sos	ななこSOS	8387	5	"{""15"": 3}"	8
hirameki-hatsume-chan	ひらめきはつめちゃん	86127	3	"{""8000"": 3}"	6
piinatsu-ga-ippai	ぴー夏がいっぱい	04	6	"{""257"": 3}"	9
furusato	ふるさと	575	10	"{""12"": 3}"	13
honto-yajuu	ほんと野獣	7964	16	"{""87724"": 3}"	19
boku-dake-ga-shitteiru	ぼくだけが知っている	08	5	"{""09"": 3}"	8
boku-wa-konomama-kaeranai	ぼくはこのまま帰らない	391	5	"{""7767"": 3}"	8
bokunchi	ぼくんち	09	3	"{""04"": 3}"	6
machiko-no-senya-ichiya	まちこの千夜一夜	06	4	"{""575"": 3}"	7
maboroshidani-no-nennekohime	まぼろし谷のねんねこ姫	06	4	"{""15"": 3}"	7
manga-gokudou	まんが極道	04	4	"{""7577"": 3}"	7
minna-atsumare-falcom-gakuen	みんな集まれ!ファルコム学園	89610	3	"{""8021"": 3}"	6
musunde-hiraite	むすんでひらいて	86127	5	"{""8000"": 3}"	8
rinko-shineitai	りんこ親衛隊	08	4	"{""06"": 3}"	7
iris-zero	アイリス・ゼロ	8401	5	"{""04"": 3}"	8
atom-the-beginning	アトムザ・ビギニング	86468	21	"{""86805"": 3}"	24
aton-no-musume	アトンの娘	09	3	"{""12"": 3}"	6
ansangu-cinderella	アンサングシンデレラ	86720	12	"{""19"": 3}"	15
inazuman	イナズマン	88991	4	"{""8401"": 3}"	7
ibu-no-musukotachi	イブの息子たち	253	5	"{""592"": 3}"	8
eleven-soul	イレブンソウル	86127	12	"{""8000"": 3}"	15
ys	イース	04	4	"{""07"": 3}"	7
wizardry	ウィザードリィ	88063	3	"{""7966"": 3}"	6
the-walking-dead	ウォーキング・デッド	86410	7	"{""86491"": 3}"	10
eko-eko-azaraku	エコエコアザラク	253	9	"{""04"": 3}"	12
gacha-o-mawashite-nakama-o-fuyasu-saikyou-no-bishoujo-gundan-o-tsukuriagero	ガチャを回して仲間を増やす最強の美少女軍団を作り上げろ	86716	9	"{""89637"": 3}"	12
kikkai-kun	キッカイくん	8124	4	"{""257"": 3}"	7
kick-off	キックオフ	08	9	"{""8342"": 3}"	12
kurukuru-kurin	クルクルくりん	253	6	"{""15"": 3}"	9
crescent-noise	クレセント・ノイズ	87025	3	"{""7575"": 3}"	6
keirin-yarou	ケイリン野郎	09	52	"{""7780"": 3}"	55
kemeko-dx	ケメコデラックス!	04	6	"{""8402"": 3}"	9
kooringu	コーリング	267	3	"{""592"": 3}"	6
submarine-nanamarunana	サブマリン707	89799	6	"{""253"": 2, ""7780"": 1}"	9
salaryman-ga-isekai-ni-ittara-shitennou-ni-natta-hanashi	サラリーマンが異世界に行ったら四天王になった話	8240	9	"{""86554"": 3}"	12
the-ultraman	ザ・ウルトラマン	09	4	"{""575"": 3}"	7
the-moon	ザ・ムーン	09	4	"{""8354"": 3}"	7
shaman-king	シャーマンキング	08	32	"{""06"": 3}"	35
jaiantotaifuu	ジャイアント台風	06	6	"{""257"": 3}"	9
jungle-wa-itsumo-hare-nochi-guu	ジャングルはいつもハレのちグゥ	7575	7	"{""87025"": 3}"	10
jangurutaitei	ジャングル大帝	06	5	"{""8354"": 1, ""05"": 2}"	8
juliet-no-tamago	ジュリエットの卵	08	5	"{""09"": 3}"	8
georgie	ジョージィ!	09	5	"{""12"": 3}"	8
the-skull-man	スカルマン	88991	5	"{""06"": 1, ""7780"": 1, ""8401"": 1}"	8
stop-hibari-kun	ストップ!!ひばりくん!	7780	3	"{""08"": 1, ""575"": 2}"	6
strawberry-decadent	ストロベリー・デカダン	592	3	"{""257"": 3}"	6
zero-no-hakutaka	ゼロの白鷹	420	3	"{""08"": 3}"	6
sonic-the-hedgehog	ソニック・ザ・ヘッジホッグ	910416	5	"{""909434"": 2, ""911348"": 1}"	8
soldier-boy	ソルジャーボーイ	257	8	"{""09"": 3}"	11
doraemon	ドラえもん	09	27	"{""12"": 3}"	30
dragon-quest-tenkuu-monogatari	ドラゴンクエスト 天空物語	7575	8	"{""87025"": 3}"	11
dream	ドリーム	04	4	"{""592"": 3}"	7
nijinsky-guuwa	ニジンスキー寓話	253	8	"{""08"": 3}"	11
niwatori-fighter	ニワトリ・ファイター	86468	8	"{""86805"": 3}"	11
haru-to-ao-no-obentoubako	ハルとアオのお弁当箱	19	3	"{""86720"": 3}"	6
baierun-no-tenshi	バイエルンの天使	403	4	"{""06"": 3}"	7
bad-end-mokuzen-no-heroine-ni-tensei-shita-watashi-konsei-dewa-love-suru-tsumori-ga-cheat-na-ani-ga	バッドエンド目前のヒロインに転生した私、今世では恋愛するつもりがチートな兄が離してくれません!?@COMIC	86794	5	"{""86699"": 3}"	8
patman-x	パットマンX	87025	4	"{""916085"": 3}"	7
paros-no-ken	パロスの剣	04	3	"{""12"": 3}"	6
heroine-seijo-iie-all-works-maid-desu-hokori-comic	ヒロイン?聖女?いいえ、オールワークスメイドです〈誇〉!@COMIC	86699	3	"{""86794"": 3}"	6
fire-emblem-seisen-no-keifu-fujimori-1997	ファイアーエムブレム 聖戦の系譜	87025	3	"{""7575"": 3}"	6
feathertouch-operation	フェザータッチ・オペレーション	403	3	"{""7962"": 2, ""257"": 1}"	6
futtoboorutaka	フットボール鷹	06	6	"{""583"": 3}"	9
flower-of-life	フラワー・オブ・ライフ	403	4	"{""592"": 3}"	7
bremen-5	ブレーメン5	09	6	"{""8401"": 3}"	9
marshmallow-taimusu	マシュマロ通信	86176	6	"{""902314"": 3}"	9
miracle-niki	ミラクルニキ	253	3	"{""06"": 3}"	6
mamie-angel	メイミー❤エンジェル	06	4	"{""12"": 3}"	7
mesu-yo-kagayake	メスよ輝け!!	08	20	"{""8342"": 3}"	23
mesh	メッシュ	09	7	"{""592"": 3}"	10
mobu-joshikousei-no-ore-demo-boukensha-ni-nareba-riajuu-ni-naremasu-ka	モブ高生の俺でも冒険者になればリア充になれますか?	8242	4	"{""89199"": 3}"	7
yamato-takeru	ヤマトタケル	04	6	"{""12"": 3}"	9
unico	ユニコ	7962	3	"{""06"": 2, ""09"": 1}"	6
rashanu	ラシャーヌ!	592	8	"{""7780"": 3}"	11
love-master-x	ラブ・マスターX	7966	5	"{""06"": 3}"	8
little-lotus	リトル・ロータス	909767	3	"{""86697"": 3}"	6
ribonnokishi	リボンの騎士	06	5	"{""7700"": 3}"	8
remingu-no-yukue	レミングの行方	04	5	"{""257"": 3}"	8
rosengarten-saga	ローゼンガーテン・サーガ	86468	10	"{""86805"": 3}"	13
venus-senki	ヴイナス戦記	12	4	"{""05"": 3}"	7
bukiyouna-silent	不器用なサイレント	86263	3	"{""7997"": 3}"	6
bukiyou-na-takumi-chan	不器用な匠ちゃん	8401	3	"{""04"": 3}"	6
otome-game-no-heroine-de-saikyou-survival-comic	乙女ゲームのヒロインで最強サバイバル@COMIC	86794	5	"{""86699"": 3}"	8
nido-to-ie-niwa-kaerimasen	二度と家には帰りません!	8240	6	"{""86554"": 3}"	9
kamen-rider-kuuga	仮面ライダークウガ	86468	25	"{""86805"": 3}"	28
hakushaku-to-yobareta-otoko	伯爵と呼ばれた男	592	5	"{""575"": 3}"	8
moto-saikyou-no-kenshi-wa-isekai-mahou-ni-akogareru	元最強の剣士は、異世界魔法に憧れる	86716	8	"{""89637"": 3}"	11
kyouran-reijou-nia-risuton	凶乱令嬢ニア・リストン	7575	5	"{""7986"": 1, ""301"": 2}"	8
dekisokonai-to-yobareta-motoeiyuu-wa-jikka-kara-tsuihousareta-sareta-node-sukikatte-ni-ikiru-koto	出来損ないと呼ばれた元英雄は、実家から追放されたので好き勝手に生きることにした@COMIC	86699	6	"{""86472"": 2, ""86794"": 1}"	9
mukasete-ryuugasaki-san	剥かせて!竜ケ崎さん	86554	3	"{""8240"": 3}"	6
houchounin-ajihei	包丁人味平	08	24	"{""09"": 1, ""8458"": 2}"	27
hokuto-no-ken	北斗の拳	08	42	"{""10"": 3}"	45
kuchibeni-konbatto	口紅コンバット	09	4	"{""253"": 3}"	7
sakendeyaruze	叫んでやるぜ!	04	5	"{""575"": 3}"	8
douseiai	同棲愛	86263	8	"{""8352"": 3}"	11
noroi-no-shoutaijou	呪いの招待状	7962	3	"{""8211"": 3}"	6
togainu-no-chi	咎狗の血	7577	7	"{""04"": 3}"	10
shihyakushiki	四百四鬼	7575	7	"{""301"": 3}"	10
chijou-100-kai	地上100階	909767	3	"{""908588"": 2, ""86697"": 1}"	6
sakamichi-nobore	坂道のぼれ!	09	3	"{""575"": 3}"	6
taraobannai	多羅尾伴内	88315	4	"{""06"": 3}"	7
hitori-toranpu	夢の果て	403	3	"{""15"": 3}"	6
ten-to-chi-to	天と地と	04	5	"{""06"": 3}"	8
shikkakumon-no-saikyou-kenja	失格紋の最強賢者	7575	31	"{""301"": 3}"	34
jotei-katharina	女帝エカテリーナ	12	6	"{""06"": 3}"	9
megami-ibunroku-persona	女神異聞録ペルソナ	87025	5	"{""7575"": 3}"	8
youseiou	妖精王	04	4	"{""592"": 3}"	7
konyaku-haki-shitai-node-akuyaku-reijou-enjimasu	婚約破棄したいので悪役令嬢演じます	86778	6	"{""910429"": 3}"	9
kazoku-game	家族ゲーム	04	11	"{""8402"": 3}"	14
dokyouboshi	度胸星	06	4	"{""09"": 3}"	7
koubou-daishi-kuukai	弘法大師空海	08	6	"{""04"": 3}"	9
goiken-muyoutsu	御意見無用っ!!	87025	5	"{""7575"": 3}"	8
hissatsu-yamisenke-shimatsuchou	必殺!!闇千家死末帖	08	5	"{""86225"": 3}"	8
ninjahattori-kun	忍者ハットリくん	09	12	"{""12"": 3}"	15
koisuru-uchuu	恋する宇宙（コスモ）	88741	6	"{""86423"": 3}"	9
renjou-sparkle	恋情sparkle	88741	4	"{""86423"": 3}"	7
love-control	恋愛操作	7997	6	"{""86263"": 3}"	9
renaiteki-shunkan	恋愛的瞬間	08	5	"{""09"": 3}"	8
akuma-kun	悪魔くん	594	3	"{""257"": 2, ""7780"": 1}"	6
sangekikan	惨劇館	257	8	"{""06"": 3}"	11
ai-ga-isogashii	愛がいそがしい	09	4	"{""575"": 3}"	7
aio-ageyou	愛をあげよう	7962	6	"{""7897"": 3}"	9
aijintachi	愛人たち	06	5	"{""575"": 3}"	8
sazukarikon	授か離婚	86778	6	"{""910429"": 3}"	9
danzai-sareta-akuyaku-reijou-wa-gyakkou-shite-kanpeki-na-akujo-o-mezasu	断罪された悪役令嬢は、逆行して完璧な悪女を目指す	86699	4	"{""86794"": 3}"	7
shin-obake-no-qtarou	新オバケのQ太郎	09	4	"{""12"": 3}"	7
seikai-no-monshou	星界の紋章	593	5	"{""86675"": 3}"	8
ansatsusha-de-aru-ore-no-suteetasu-ga-yuusha-yorimo-akiraka-ni-tsuyoi-nodaga	暗殺者である俺のステータスが勇者よりも明らかに強いのだが	86554	3	"{""8240"": 3}"	6
boushokuki-no-ken	暴食妃の剣	8240	6	"{""86554"": 3}"	9
donten-ni-warau	曇天に笑う	86127	3	"{""8000"": 3}"	6
saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-kuran-o-shitagaeru	最凶の支援職〈話術士〉である俺は世界最強クランを従える	8240	9	"{""86554"": 3}"	12
saijaku-tamer-wa-gomihiroi-no-tabi-o-hajimemashita	最弱テイマーはゴミ拾いの旅を始めました。	86699	5	"{""86794"": 3}"	8
gekkou-kamen	月光仮面	7759	3	"{""7952"": 3}"	6
asatarou-den	朝太郎伝	8342	7	"{""8458"": 3}"	10
tokyo-onikou-heidan-toguzu	東京鬼攻兵団Togs	87025	3	"{""7575"": 3}"	6
juukyouden	柔侠伝	12	3	"{""7730"": 3}"	6
kounai-shasei	校内写生	8458	3	"{""88332"": 3}"	6
nagi	椰	8033	7	"{""06"": 3}"	10
mobile-zekki-gundam-sequel	機動絶記ガンダムSEQUEL	86468	3	"{""86805"": 3}"	6
shinigami-no-hoshi	死神の惑星	8342	3	"{""257"": 3}"	6
tono-to-isshokenmei	殿といっしょ	8401	8	"{""04"": 3}"	11
kimama-ni-idol	気ままにアイドル	88275	4	"{""8342"": 1, ""7962"": 2}"	7
mizu-zokusei-no-mahoutsukai-comic	水属性の魔法使い@COMIC	86794	5	"{""86699"": 3}"	8
suimeikyuu	水迷宮	09	7	"{""06"": 3}"	10
koori-no-koushaku-sama-ni-amayakasaretai	氷の侯爵様に甘やかされたいっ!～シリアス展開しかない幼女に転生してしまった私の奮闘記～@COMIC	86699	3	"{""86794"": 3}"	6
kappa-no-sanpei	河童の三平	257	4	"{""480"": 1, ""06"": 2}"	7
hai-to-diamond	灰とダイヤモンド	88271	4	"{""257"": 3}"	7
mujintou-de-elf-to-kyoudou-seikatsu-attomaaku-comic	無人島でエルフと共同生活@COMIC	86699	5	"{""86472"": 2, ""86794"": 1}"	8
burai	無頼	04	5	"{""253"": 3}"	8
moeru-v	燃えるV	09	5	"{""8401"": 3}"	8
kariudo-no-seiza	狩人の星座	06	8	"{""575"": 3}"	11
neko-to-ryuu	猫と竜	299	9	"{""8002"": 3}"	12
rikei-ga-koi-ni-ochita-node-shoumei-shite-mita	理系が恋に落ちたので証明してみた。	86675	17	"{""593"": 3}"	20
rikei-no-hitobito	理系の人々	8061	3	"{""04"": 3}"	6
isekai-de-slow-life-o-ganbou	異世界でスローライフを〈願望〉	8240	7	"{""86554"": 3}"	10
isekai-izakaya-gen	異世界居酒屋「げん」	299	11	"{""8002"": 3}"	14
shirobuta-kizoku-desu-zense-no-kioku-ga-haeta-node-hiyoko-na-otouto-sodatemasu-attomaaku-comic	白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます@COMIC	86699	4	"{""86794"": 3}"	7
shin-megami-tensei-ifu	真・女神転生if…	7577	6	"{""7561"": 1, ""7572"": 2}"	9
shin-megami-tensei-kaan	真・女神転生〔カーン〕	7577	6	"{""7572"": 3}"	9
kyuukyoku-no-komyushou-wotaku-joshi-no-watashi-ga-soshage-no-sekai-ni-kita-kedo-oshi-ga-toutosugite	究極のコミュ障オタク女子の私がソシャゲの世界にきたけど、推しが尊すぎてつらい	7767	3	"{""86176"": 1, ""86715"": 2}"	6
sora-to-umi-no-aida	空と海のあいだ	08	4	"{""575"": 3}"	7
kuusou-kagaku-taisen	空想科学大戦	8401	5	"{""88991"": 2, ""7897"": 1}"	8
totsugeki-papparatai	突撃!パッパラ隊	87025	15	"{""7575"": 3}"	18
kumichou-musume-to-sewagakari	組長娘と世話係	86716	12	"{""89637"": 3}"	15
zettai-harem	絶対★はーれむ	575	4	"{""87306"": 3}"	7
seinaru-hanayome-no-hanran	聖なる花嫁の反乱	7973	7	"{""593"": 3}"	10
seiden-rg-veeda	聖伝 RG VEDA	403	5	"{""04"": 3}"	8
mai	舞	09	6	"{""8401"": 3}"	9
yuuwaku-private-doll	誘惑プライベート・ドール	86495	5	"{""88653"": 3}"	8
kenja-no-nagaki-fuzai	賢者の長き不在	86127	5	"{""901926"": 3}"	8
tensei-shitara-joban-de-shinu-chuu-bosu-datta	転生したら序盤で死ぬ中ボスだった	7575	8	"{""301"": 3}"	11
tensei-shite-inaka-de-slow-life-o-okuritai	転生して田舎でスローライフをおくりたい	299	12	"{""8002"": 3}"	15
tsuihousha-shokudou-e-youkoso	追放者食堂へようこそ!	8240	7	"{""86554"": 3}"	10
soukon-no-shoujo-to-sourei-no-tabi	送魂の少女と葬礼の旅	86720	4	"{""19"": 3}"	7
senkou-ride	閃光ライド	909767	4	"{""86697"": 3}"	7
yamiyo-no-hon	闇夜の本	257	3	"{""15"": 3}"	6
raitei-to-yobareta-saikyou-boukensha-majutsu-gakuin-ni-nyuugaku-shite-issai-no-enryo-naku-musou-suru	雷帝と呼ばれた最強冒険者、魔術学院に入学して一切の遠慮なく無双する	89199	4	"{""8242"": 3}"	7
kao-ni-doro-o-nuru	顔に泥を塗る	86720	5	"{""8019"": 3}"	8
kaze-no-tsubasa	風の翼	575	7	"{""16"": 3}"	10
kaze-o-tsumu-pushike	風を摘むプシケ	09	4	"{""12"": 3}"	7
takasugi-san-chi-no-obentou	高杉さん家のおべんとう	8401	7	"{""04"": 3}"	10
kitarou-kunitori-monogatari	鬼太郎国盗り物語	06	5	"{""04"": 3}"	8
mouryou-shoujo	魍魎少女	19	4	"{""86720"": 3}"	7
manyuu-hikenchou	魔乳秘剣帖	04	4	"{""7577"": 3}"	7
maou-dante	魔王ダンテ	06	5	"{""12"": 3}"	8
makuu-hakken-den	魔空八犬伝	19	4	"{""06"": 3}"	7
tori-kurasuta-ni-sasagu-tori-4-koma	鳥クラスタに捧ぐ鳥4コマ	903974	3	"{""908112"": 3}"	6
plus-chikku-nee-san	+ チック姉さん	7575	27	"{""301"": 2}"	29
0-love	0-LOVE	09	4	"{""06"": 2}"	6
0man	0マン	323	7	"{""09"": 2}"	9
kuooto-ando-half	1/4×1/2	02	6	"{""257"": 2}"	8
12nin-no-yasashii-koroshiya	12人の優しい殺し屋	253	2	"{""86127"": 2}"	4
14-sai-no-season	14歳の季節	253	2	"{""257"": 2}"	4
1-2-3-to-4-5-roku	1・2・3と4・5・ロク	06	3	"{""575"": 2}"	5
2001yamonogatari	2001夜物語	575	4	"{""901819"": 2}"	6
35-sai-no-sentaku	35歳の選択	8242	6	"{""89199"": 2}"	8
4-kai-no-mizu-sakurako	4階のミズ桜子	88135	2	"{""575"": 2}"	4
5-nin-no-ou	5人の王	86657	8	"{""86134"": 2}"	10
81-bunch-no-inu	81番地の犬	7962	3	"{""87317"": 2}"	5
eeaaru-maruchipuru-savaivu	AR/MS(マルチプル・サヴァイヴ)!!	8236	4	"{""8148"": 2}"	6
boys	Boys	06	3	"{""575"": 2}"	5
canon-1995	CANON	253	4	"{""87287"": 2}"	6
cho-hakkai	Cho八戒	7962	3	"{""8458"": 2}"	5
double-call	Double call	7567	3	"{""87724"": 2}"	5
eccentrics	ECCENTRICS	08	4	"{""09"": 2}"	6
final-fantasy-lost-stranger-2021	Final fantasy lost stranger	7575	8	"{""301"": 2}"	10
fuck	F・U・C・K	8458	3	"{""88332"": 2}"	5
go-west-2004	Go!west	8354	3	"{""89601"": 2}"	5
going-to-hell	Going to hell	87278	3	"{""900780"": 2}"	5
hold-me-tight	Hold me tight	257	4	"{""02"": 2}"	6
level-c	Level-C	88271	4	"{""8352"": 2}"	6
murci-lago	Murciélago	7575	25	"{""301"": 2}"	27
oh-my-vamp	OH MY VAMP	86423	3	"{""88741"": 2}"	5
pon-to-kimaira	PON!とキマイラ	7575	5	"{""87025"": 2}"	7
princess-lucia	Princess Lucia	86127	3	"{""8000"": 2}"	5
ridex	RIDEX	86279	21	"{""10"": 2}"	23
red-dragon	Red dragon	938544	2	"{""89465"": 2}"	4
romeo	Romeo	910582	2	"{""89644"": 1, ""909460"": 1}"	4
shang-hai-1945	Shang-hai 1945	09	2	"{""06"": 2}"	4
shoichi	Shoichi	88475	4	"{""8124"": 2}"	6
sleeping-beauty	Sleeping beauty	7780	2	"{""87278"": 1, ""7755"": 1}"	4
soil	Soil	7577	9	"{""04"": 2}"	11
esuranku-boukensha-de-aru-ore-no-musumetachi-wa-juudo-no-fazakon-deshita	Sランク冒険者である俺の娘たちは重度のファザコンでした	8240	9	"{""86554"": 2}"	11
the-rapeman	THE レイプマン	8458	4	"{""88332"": 2}"	6
to-heart-2-2005	To heart 2	7575	3	"{""8402"": 2}"	5
to-heart-2	To heart 2	8402	3	"{""7575"": 2}"	5
version	VERSION	267	3	"{""06"": 2}"	5
wonder-bit	WONDER BIT	8401	3	"{""7561"": 2}"	5
x-men-1994-5	X-MEN	88475	9	"{""7968"": 2}"	11
x-men-1994	X-MEN	88475	8	"{""7968"": 2}"	10
z	Z	253	3	"{""592"": 2}"	5
qt-t	qtμt	909767	3	"{""7575"": 2}"	5
aikodesho	あいこでしょ!	344	4	"{""8402"": 2}"	6
aoi-chan-panic	あおいちゃんパニック!	06	3	"{""8401"": 2}"	5
ashita-tenki-ni-naare	あした天気になあれ	06	58	"{""8342"": 2}"	60
ashitakagayaku	あした輝く	12	4	"{""06"": 2}"	6
asobi-ni-iku-yo	あそびにいくヨ!	8401	8	"{""04"": 2}"	10
anata-no-oshiro-no-kobito-san	あなたのお城の小人さん	7575	2	"{""301"": 2}"	4
arifureta-shokugyou-de-sekai-saikyou-zero	ありふれた職業で世界最強 零	86554	6	"{""8240"": 2}"	8
aa-warera-ga-myao-shogun	あゝ我らがミャオ将軍	19	2	"{""86720"": 2}"	4
ii-denshi	いい電子	7577	9	"{""04"": 2}"	11
itadakitsu-shunpei	いただきっ春平!!	07	8	"{""8402"": 2}"	10
ichigo-jidai	いちご時代	08	3	"{""257"": 2}"	5
