slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
3-three	3 THREE	bunkobon	[1, 2, 3, 4]	[5, 6, 7, 8]	1	SOURCE_GAP	{}
4-zun-yon	シーズン4	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い熱	standard	[1]	[2]	1	SOURCE_GAP	{}
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	standard	[1, 2]	[3, 4, 5]	1	SOURCE_GAP	{}
agapes-1999	Agapes	standard	[1, 2, 3, 4, 5]	[6, 7, 8, 9]	1	SOURCE_GAP	{}
ahoudori-no-tomarigi	あほう鳥の止り木	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
ai-1995	愛	standard	[1]	[2, 4]	1	SOURCE_GAP	{}
ai-no-fujitsubo	愛のふじつぼ	standard	[1]	[2]	0	SOURCE_GAP	{}
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	standard	[1, 2]	[3, 4, 5, 6, 7]	2	SOURCE_GAP	{}
aku-no-hana-2011	悪の華	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
akumade-majo-no-yuuwaku-desu-kara	あくまで魔女の誘惑ですから	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	standard	[1]	[2]	1	SOURCE_GAP	{}
akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
anata-ni-mo-angel	アナタにもAngel	standard	[1]	[2, 4]	1	SOURCE_GAP	{}
ano-hi-no-aozora	あの日の青空	standard	[1, 2, 3, 4, 5, 6]	[7]	1	SOURCE_GAP	{}
ariel-comic	ARIEL COMIC	standard	[1]	[2, 3, 4, 5, 8]	1	SOURCE_GAP	{}
ashita-e-hashire	明日へ奔れ	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
atai-to-nechikoyan	あたいとネチコヤン	standard	[1]	[2]	1	SOURCE_GAP	{}
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されています。	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
atori-show	アトリ抄	standard	[1, 2, 3]	[4, 6]	1	SOURCE_GAP	{}
b-boy-luv	B-boy luv	standard	[1]	[2]	1	SOURCE_GAP	{}
b-boy-petit	B-boyぷち	standard	[1]	[2]	1	SOURCE_GAP	{}
baito-kun	バイトくん	standard	[1]	[2, 3]	0	SOURCE_GAP	{}
bake-bake-bake	ベイク・ベイク・ベイク	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
banchou-kami-eshi-koitsu-desu	番長!神絵師コイツです!	standard	[1]	[2]	1	SOURCE_GAP	{}
baroque-2017	バロック	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
barubaro	バルバロ!	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
batchiri-scratch	ばっちりスクラッチ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
batsutsu	バツッ!!	standard	[1]	[2]	1	SOURCE_GAP	{}
