slug	title	type	number	kind	current	proposed	dom_pub	pubclass
g-defend	G・defend	standard	28	PUB_SWAP	9784887416963	9784864233163	978486423	multi
g-defend	G・defend	standard	29	PUB_SWAP	9784887417151	9784864233170	978486423	multi
g-defend	G・defend	standard	30	PUB_SWAP	9784887417373	9784864233187	978486423	multi
g-defend	G・defend	standard	31	PUB_SWAP	9784887417571	9784864233194	978486423	multi
g-defend	G・defend	standard	32	PUB_SWAP	9784887418585	9784864233200	978486423	multi
g-defend	G・defend	standard	33	PUB_SWAP	9784887418615	9784864233217	978486423	multi
g-defend	G・defend	standard	34	PUB_SWAP	9784887418783	9784864233224	978486423	multi
g-defend	G・defend	standard	35	PUB_SWAP	9784887419087	9784864233231	978486423	multi
g-defend	G・defend	standard	36	PUB_SWAP	9784887419612	9784864233248	978486423	multi
g-defend	G・defend	standard	9	PUB_SWAP	9784887410848	9784864232760	978486423	multi
g-defend	G・defend	standard	10	PUB_SWAP	9784887414297	9784864232777	978486423	multi
g-defend	G・defend	standard	11	PUB_SWAP	9784887414426	9784864232784	978486423	multi
g-defend	G・defend	standard	12	PUB_SWAP	9784887414624	9784864232791	978486423	multi
g-defend	G・defend	standard	13	PUB_SWAP	9784887414815	9784864232807	978486423	multi
g-defend	G・defend	standard	14	PUB_SWAP	9784887414990	9784864232814	978486423	multi
g-defend	G・defend	standard	15	PUB_SWAP	9784887415133	9784864232821	978486423	multi
g-defend	G・defend	standard	16	PUB_SWAP	9784887415270	9784864232838	978486423	multi
g-defend	G・defend	standard	17	PUB_SWAP	9784887415362	9784864232937	978486423	multi
g-defend	G・defend	standard	18	PUB_SWAP	9784887415522	9784864232944	978486423	multi
g-defend	G・defend	standard	19	PUB_SWAP	9784887415652	9784864232951	978486423	multi
g-defend	G・defend	standard	20	PUB_SWAP	9784887415751	9784864232968	978486423	multi
gaira	凱羅	standard	2	PUB_SWAP	9784575931013	9784756106827	97847561	multi
game	Game	standard	1	PUB_SWAP	9784403612923	9784253095013	9784253	multi
gandharva	ガンダルヴァ	standard	1	PUB_SWAP	9784063520064	9784309728438	9784309	multi
garouden	餓狼伝	standard	1	PUB_SWAP	9784257901129	9784253216494	9784253	multi
garouden	餓狼伝	standard	2	PUB_SWAP	9784796297103	9784253216500	9784253	multi
garouden	餓狼伝	standard	3	PUB_SWAP	9784796297264	9784253216517	9784253	multi
garouden	餓狼伝	standard	4	PUB_SWAP	9784796297370	9784253216524	9784253	multi
garouden	餓狼伝	standard	5	PUB_SWAP	9784796297530	9784253216531	9784253	multi
garouden	餓狼伝	standard	6	PUB_SWAP	9784063460445	9784253216548	9784253	multi
garouden	餓狼伝	standard	7	PUB_SWAP	9784063460605	9784253216555	9784253	multi
garouden	餓狼伝	standard	8	PUB_SWAP	9784063460766	9784253216562	9784253	multi
garouden	餓狼伝	standard	9	PUB_SWAP	9784063461022	9784253216579	9784253	multi
garouden	餓狼伝	standard	10	PUB_SWAP	9784063461176	9784253216586	9784253	multi
garouden	餓狼伝	standard	11	PUB_SWAP	9784063461404	9784253216593	9784253	multi
garouden	餓狼伝	standard	12	PUB_SWAP	9784063461640	9784253216609	9784253	multi
garouden	餓狼伝	standard	13	PUB_SWAP	9784063461893	9784253216616	9784253	multi
garouden	餓狼伝	standard	14	PUB_SWAP	9784063462180	9784253216623	9784253	multi
garouden	餓狼伝	standard	15	PUB_SWAP	9784063462357	9784253216630	9784253	multi
garouden	餓狼伝	standard	16	PUB_SWAP	9784063521115	9784253216647	9784253	multi
garouden	餓狼伝	standard	17	PUB_SWAP	9784063521290	9784253216654	9784253	multi
garouden	餓狼伝	standard	18	PUB_SWAP	9784063521481	9784253216661	9784253	multi
garouden	餓狼伝	standard	19	PUB_SWAP	9784063521702	9784253216678	9784253	multi
garouden	餓狼伝	standard	20	PUB_SWAP	9784063521856	9784253216685	9784253	multi
garouden	餓狼伝	standard	21	PUB_SWAP	9784063522075	9784253216692	9784253	multi
garouden	餓狼伝	standard	22	PUB_SWAP	9784063522310	9784253216708	9784253	multi
garouden	餓狼伝	standard	23	PUB_SWAP	9784063522488	9784253216715	9784253	multi
garouden	餓狼伝	standard	24	PUB_SWAP	9784063522877	9784253216722	9784253	multi
garouden	餓狼伝	standard	25	PUB_SWAP	9784063523065	9784253216739	9784253	multi
garouden-boy	餓狼伝BOY	standard	1	PUB_SWAP	9784063634105	9784253217095	9784253	multi
gate-2002	Gate	standard	1	PUB_SWAP	9784835213064	9784862635129	978486263	multi
gegege-no-kitarou	ゲゲゲの鬼太郎	bunkobon	1	PUB_SWAP	9784480020949	9784122048218	978412	multi
gegege-no-kitarou	ゲゲゲの鬼太郎	bunkobon	2	PUB_SWAP	9784480021458	9784122048263	978412	multi
gegege-no-kitarou	ゲゲゲの鬼太郎	bunkobon	5	PUB_SWAP	9784063704402	9784122048799	978412	multi
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	standard	1	PUB_SWAP	9784091430229	9784124105094	978412	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	1	PUB_SWAP	9784257722199	9784022671097	978402	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	2	PUB_SWAP	9784257722205	9784022671103	978402	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	3	PUB_SWAP	9784257722236	9784022671110	978402	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	4	PUB_SWAP	9784257722250	9784022671127	978402	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	5	PUB_SWAP	9784257722274	9784022671134	978402	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	6	PUB_SWAP	9784257722281	9784022671141	978402	multi
gekai-toumori-akira-no-shoken	外科医東盛玲の所見	bunkobon	7	PUB_SWAP	9784257722311	9784022671158	978402	multi
getsurei-15	月齢・15	standard	1	PUB_SWAP	9784871839242	9784877249380	978487724	multi
ghost-and-witch	ゴーストアンドウィッチ	standard	1	PUB_SWAP	9784800013040	9784048996198	978404	multi
giant-robo	ジャイアントロボ	standard	1	PUB_SWAP	9784048523431	9784253232319	9784253	multi
giant-robo	ジャイアントロボ	standard	2	PUB_SWAP	9784048524414	9784253232326	9784253	multi
giant-robo	ジャイアントロボ	standard	3	PUB_SWAP	9784063646191	9784253232333	9784253	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	1	PUB_SWAP	9784047120112	9784073003861	978407	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	2	PUB_SWAP	9784047120136	9784073003922	978407	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	3	PUB_SWAP	9784047120174	9784073004004	978407	multi
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	4	PUB_SWAP	9784047120211	9784073004172	978407	multi
