qid,name,birth_year,death_year,alt_names,has_adult_credit
madb:C68000,midiスタジオ,,,,false
madb:C68002,MM倶楽部,,,,false
madb:C68006,Mスタジオ,,,,false
madb:C68008,NHK「その時歴史が動いた」取材班,,,,false
madb:C68009,NHK「プロフェッショナル」制作班,,,,false
madb:C68010,NHK「ローマ帝国」プロジェクト,,,,false
madb:C68011,NHKエンタープライズ21,,,,false
madb:C68012,NHKプロジェクトX制作班,,,,false
madb:C68013,NHK衛星放送局第2,,,,false
madb:C68015,NHK制作班,,,,false
madb:C68016,NTT出版,,,,false
madb:C68017,O.ヘンリー,,,,false
madb:C68018,O.ワイルド,,,,false
madb:C68019,OFFICIALFANBOOK制作スタッフ,,,,false
madb:C68020,OMEGA遊撃隊,,,,false
madb:C68021,OsamuTezuka（手塚治虫）,,,,false
madb:C68022,P.G.ウッドハウス,,,,false
madb:C68023,P.メリメ,,,,false
madb:C68024,PEACH‐PIT,,,,false
madb:C68026,R.F.バートン,,,,false
madb:C68027,R.ワーグナー,,,,false
madb:C68028,RyuMitsuse（光瀬龍）,,,,false
madb:C68029,S.アーウィン,,,,false
madb:C68030,S.ギンズブルグ,,,,false
madb:C68031,S・O改メ赤塚フジヨ,,,,false
madb:C68032,S・ギンズブルグ,,,,false
madb:C68033,S・ゴロン,,,,false
madb:C68035,SG企画,,,,false
madb:C68036,So-netとなりのこぱんだプロジェクト,,,,false
madb:C68039,Studioねむ,,,,false
madb:C68040,Studioブルトン,,,,false
madb:C68042,SWingo高橋,,,,false
madb:C68043,T＆Eソフト,,,,false
madb:C68047,TBS『逃亡者runaway』制作委員会,,,,false
madb:C68048,TBSラジオバックインミュージック制作班,,,,false
madb:C68049,TeamBeatrock・Love,,,,false
madb:C68050,THORES柴本,,,,false
madb:C68051,TIC編集部,,,,false
madb:C68052,Tor「゜」Age.,,,,false
madb:C68053,U.G.サトー,,,,false
madb:C68054,U.マイア,,,,false
madb:C68055,V.M.ユーゴー,,,,false
madb:C68056,V.モーホフ,,,,false
madb:C68057,Vジャンプ,,,,false
madb:C68058,Vジャンプ編集部,,,,false
madb:C68059,W.シェイクスピア,,,,false
madb:C68060,W.シェークスピア,,,,false
madb:C68061,W・ウッド,,,,false
madb:C68064,You＆OfficeYou,,,,false
madb:C68065,П.H.Kpылob,,,,false
madb:C68067,アーサー・コナン・ドイル,,,,false
madb:C68068,アージュ,,,,false
madb:C68069,アーシュラ・K.ル=グウィン,,,,false
madb:C68070,アート・スピーゲルマン,,,,false
madb:C68071,アート・ランド,,,,false
madb:C68072,アートボックス,,,,false
madb:C68073,アートミック,,,,false
madb:C68074,アーニー・ブッシュミラー,,,,false
madb:C68075,アーロン・マッグルーダー,,,,false
madb:C68076,アイ・エム・アイ株式会社,,,,false
madb:C68077,あいきさだむ,,,,false
madb:C68078,あいざわ浅海,,,,false
madb:C68079,アイジープラス,,,,false
madb:C68080,アイソトープ,,,,false
madb:C68082,アイディアファクトリー・デザインファクトリー,,,,false
madb:C68085,アウルズ・エージェンシー,,,,false
madb:C68087,あおい章太,,,,false
madb:C68088,あおきたくま,,,,false
madb:C68091,あかいこうじ,,,,false
madb:C68092,あかぎりゅう,,,,false
madb:C68093,アカキ山人,,,,false
madb:C68094,アガサ・クリスティー,,,,false
madb:C68095,あがた萌,,,,false
madb:C68096,あかね,,,,false
madb:C68097,あかねこか,,,,false
madb:C68098,あかね胡茄,,,,false
madb:C68099,あかね胡笳,,,,false
madb:C68100,あかね純,,,,false
madb:C68101,あがのまこと,,,,false
madb:C68102,あがりえ侑市,,,,false
madb:C68103,あぎじゅんこ,,,,false
madb:C68105,あきづき笙,,,,false
madb:C68106,あきのかな,,,,false
madb:C68107,あきの香奈,,,,false
madb:C68108,あきみれい,,,,false
madb:C68110,あきよし菜魚,,,,false
madb:C68111,あき貴生,,,,false
madb:C68112,あき美★かお,,,,false
madb:C68113,アクアプラス,,,,false
madb:C68116,アクロビッチ山岡,,,,false
madb:C68117,アゴーン事務局,,,,false
madb:C68118,あごバリア,,,,false
madb:C68121,アサツーディ・ケイ,,,,false
madb:C68122,あさのハジメ,,,,false
madb:C68124,あざの耕平,,,,false
madb:C68126,あさりのりじ,,,,false
madb:C68127,あしべつおさむ,,,,false
madb:C68129,あすか正太,,,,false
madb:C68130,あすか編集部,,,,false
madb:C68131,あずき・まめお,,,,false
madb:C68135,あすま理彩,,,,false
madb:C68136,アスミック・エースエンタテインメント,,,,false
madb:C68137,あずみ悠羽,,,,false
madb:C68138,あすろひろし,,,,false
madb:C68140,アターシャ松永,,,,false
madb:C68141,あだちのりこ,,,,false
madb:C68144,アダム徳永,,,,false
madb:C68145,アダルト・キッズ,,,,false
madb:C68147,アツタカシ,,,,false
madb:C68148,あつたゆりこ,,,,false
madb:C68150,アップルミステリー編集部,,,,false
madb:C68151,あづみ亨,,,,false
madb:C68152,あづみ亭,,,,false
madb:C68153,あてな,,,,false
madb:C68154,アトムを愛する会,,,,false
madb:C68155,アドリアン・ゴンザレス,,,,false
madb:C68156,アトリエ社,,,,false
madb:C68158,あど蔵,,,,false
madb:C68159,アナスタシア・シェスタコワ,,,,false
madb:C68161,アニー・ウエスト,,,,false
madb:C68162,アニエス・ロゼンスティール,,,,false
madb:C68163,アニかつ＆ガル憎,,,,false
madb:C68164,アニプレックス,,,,false
madb:C68166,アニメ6人の会,,,,false
madb:C68167,アニメージュ増刊編集部,,,,false
madb:C68168,アニメック,,,,false
madb:C68170,アネット・ブロードリック,,,,false
madb:C68172,アビゲイル・ゴードン,,,,false
madb:C68174,アフタヌーン,,,,false
madb:C68175,あべ・よしあき,,,,false
madb:C68176,あべゆたか,,,,false
madb:C68178,アベ正己,,,,false
madb:C68179,あべ善太,,,,false
madb:C68183,あまみそ他,,,,false
madb:C68184,アマンダ・ブラウニング,,,,false
madb:C68185,アミーチス,,,,false
madb:C68186,アミューズメント書籍編集部,,,,false
madb:C68187,アメキャラ,,,,false
madb:C68191,あやみのる,,,,false
madb:C68192,アヤ井アキコ,,,,false
madb:C68193,あらいさちこ,,,,false
madb:C68194,あらきゆずる,,,,false
madb:C68195,アラタ薫,,,,false
madb:C68196,アラン・アルバーグ,,,,false
madb:C68197,アラン・イワサキ,,,,false
madb:C68198,アラン・グラント,,,,false
madb:C68199,アラン・シリトー,,,,false
madb:C68200,アラン・タンスマン,,,,false
madb:C68202,アリー・ブレイク,,,,false
madb:C68203,アリエル・ドルフマン,,,,false
madb:C68206,ありしなおわる,,,,false
madb:C68207,アリスソフト,,,,false
madb:C68210,アルカナ太郎,,,,false
madb:C68211,アルカリ電子,,,,false
madb:C68212,アルケミスト,,,,false
madb:C68213,アルコ・ピクチャーズ,,,,false
madb:C68214,アルタミラピクチャーズ,,,,false
madb:C68215,アルテイシア,,,,false
madb:C68216,アルフ=プリョイセン,,,,false
madb:C68217,アルフ・プリョイセン,,,,false
madb:C68218,アルファ・システム,,,,false
madb:C68220,アルフレッド・ジャリ,,,,false
madb:C68221,アルフレッド・バーンバウム,,,,false
madb:C68222,アルマン・マトゥラール,,,,false
madb:C68224,アレク,,,,false
madb:C68225,アレクサンダー・ケイ,,,,false
madb:C68226,アレグサンダー・ケイ,,,,false
madb:C68227,アレグザンダー・ケイ,,,,false
madb:C68228,アレクサンドル=デュマ,,,,false
madb:C68229,アレクサンドル・デュマ,,,,false
madb:C68230,アレクサンドロ・ジョドロブスキー,,,,false
madb:C68231,アレックス・カーヴァ,,,,false
madb:C68232,アレックス・シアラー,,,,false
madb:C68233,アレン・サイモン,,,,false
madb:C68234,アン・ウィール,,,,false
madb:C68235,アン・ハンプソン,,,,false
madb:C68236,アン・マリー・ウィンストン,,,,false
madb:C68237,アン・メイザー,,,,false
madb:C68238,アン・メイジャー,,,,false
madb:C68239,アン・ライス,,,,false
madb:C68240,あんこ,,,,false
madb:C68241,アンソニー・ゼアハット,,,,false
madb:C68242,アンディ・キューバート,,,,false
madb:C68243,アンデルセン,,,,false
madb:C68245,アントニオ・カッシーリ,,,,false
madb:C68246,アントニオ猪木,,,,false
madb:C68247,アンドレ・P.ドュシャトー,,,,false
madb:C68248,アンドレ・ポール・ドュシャトー,,,,false
madb:C68250,アンナ・デパロー,,,,false
madb:C68251,アンベ久子,,,,false
madb:C68252,アンリ・トロワイヤ,,,,false
madb:C68253,あんり★M,,,,false
madb:C68254,イ・ジョンア,,,,false
madb:C68255,イ・スグァン,,,,false
madb:C68256,イ・ソニョン,,,,false
madb:C68259,イ・ヒョンソク,,,,false
madb:C68262,イ・ヨンユ,,,,false
madb:C68263,イアン・フレミング,,,,false
madb:C68264,イアン・ポロック,,,,false
madb:C68267,イヴ・サンローラン,,,,false
madb:C68270,イオハラミア,,,,false
madb:C68274,いきの,,,,false
madb:C68276,イケダエツコ,,,,false
madb:C68279,イゴルト,,,,false
madb:C68280,いさか十五郎,,,,false
madb:C68281,いしぜきひでゆき,,,,false
madb:C68282,いしだひさよ,,,,false
madb:C68283,いしだゆうこ,,,,false
madb:C68284,いしわたおさむ,,,,false
madb:C68285,イスクラ,,,,false
madb:C68287,いずみ・組,,,,false
madb:C68288,いずみの杏里,,,,false
madb:C68290,いずみ弘,,,,false
madb:C68291,いずみ組,,,,false
madb:C68292,いずみ里織,,,,false
madb:C68293,いせだいちけん,,,,false
madb:C68294,イソップ,,,,false
madb:C68295,イタバシマサヒロ,,,,false
madb:C68296,いたる亮一,,,,false
madb:C68297,イチ,,,,false
madb:C68298,いちのや京二,,,,false
madb:C68299,いちむらゆうき,,,,false
madb:C68300,イチロー,,,,false
madb:C68301,いつきあやな,,,,false
madb:C68303,イヅミ拓,,,,false
madb:C68304,いとう・もも,,,,false
madb:C68306,イトウキクゾウ,,,,false
madb:C68307,いとうせいこう,,,,false
madb:C68309,いとうよしえ,,,,false
madb:C68310,いとう斗士八,,,,false
madb:C68312,いなば・あいこ,,,,false
madb:C68314,いぬいたかし,,,,false
madb:C68316,いのうえ雅晴,,,,false
madb:C68317,いのむし,,,,false
madb:C68318,いまさきえみ,,,,false
madb:C68320,いよしはるか,,,,false
madb:C68324,いわねこプロ,,,,false
madb:C68325,いわねこプロ＆金子晴お,,,,false
madb:C68326,イングソック漫画省,,,,false
madb:C68327,インクリメントP,,,,false
madb:C68329,インターチャネル,,,,false
madb:C68330,インターハート,,,,false
madb:C68331,インターリンク・プランニング,,,,false
madb:C68332,インタラクティブ,,,,false
madb:C68334,ヴァイオレット・ウィンズピア,,,,false
madb:C68335,ヴァルター・ベンヤミン,,,,false
madb:C68336,ヴァルター・ライナー,,,,false
madb:C68337,ヴァレリー・パーヴ,,,,false
madb:C68338,ヴァンテアンシステムズ,,,,false
madb:C68339,ウィーダ,,,,false
madb:C68340,ウィギン,,,,false
madb:C68341,ヴィクトル・ユーゴー,,,,false
madb:C68343,ういち,,,,false
madb:C68344,ウィリアム・ウッド,,,,false
madb:C68345,ウイリアム・ウッド,,,,false
madb:C68346,ヴィルドラック,,,,false
madb:C68347,ヴィルヘルム・グリム,,,,false
madb:C68348,ウイルヘルム・ハンセン,,,,false
madb:C68349,ヴィンス・ロック,,,,false
madb:C68350,ういんどみるOasis,,,,false
madb:C68351,ウージー佐竹,,,,false
madb:C68352,ウエイット,,,,false
madb:C68354,うえだいたる,,,,false
madb:C68355,うえだのぶ,,,,false
madb:C68356,ウェブスター,,,,false
madb:C68357,ウエブスター,,,,false
madb:C68359,ウェルズ,,,,false
madb:C68360,ヴェルヌ,,,,false
madb:C68361,ヴォクソール・プロ,,,,false
madb:C68363,ウォルト・ディズニー,,,,false
madb:C68365,うかのみたまじん,,,,false
madb:C68366,うさQ,,,,false
madb:C68367,うさぎ屋宗達,,,,false
madb:C68368,ウジコウジオ,,,,false
madb:C68369,うじゅ製作委員会,,,,false
madb:C68370,うちのますみ,,,,false
madb:C68373,うほりさとこ,,,,false
madb:C68375,うめぞう,,,,false
madb:C68376,ウメヅカズオ,,,,false
madb:C68378,うらのちかこ,,,,false
madb:C68380,ウルティモ・ドラゴン,,,,false
madb:C68382,エアウェイスコープ,,,,false
madb:C68383,エイブラハム・J.ツワルスキー,,,,false
madb:C68384,エヴリ・アラン・ベリド,,,,false
madb:C68386,エードゥアルト・フックス,,,,false
madb:C68387,エーブ・キュリー,,,,false
madb:C68388,えぐちゆう,,,,false
madb:C68389,エクトル・マロー,,,,false
madb:C68390,エサカマサミ,,,,false
madb:C68391,えざきまん,,,,false
madb:C68392,エス・オ～改め赤塚フジヨ改め松葉一郎,,,,false
madb:C68393,エスパーナ・キジマ,,,,false
madb:C68394,エタ・カリナ,,,,false
madb:C68396,エッジワークス,,,,false
madb:C68397,エツミ,,,,false
madb:C68398,エディ・キャンベル,,,,false
madb:C68399,エド・マクベイン,,,,false
madb:C68400,エドウアルド・フツクス,,,,false
madb:C68401,エトウケイコ,,,,false
madb:C68402,えとうふみお,,,,false
madb:C68403,えとう乱星,,,,false
madb:C68404,エドガー・アラン・ポー,,,,false
madb:C68405,エドガー・ウォレス,,,,false
madb:C68406,えどさん”,,,,false
madb:C68407,エドモン・ロスタン,,,,false
madb:C68408,エドモンド・デ・アミーチス,,,,false
madb:C68409,エドモンド・ハミルトン,,,,false
madb:C68410,エドワルド・リウス,,,,false
madb:C68412,エヌ山,,,,false
madb:C68414,エフ,,,,false
madb:C68417,エマ・ゴールドリック,,,,false
madb:C68418,エマ・ダーシー,,,,false
madb:C68419,エマ・パウエル,,,,false
madb:C68420,エミ・エレオノーラ,,,,false
madb:C68421,エミリー・P.キングズリー,,,,false
madb:C68422,エミリー・ブロンテ,,,,false
madb:C68423,エミリー・リチャーズ,,,,false
madb:C68424,エミリー・ローズ,,,,false
madb:C68425,エミリー・ロッダ,,,,false
madb:C68426,エミル・シェーベ,,,,false
madb:C68427,えらいマンガ選定委員会,,,,false
madb:C68428,エラリー・クイーン,,,,false
madb:C68429,エリカ・スピンドラー,,,,false
madb:C68430,エリザベス・ヴェルネ,,,,false
madb:C68431,エリザベス・オールドフィールド,,,,false
madb:C68432,エリザベス・ハービソン,,,,false
madb:C68434,エル・リニー,,,,false
madb:C68435,エルジェ,,,,false
madb:C68436,エルスタッフ,,,,false
madb:C68437,エルスタッフプロモーション,,,,false
madb:C68438,エルダ・ミンガー,,,,false
madb:C68439,エルフ,,,,false
madb:C68440,エレナ・ポーター,,,,false
madb:C68441,エンキ・ビラル,,,,false
madb:C68442,エンゲルス,,,,false
madb:C68443,エンゾ円蔵,,,,false
madb:C68444,エンターブレインコミックビーム編集部,,,,false
madb:C68446,エンタテインメント書籍編集部,,,,false
madb:C68447,エンタテインメント編集部,,,,false
madb:C68448,エンタプライズ,,,,false
madb:C68454,オー・ヘンリー,,,,false
madb:C68455,オーエスビー出版,,,,false
madb:C68456,オーガスト,,,,false
madb:C68457,オオキユウジ,,,,false
madb:C68458,オオクラトウロウ,,,,false
madb:C68459,おおさわあきら,,,,false
madb:C68461,おおしま永遠,,,,false
madb:C68462,おおすみまこと,,,,false
madb:C68464,オオタニヨシミ,,,,false
madb:C68468,オードラ・アダムス,,,,false
madb:C68469,オーノイズム,,,,false
madb:C68471,おおのたいじ,,,,false
madb:C68472,おおのみきを,,,,false
madb:C68474,オーバーフロー,,,,false
madb:C68475,おおはしゆかこ,,,,false
madb:C68476,オープロダクション,,,,false
madb:C68478,おおめ裕一,,,,false
madb:C68480,おおやま黎,,,,false
madb:C68481,オールコット,,,,false
madb:C68482,オカジマアヤコ,,,,false
madb:C68484,おがたけいこ,,,,false
madb:C68487,おかひろみ,,,,false
madb:C68488,おかゆまさき,,,,false
madb:C68489,おがわひろし,,,,false
madb:C68490,おきのこ,,,,false
madb:C68492,オグ・マンディーノ,,,,false
madb:C68494,おぐらかん,,,,false
madb:C68495,オグラトクー,,,,false
madb:C68497,おさき,,,,false
madb:C68498,オザキミカ,,,,false
madb:C68500,オザワハカセ,,,,false
madb:C68502,オスカー・サーラティ,,,,false
madb:C68503,オストロフスキー,,,,false
madb:C68507,おちあいエミ,,,,false
madb:C68508,おちのりこ,,,,false
madb:C68509,オットー・ソグロー,,,,false
madb:C68510,オットー・メスマア,,,,false
madb:C68511,おときたたかお,,,,false
madb:C68512,おとくに桃,,,,false
madb:C68513,オトメイト,,,,false
madb:C68516,オノタダヨシ,,,,false
madb:C68518,おはスタ美術部,,,,false
madb:C68519,オフィスアンサズ,,,,false
madb:C68520,オフロードバイク研究会,,,,false
madb:C68521,オムニバスプロモーション,,,,false
madb:C68522,オメコメCLUB,,,,false
madb:C68524,おやまけいこ,,,,false
madb:C68525,オリヴィア・クリスティン,,,,false
madb:C68526,オリヴィエ・ショパン・ド・ジャンヴリー,,,,false
madb:C68527,オルコット,,,,false
madb:C68528,オルツイ,,,,false
madb:C68530,お化けの話研究会,,,,false
madb:C68531,カースティン・マカイヴァー,,,,false
madb:C68532,カート・スワン,,,,false
madb:C68534,カーラ・キャシディ,,,,false
madb:C68535,カーラ・コールター,,,,false
madb:C68536,カーラ・バレンタイン,,,,false
madb:C68538,ガイナックス,,,,false
madb:C68539,ガエタノ・リベラトーレ,,,,false
madb:C68540,かえんぐるま,,,,false
madb:C68544,かがやひろし,,,,false
madb:C68545,カクテル・ソフト,,,,false
madb:C68546,かくまつとむ,,,,false
madb:C68547,かくれん坊蠢々翁,,,,false
madb:C68548,かけがわやすこ,,,,false
madb:C68549,かさはら倫尚,,,,false
madb:C68550,かざま鋭二＆堀井ひろし,,,,false
madb:C68551,かざま淳,,,,false
madb:C68552,かざり由香,,,,false
madb:C68553,かし・みちよ,,,,false
madb:C68554,ガス,,,,false
madb:C68555,かずき伊緒,,,,false
madb:C68556,カズサネ,,,,false
madb:C68557,ガスト,,,,false
madb:C68558,ガストン・ルルー,,,,false
madb:C68559,ガスト関,,,,false
madb:C68560,かずはしもと,,,,false
madb:C68561,カズマ,,,,false
madb:C68562,かすみ涼和,,,,false
madb:C68565,カタログ編集委員会,,,,false
madb:C68567,カヅキオオツカ,,,,false
madb:C68570,かつまかずえ,,,,false
madb:C68571,かつらたろ,,,,false
madb:C68572,かどい文雄,,,,false
madb:C68573,かとうひでお,,,,false
madb:C68574,かとうりゅうじ,,,,false
madb:C68575,かとう一彦,,,,false
madb:C68577,カトリーヌ・ジュクレール,,,,false
madb:C68578,カトリーヌ・デュクレール,,,,false
madb:C68580,かながわレファレンス探検隊,,,,false
madb:C68581,かなめゆきしろ,,,,false
madb:C68582,カナメ企画,,,,false
