qid,name,birth_year,death_year,alt_names,has_adult_credit
Q67009,E・O・プラウエン,1903,1944,"プラウエン, E. O",false
Q731717,W・ヒース・ロビンソン,1872,1944,,false
Q9457,アービッド・スルティ,1935,,,false
Q435032,アリソン・ベクデル,1960,,アリソン・ベクダル,false
Q2060191,アル・キャップ,1909,1979,アルフレッド・ジェラルド・カプリン,false
Q1376972,アル・プラスティーノ,1921,2013,,false
Q451003,アルベルト・ヴァイスゲルバー,1878,1915,,false
Q97559,イザベル・クライツ,1967,,,false
Q503993,ヴィクトル・デニ,1893,1946,,false
Q44736,ヴィッコ・フォン・ビューロー,1923,2011,ロリオー,false
Q1397882,ウィリアム・ヴァンス,1935,2018,,false
Q732743,ウィリー・ランビル,1936,,,false
Q109540,ヴィルヘルム・ブッシュ,1832,1908,ハインリヒ・クリスチャン・ヴィルヘルム・ブッシュ|wilh. busch,false
Q99908,ウーリ・シュタイン,1946,2020,,false
Q1358893,エアルンスト・カール,1949,2025,,false
Q737778,エド・ブルベイカー,1966,,,false
Q504621,エドワード・リンリー・サンボーン,1844,1910,,false
Q434282,エリナー・フォーテスキュー＝ブリックデイル,1872,1945,,false
Q52985,エルジェ,1907,1983,ジョルジュ・レミ|ジョルジュ・プロスペル・レミ,false
Q1121134,オットー・ソグロー,1900,1975,,false
Q75284,カール・アルノルト,1883,1953,,false
Q11941,カール・バークス,1901,2000,,false
Q187310,カール・ラーション,1853,1919,,false
Q485635,キース・ヘリング,1958,1990,,false
Q447300,キキ・スミス,1954,,,false
Q450113,キム・ダイチ,1944,,キム・ディーチ,false
Q442481,キャスリーン・スコット,1878,1947,,false
Q1340213,ギャリー・トゥルードー,1948,,,false
Q949202,ギルバート・ヘルナンデス,1957,,ヒルベルト・ヘルナンデス,false
Q360827,クルト・ベスタゴー,1935,2021,,false
Q1382544,グレン・キーン,1954,,,false
Q388035,グロリア・トレビ,1968,,,false
Q1351201,ゲイリー・パンター,1950,,,false
Q919020,ゲイリー・ラーソン,1950,,,false
Q46099,ゴラン・スデューカ,1969,,,false
Q1108989,コリーン・クーヴァー,1969,,,false
Q463132,ジェラルド・スカーフ,1936,,,false
Q361257,シェル・シルヴァスタイン,1930,1999,,false
Q741204,ジジェ,1914,1980,,false
Q357776,ジム・リー,1964,,,false
Q361529,ジャック・コール,1914,1958,,false
Q1678028,ジャック・ロブ,1932,1990,,false
Q1375144,ジャン＝クロード・メジエール,1938,2022,,false
Q354371,ジャン＝ジャック・サンペ,1932,2022,,false
Q93645,ジョイ・アダムソン,1910,1980,,false
Q725384,ジョー・サイモン,1913,2011,,false
Q453440,ジョージ・ヘリマン,1880,1944,,false
Q1363049,ジョージ・マクマ,1884,1954,ジョージ・マクマナス,false
Q732915,チェム・イルマズ,1973,,,false
Q1063855,チャールズ・バーンズ,1955,,,false
Q1089124,チャック・ディクソン,1954,,,false
Q473773,デイヴィッド・ロウ,1891,1963,,false
Q380085,テオドール・キッテルセン,1857,1914,テオドル・ヒッテルセン|テオドール・セヴェリン・キッテルセン,false
Q102071,トーベ・ヤンソン,1914,2001,,false
Q366062,トム・オブ・フィンランド,1920,1991,,false
Q382464,ドン・バークリー,1892,1975,ドン・バークレー|ドン・ヴァン・タッセル・バークリー,false
Q40116,ナダール,1820,1910,フェリックス・ナダール|フェリックス・トゥールナション|ガスパール＝フェリックス・トゥールナション|ガスパール・フェリックス・トゥールナション,false
Q369512,パー・アーリン,1931,2023,,false
Q732474,ハーヴィー・カーツマン,1924,1993,,false
Q1378059,ハーブロック,1909,2001,,false
Q77043,ハールフ・ビストルップ,1912,1988,,false
Q1000471,バド・フィッシャー,1885,1954,,false
Q61193,バル・タッケライ,1926,2012,バール・タークレー,false
Q432288,ハロルド・グレイ (漫画家),1894,1968,,false
Q949896,ピーター・アルノ,1904,1968,ピーター・アーノー,false
Q1364586,ピエール・ジュベール,1910,2002,,false
Q863067,ビリー・デベック,1890,1942,,false
Q862297,ビル・モールディン,1921,2003,ビル・モードリン,false
Q1341813,フョードル・ロジャンコフスキー,1891,1970,,false
Q913255,ブライアン・ウッド,1972,,,false
Q363968,フリッツ・フォン・ダルデル,1817,1901,,false
Q730008,ブルーノ・リリエフォッシュ,1860,1939,,false
Q1452319,フレッド・ギャラガー,1968,,,false
Q464432,ベン・カチャー,1951,,ベン・カッチャー,false
Q959097,ヘンドリク・ウィレム・ヴァン・ルーン,1882,1944,ヘンドリック・ウィレム・ヴァン・ルーン,false
Q1380831,ポール・ノリス,1914,2007,,false
Q888282,ボブ・セイヴス,1924,2006,,false
Q355672,ボリス・エフィーモフ,1900,2008,,false
Q1370746,マーティン・ノデル,1915,2006,,false
Q88036,マーティン・ペルシード,1966,2021,,false
Q1933294,マイク・ラコヴィッチ,1960,,,false
Q1084428,マウリ・クンナス,1950,,,false
Q93788,マックス・フライシャー,1885,1972,マックス・フライシャーr,false
Q947385,マックス・ルンドグレン,1937,2005,,false
Q984516,マッシモ・マティオーリ,1943,2019,,false
Q43994,マット・グレイニング,1954,,マット・グローニング|マット・グレーニング,false
Q431977,マヌエル・バスケス・ガリェゴ,1930,1995,,false
Q724517,ミスター・ローディ,1974,,,false
Q924618,ユーハン・トービアス・セルゲル,1740,1814,,false
Q1950048,ユップ・ベルトラムス,1946,,,false
Q368484,ヨゼフ・ラダ,1887,1957,,false
Q28633,ラリー・アルカラ,1926,2002,,false
Q1354212,ラルフ・ステッドマン,1936,,ラルフ・スティードマン,false
Q740062,ルイス・トロンダイム,1964,,,false
Q505850,ルーブ・ゴールドバーグ,1883,1970,,false
Q192214,ルネ・ゴシニ,1926,1977,ルネ・ゴッシニイ,false
Q506007,レオナード・スター,1925,2015,レオナルド・スター,false
Q435278,ロバート・クラム,1943,,,false
Q387724,ワーシントン・ジョージ・スミス,1835,1917,,false
Q1304824,ワリー・ウッド,1927,1981,ウォリー・ウッド,false
