巻状態	種2	tier	信号	一致	残差	疑	slug	頁題	頁著者	頁最大巻	頁巻数	isbn	楽天題	楽天副題	抽出親題	抽出巻	楽天著者	出版社	レーベル	発売日	種2sid	種2題	種2巻	除外seed
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	adoribu-ouji	アドリブ王子	あかつきけいいち	4	4	9784861917226	アドリブ王子（10）		アドリブ王子	10	あかつきけいいち	白夜書房	白夜コミックス	2011年03月25日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	adoribu-ouji	アドリブ王子	あかつきけいいち	4	4	9784861918131	アドリブ王子（11）		アドリブ王子	11	あかつきけいいち	白夜書房	白夜コミックス	2011年10月01日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	ai-to-yokubou-no-rasen	愛と欲望の螺旋	冬森雪湖	6	6	9784860561215	愛と欲望の螺旋（7）		愛と欲望の螺旋	7	冬森雪湖	平和出版	ハ-トフルコミックス	2004年10月05日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	ai-to-yokubou-no-rasen	愛と欲望の螺旋	冬森雪湖	6	6	9784860561505	愛と欲望の螺旋（8）		愛と欲望の螺旋	8	冬森雪湖	平和出版	ハ-トフルコミックス	2005年06月07日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	ひまわり幼稚園物語		aikodesho	あいこでしょ!	大井昌和	4	4	9784840225663	ひまわり幼稚園物語あいこでしょ！（5）		ひまわり幼稚園物語あいこでしょ!	5	大井昌和	アスキー・メディアワークス	Ｄｅｎｇｅｋｉ　ｃｏｍｉｃｓ	2003年12月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	ひまわり幼稚園物語		aikodesho	あいこでしょ!	大井昌和	4	4	9784840227698	ひまわり幼稚園物語　あいこでしょ！（6）		ひまわり幼稚園物語 あいこでしょ!	6	大井　昌和	KADOKAWA	電撃コミックス	2004年07月27日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	ひまわり幼稚園物語		aikodesho	あいこでしょ!	大井昌和	4	4	9784840229821	ひまわり幼稚園物語　あいこでしょ！（7）		ひまわり幼稚園物語 あいこでしょ!	7	大井　昌和	KADOKAWA	電撃コミックス	2005年02月26日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			akai-ito-no-densetsu	赤い糸の伝説	津雲むつみ	1	1	9784088540504	赤い糸の伝説（2）		赤い糸の伝説	2	津雲むつみ	集英社	セブンティーンコミックス					
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		DROPIMPRINT	akai-ito-no-densetsu	赤い糸の伝説	津雲むつみ	1	1	9784086122627	赤い糸の伝説　2		赤い糸の伝説	2	津雲　むつみ	集英社	漫画文庫	1986年10月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	国際版		akira	AKIRA	大友克洋	6	6	9784063050219	国際版AKIRA（11）		国際版AKIRA	11	大友克洋	講談社	ヤングマガジン	1992年06月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	国際版		akira	AKIRA	大友克洋	6	6	9784063050226	国際版AKIRA（12）		国際版AKIRA	12	大友克洋	講談社		1996年09月				
