seed	special_isbn	special_title	normal_isbn	normal_title
special-edition-fix.yml	9784099418724	デストロ246 7 イラストカード付き限定版 高橋 慶太郎	9784091574497	デストロ246（7） 高橋 慶太郎
special-edition-fix.yml	9784099418731	片翼のラビリンス〜サテライトストーリーズ〜 限定メモリアルBOX くまがい 杏子	9784091385086	片翼のラビリンス サテライトストーリーズ くまがい 杏子
special-edition-fix.yml	9784099418748	ハイパーダッシュ！四駆郎 1 ハイパードレスアップステッカーつき限定版 武井 宏之/徳田 ザウルス	9784091422088	ハイパーダッシュ！四駆郎（1） 武井 宏之/徳田 ザウルス
special-edition-fix.yml	9784099418830	12歳。10 〜ヒミツ・ヒミツ〜 限定版BOX まいた 菜穂	9784091388100	12歳。10 まいた 菜穂
special-edition-fix.yml	9784099418861	5時から9時まで 13 スペシャルイラストコレクション付き限定版 相原 実貴	9784091391377	5時から9時まで（13） 相原 実貴
special-edition-fix.yml	9784099418885	女王の花 15 スペシャルファンブック付き限定版 和泉 かねよし	9784091391247	女王の花（15） 和泉 かねよし
special-edition-fix.yml	9784099418915	アオイホノオ 17 被害者の会小冊子付特別版 島本 和彦	9784091276230	アオイホノオ（17） 島本 和彦
special-edition-fix.yml	9784099418922	ハツ＊ハル 10 スペシャルイラストブック付き限定版 藤沢 志月	9784091391896	ハツ＊ハル 10 藤沢 志月
special-edition-fix.yml	9784099418946	からかい上手の高木さん 6 フィギュア付き特別版 山本 崇一朗	9784091277305	からかい上手の高木さん 6 山本 崇一朗
special-edition-fix.yml	9784099418953	12歳。12 〜イノリ〜 缶バッジ付限定版 まいた 菜穂	9784091394507	12歳。 12 まいた 菜穂
special-edition-fix.yml	9784099418960	ハイパーダッシュ！四駆郎 2 ゴールドミニ四駆＆クリアファイルつき限定 武井 宏之/徳田 ザウルス	9784091424273	ハイパーダッシュ！四駆郎（2） 武井 宏之/徳田 ザウルス
special-edition-fix.yml	9784099418977	7SEEDS 35 ドラマCDつき限定特装版 田村 由美	9784091394248	7SEEDS（35） 田村 由美
special-edition-fix.yml	9784099430016	アオイホノオ 18 『炎の転校生』完全新作読み切り小冊子付き特別版 島本 和彦	9784091280145	アオイホノオ（18） 島本 和彦
special-edition-fix.yml	9784099430023	からかい上手の高木さん 7 高木さんとデートなう。カレンダー付き特別版 山本 崇一朗	9784091280626	からかい上手の高木さん 7 山本 崇一朗
special-edition-fix.yml	9784099430030	からかい上手の高木さん 8 フィギュア付き特別版 山本 崇一朗	9784091281524	からかい上手の高木さん 8 山本 崇一朗
special-edition-fix.yml	9784099430047	12歳。13 〜トクベツ〜 アクリルキーホルダー付き限定版 まいた 菜穂	9784091395979	12歳。13 まいた 菜穂
special-edition-fix.yml	9784099430061	チビカスくん 1 チビ＆エンピツといっしょ！限定版 村瀬 範行	9784091426444	チビカスくん（1) 村瀬 範行
special-edition-fix.yml	9784099430078	機動戦士ガンダム サンダーボルト 11 画集＆クリアファイル付き限定版 太田垣 康男/矢立 肇/富野 由悠季	9784091898517	機動戦士ガンダム サンダーボルト 11 太田垣 康男/矢立 肇/富野 由悠季
special-edition-fix.yml	9784099430146	12歳。14 〜サカミチ〜 13か月カレンダー付き限定版 まいた 菜穂	9784098700509	12歳。14 まいた 菜穂
special-edition-fix.yml	9784099430153	アオイホノオ 19 『炎の転校生』新作読み切り後編小冊子付き特別版 島本 和彦	9784091282880	アオイホノオ 19 島本 和彦
special-edition-fix.yml	9784099430245	12歳。15 〜タカラモノ〜 サマーマステ＆ミラー付き限定版 まいた 菜穂	9784098701964	12歳。15 まいた 菜穂
special-edition-fix.yml	9784099430252	デッドデッドデーモンズデデデデデストラクション 7 限定版 浅野 いにお	9784098601004	デッドデッドデーモンズデデデデデストラク　7 浅野 いにお
