tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	astro-baby	アストロベイビー	standard	2	9784088842417	2024-10	集英社	アストロベイビー 2	森屋 シロ	森屋シロ	ジャンプコミックス	9784088	9784088	2
STRICT	OK	back-home-blues	バックホームブルース	standard	2	9784098630776	2024-10	小学館	バックホームブルース(2)	長尾 謙一郎	長尾謙一郎	ビッグ コミックス	9784098	9784098	2
STRICT	OK	baeru-koi-toka-shirimasen	映える恋とか知りません	standard	4	9784088677798	2024-11	集英社	映える恋とか知りません 4	柚木 ウタノ	柚木ウタノ	りぼんマスコットコミックス	9784088	9784088	2
STRICT	OK	banjou-no-orion	盤上のオリオン	standard	5	9784065387146	2025-03	講談社	盤上のオリオン(5)	新川 直司	新川直司	講談社コミックス	9784065	9784065	2
STRICT	OK	bija-no-joou	ビジャの女王	standard	6	9784845867561	2024-11	リイド社	ビジャの女王(6巻)	森　秀樹	森秀樹	SPコミックス	9784845	9784845	2
STRICT	OK	bijin-de-okanemochi-no-kanojo-ga-hoshii-to-ittara-wake-ari-joshi-ga-yattekita-ken	「美人でお金持ちの彼女が欲しい」と言ったら、ワケあり女子がやってきた件。	standard	4	9784040755878	2024-11	KADOKAWA	「美人でお金持ちの彼女が欲しい」と言ったら、ワケあり女子がやってきた件。 4	白鷺　六羽/小宮地　千々/Re岳/マイクロマガジン社	小宮地千々 / 白鷺六羽	ドラゴンコミックスエイジ	9784040	9784040	4
STRICT	OK	bijin-de-okanemochi-no-kanojo-ga-hoshii-to-ittara-wake-ari-joshi-ga-yattekita-ken	「美人でお金持ちの彼女が欲しい」と言ったら、ワケあり女子がやってきた件。	standard	6	9784040761848	2025-12	KADOKAWA	「美人でお金持ちの彼女が欲しい」と言ったら、ワケあり女子がやってきた件。 6	白鷺　六羽/小宮地　千々/Re岳	小宮地千々 / 白鷺六羽	ドラゴンコミックスエイジ	9784040	9784040	2
STRICT	OK	bikkuriman-omoshiro-land	ビックリマンおもしろランド	standard	6	9784253099349	1988-08	秋田書店	ビックリマンおもしろランド(6)	企画者104	企画者104	ムービーコミックス	9784253	9784253	2
STRICT	OK	bikkuriman-omoshiro-land	ビックリマンおもしろランド	standard	7	9784253099356	1988-08	秋田書店	ビックリマンおもしろランド(7)	企画者104	企画者104	ムービーコミックス	9784253	9784253	2
STRICT	OK	bikkuriman-omoshiro-land	ビックリマンおもしろランド	standard	8	9784253099363	1988-09	秋田書店	ビックリマンおもしろランド(8)	企画者104	企画者104	ムービーコミックス	9784253	9784253	2
STRICT	OK	birth-2002	BIRTH	standard	2	9784344800748	2002-05	幻冬舎	BIRTH(2)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	2
STRICT	OK	birth-2002	BIRTH	standard	3	9784344801226	2002-08	幻冬舎	BIRTH(3)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	1
STRICT	OK	birth-2002	BIRTH	standard	4	9784344801646	2002-11	幻冬舎	BIRTH(4)	山口譲司	山口譲司	バーズコミックス	9784344	9784344	1
