class	severity	scope	isbn13	gap_days	num_span	rows	pages	editions	titles	slugs	rk_date	rk_verdict	rk_title	rk_series	detail
NUM_CONFLICT	確実	CROSS_PAGE	9784575850550	8169	5	2	2	2	ゴルフ・人生 / パステル家族	golf-jinsei,pastel-kazoku					golf-jinsei#0(standard/ACTION COMICS) vol=1 date=1995-06 || pastel-kazoku#0(standard/ACTION COMICS) vol=6 date=2017-11-10
NUM_CONFLICT	確実	SAME_EDITION	9789784537100	909	16	17	1	1	銀牙伝説Weed	ginga-densetsu-weed					ginga-densetsu-weed#0(standard/通常版) vol=43 date=2007-01-12 || ginga-densetsu-weed#0(standard/通常版) vol=44 date=2007-03-09 || ginga-densetsu-weed#0(standard/通常版) vol=45 date=2007-05-10 || ginga-densetsu-weed#0(standard/通常版) vol=46 date=2007-07-09 || ginga-densetsu-weed#0(standard/通常版) vol=47 date=2007-09-07 || ginga-densetsu-weed#0(standard/通常版) vol=48 date=2007-11-09 || ginga-densetsu-weed#0(standard/通常版) vol=49 date=2008-01-11 || ginga-densetsu-weed#0(standard/通常版) vol=50 date=2008-03-10 || ginga-densetsu-weed#0(standard/通常版) vol=51 date=2008-05-10 || ginga-densetsu-weed#0(standard/通常版) vol=52 date=2008-07-10 || ginga-densetsu-weed#0(standard/通常版) vol=53 date=2008-09-08 || ginga-densetsu-weed#0(standard/通常版) vol=54 date=2008-11-07 || ginga-densetsu-weed#0(standard/通常版) vol=55 date=2008-12-08 || ginga-densetsu-weed#0(standard/通常版) vol=56 date=2009-01-19 || ginga-densetsu-weed#0(standard/通常版) vol=57 date=2009-03-09 || ginga-densetsu-weed#0(standard/通常版) vol=58 date=2009-05-09 || ginga-densetsu-weed#0(standard/通常版) vol=59 date=2009-07-09
NUM_CONFLICT	確実	SAME_EDITION	9784864363730	670	1	2	1	1	鍵盤の上のカレス	kenban-no-ue-no-caress					kenban-no-ue-no-caress#0(standard/Drap comics) vol=1 date=2011-01 || kenban-no-ue-no-caress#0(standard/Drap comics) vol=2 date=2012-12
NUM_CONFLICT	確実	SAME_EDITION	9784592214816	276	1	2	1	1	ぼくは地球と歌う	boku-wa-chikyuu-toutau	2016-02-19	楽天一致 1/2行	ぼくは地球と歌う（1）	花とゆめコミックス　別冊花とゆめ	boku-wa-chikyuu-toutau#0(standard/花とゆめCOMICS) vol=1 date=2016-02 || boku-wa-chikyuu-toutau#0(standard/花とゆめCOMICS) vol=2 date=2016-12
NUM_CONFLICT	確実	SAME_EDITION	9784845801275	212	2	2	1	1	ゴルゴ13	golgo-13	2002-12	楽天=どの行とも不一致	ゴルゴ13（127）	SPコミックス	golgo-13#0(standard/SPコミックス) vol=127 date=2003-01-05 || golgo-13#0(standard/SPコミックス) vol=129 date=2003-08-05
NUM_CONFLICT	確実	SAME_EDITION	9784063121872	96	1	2	1	1	将太の寿司	shouta-no-sushi	1995-10-17	楽天=どの行とも不一致	将太の寿司（17）	少年マガジンKC	shouta-no-sushi#0(standard/講談社コミックス) vol=17 date=1995-10-09 || shouta-no-sushi#0(standard/講談社コミックス) vol=18 date=1996-01-13
NUM_CONFLICT	確実	CROSS_PAGE	9784049247268	61	6	2	2	2	大都会にほえろ / 湯の花つばめ	daitokai-ni-hoero,yu-no-hana-tubame	1998-04-17	楽天一致 1/2行	湯の花つばめ　第3巻	あすかコミックス	daitokai-ni-hoero#0(standard/ASUKA COMICS) vol=9 date=1998-06-17 || yu-no-hana-tubame#0(standard/あすかコミックス) vol=3 date=1998-04-17
NUM_CONFLICT	確実	SAME_EDITION	9784197900060	31	1	2	1	1	ロマンシング サ・ガ2	romanshingu-saga	1994-12-15	楽天一致 1/2行	ロマンシングサガ2	トクマインターメディアコミックス	romanshingu-saga#0(standard/トクマインターメデイアコミックス) vol=1 date=1994-12-15 || romanshingu-saga#0(standard/トクマインターメデイアコミックス) vol=2 date=1995-01-15
NUM_CONFLICT	確実	CROSS_PAGE	9784845801978	30	6	2	2	2	サバイバル / サバイバル Another Story	survival,survival-another-story	1995-06	楽天一致 1/2行	サバイバル（Another　story）ワイド版	ＳＰコミックス	survival#2(wideban/SPコミックス ワイド版) vol=7[Another Story] date=1995-06-23 || survival-another-story#0(standard/-) vol=1 date=1995-07-23
NUM_CONFLICT	確実	CROSS_PAGE	9784091390349	17	1	2	2	2	マスカレード / 夫婦探偵奮戦記	fuufu-tantei-funsenki,masquerade-1988	1987-12-15	楽天一致 1/2行	夫婦探偵奮戦記（2）	フラワーコミックス　ジュディーロマンスシリーズ	fuufu-tantei-funsenki#0(standard/-) vol=2 date=1987-12-15 || masquerade-1988#0(standard/Judy romance) vol=1 date=1988-01
