verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:たつもとみお|name:ネコ×ネコhopeful	ネコ×ネコhopeful	1	2021-01	2021-01	fleur comics	龍本みお	9784046801531
本番に完全に無い		name:メリノ|name:ヌコヌコ♂動画splash live!!	ヌコヌコ♂動画splash live!!	1	2021-01	2021-01	マカロンリンクスcomics	メリノ	9784864954105
著者は本番に在る(作品は別)		name:Yamachi|name:ドラスティックfロマンス	ドラスティックfロマンス	1	2021-01	2021-01	Bamboo comics	やまち	9784801971868
本番に完全に無い		name:ほっかむり|name:ドSなアイドルがドタイプすぎてつらい	ドSなアイドルがドタイプすぎてつらい	1	2021-01	2021-01	バーズコミックス	ほっかむり	9784344847897
本番に完全に無い		name:野宮レナ|name:トルコの人がみんな親切だった話	トルコの人がみんな親切だった話	1	2021-01	2021-01		野宮レナ	9784781619460
本番に完全に無い		name:金田サト|name:デッドミートパラドクス	デッドミートパラドクス	1	2021-01	2021-01	モーニングKC	金田サト	9784065219348
著者は本番に在る(作品は別)		name:笹原智映|name:チート少女が暴君聖王に溺愛されそうですが今は魔法に夢中なんです!!!	チート少女が暴君聖王に溺愛されそうですが今は魔法に夢中なんです!!!	1	2021-01	2021-01	IDコミックス	夏野ちより / シチ	9784758035712
本番に完全に無い		name:悠ちとせ|name:センチメンタル・ダーリン	センチメンタル・ダーリン	1	2021-01	2021-01	Cult comics		9784773072464
本番に完全に無い		name:ナコラ|name:サンプリング・セックス	サンプリング・セックス	1	2021-01	2021-01	ミケプラスコミックス	ナコラ	9784846210168
本番に完全に無い		name:efrinman|name:ゴールデンレトリバーのエフとコメとのもっと楽しい暮らし	ゴールデンレトリバーのエフとコメとのもっと楽しい暮らし	1	2021-01	2021-01	エフ漫画	efrinman	9784065220900
本番に完全に無い		name:日野健太郎|name:コンビニ・オブ・ザ・デッド|sub:100日後に救助されるコンビニ店員	コンビニ・オブ・ザ・デッド	1	2021-01	2021-01	Neko mook	日野健太郎	9784777025732
著者は本番に在る(作品は別)	セレクション;雑誌名っぽい	name:池波正太郎|name:コミック乱ツインズセレクション|sub:身命を賭する時	コミック乱ツインズセレクション	1	2021-01	2021-01	SP comics	こだま学 / 増田貴彦 / 池波正太郎	9784845856978
同著者で題が包含(同一作品疑い)	セレクション;雑誌名っぽい	name:池波正太郎|name:コミック乱セレクション|sub:堅忍不抜	コミック乱セレクション	1	2021-01	2021-01	SP comics	桜小路むつみ / 平野仁 / 池波正太郎	9784845856923
本番に完全に無い		name:会川フゥ|name:ココロのち晴れ	ココロのち晴れ	1	2021-01	2021-01	picn comics	会川フゥ	9784823601293
著者は本番に在る(作品は別)		name:くろたま|name:ギャップがエグい後輩にガンガン振り回されているんだが!?	ギャップがエグい後輩にガンガン振り回されているんだが!?	1	2021-01	2021-01	Bamboo comics	陽村空葉	9784801971639
著者は本番に在る(作品は別)		name:パトリシア・ライアン|name:キスよりもっと	キスよりもっと	1	2021-01	2021-01	ハーレクインコミックス★キララ	RyanPatricia / 長崎真央子	9784596979001
本番に完全に無い		name:エヌオカヨチ|name:キスは番にひざまずく	キスは番にひざまずく	1	2021-01	2021-01	LiQulle Comics	エヌオカヨチ	9784865548181
著者は本番に在る(作品は別)		name:でん蔵|name:オレの幼なじみは天使で野獣	オレの幼なじみは天使で野獣	1	2021-01	2021-01	バーズコミックス	でん蔵	9784344847873
本番に完全に無い		name:三木原針|name:オネエ彼氏は独占したい	オネエ彼氏は独占したい	1	2021-01	2021-01	drap COMICS DX		9784866534701
著者は本番に在る(作品は別)		name:mine|name:エックス・ロー	エックス・ロー	1	2021-01	2021-01	Gush comics	すみ漫画家	9784796414104
本番に完全に無い		name:池泉|name:ウィークエンドシトロン	ウィークエンドシトロン	1	2021-01	2021-01	Baby comics	池泉	9784865896350
著者は本番に在る(作品は別)		name:ダイアナ・ウィン・ジョーンズ|name:アーヤと魔女	アーヤと魔女	1	2021-01	2021-01	アニメージュコミックススペシャル	JonesDiana Wynne / 丹羽圭子 / 郡司絵美	9784198652197
本番に完全に無い		name:与一マキナ|name:アスク・アフェクション	アスク・アフェクション	1	2021-01	2021-01	G-Lish comics	与一マキナ	9784866693613
本番に完全に無い		name:せきちさと|name:もちばけ|sub:おもちだけど、おばけです。	もちばけ	1	2021-01	2021-01		石原絵梨 / せきちさと	9784265830909
著者は本番に在る(作品は別)		name:嶋二|name:みだらな猫は吐息にとろける	みだらな猫は吐息にとろける	1	2021-01	2021-01	drap COMICS DX	嶋二	9784866534718
同著者で題が包含(同一作品疑い)		name:北芝健|name:まるごし刑事 (デカ)|sub:激アツスペシャル	まるごし刑事 (デカ)	6	2018-08	2021-01	マンサンQコミックス	渡辺みちお / 北芝健	9784408176055
本番に完全に無い		name:ぴーちゃん|name:ぴーちゃんは人間じゃない?|sub:ADHDでうつのわたし、働きづらいけどなんとかやってます	ぴーちゃんは人間じゃない?	1	2021-01	2021-01		ぴーちゃん	9784781619514
著者は本番に在る(作品は別)		name:柚樹ちひろ|name:ひみつのお付き合いをしています。	ひみつのお付き合いをしています。	1	2021-01	2021-01	Hugピクシブシリーズ	冬坂ころも	9784866574073
本番に完全に無い		name:れの子|name:はらぺこ淫魔はヤクザ天使の駄犬	はらぺこ淫魔はヤクザ天使の駄犬	1	2021-01	2021-01	Baby comics	れの子	9784865896374
本番に完全に無い		name:とみた黍|name:にんげん1人とねこ1匹	にんげん1人とねこ1匹	1	2021-01	2021-01			9784046801746
本番に完全に無い		name:鷹取ゆう|name:ただいま収蔵品整理中!|sub:学芸員さんの細かすぎる日常	ただいま収蔵品整理中!	1	2021-01	2021-01		関原みつ豆	9784309291253
著者は本番に在る(作品は別)		name:鯛野ニッケ|name:その世のどこか、常夜の楽園	その世のどこか、常夜の楽園	1	2021-01	2021-01	arca comics	鯛野ニッケ	9784866693576
著者は本番に在る(作品は別)		name:大橋キッカ|name:こじらせ純愛モンスター	こじらせ純愛モンスター	1	2021-01	2021-01	Gush comics	大橋キッカ	9784796414128
著者は本番に在る(作品は別)		name:市川けい|name:こいのこころのむこうがわ|sub:それを恋心と呼ぶのなら	こいのこころのむこうがわ	1	2021-01	2021-01	ビーボーイコミックスデラックス	市川けい	9784799750872
著者は本番に在る(作品は別)		name:藤村綾生|name:けものと、ももの、	けものと、ももの、	1	2021-01	2021-01	ミケプラスコミックス	ちま	9784846210137
著者は本番に在る(作品は別)		name:藍原育子|name:がんの記事を書いてきた私が乳がんに!?|sub:育児があるのにがんもきた	がんの記事を書いてきた私が乳がんに!?	1	2021-01	2021-01	MF comic essay	藍原育子 / 内野こめこ	9784046800886
著者は本番に在る(作品は別)		name:マーガレット・ウェイ|name:かつて誓った愛を	かつて誓った愛を	1	2021-01	2021-01	ハーレクインコミックス	WayMargaret / 雁えりか	9784596414755
本番に完全に無い		name:じゃのめ|name:お伽噺は泡と消え	お伽噺は泡と消え	1	2021-01	2021-01	バーズコミックス		9784344847880
本番に完全に無い		name:ぷぇんすく|name:おいしい日本地理|sub:まんがでわかる中学地理&ご当地グルメ	おいしい日本地理	1	2021-01	2021-01		ぷぇんすく / くじょう	9784065219003
著者は本番に在る(作品は別)		name:さいだ一明|name:うるはしの美魔女さん	うるはしの美魔女さん	1	2021-01	2021-01	Nichibun comics	さいだ一明	9784537143287
本番に完全に無い		name:無理薫|name:うちの年下ワンコは〈もう〉待てができません!	うちの年下ワンコは〈もう〉待てができません!	1	2021-01	2021-01	Love-quiche Comics	炉端 / 無理薫	9784815590123
著者は本番に在る(作品は別)		name:sono.N|name:いとおしき日々	いとおしき日々	1	2021-01	2021-01	Charles Comics	sono. N	9784815501570
著者は本番に在る(作品は別)		name:黒之響|name:いけずな声でとろけるカラダ|sub:美形住職を密着取材	いけずな声でとろけるカラダ	1	2021-01	2021-01	Melt comics	森月あめ / 黒之響	9784396701260
本番に完全に無い		name:ネルノダイスキ|name:いえめぐり	いえめぐり	1	2021-01	2021-01	BEAM COMIX	ネルノダイスキ	9784047365278
著者は本番に在る(作品は別)		name:背筋|name:あやかし茶屋で待ち合わせ	あやかし茶屋で待ち合わせ	1	2021-01	2021-01	ミケプラスコミックス	背筋	9784846210182
本番に完全に無い		name:綴屋めぐる|name:あいのかさぶた	あいのかさぶた	1	2021-01	2021-01	Gush comics	綴屋めぐる	9784796414159
著者は本番に在る(作品は別)		name:アオヒトヒラ|name:「好き」が錆びるその前に	「好き」が錆びるその前に	1	2021-01	2021-01	Cult comics	アオヒトヒラ	9784773072488
本番に完全に無い		name:さざなみ|name:「どんなときでも味方だよ」って伝えたい!	「どんなときでも味方だよ」って伝えたい!	1	2021-01	2021-01		さざなみ	9784047364639
著者は本番に在る(作品は別)		name:藤間みお|name:Ωが欲を孕む時	Ωが欲を孕む時	1	2021-01	2021-01	Kyun comics	田仲みのる	9784774732121
著者は本番に在る(作品は別)		name:Namori|name:YRYR	YRYR	1	2021-01	2021-01	YH comics	なもり	9784758021982
著者は本番に在る(作品は別)		name:Honjyou|name:Fushidara na incense	Fushidara na incense	1	2021-01	2021-01	花音コミックス	本庄りえ	9784832291584
本番に完全に無い		name:藤原ひろのぶ|name:EARTHおじさん46億才	EARTHおじさん46億才	1	2021-01	2021-01		ほう	9784866809144
著者は本番に在る(作品は別)		name:Chiroru Kobato|name:Sōseki Natsume's I Am a Cat|sub:The Manga Edition	Sōseki Natsume's I Am a Cat	1	2021	2021		DavissonZack / 夏目漱石 / 小鳩チロル	9784805316573
本番に完全に無い		name:日豆思惟子|name:アーチ・クランフものがたり	アーチ・クランフものがたり	1	2020-12-22	2020-12-22		日豆思惟子	9784870357044
本番に完全に無い		name:ぱるぱーる|name:黒猫ナノとキジシロ猫きなこ	黒猫ナノとキジシロ猫きなこ	1	2020-12	2020-12		ぱるぱーる	9784040647944
著者は本番に在る(作品は別)		name:お湯かけご飯|name:黒楽園	黒楽園	1	2020-12	2020-12	キャンディタフトコミックス	お湯かけご飯	9784434282003
著者は本番に在る(作品は別)		name:サンドラ・マートン|name:麗しきレッスン	麗しきレッスン	1	2020-12	2020-12	ハーレクインコミックス・ダイヤ	MartonSandra / アリスン	9784596414519
本番に完全に無い		name:碗島子|name:鳴けないトヒコ	鳴けないトヒコ	1	2020-12	2020-12	Bamboo comics	碗島子	9784801971462
著者は本番に在る(作品は別)	wide/ワイド	qid:Q11273362|name:魔界転生	魔界転生	8	1999-06	2020-12	SP comics / SP pocket wide / SPコミックス	山田風太郎 / とみ新蔵 / 山口知子	9784845819515
著者は本番に在る(作品は別)		name:紫妲たかゆき|name:鬼の餌じゃありません	鬼の餌じゃありません	1	2020-12	2020-12	ボーイズduoセレクション	葉月エリカ	9784396700300
著者は本番に在る(作品は別)		name:季田ビスコ|name:類は恋を呼ぶ	類は恋を呼ぶ	1	2020-12	2020-12	fleur comics	秋じたく	9784040659961
本番に完全に無い		name:浅ひるゆう|name:霧島絵美さまの新人教育	霧島絵美さまの新人教育	1	2020-12	2020-12	YKコミックス	浅ひるゆう	9784785968151
本番に完全に無い		name:タユム|name:雑種犬ゴンさんがダサかわいい	雑種犬ゴンさんがダサかわいい	1	2020-12	2020-12		関原みつ豆	9784046800930
本番に完全に無い		name:彩月ユリィ|name:除霊はセックスです	除霊はセックスです	1	2020-12	2020-12	Poe backs	彩月ユリィ	9784865896329
著者は本番に在る(作品は別)		name:小鬼36℃|name:鋼鉄と迅雷	鋼鉄と迅雷	1	2020-12	2020-12	Chéri +	安房さとる	9784403667534
著者は本番に在る(作品は別)		name:桧垣森輪|name:過保護な警視の溺愛ターゲット	過保護な警視の溺愛ターゲット	1	2020-12	2020-12	Eternity COMICS	桧垣森輪 / ちゃわん	9784434282263
著者は本番に在る(作品は別)		name:青砥あか|name:身分逆転|sub:再会と復讐と愛	身分逆転	1	2020-12	2020-12	Missy comics	桜庭ゆい	9784776752462
著者は本番に在る(作品は別)		name:シャロン・ケンドリック|name:誘惑を望んだ夜	誘惑を望んだ夜	1	2020-12	2020-12	ハーレクインコミックス★キララ	KendrickSharon / 一重夕子	9784596978936
本番に完全に無い		name:KINGPAWN|name:蕩けるカラダは乙女色	蕩けるカラダは乙女色	1	2020-12	2020-12	GOTコミックス		9784823601170
著者は本番に在る(作品は別)		name:小林ちさと|name:草食系なサキュバスだけど、えっちなレッスンしてくれますか?	草食系なサキュバスだけど、えっちなレッスンしてくれますか?	1	2020-12	2020-12	ヤングジャンプコミックス	藤咲実佳 / 守見アイ	9784088918082
著者は本番に在る(作品は別)		name:ミギノヤギ|name:茅花かす陽	茅花かす陽	1	2020-12	2020-12	Bamboo comics	喃喃	9784801971455
著者は本番に在る(作品は別)		name:九重シャム|name:花の皇	花の皇	1	2020-12	2020-12	marginal	青山アルト	9784575380750
著者は本番に在る(作品は別)		name:淀川ゆお|name:腐男子クン達のビタースイートデイズ	腐男子クン達のビタースイートデイズ	1	2020-12	2020-12	B's-LOVEY COMICS	淀川ゆお	9784047364509
著者は本番に在る(作品は別)		name:杉原マチコ|name:義兄が僕を溺愛する	義兄が僕を溺愛する	1	2020-12	2020-12	あすかコミックスCL-DX	杉原マチコ	9784041109168
著者は本番に在る(作品は別)		name:はるこ|name:紳士は胸元に愛を秘める	紳士は胸元に愛を秘める	1	2020-12	2020-12	Bunkasha comics	はるこ	9784821127146
著者は本番に在る(作品は別)		name:たうみまゆ|name:素晴らしきこのクソ世界	素晴らしきこのクソ世界	1	2020-12	2020-12	カチCOMI	たうみまゆ	9784253154987
著者は本番に在る(作品は別)		name:三浦コズミ|name:突然何となく隣の席の同僚とキスしたくなりました。	突然何となく隣の席の同僚とキスしたくなりました。	1	2020-12	2020-12	Lily love series	三浦コズミ	9784813054252
本番に完全に無い		name:ティー・ブイ|name:私たちにできたこと|sub:難民になったベトナムの少女とその家族の物語	私たちにできたこと	1	2020-12	2020-12		椎名ゆかり / BuiThi	9784845919260
著者は本番に在る(作品は別)		name:浅井海奈|name:福引き怨霊生活	福引き怨霊生活	1	2020-12	2020-12	HARTA COMIX	浅井海奈	9784047362734
著者は本番に在る(作品は別)		name:むつきらん|name:神獣は黒神と戯れる	神獣は黒神と戯れる	1	2020-12	2020-12	Gush comics	むつきらん	9784796414074
本番に完全に無い		name:こうのみさと|name:祖母漫画『ハルエさん』	祖母漫画『ハルエさん』	1	2020-12	2020-12		こうのみさと	9784991178603
著者は本番に在る(作品は別)		name:村上春樹|name:眠り	眠り	1	2020-12	2020-12	HARUKI MURAKAMI 9 STORIES	村上春樹 / 日乃チハヤ	9784884185565
本番に完全に無い		name:青井秋|name:百草の裏庭	百草の裏庭	1	2020-12	2020-12	Canna Comics		9784829686447
同著者で題が包含(同一作品疑い)		name:佐崎いま|name:発情期じゃなきゃ殴ってる!その後の話	発情期じゃなきゃ殴ってる!その後の話	1	2020-12	2020-12	fleur comics	高瀬ろく	9784046800640
著者は本番に在る(作品は別)		name:乃亜|name:痴女レッスン|sub:これからは女も攻める時代!	痴女レッスン	1	2020-12	2020-12	グランドジャンプ愛蔵版コミックス	乃亜 / 峰なゆか	9784087927399
著者は本番に在る(作品は別)		name:夏目みや|name:異世界王子の年上シンデレラ	異世界王子の年上シンデレラ	1	2020-12	2020-12	Regina COMICS	夏目みや / マツリ	9784434282645
本番に完全に無い		name:華先亜輝|name:生贄女教師|sub:服従の時姦割	生贄女教師	1	2020-12	2020-12	GENESYS COMICS		9784865377002
本番に完全に無い		name:伊さらこてん|name:理系彼氏はエッチも天才|sub:私のカラダで実験しないでください!	理系彼氏はエッチも天才	1	2020-12	2020-12	Missy comics	伊さらこてん	9784776752486
著者は本番に在る(作品は別)		name:月城うさぎ|name:王太子さまの甘すぎる偏愛|sub:おあずけは初夜まで	王太子さまの甘すぎる偏愛	1	2020-12	2020-12	乙女ドルチェ・コミックス	月城うさぎ / 三夏	9784596415028
著者は本番に在る(作品は別)		name:桑原祐子|name:獣人貴族のお気に入り	獣人貴族のお気に入り	1	2020-12	2020-12	Gush comics	桑原祐子	9784796414050
著者は本番に在る(作品は別)		name:神城葵|name:独占欲全開の幼馴染は、エリート御曹司。	独占欲全開の幼馴染は、エリート御曹司。	1	2020-12	2020-12	Eternity COMICS	丈 / コヨリ	9784434282270
本番に完全に無い		name:柵飛ヒツジ|name:犬と鶯	犬と鶯	1	2020-12	2020-12	Baby comics	柵飛ヒツジ	9784865896336
著者は本番に在る(作品は別)		name:丸顔めめ|name:熟れゆく柔肌	熟れゆく柔肌	1	2020-12	2020-12	Melty bullet comics	青木庸	9784537143157
本番に完全に無い		name:久留米くる|name:潜在的ラブゲイザー	潜在的ラブゲイザー	1	2020-12	2020-12	Cult comics	久留米くる	9784773072501
著者は本番に在る(作品は別)		name:園内かな|name:淫靡なる血族|sub:変態フェロモンのせいで肉食一族に狙われ困っています	淫靡なる血族	1	2020-12	2020-12	Missy comics	園内かな / 美和	9784776752516
著者は本番に在る(作品は別)		name:アカギギショウ|name:淫紋治療士	淫紋治療士	1	2020-12	2020-12	ジュネットコミックス	アカギギショウ	9784909460615
著者は本番に在る(作品は別)		name:トビワシオ|name:河川敷ロミジュリ抗争曲	河川敷ロミジュリ抗争曲	1	2020-12	2020-12	DAISY COMICS	トビワシオ	9784815550493
本番に完全に無い		name:北瀬ユズ|name:毒親絶縁日記	毒親絶縁日記	1	2020-12	2020-12		北瀬ユズ	9784835639925
著者は本番に在る(作品は別)		name:千野ち|name:残響イマージュ	残響イマージュ	1	2020-12	2020-12	ビーエフシリーズ	千野ち	9784867170953
著者は本番に在る(作品は別)		name:三ツ矢凡人|name:歪な愛の夜明けを待つ	歪な愛の夜明けを待つ	1	2020-12	2020-12	B.Pilz comics	三ツ矢凡人	9784861238628
本番に完全に無い		name:鬼嶋兵伍|name:極上獅子育成計画	極上獅子育成計画	1	2020-12	2020-12	Bamboo comics	鬼嶋兵伍	9784801971325
本番に完全に無い		name:室秋沙耶美|name:本当に怖い話マックス無限地獄|sub:恐怖レベル、ついに最終ラインを突破!!	本当に怖い話マックス無限地獄	1	2020-12	2020-12		室秋沙耶美	9784405073203
著者は本番に在る(作品は別)		name:いさき李果|name:暗闇の龍は蜻蛉を抱く	暗闇の龍は蜻蛉を抱く	1	2020-12	2020-12	drap COMICS DX	いさき李果	9784866534558
本番に完全に無い		name:白目みさえ|name:日々白目向いてます|sub:脱力系育児マンガ	日々白目向いてます	1	2020-12	2020-12		白目みさえ	9784815608842
著者は本番に在る(作品は別)		name:福嶋ユッカ|name:推して知るべし	推して知るべし	1	2020-12	2020-12	Gush comics	福嶋ユッカ	9784796414081
著者は本番に在る(作品は別)		name:まぶた単|name:掘られ惚れられなんとやら	掘られ惚れられなんとやら	1	2020-12	2020-12	B's-LOVEY COMICS	上野綺士	9784047364516
著者は本番に在る(作品は別)		name:ジェシカ・スティール|name:愛人と呼ばれて	愛人と呼ばれて	1	2020-12	2020-12	ハーレクインコミックス	SteeleJessica / 宮城朗子	9784596414731
著者は本番に在る(作品は別)		name:おけいど|name:悪い男と恋の罠	悪い男と恋の罠	1	2020-12	2020-12	Bunkasha comics	おけいど	9784821127115
本番に完全に無い		name:オオヒラヨウ|name:恋ヶ淵エクトプラズム	恋ヶ淵エクトプラズム	1	2020-12	2020-12	Enigma comics	オオヒラヨウ	9784775529478
著者は本番に在る(作品は別)		name:伊藤良|name:恋を知るにはまだ青い	恋を知るにはまだ青い	1	2020-12	2020-12	マカロンリンクスcomics	伊藤良	9784864953986
著者は本番に在る(作品は別)		name:靴川|name:恋に堕ちろよ、サバイバー	恋に堕ちろよ、サバイバー	1	2020-12	2020-12	MARBLE COMICS	靴川	9784864424028
本番に完全に無い		name:にたこ|name:後輩の雄っぱいが好きすぎる	後輩の雄っぱいが好きすぎる	1	2020-12	2020-12	Charles Comics	にたこ	9784815501501
本番に完全に無い		name:湯本みこ|name:年下彼氏は宅配便のお兄さんです。	年下彼氏は宅配便のお兄さんです。	1	2020-12	2020-12	あすかコミックスCL-DX	湯本みこ	9784041109175
著者は本番に在る(作品は別)		name:井伊イチノ|name:年下Ωに押しかけ女房されてます	年下Ωに押しかけ女房されてます	1	2020-12	2020-12	BIRZ COMICS	詩原ヒロ	9784344847736
著者は本番に在る(作品は別)		name:春野湊|name:宰相閣下の淫らなたくらみ	宰相閣下の淫らなたくらみ	1	2020-12	2020-12	乙女ドルチェ・コミックス	一城咲ルイ / merryhachi	9784596414984
本番に完全に無い		name:高嶋あがさ|name:孤独死しないためのおひとりさまサバイバル術	孤独死しないためのおひとりさまサバイバル術	1	2020-12	2020-12	BAMBOO ESSAY SELECTION		9784801924604
著者は本番に在る(作品は別)		name:アニー・バロウズ|name:子爵の贈り物	子爵の贈り物	1	2020-12	2020-12	ハーレクインコミックス・パール	津谷さとみ	9784596413390
著者は本番に在る(作品は別)		name:山本白湯|name:姫と騎士たち	姫と騎士たち	1	2020-12	2020-12		山本白湯	9784040659244
著者は本番に在る(作品は別)		name:宮本ぺるみ|name:夫が自殺したので会社はじめました。	夫が自殺したので会社はじめました。	1	2020-12	2020-12	BAMBOO ESSAY SELECTION	宮本ぐみ / 宮本ぺるみ	9784801924963
著者は本番に在る(作品は別)		name:レベッカ・ウインターズ|name:大富豪と愛を語る花	大富豪と愛を語る花	1	2020-12	2020-12	ハーレクインコミックス★キララ	WintersRebecca / 松尾しより	9784596978929
同著者で題が包含(同一作品疑い)	大判	name:池波正太郎|name:大判鬼平犯科帳|sub:剣客	大判鬼平犯科帳	1	2020-12	2020-12	SP next	池波正太郎 / さいとう・たかを / 久保田千太郎	9784845856855
著者は本番に在る(作品は別)		name:金沢有倖|name:大人の事情	大人の事情	1	2020-12	2020-12	スリーズロゼコミックス	きらた / 金沢有倖	9784799214510
著者は本番に在る(作品は別)		name:浄土るる|name:地獄色|sub:浄土るる短編集	地獄色	1	2020-12	2020-12	ビッグコミックス	村崎ハネル	9784098607600
著者は本番に在る(作品は別)		name:シャロン・サラ|name:地上より永遠へ	地上より永遠へ	1	2020-12	2020-12	ハーレクインコミックス★キララ	SalaSharon / 藤田和子	9784596978905
著者は本番に在る(作品は別)		name:キャロル・モーティマー|name:囚われの宝石	囚われの宝石	1	2020-12	2020-12	ハーレクインコミックス★キララ	MortimerCarole / 桐坂真生	9784596978943
著者は本番に在る(作品は別)		name:Arinco|name:君へ結ぶハッピーエンド	君へ結ぶハッピーエンド	1	2020-12	2020-12	Mimosa	Arinco	9784845856879
本番に完全に無い		name:市花マツビ|name:同期のエロ肌が気持ちよすぎる!	同期のエロ肌が気持ちよすぎる!	1	2020-12	2020-12	drap COMICS DX		9784866534657
著者は本番に在る(作品は別)		name:レベッカ・ウインターズ|name:古城が呼ぶ愛	古城が呼ぶ愛	1	2020-12	2020-12	ハーレクインコミックス★キララ	WintersRebecca / 松尾しより	9784596978912
著者は本番に在る(作品は別)		name:村カルキ|name:叛逆のヴァロウ	叛逆のヴァロウ	1	2020-12	2020-12	コミックポルカ	辻村七子 / 大上誠人	9784891996819
著者は本番に在る(作品は別)		name:鯨庭|name:千の夏と夢	千の夏と夢	1	2020-12	2020-12	torch comics	鯨庭	9784845860722
本番に完全に無い		name:東河みそ|name:初体験は2度目もキミと。|sub:迷える花嫁の甘濡れ事情	初体験は2度目もキミと。	1	2020-12	2020-12	Bamboo comics	東河みそ	9784801971509
著者は本番に在る(作品は別)		name:宇奈月香|name:公爵様の不埒な蜜愛計画	公爵様の不埒な蜜愛計画	1	2020-12	2020-12	乙女ドルチェ・コミックス	宇奈月香 / つばさ	9784596415011
本番に完全に無い		name:南ひかり|name:優しい騎士は、もうやめる。|sub:極甘幼なじみの独占欲にずっぷりハメられてます	優しい騎士は、もうやめる。	1	2020-12	2020-12	ひめ恋selection	紅茶りく / 南ひかり	9784396704179
本番に完全に無い		name:時計|name:僕は先日死にました。	僕は先日死にました。	1	2020-12	2020-12	donna comics	時計	9784778086060
本番に完全に無い		name:平喜多ゆや|name:僕のハッピー悪魔ちゃん!	僕のハッピー悪魔ちゃん!	1	2020-12	2020-12	BIRZ COMICS	平喜多ゆや	9784344847712
著者は本番に在る(作品は別)		name:サラ・クレイヴン|name:侯爵家の花嫁	侯爵家の花嫁	1	2020-12	2020-12	ハーレクインコミックス・ダイヤ	CravenSara / 花津美子	9784596414526
本番に完全に無い		name:柏耕一|name:交通誘導員ヨレヨレ漫画日記	交通誘導員ヨレヨレ漫画日記	1	2020-12	2020-12		柏耕一 / 植本勇 / 堀田孝之	9784866809137
本番に完全に無い		name:夜野ムクロジ|name:世界の終わりみたいな朝|sub:夜野ムクロジ抒情まんが短編集	世界の終わりみたいな朝	1	2020-12	2020-12		夜野ムクロジ	9784815023645
著者は本番に在る(作品は別)		name:白松|name:不器用な白衣の脱がし方	不器用な白衣の脱がし方	1	2020-12	2020-12	G-Lish comics	白松	9784866693521
著者は本番に在る(作品は別)		name:コウキ。|name:三兄弟、おにいちゃんの愛	三兄弟、おにいちゃんの愛	1	2020-12	2020-12	Bamboo comics	甘野めぐみ	9784801971653
著者は本番に在る(作品は別)		name:重い実|name:三代目同士、「喫茶と」「酒屋の」幼なじみ	三代目同士、「喫茶と」「酒屋の」幼なじみ	1	2020-12	2020-12	Gateau comics	重い実	9784758021852
本番に完全に無い		name:つくぐ|name:一般人遠方より帰る。また働かねば!	一般人遠方より帰る。また働かねば!	1	2020-12	2020-12	KCDX	猿乃樹	9784065213025
本番に完全に無い		name:75|name:一緒にいただきます	一緒にいただきます	1	2020-12	2020-12	Chara comics	荻並トシコ	9784199608476
本番に完全に無い		name:星名あんじ|name:一生イタい恋をしたいよ	一生イタい恋をしたいよ	1	2020-12	2020-12	Honey Milk Comics	COCO	9784065217559
著者は本番に在る(作品は別)		name:ルビン|name:ヴォルトロン|sub:DREAMWORKS	ヴォルトロン	1	2020-12	2020-12		HallMisae / 彩月つかさ / IversonMitch	9784909434937
著者は本番に在る(作品は別)		name:毒雄|name:ロンリーロンリーマイヒーロー	ロンリーロンリーマイヒーロー	1	2020-12	2020-12	Baby comics	毒雄	9784865896312
著者は本番に在る(作品は別)		name:左藤さなゆき|name:ロマンチック・ラメント	ロマンチック・ラメント	1	2020-12	2020-12	Gush comics	左藤さなゆき	9784796414043
本番に完全に無い		name:きのひろみ|name:ヤバすぎ家族|sub:美しきマダムのつぶやき	ヤバすぎ家族	1	2020-12	2020-12		きのひろみ	9784286221373
著者は本番に在る(作品は別)		name:ねんごろう。|name:ヤクザの恋人(イロ)はアホかわいい	ヤクザの恋人(イロ)はアホかわいい	1	2020-12	2020-12	Charles Comics	日向探偵	9784815501518
著者は本番に在る(作品は別)		name:風緒|name:ミッドナイトストレイアニマルズ	ミッドナイトストレイアニマルズ	1	2020-12	2020-12	Bamboo comics	風緒	9784801971530
著者は本番に在る(作品は別)		name:依子|name:ヘタクソラブステップ	ヘタクソラブステップ	1	2020-12	2020-12	Bamboo comics	依子	9784801971479
著者は本番に在る(作品は別)		name:四宮しの|name:プレゼントフォーユー	プレゼントフォーユー	1	2020-12	2020-12	Bamboo comics	四宮しの	9784801971561
著者は本番に在る(作品は別)		name:牧コチコ|name:プライベート・ファンサービス|sub:WHAT IS THE IDOL FOR YOU?	プライベート・ファンサービス	1	2020-12	2020-12	arca comics	牧コチコ	9784866693484
著者は本番に在る(作品は別)		name:きゃっするのーす|name:フィアンセ課長は優しいドS	フィアンセ課長は優しいドS	1	2020-12	2020-12	Love-quiche Comics	okamura	9784815590116
著者は本番に在る(作品は別)		name:小山ナオト|name:バトルビースト	バトルビースト	1	2020-12	2020-12	アルファポリスCOMICS	小山ナオト	9784434282577
著者は本番に在る(作品は別)		name:よこざわ|name:ニビとクロバ|sub:lonely wolf & lovely crow	ニビとクロバ	1	2020-12	2020-12	Gateau comics	ヨコザワ	9784758021869
