verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:美谷尤|name:明智ナンバーワン	明智ナンバーワン	3	2026-02-23	2026-06-29	KCDX. 週刊少年マガジン	美谷尤	9784065425855
本番に完全に無い		name:盛田のどか|name:恋しない君と恋がしたい	恋しない君と恋がしたい	1	2026-06-29	2026-06-29	drap COMICS DX		9784866539782
著者は本番に在る(作品は別)		name:きし晴護|name:大草原の小さな領主	大草原の小さな領主	2	2026-02-09	2026-06-29	ガルドコミックス	きし晴護 / 赤村咲	9784824015372
本番に完全に無い		name:寿千花|name:冷酷参謀の夫婦円満計画	冷酷参謀の夫婦円満計画	2	2025-12-05	2026-06-29	Pur comics Pure	戸瀬つぐみ / 寿千花	9784866698205
著者は本番に在る(作品は別)		name:夏生恒|name:冷徹CEOは田舎の女神に恋をする	冷徹CEOは田舎の女神に恋をする	1	2026-06-29	2026-06-29	Daitosha comic. Daito comics TLシリーズ	夏生恒	9784864958097
本番に完全に無い		name:こむぎpub.|name:修学旅行で仲良くないグループに入りました	修学旅行で仲良くないグループに入りました	1	2026-06-29	2026-06-29	BeLuck COMICS		9784813766063
著者は本番に在る(作品は別)		name:丹空舞|name:ヴァレリアン公爵夫人の穏やかな復讐	ヴァレリアン公爵夫人の穏やかな復讐	1	2026-06-29	2026-06-29	LAKE	西宮瑠花	9784758099257
本番に完全に無い		name:春臣|name:リミテッドボーイフレンド	リミテッドボーイフレンド	1	2026-06-29	2026-06-29	エクレアcomic		9784434378812
著者は本番に在る(作品は別)		name:エノキスルメ|name:フリードリヒの戦場	フリードリヒの戦場	2	2025-07-18	2026-06-29	ガルドコミックス	上機しほ / エノキスルメ	9784824012685
本番に完全に無い		name:あボーン|name:ネトゲの嫁が人気アイドルだった	ネトゲの嫁が人気アイドルだった	2	2025-04-19	2026-06-29	ガルドコミックス	もっつぉ / あボーン	9784824011299
本番に完全に無い		name:紙城境介|name:シャーロック+アカデミー	シャーロック+アカデミー	1	2026-06-29	2026-06-29	BUNCOMI FANTASY	紙城境介	9784160902466
著者は本番に在る(作品は別)		name:押切蓮介|name:コワイかもしれない	コワイかもしれない	1	2026-06-29	2026-06-29	BAMBOO ESSAY SELECTION	押切蓮介	9784801949621
本番に完全に無い		name:玖々嶌社|name:キラキラの壊し方	キラキラの壊し方	2	2026-01-26	2026-06-29	シリウスKC	山田大和	9784065422397
本番に完全に無い		name:7Liquid|name:なにも理解らない	なにも理解らない	2	2025-11-08	2026-06-29	FUZ comics	7Liquid	9784832205598
同題頁あり(著者不一致)		name:松基羊|name:Revenge	Revenge	1	2026-06-29	2026-06-29	Kaiohsha comics. &. emo comics	松基羊	9784796418249
著者は本番に在る(作品は別)		name:二重いち実|name:顔も思い出せない婚約者に、婚約解消を提案しましたが	顔も思い出せない婚約者に、婚約解消を提案しましたが	2	2025-07-01	2026-06-22	ブリーゼコミックス	瑪々子 / 二重いち実	9784799220641
