class	slug	title	n_series	n_editions	cluster_dump
A_SPLIT_WORK?	jotei-katharina	女帝エカテリーナ	3	6	sid37790(池田理代子/アンリ・トロワイヤ): aizoban[中公愛蔵版] 1冊 1987-07〜1987-07 ISBN1 | sid95803(榎本由美): standard[世界美女秘話シリーズ] 1冊 2007-09〜2007-09 ISBN1 | sid95804(池田理代子/アンリ・トロワイヤ): bunkobon[中公文庫コミック版] 3冊 1994-09〜1994-09 ISBN3 ; standard[] 3冊 1982-09-20〜1984-03-20 ISBN1 ; standard[KCDX] 4冊 2014-11〜2014-11 ISBN4 ; standard[中公コミックス] 2冊 1983-03〜1984-09-20 ISBN1
A_SPLIT_WORK?	judo-itchokusen	柔道一直線	3	7	sid31257(ダイナマイト鉄/永島慎二): bunkobon[光文社文庫comic series] 7冊 1998-02-20〜1998-04-20 ISBN7 ; standard[] 7冊 2004-02〜2004-07 ISBN7 ; standard[KCスペシャル] 4冊 1991-01-08〜1991-02-06 ISBN0 | sid48343(ダイナマイト鉄/永島慎二): standard[KCスペシャル] 4冊 1990-11-06〜1990-12-06 ISBN0 ; standard[キング・コミックス] 11冊 1968-03-15〜1970-06-01 ISBN0 | sid157025(ダイナマイト鉄/永島慎二): standard[SC] 2冊 1986-01-01〜1986-01-01 ISBN0 ; standard[サンケイコミックス] 8冊 198
A_SPLIT_WORK?	katamezaru	片目猿	3	3	sid45584(横山光輝): bunkobon[講談社漫画文庫] 1冊 2008-01〜2008-01 ISBN1 ; standard[COMPACT COMICS] 2冊 1968-02-29〜1968-02-29 ISBN0 | sid159016(横山光輝/遠藤ケイ): bunkobon[小学館文庫] 2冊 1976-04-20〜1976-04-20 ISBN0
A_SPLIT_WORK?	kinnikuman	キン肉マン	2	5	sid75768(江川卓/ゆでたまご): bunkobon[集英社文庫 コミック版] 18冊 1999-01-19〜1999-11 ISBN18 ; standard[Shueisha jump remix] 7冊 2001-03〜2004-11 ISBN7 ; standard[ジャンプコミックス] 120冊 1980-12-15〜2026-04-27 ISBN116 ; standard[ジャンプコミックスセレクション] 26冊 1994-07〜1996-08-26 ISBN26 | sid140210(花とゆめコミックス編集部/ゆでたまご): standard[ジャンプ・コミックス] 7冊 1980-02〜1982-07 ISBN0
A_SPLIT_WORK?	kozure-ookami	子連れ狼	3	13	sid48497(小池一夫/小島剛夕): bunkobon[小学館文庫] 3冊 1979-05-20〜1979-09-20 ISBN1 ; standard[] 1冊 〜 ISBN0 ; standard[Comic魂別冊] 11冊 2018-05〜2020-01 ISBN11 ; standard[King series] 20冊 2011-12〜2013-05 ISBN20 ; standard[アクション・コミックス] 18冊 1972-02〜1983-02-10 ISBN0 ; standard[劇画キングシリーズ] 2冊 1990-08〜1991-09 ISBN1 ; standard[漫画アクション・コミックス] 1冊 1971-09-01〜1971-09-01 ISBN0 | sid56347(小池一夫/小島剛夕): bunkobon[道草文庫] 28冊 1995-03〜19
A_SPLIT_WORK?	mach-sos	マッハSOS	2	2	sid40118(桜多吾作): standard[マンガショップシリーズ] 4冊 2014-02-02〜2014-04-02 ISBN4 | sid84730(): standard[100てんランドコミックス] 6冊 1981-12-30〜1983-02-20 ISBN0
A_SPLIT_WORK?	nyankororin	にゃんころりん	2	3	sid4561(ところはつえ): standard[] 1冊 2014-03〜2014-03 ISBN1 ; standard[マーガレットコミックス] 3冊 1974-07-20〜1979-03-20 ISBN0 | sid136632(ところはつえ/花とゆめコミックス編集部): standard[マーガレット・コミックス] 1冊 1978-04〜1978-04 ISBN0
A_SPLIT_WORK?	sahara	サハラ	3	6	sid16401(小池一夫/平野仁): bunkobon[小学館文庫] 1冊 1979-04〜1979-04 ISBN0 ; standard[キングシリーズ] 4冊 2011-02〜2011-04 ISBN4 | sid29796(高口里純): standard[Emerald comics] 1冊 2014-02〜2014-02 ISBN1 | sid56306(小池一夫/平野仁): bunkobon[小学館文庫] 7冊 1978-08〜1979-08 ISBN0 ; standard[ビッグコミックス] 8冊 1974-12-10〜1976-05 ISBN0 ; standard[劇画キングシリーズ] 2冊 1985-02-15〜1985-04-15 ISBN0
A_SPLIT_WORK?	sanada-kenryuu	真田剣流	2	9	sid31718(白土三平): bunkobon[小学館文庫] 2冊 1999-06〜1999-06 ISBN2 ; standard[] 1冊 1967-07-30〜1967-07-30 ISBN0 ; standard[KODAMA DIAMOND COMICS] 3冊 1966-05-10〜1966-06-30 ISBN0 ; standard[My first big special] 1冊 2007-04〜2007-04 ISBN1 ; standard[Series of Ninja] 2冊 1961-10〜1961-10 ISBN0 ; standard[コンパクト・コミックス] 3冊 1968-03-31〜1968-04-30 ISBN0 ; standard[ホーム・コミックス] 3冊 1975-10-05〜1975-11-20 ISBN0 ; standard[小学館叢
A_SPLIT_WORK?	sandarabotchi	さんだらぼっち	3	5	sid45171(石ノ森章太郎): bunkobon[小学館文庫] 2冊 1983-11-20〜1984-11 ISBN2 ; standard[ビッグコミックス] 17冊 1976-08-01〜1982-11 ISBN0 ; standard[石ノ森章太郎萬画大全集] 17冊 〜 ISBN0 | sid45172(石ノ森章太郎): standard[Tokuma comics] 1冊 2018-02〜2018-02 ISBN1 | sid135597(石ノ森章太郎/角田純男): bunkobon[小学館文庫] 4冊 1983-06〜1984-07-20 ISBN4
A_SPLIT_WORK?	sengoku-jieitai	戦国自衛隊	4	8	sid40267(森秀樹): standard[SP pocket wide] 2冊 2018-09〜2018-10 ISBN2 ; standard[SPコミックス] 4冊 2014-11〜2017-05 ISBN4 | sid102133(田辺節雄/半村良): bunkobon[セブン文庫] 1冊 2008-03〜2008-03 ISBN1 ; bunkobon[秋田漫画文庫] 2冊 1976-07-20〜1976-07-20 ISBN0 ; standard[Sebunコミックス] 1冊 1998-07〜1998-07 ISBN1 ; standard[アリババコミックス] 4冊 2002-04〜2016-01 ISBN4 ; standard[パーフェクト・メモワール] 4冊 2022-03〜2022-06 ISBN4 ; standard[秋田コミックス・セレクト] 1冊 198
A_SPLIT_WORK?	shounen-keniya	少年ケニヤ	3	9	sid15062(山川惣治/石川球太): anime[富士見コミックス・アニメ版] 9冊 1984-02〜1984-03 ISBN0 ; bunkobon[サンケイ児童文庫] 19冊 1953-07-20〜1955-11-01 ISBN0 ; bunkobon[角川文庫] 3冊 1984-02〜1984-02 ISBN2 ; standard[] 4冊 〜 ISBN4 ; standard[MANGA Shop Series] 2冊 2005-11-03〜2005-11-03 ISBN2 ; standard[サンケイ・ジュニア ブックス] 10冊 1976-03-23〜1976-07-02 ISBN0 ; standard[絵物語名作館] 1冊 1996-07〜1996-07 ISBN1 | sid15063(山川惣治/石川球太): standard[] 2冊 1962-08〜1963-
