class	slug	title	n_series	n_editions	cluster_dump
B_REPRINT_MIX	douchuushi	道中師	2	6	sid48541(小池一夫/小島剛夕): bunkobon[秋田漫画文庫] 4冊 1976〜1976-10 ISBN1 ; standard[King series] 2冊 2012-05〜2012-06 ISBN2 ; standard[劇画king series] 1冊 1973-10-30〜1973-10-30 ISBN0 ; standard[劇画キングシリーズ] 3冊 1984-04〜1984-06 ISBN0 | sid129953(小池一夫/小島剛夕): standard[劇画king series] 3冊 1973-06-20〜1975-06 ISBN0 ; standard[劇画キングシリーズ] 1冊 1984-04〜1984-04 ISBN0
B_REPRINT_MIX	eru-arukon-taka	エル・アルコン-鷹-	1	4	sid40997(青池保子): bunkobon[秋田文庫] 1冊 2000-04〜2000-04 ISBN1 ; standard[] 1冊 2012-06〜2012-06 ISBN1 ; standard[PRINCESS COMICS] 1冊 1979-01〜1979-01 ISBN0 ; standard[プリンセスコミックス] 1冊 1979-03〜1979-03 ISBN1
B_REPRINT_MIX	gaki-deka	がきデカ	3	9	sid41932(山上たつひこ): bunkobon[秋田文庫] 2冊 1995-08〜1995-08 ISBN2 ; standard[] 3冊 1988-12〜1988-12 ISBN1 ; standard[Shōnen champion comics = 少年チャンピオン・コミックス. 爆笑コミックス] 2冊 2010-07-06〜2019-04-06 ISBN2 ; standard[アクションコミックス] 3冊 1992-11-28〜1992-12-28 ISBN0 ; standard[少年チャンピオンコミック] 1冊 1975-11-30〜1975-11-30 ISBN0 ; standard[少年チャンピオンコミックス] 31冊 1975-04-10〜1981-03 ISBN0 ; standard[豪華版] 1冊 1988-04-25〜1988-04-25 ISBN1 
B_REPRINT_MIX	goyoukiba	御用牙	2	6	sid24556(小池一夫/神田たけ志): standard[] 1冊 1976-12〜1976-12 ISBN0 ; standard[Comic] 2冊 1972-06-15〜1973-01 ISBN0 ; standard[Comic魂別冊] 11冊 2018-04〜2019-12 ISBN11 ; standard[King series 漫画スーパーワイド] 14冊 2011-06〜2012-01 ISBN14 ; standard[コミック] 15冊 1971-11〜1977-04 ISBN0 | sid129947(小池一夫/神田たけ志): bunkobon[秋田漫画文庫] 1冊 1976〜1976 ISBN0
B_REPRINT_MIX	gundlander	ガンドランダー	2	3	sid75250(雅叉丸/友杉達也): standard[] 4冊 2025-08-22〜2025-09-03 ISBN4 ; standard[講談社コミックスボンボン] 6冊 1991-03-06〜1993-06-05 ISBN0 | sid139924(雅叉丸/友杉達也): standard[講談社コミックスボンボン] 1冊 1990-11〜1990-11 ISBN1
B_REPRINT_MIX	iga-no-kagemaru	伊賀の影丸	1	16	sid45532(横山光輝): bunkobon[秋田文庫] 10冊 1995-02-25〜1999-10 ISBN10 ; bunkobon[秋田漫画文庫] 9冊 1977-03-02〜1978-11-20 ISBN3 ; standard[] 4冊 2010-06〜2013-04 ISBN4 ; standard[Akita Bunko] 1冊 1996-06-10〜1996-06-10 ISBN1 ; standard[Akita top comics] 3冊 2001-11〜2006-03 ISBN3 ; standard[Akita top comics wide] 7冊 2006-01〜2007-01 ISBN7 ; standard[KCDX] 9冊 2008-04〜2008-12 ISBN9 ; standard[My first big special] 6冊 2015-
B_REPRINT_MIX	kaiketsu-harimao	快傑ハリマオ	2	5	sid45369(石ノ森章太郎/山田克郎): standard[石ノ森章太郎萬画大全集] 4冊 〜 ISBN0 ; standard[虫コミックス] 4冊 1971-04-15〜1971-08-15 ISBN0 | sid99569(石ノ森章太郎/山田克郎): bunkobon[講談社漫画文庫] 5冊 1976〜1976 ISBN0 ; standard[] 6冊 1960-07-30〜1995-06 ISBN2 ; standard[名作コミックSERIES AGAIN!] 2冊 2000-12-15〜2000-12-15 ISBN2
B_REPRINT_MIX	kei-no-seishun	ケイの凄春	9	13	sid56305(小池一夫/小島剛夕): deluxe[アクション・コミックス・デラックス] 10冊 1989-04〜1989-08 ISBN10 ; standard[King series] 3冊 2013-10〜2013-12 ISBN3 ; standard[King series 漫画スーパーワイド] 5冊 2013-05〜2013-09 ISBN5 ; standard[アクション・コミックス] 14冊 1978-11〜1981-03 ISBN0 ; standard[劇画キングシリーズ] 1冊 1995-05〜1995-05 ISBN1 | sid128549(小池一夫/小島剛夕): standard[My first big special] 1冊 2024-04〜2024-04 ISBN1 | sid128550(小池一夫/小島剛夕): standard[My first
B_REPRINT_MIX	kennedy-knights	ケネディ騎士団	1	4	sid18117(望月三起也): bunkobon[ソノラマ漫画文庫] 7冊 1977-03〜1977-06-15 ISBN0 ; standard[Big actionシリーズ] 8冊 1973-08-20〜1973-09-20 ISBN0 ; standard[MANGA Shop Series] 4冊 2005-12-03〜2006-01-03 ISBN4 ; standard[サンコミックス] 7冊 1969-08-30〜1970-03-10 ISBN0
B_REPRINT_MIX	kubikiri-asa	首斬り朝	3	11	sid48544(小池一夫/小島剛夕): bunkobon[講談社漫画文庫] 8冊 1976-12〜1977-05 ISBN0 ; standard[] 1冊 1973-08-28〜1973-08-28 ISBN0 ; standard[My first big special] 6冊 2024-08〜2025-04-19 ISBN6 ; standard[劇画キングシリーズ] 10冊 1981-04〜1982-11 ISBN0 | sid56412(小池一夫/小島剛夕): bunkobon[秋田漫画文庫] 1冊 1977-05〜1977-05 ISBN0 ; bunkobon[道草文庫] 10冊 1995-02〜1995-06 ISBN10 ; standard[] 18冊 1972〜2013-04 ISBN8 ; standard[Goma books] 4冊 2019-02〜2019
B_REPRINT_MIX	kutabare-namida-kun	くたばれ!!涙くん	1	3	sid24063(石井いさみ): standard[SUNDAY COMICS] 8冊 1970-07〜1970-08 ISBN0 ; standard[もん・りいぶる] 1冊 2007-01〜2007-01 ISBN1 ; standard[サンデーコミックス] 15冊 1978-12〜1978-12 ISBN0
B_REPRINT_MIX	matagi-rendetsu	マタギ列伝	2	6	sid41871(矢口高雄/鈴木光): bunkobon[中公文庫] 2冊 2019-04〜2019-04 ISBN2 ; bunkobon[中公文庫コミック版] 5冊 2007-05〜2007-09 ISBN5 ; bunkobon[講談社漫画文庫] 6冊 1977-03〜1977-06-30 ISBN0 ; standard[サンコミックス] 6冊 1979-10〜1979-12 ISBN0 ; standard[現代漫画家自選シリーズ] 6冊 1973-03〜1975-09 ISBN0 | sid145089(矢口高雄/鈴木光): standard[KCスペシャル] 1冊 1985-12-06〜1985-12-06 ISBN1
B_REPRINT_MIX	muyounosuke	無用ノ介	1	6	sid38249(さいとう・たかを): bunkobon[小学館文庫] 15冊 1976〜1978-09 ISBN2 ; standard[SP comics] 1冊 2004-09〜2004-09 ISBN1 ; standard[SP pocket] 1冊 2005-02〜2005-02 ISBN1 ; standard[カラー版人気劇画傑作選] 4冊 1969-10-20〜1969-12-12 ISBN0 ; standard[パーフェクト・メモワール] 13冊 2021-10〜2023-10 ISBN13 ; standard[講談社コミックス] 11冊 1969-03-10〜1970-04-10 ISBN0
B_REPRINT_MIX	nagareboshi-gojuusantsugi	流れ星五十三次	1	4	sid45401(石ノ森章太郎): standard[Shotaro world] 4冊 1998-06〜1998-08 ISBN4 ; standard[サンコミック] 1冊 1973-06-30〜1973-06-30 ISBN0 ; standard[サンコミックス] 4冊 1968-07-25〜1973-06-15 ISBN0 ; standard[石ノ森章太郎萬画大全集] 5冊 〜 ISBN0
B_REPRINT_MIX	niji-o-yobu-ken	虹をよぶ拳	1	3	sid31269(つのだじろう/梶原一騎): standard[MANGA Shop Series] 4冊 2007-03-02〜2007-03-02 ISBN4 ; standard[SUNDAY COMICS] 6冊 1970-02-05〜1977-04-30 ISBN0 ; standard[サンデー・コミックス] 1冊 1970-06-10〜1970-06-10 ISBN0
B_REPRINT_MIX	ninja-senpuu	忍者旋風	1	6	sid31691(白土三平): bunkobon[小学館文庫] 2冊 1999-05〜1999-05 ISBN2 ; standard[] 1冊 2010-09〜2010-09 ISBN1 ; standard[My first big special] 1冊 2007-02〜2007-02 ISBN1 ; standard[コンパクト・コミックス] 4冊 1967-12-31〜1967-12-31 ISBN0 ; standard[小学館叢書] 2冊 1995-11〜1995-12 ISBN2 ; standard[東邦漫画] 4冊 1959-10〜1959-12 ISBN0
B_REPRINT_MIX	norainu-no-oka	のら犬の丘	2	3	sid69083(石井いさみ/真樹日佐夫): standard[MANGA Shop Series] 4冊 2007-02-02〜2007-02-02 ISBN4 ; standard[サンデーコミックス] 5冊 1968-12-20〜1970-12-05 ISBN0 | sid124196(石井いさみ/真樹日佐夫): standard[サンデーコミックス] 1冊 1970-09-05〜1970-09-05 ISBN0
B_REPRINT_MIX	oozora-no-chikai	大空のちかい	1	2	sid8967(九里一平): standard[] 4冊 1963〜1964 ISBN0 ; standard[MANGA Shop Series] 3冊 2007-10-02〜2007-10-02 ISBN3
B_REPRINT_MIX	pikadon-kun	ピカドンくん	1	2	sid7560(ムロタニツネ象): standard[] 4冊 1955-12〜1955-12 ISBN0 ; standard[ペップおもしろまんがランド] 1冊 1990-02-14〜1990-02-14 ISBN1
B_REPRINT_MIX	queen-emeraldas	クイーンエメラルダス	2	4	sid43453(松本零士): standard[] 3冊 2020-03〜2020-07 ISBN3 | sid43469(松本零士): bunkobon[講談社漫画文庫] 4冊 1996-08〜2009-11 ISBN4 ; standard[KPC] 2冊 2004-06〜2004-07 ISBN2 ; standard[講談社コミックスグランドコレクション] 2冊 1990-07〜1990-07-23 ISBN1
B_REPRINT_MIX	rokkuboukenki	ロック冒険記	2	10	sid35084(手塚治虫): bunkobon[手塚治虫文庫全集] 1冊 2010-04〜2010-04 ISBN1 ; bunkobon[角川文庫] 1冊 1994-11〜1994-11 ISBN1 ; standard[] 5冊 1955-02〜2011-10 ISBN1 ; standard[KODAMA DIAMOND COMICS] 1冊 1966-10-30〜1966-10-30 ISBN0 ; standard[コダマダイヤモンドコミクス] 1冊 1967-10-30〜1967-10-30 ISBN0 ; standard[コダマダイヤモンドコミックス] 2冊 1967-02-10〜1967-02-10 ISBN0 ; standard[小学館叢書] 1冊 1992-11-10〜1992-11-10 ISBN1 ; standard[手塚治虫漫画全集] 3冊 1977-07
B_REPRINT_MIX	satsuma-gishiden	薩摩義士伝	1	3	sid40379(平田弘史): standard[SP pocket wide] 3冊 2015-11〜2015-12 ISBN3 ; standard[SPコミックス] 2冊 2022-05〜2022-07 ISBN2 ; standard[ゴラク・コミックス] 6冊 1979-07〜1982-08 ISBN0
B_REPRINT_MIX	sengoku-shishiden	戦国獅子伝	3	8	sid45556(横山光輝/辻真先): deluxe[アクションコミックス・デラックス] 1冊 〜 ISBN0 ; standard[アクションコミックス] 2冊 1974-03-01〜1991-01-15 ISBN0 | sid102129(横山光輝/辻真先): bunkobon[講談社漫画文庫] 5冊 2001-02〜2001-09-10 ISBN5 ; standard[] 4冊 2011-02〜2011-04 ISBN4 ; standard[KPC] 3冊 2007-08〜2007-10 ISBN3 ; standard[Rare mix comics] 3冊 2011-07〜2011-09 ISBN3 ; standard[アクション・コミックス] 13冊 1980-06〜1991-02-16 ISBN6 ; standard[パワァコミックス] 8冊 1974〜1977-02
B_REPRINT_MIX	sexaroid	セクサロイド	1	5	sid43474(松本零士): bunkobon[ソノラマ漫画文庫] 4冊 1976-07-30〜1976-09-25 ISBN0 ; bunkobon[扶桑社文庫] 4冊 1996-04〜1998-08 ISBN4 ; bunkobon[朝日コミック文庫] 3冊 2010-01〜2010-02 ISBN3 ; standard[] 2冊 2022-05〜2022-05 ISBN2 ; standard[サンコミックス] 4冊 1974-06-10〜1974-07-10 ISBN1
B_REPRINT_MIX	shiroi-pilot	白いパイロット	1	7	sid35315(手塚治虫): bunkobon[小学館文庫] 1冊 1997-11-10〜1997-11-10 ISBN1 ; bunkobon[秋田文庫] 1冊 2006-11〜2006-11 ISBN1 ; standard[] 1冊 2012-03〜2012-03 ISBN1 ; standard[TEZUKA OSAMU THE COMPLETE WORKS] 1冊 2011-12〜2011-12 ISBN1 ; standard[ゴールデン・コミックス] 2冊 1969-10-10〜1969-11-10 ISBN0 ; standard[手塚治虫漫画全集] 2冊 1978-10-10〜1979-02 ISBN2 ; standard[手塚治虫漫画選集] 2冊 1962-11〜1963-01 ISBN0
B_REPRINT_MIX	shounen-doumei	少年同盟	1	4	sid45357(石ノ森章太郎): bunkobon[双葉文庫名作シリーズ] 2冊 2001-10〜2001-10 ISBN2 ; standard[] 2冊 2015-07〜2015-07 ISBN1 ; standard[石ノ森章太郎萬画大全集] 4冊 〜 ISBN0 ; standard[虫コミックス] 3冊 1968-08-25〜1969-05-30 ISBN0
B_REPRINT_MIX	shounen-no-1	少年No.1	1	2	sid28894(関谷ひさし): standard[MANGA Shop Series] 3冊 2007-09-02〜2007-09-02 ISBN3 ; standard[虫コミックス] 6冊 1969-11-30〜1970-04-30 ISBN0
B_REPRINT_MIX	shounen-no-machi-zf	少年の町ZF	1	3	sid56358(小池一夫/平野仁): bunkobon[道草文庫] 6冊 1995-09〜1995-11 ISBN6 ; standard[キングシリーズ 漫画スーパーワイド] 5冊 2011-07〜2011-09 ISBN5 ; standard[ビッグコミックス] 9冊 1977-08-01〜1979-06-01 ISBN0
B_REPRINT_MIX	shurayukihime	修羅雪姫	2	6	sid52768(小池一夫/上村一夫): bunkobon[秋田漫画文庫] 2冊 1976〜1976 ISBN0 ; standard[Comic魂別冊] 4冊 2018-12〜2019-03 ISBN4 ; standard[バンブーコミックス] 4冊 1985-06-20〜1985-09-20 ISBN0 | sid56330(小池一夫/上村一夫): standard[] 2冊 2006-12〜2006-12 ISBN2 ; standard[劇画king series] 3冊 1973-06-25〜1973-08-30 ISBN0 ; standard[単行本コミックス] 2冊 2001-12〜2001-12 ISBN2
B_REPRINT_MIX	sutoppunii-chan	ストップ!にいちゃん	1	7	sid28887(関谷ひさし): standard[DIAMOND COMICS] 1冊 1967-01-10〜1967-01-10 ISBN0 ; standard[カッパ・コミックス] 1冊 1964-10-01〜1964-10-01 ISBN0 ; standard[サンコミックス] 3冊 1981-11〜1982-01 ISBN3 ; standard[ホーム・コミックス] 5冊 1975-10〜1975-10-30 ISBN0 ; standard[マンガショップシリーズ] 9冊 2008-09-15〜2008-11-15 ISBN9 ; standard[漫画名作館] 1冊 1992-09-18〜1992-09-18 ISBN1 ; standard[虫コミックス] 13冊 1968-05〜1970-12 ISBN0
B_REPRINT_MIX	swan	SWAN	2	8	sid40730(有吉京子): bunkobon[秋田文庫] 13冊 1995-10〜1996-10 ISBN13 ; deluxe[PRINCESS COMICS DELUXE] 4冊 1992-01〜1992-03 ISBN4 ; deluxe[プリンセスコミックスデラックス] 10冊 1992-01-15〜1992-07-25 ISBN10 ; standard[] 14冊 2007-05〜2019-04 ISBN14 ; standard[PRINCESS COMICS EXCELLENT] 7冊 1988-02-15〜1989-01-20 ISBN7 ; standard[SWAN特装シリーズ] 7冊 2024-03〜2024-10-23 ISBN7 | sid40733(有吉京子): bunkobon[秋田文庫] 1冊 1996-10-10〜1996-10-10 ISBN1 ;
B_REPRINT_MIX	tank-tankuro	タンク・タンクロー	2	4	sid28906(阪本牙城): standard[] 5冊 〜 ISBN0 ; standard[小学館クリエイティブ復刻] 1冊 2005-08-10〜2005-08-10 ISBN1 | sid28907(阪本牙城): bunkobon[講談社漫画文庫] 1冊 1976〜1976 ISBN0 ; standard[] 7冊 1934-04〜1970 ISBN0
B_REPRINT_MIX	tensai-bakabon-no-oyaji	天才バカボンのおやじ	1	4	sid55964(赤塚不二夫): bunkobon[曙文庫] 5冊 1976〜1976-04-12 ISBN0 ; bunkobon[竹書房文庫] 2冊 2007-10〜2007-10 ISBN2 ; standard[ホリデー・コミックス] 3冊 1970-08-10〜1971-08-25 ISBN0 ; standard[赤塚不二夫漫画大全集] 2冊 〜 ISBN2
B_REPRINT_MIX	torajima-no-mii-me	トラジマのミーめ	1	3	sid43477(松本零士): bunkobon[秋田文庫] 1冊 2001-02〜2001-02 ISBN1 ; standard[PRINCESS COMICS] 1冊 2025-12-29〜2025-12-29 ISBN1 ; standard[プリンセス・コミックス] 5冊 1978-04〜1978-04-10 ISBN0
B_REPRINT_MIX	zenigeba	銭ゲバ	1	5	sid42620(ジョージ秋山): bunkobon[ソノラマ漫画文庫] 4冊 1978-01〜1978-03 ISBN0 ; bunkobon[幻冬舎文庫] 2冊 2007-10-10〜2007-10-10 ISBN2 ; standard[COMIC MATE] 5冊 1970-11-20〜1971-04-25 ISBN0 ; standard[Magical comics] 1冊 2000-05-01〜2000-05-01 ISBN1 ; standard[SPコミックス] 1冊 〜 ISBN1
C_INTERNAL_MIX	ippei-zenshuu	一平全集	1	1	sid32568(岡本一平): standard[] 35冊 1929-06〜1991-12 ISBN2
C_INTERNAL_MIX	sabaku-no-maou	沙漠の魔王	1	1	sid31144(福島鉄次): standard[] 2冊 1978-08〜2012-08 ISBN1
C_INTERNAL_MIX	yamato-shouden	大和小伝	1	1	sid38199(さいとう・たかを): standard[] 6冊 1963-08〜2009-08-08 ISBN1
