slug	title	adult_publishers
0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	秋水社
138-e	138°E	ワニマガジン社
14sai-manual	14さいマニュアル	オークラ出版
14sai-ootomateikku	14さいオートマティック	オークラ出版
2-dome-no-jinsei-wa-oshi-no-shokuryou-desu	2度目の人生は推しの食糧です!?	秋水社
3manen-no-kareshi	3万円の彼氏	オークラ出版
5-byou-de-omae-o-ikasete-yaruyo	5秒でお前をイかせてやるよ	オークラ出版
abemorioka-no-kari-iiekkusu	あべもりおかの… (仮) Ex	ヒット出版社
abners	アブナーズ	白夜書房
abnormal-switch	アブノーマル・スイッチ	オークラ出版
acid-flower	アシッド・フラワー	コアマガジン
adlib-offside	アドリブオフサイド	白夜書房
adoribu-ouji	アドリブ王子	白夜書房
adoribu-tenchou	アドリブ店長	白夜書房
adventure-kid	アドベンチャーkid	ワニマガジン社
afternoon-potaufen	Afternoon potaufen	コアマガジン
ahosuta-san-no-futsuu-janai-nichijou	あほすたさんのふつうじゃない日常	三和出版
ai-aru-juuyonya	愛ある十四夜	ワニマガジン社
ai-o-yumemite	愛を夢みて…	久保書店
ai-to-yokubou-no-1-6	愛と欲望の1/6	ワニマガジン社
ai-to-yokubou-wa-abunoomaru-de	愛と欲望はアブノーマルで	コアマガジン
ai-to-yokubou-wa-gakuen-de	愛と欲望は学園で	コアマガジン
aiba-kun-wa-ano-mitsu-ga-sukisugiru	相葉くんは〈あの蜜〉が好きすぎる!	フランス書院
aishiteru-fujitani-2008	愛してる	コアマガジン
aishiteru-tte-iwanakya-korosu	愛してるって言わなきゃ殺す	茜新社
akari-senpai-to-hyouga-no-taihenna-seikatsu	灯先輩と氷河の大変な生活	オークラ出版
akatsuka-fujio-no-hata-no-moto-ni	赤塚不二夫の旗の下に	ジーオーティー
akazukin-kagekidan	赤ずきん過激団	オークラ出版
akireusu	アキレウス	キルタイムコミュニケーション
aku-yome	あく×ヨメ	キルタイムコミュニケーション
akuma-no-youna-watashi	悪魔のような私	久保書店
akuyaku-reijou-ni-tensei-shita-no-de-kakure-haisupe-ouji-to-hametsu-no-unmei-o-kaihi-shimasu	悪役令嬢に転生したので、隠れハイスペ王子と破滅の運命を回避します!	キルタイムコミュニケーション
akuyaku-reijou-no-torimaki-ee-desu-outaishi-denka-ni-semararete-imasu	悪役令嬢の取り巻きAですが、王太子殿下に迫られています。	フランス書院
alice-club-mihappyou-selection	アリスくらぶ未発表セレクション	コアマガジン
alicia-y	アリシア・Y	茜新社
all-leaf-daishingeki	オールリーフ大進撃	文苑堂
amentia	AMENTIA	キルタイムコミュニケーション
anamorphosis-no-meijuu	アナモルフォシスの冥獣	コアマガジン
anata-no-oku-san-moraimasu	あなたの奥さんもらいます	エンジェル出版
anata-no-to-nari-no-yami-sekai	あなたのとなりの闇世界	コアマガジン
anata-wa-otto-ni-damasareteiru	あなたは夫に騙されている	秋水社
ane-no-reotaado	姉のレオタード	フランス書院
ano-hito-wa-chi-o-motomete-shimau	あの人は血を求めてしまう	ジーオーティー
anta-no-dorei-no-mama-de-ii	アンタのドレイのママでイイ	茜新社
arabian-naito	アラビアン・騎士	コアマガジン
arijigoku-vs-barabara-shoujo	アリ地獄vsバラバラ少女	久保書店
artificial-memory	アータフィシャル・メモリィ	白夜書房
asagaya-kusarezu-gakuen	阿佐谷腐れ酢学園	ワニマガジン社
ashita-tenki-ni-naare-1979	あした天気になァれ	久保書店
astro-king	アストロキング	キルタイムコミュニケーション
atara-yo-no-hoshi	あたらよのほし	ジーオーティー
ayakashi-no-yometori	あやかしの嫁取り	コアマガジン
ayame-to-amane	あやめとあまね	コアマガジン
baka-to-hasami	馬鹿とハサミ	コアマガジン
bakada-bakasuke-no-chousen	バカ田バカ助の挑戦	白夜書房
bakedanuki-soudou-kidan	化狸騒動奇譚	コアマガジン
bakemono-to-shoujo	化物と少女	キルタイムコミュニケーション
