slug	title	adult_publishers
bakudanma-na-youhei-douji-shoukan-sareta-saikyou-cheat-domo-o-katappashi-kara-keshitobasu	爆弾魔な傭兵、同時召喚された最強チート共を片っ端から消し飛ばす	キルタイムコミュニケーション
bakumatsu-kareshi	幕末カレシ!	キルタイムコミュニケーション
bakunetsu-sentouki	爆熱戦湯姫	キルタイムコミュニケーション
banana-kids	バナナキッズ	白夜書房
banana-sisters	バナナ❤シスターズ!!	白夜書房
banchou-kami-eshi-koitsu-desu	番長!神絵師コイツです!	フランス書院
bara-no-kobeya-ni-yurino-shindai	薔薇の小部屋に百合の寝台	久保書店
berry-very-sutoroberii	Berry Very すとろべりぃ	コアマガジン
best-ending	ベストエンディング?	コアマガジン
bible	BIBLE	白夜書房
big-game	BIG GAME	茜新社
bijo-to-kenja-to-mazin-no-ken	美女と賢者と魔人の剣	キルタイムコミュニケーション
bike-land	バイクランド	白夜書房
binetsu-shoujo-1991	美熱少女	白夜書房
binwan-joushi-to-oboreru-koi-pafuyuumu	敏腕上司と溺れる恋～Perfume～	フランス書院
bishoujo-genmukan	美少女幻夢館	久保書店
black-dog-no-biscuits	ブラックドッグノービスケッツ	茜新社
black-monta-no-waru-zubatsu	ブラックモンタの悪ズバッ!	コアマガジン
blanc	blanc	茜新社
blangel	BLANGEL	キルタイムコミュニケーション
bleu-de-roi	ブルー・ド・ロワ	コアマガジン
blue-drawing	Blue Drawing	ワニマガジン社
boku-dake-ni-yasashii-kimi-ni	僕だけに優しい君に	ジーオーティー
boku-ga-kimi-ni-aitai-wake	僕がきみに会いたい理由	一水社
boku-no-egaku-biieru-comic-wa-homobitchi-na-tantou-henshuusha-ga-model-desu	ボクの描くBLコミックはホモビッチな担当編集者がモデルです	キルタイムコミュニケーション
boku-wa-nisemono-no-kimi-ni-koi-o-suru	ボクはニセモノノキミに恋をする	ジーオーティー
bokura-wa-setsunaku-koi-o-suru	僕らは切なく恋をする	オークラ出版
bokutachi-ga-kazoku-ni-naru-made	僕たちが家族になるまで	ジーオーティー
borderline	ボーダーライン	コアマガジン
boys-of-the-dead	BOYS OF THE DEAD	フランス書院
buiaaru-erogee-yattetara-isekai-ni-tensei-shita-node-bishoujo-maou-o-doreika-suru	VRエロゲーやってたら異世界に転生したので、美少女魔王を奴隷化する	キルタイムコミュニケーション
bukyou-souha	武狂争覇	ジーオーティー
bullet-fang	バレット×ファング	ジーオーティー
buraiden	BURAIDEN	白夜書房
buyo-buyo	BUYO BUYO	白夜書房
case-b	Case B	久保書店
cendrillon	サンドリヨン	オークラ出版
change-up-2022	CHANGE UP!!	キルタイムコミュニケーション
charm-the-cat	Charm the cat	茜新社
cherish-bokkusu	ちぇりっしゅBOX	文苑堂
cherry-2004-2	Cherry	ワニマガジン社
chi-no-wana	血の罠	白夜書房
chichi-bakka	乳ばっか!!	ワニマガジン社
chiisana-koi-no-melody	小さな恋のメロディ	コアマガジン
chikatetsu-no-inu	地下鉄の犬	コアマガジン
chotto-umai-hanashi	ちょっとウマい話	ワニマガジン社
choukyoukei-otoko	調教系男子	フランス書院
chuniku-chunika	チュニクチュニカ	司書房
chuuken-didii	忠犬ディディー	コアマガジン
cinderella-credit-service	シンデレラクレジットサービス	オークラ出版
cinderella-plot	シンデレラプロット	オークラ出版
circle-game-1998-2	サークルゲーム	オークラ出版
class-zenin-de-maou-tensei	クラス全員で魔王転生!	キルタイムコミュニケーション
climber	Climber	フランス書院
co-lemon	Co❤LEMON	白夜書房
colorful-gray	カラフルグレー	ジーオーティー
come-on-lets-go	カモンレツゴー	白夜書房
comic-bii-tarou	コミックビー太郎	茜新社
comic-image-special	コミックイマージュ・スペシャル	白夜書房
corpo-a-corpo	コーポ・ア・コーポ	ジーオーティー
cr	CR	白夜書房
cristo-magaki-kemono-to-seija-no-kai	Christ禍き獣と聖者の戒	オークラ出版
critical-lovers	CRITICAL LOVERS	コアマガジン
croquis	Croquis	ワニマガジン社
cut-back-end-roll	カットバック:エンドロール	ジーオーティー
daikirai	大キライ!	オークラ出版
damasaretemo-sukina-hito	だまされても好きなひと	コアマガジン
damatte-ore-ni-aisaretokeba	黙って俺に愛されとけば?	オークラ出版
daniel	ダニエル	白夜書房
danjongurashi-no-motoyuusha	ダンジョン暮らしの元勇者	キルタイムコミュニケーション
dark-ethos	ダークエートス	茜新社
dark-moon	Dark Moon	白夜書房
datte-maou-sama-wa-kare-ga-kirai	だってまおうさまは彼が嫌い	コアマガジン
degarashi-tv	でがらしTV	ヒット出版社
dekapin-de-pon	デカピンでポン!!	白夜書房
dekiai-shiiku	溺愛飼育	オークラ出版
desert-moon	デザート・ムーン	コアマガジン
dobakuchi-saiyuuki	どばくちさいゆうき	白夜書房
doesn-t	Doesn't	ワニマガジン社
dokidoki-kinoko-party	Doki dokiきのこパーティ	フランス書院
dokkin-minako-sensei	ドッキン❤美奈子先生!	白夜書房
doku-ni-kuchizuke	毒にくちづけ	コアマガジン
dokuzukai-ranko	毒使い蘭子	久保書店
dos-keiyaku-room-share	ドS契約ルームシェア	オークラ出版
double-mints	ダブルミンツ	茜新社
doujinshi-doujin-sofuto-nyuushu-manual	同人誌同人ソフト入手マニュアル	久保書店
doukei-no-atelier	憧憬のアトリエ	ジーオーティー
doukyuusei-2008	同級生	茜新社
doura	童羅	ワニマガジン社
doushitara-oshi-to-kekkon-dekimasuka	どうしたら推しと結婚できますか!?	フランス書院
dragon-eraser	DRAGON ERASER	ワニマガジン社
dragon-fly	DRAGON FLY	ワニマガジン社
dramatic-ni-rakurai	ドラマチックに落雷	コアマガジン
drawing	ドローイング	キルタイムコミュニケーション
dream-hunter-rem-alternative	ドリームハンター麗夢alternative	キルタイムコミュニケーション
drug-store	Drug store	茜新社
dual-soul-one-body	Dual Soul One Body	キルタイムコミュニケーション
echiechi-gakuensai	えちえち学園祭	久保書店
edenzu-girl	エデンズガール	キルタイムコミュニケーション
eeaaru-maruchipuru-savaivu	AR/MS(マルチプル・サヴァイヴ)!!	ジーオーティー
eigyou-nikatsu	営業二課っ!	コアマガジン
eikoku-hakushaku-to-geshukunin-no-mitsugoto	英国伯爵と下宿人の密事	オークラ出版
eki-kara-hajimaru-koi-no-monogatari	駅から始まる恋の物語	エンジェル出版
emirii-to-akuma	エミリーと悪魔	文苑堂
empty-hear	empty hear	オークラ出版
emu-no-rakuen	Mの楽園	茜新社
engine-room	エンジンルーム	コアマガジン
erenoa-joou-wa-jiyuu-na-seishun-o-okuritai	エレノア王女は自由な青春を送りたい	キルタイムコミュニケーション
eriito-shain-wa-tanuki-kei-douki-o-kyou-mo-amaku-ijimetai	エリート社員はタヌキ系同期を今日も甘くいじめたい	ジーオーティー
eromanga-saga	えろまんがさ～が	ジーオーティー
etches	えっちーず	ワニマガジン社
etchina-kanojo-no-okiniiri	エッチな彼女のお気に入り	コアマガジン
exhiibition	EXHIIBITION	白夜書房
feroumerou	フェロウメロウ	コアマガジン
flag-no-joe	フラグのジョー	白夜書房
flounders	flounders	コアマガジン
flower-bath-garden	フラワー・バス・ガーデン	久保書店
fraction	フラクション	コアマガジン
freezing	フリージング	キルタイムコミュニケーション
freezing-pair-love-stories	フリージングペアラブストーリーズ	キルタイムコミュニケーション
freezing-zero	フリージングZERO	キルタイムコミュニケーション
fukakai-na-boku-no-subete-o	不可解なぼくのすべてを	ジーオーティー
fuku-yomo	ふくよも	文苑堂
furue-tsumore-shiawase-no-hana	ふるえつもれ幸せの花	コアマガジン
fushou-no-bokura	不肖の僕ら	オークラ出版
gaia-ki-tan	鎧亜騎譚	キルタイムコミュニケーション
gakkou-e-ikou	学校へ行こう!	白夜書房
gakuen-shoujo-sao	学園少女/砂緒	白夜書房
gal-ni-natsukareta-hanashi	ギャルになつかれた話	ジーオーティー
gallop	ギャロップ	司書房
game-over-2003	Game over	三和出版
gamer-ga-isekai-konten-shite-harem-jinsei-e-konteinyuu-suru-soudesu	ゲーマーが異世界魂転してハーレム人生へコンティニューするそうです	キルタイムコミュニケーション
ganbare-douki-chan	がんばれ同期ちゃん	ジーオーティー
ganjisugawa-de-hiraoyogi	ガンジス河で平泳ぎ	オークラ出版
garland-hashiba-2002	Garland	ヒット出版社
gedou-gakuen	外道学園	司書房
gekisai-uchuuken	撃殺!宇宙拳	久保書店
genocyber	GENOCYBER	白夜書房
gin-no-jeek	銀のジーク	白夜書房
gindama-inochi-ginjirou	銀玉命!銀次郎	白夜書房
girls-at-the-edge	ガールズ・アット・ジ・エッジ	ジーオーティー
girls-dawn	ガールズドーン!	ジーオーティー
going-to-hell	Going to hell	オークラ出版
gokudou-caf	極道Cafe	オークラ出版
gokudou-faust	極道ファウスト	ジーオーティー
gokujou-no-koibito	極上の恋人	オークラ出版
golden-gals	ゴールデン・ギャルズ	白夜書房
gomanetsu	ごまんえつ	文苑堂
good-luck-charm	good luck charm	コアマガジン
gorgeous-heart	ゴージャス❤ハート	三和出版
gotoshi-kabushiki-kaisha	ゴト師株式会社	白夜書房
gunner-queen	Gunner queen	キルタイムコミュニケーション
gurasanshishou-no-hyakumankai-kaiten	グラサン師匠の百万回転日記	白夜書房
h-searcher	H-searcher	三和出版
h1	H1	ジーオーティー
haikei-tengoku-no-nee-san-yuusha-ni-natta-mei-ga-erosugite-oji-san-hogosha-toka-sorosoro-muri-desu	拝啓、天国の姉さん、勇者になった姪がエロすぎて-叔父さん、保護者とかそろそろ無理です+	ジーオーティー
hajimari-no-ki	はじまりの樹	ヒット出版社
hakkai-no-daibouken	八戒の大冒険	白夜書房
hanafuda	華札	ワニマガジン社
hanakui-gentouki	花喰幻燈機	ワニマガジン社
hanayome-wa-juunanasai	花嫁は十七歳	オークラ出版
hanayome-wa-namida-ni-nureru	花嫁は涙に濡れる	オークラ出版
hanazono-no-senya-ichiya	花園の千夜一夜	茜新社
harem-assort	ハーレムアソート	コアマガジン
harem-end	ハーレムエンド	コアマガジン
harem-heaven	ハーレムヘブン	コアマガジン
harem-resort	ハーレムリゾート?	コアマガジン
haru-no-shinzou	はるのしんぞう	茜新社
hatsu-echi	はつ☆えち	コアマガジン
hatsukoi-dendou-fight	初恋☆電動ファイト	ワニマガジン社
hatsukoi-eros-wa-arudente	初恋エロスはアルデンテ	キルタイムコミュニケーション
heartfull-pink	Heartfull pink	コアマガジン
heika-kokoro-no-koe-ga-urusasugimasu	陛下、心の声がうるさすぎます。	フランス書院
henkyou-jikeitai	辺境自警隊	フランス書院
hentai-shounen	変態少年	久保書店
hidamari-ga-kikoeru	ひだまりが聴こえる	フランス書院
hidamari-ga-kikoeru-koufukuron	ひだまりが聴こえる-幸福論-	フランス書院
hidamari-ga-kikoeru-limit	ひだまりが聴こえる リミット	フランス書院
hidamari-ga-kikoeru-shunka-shuutou	ひだまりが聴こえる-春夏秋冬-	フランス書院
hikaeme-reijou-ga-konyaku-hakushi-o-uketa-tsugi-no-hi-ni-arata-na-konyaku-o-musunda-hanashi	控えめ令嬢が婚約白紙を受けた次の日に新たな婚約を結んだ話	キルタイムコミュニケーション
hikage-no-oni-san-hi-no-aru-hou-e	日陰の鬼さん陽のある方へ	ジーオーティー
hikoi	秘恋	コアマガジン
hime-kishi-ga-classmate	姫騎士がクラスメート!	キルタイムコミュニケーション
himei-wa-oshizukani	悲鳴はお静かに	ワニマガジン社
himeka-sensei-no-iutoori	ひめか先生の言う通り!	エンジェル出版
himekishi-san-to-orc	姫騎士さんとオーク	キルタイムコミュニケーション
himeno-no-jierashii	姫乃のジェラシー	エンジェル出版
himitsu-na-body-21	秘蜜なbody 21	三和出版
himitsu-no-shanai-love-ga-haran-nandesu-kedo	ヒミツの社内恋愛が波乱なんですけど?	コアマガジン
hinagiku	ひな菊	オークラ出版
hirugao	ひるがお	エンジェル出版
hitodenashi-ni-furimawasareru-doutei-totemo-tsurai	ヒトでなしに振り回される童貞。とてもつらい	キルタイムコミュニケーション
hitozuma-no-shitsuke-ka-ta	人妻のしつけかた	コアマガジン
hitozuma-no-tameshikata	人妻の試し方	コアマガジン
hitozuma-no-yuuwaku	人妻の誘惑	コアマガジン
hitozuma-to-jk	人妻とJK	キルタイムコミュニケーション
hitsukoin-dakara	ひつこいんだから	白夜書房
hiyaku-monogatari-bai-yooko	百物語 BY. Y・O・K・O	文苑堂
hokenshitsu-no-nemurihime	保健室の眠り姫	フランス書院
honeymoon-in-hellland	ハネムーンインヘルランド	ジーオーティー
honjitsu-yori-kitsunegami-sama-no-nie-ni-narimashita	本日より狐神様の贄になりました	秋水社
honkon-tokusou-lady	香港特捜Lady	ワニマガジン社
honomi-bureikutsu	ほのみぶれいくっ!	文苑堂
honoo-no-inferno	炎のインフェルノ	キルタイムコミュニケーション
hooked-on-quasar	フックトオンクエーサー	フランス書院
horeshou-no-half-elf-san	惚れ症のハーフエルフさん	キルタイムコミュニケーション
hoshi-no-seijin	星の聖人	ジーオーティー
hotaru-2000	ほたる	ワニマガジン社
houkago-wa-itsumo-futari	放課後はいつもふたり	茜新社
ice-lolly	Ice lolly	茜新社
ichigo-dorobou	いちご泥棒	久保書店
ichigo-milk	いちご・みるく	コアマガジン
ichinose-kun-wa-itsumo-iinari	一ノ瀬くんはいつも言いなり。	コアマガジン
iiko-desune-meirei-shitemo	いい子ですね、命令しても?	コアマガジン
ijirarekei-kanojo-no-sugao-o-mitai-to-omoimasenka	いじられ系カノジョの素顔をみたいと思いませんか?	コアマガジン
ijuudou-ki-tan	異獣堂奇譚	ジーオーティー
ikizurai-mama-waraeta-nara	生きづらいまま笑えたなら	ジーオーティー
ikkakujuu-wa-tsuranukanai	一角獣は貫かない!	ジーオーティー
ikoku-irokoi-roman-tan	異国色恋浪漫譚	コアマガジン
image	イマージュ	白夜書房
incest-heaven	インセストヘブン	フランス書院
infinite-blade	インフィニティブレード	キルタイムコミュニケーション
injuu-ai	淫獣愛	フランス書院
inma-na-shachou-ni-yabai-cry-shuuchaku-sarete-imasu	淫魔な社長にヤバいくらい執着されています!?	フランス書院
is-collection	IS collection	白夜書房
isekai-eebii-satsueitai	異世界AV撮影隊	キルタイムコミュニケーション
isekai-kuimetsu-no-same	異世界喰滅のサメ	キルタイムコミュニケーション
isekai-majutsushi-wa-mahou-o-tonaenai	異世界魔術師は魔法を唱えない	キルタイムコミュニケーション
isekai-no-meitantei	異世界の名探偵	キルタイムコミュニケーション
isha-to-hikentai-san	医者と被験体さん。	キルタイムコミュニケーション
itchomae-angel	いっちょまえangel	ワニマガジン社
itsu-datte-souda-shouki-de-irarenai	いつだってそうだ正気でいられない	茜新社
itsumademo-dokomademo	いつまでもどこまでも	久保書店
itsuwari-no-ai	いつわりの愛	ジーオーティー
jfkennedy	JFKennedy	久保書店
jigoku-niito	地獄ニート	コアマガジン
jiken-bunkasai	事件・文化祭	久保書店
jikken-chiku-13	実験地区13	ジーオーティー
jitsuroku-warui-hito-dx	実録悪い人DX	コアマガジン
jitsuroku-yanagawagumi	実録柳川組	コアマガジン
jk-kara-yarinaosu-silver-plan	JKからやり直すシルバープラン	キルタイムコミュニケーション
joshi-ana-demo-iidesuka	女子アナでもいーですか?	エンジェル出版
josou-pandemic	女装パンデミック	キルタイムコミュニケーション
jouen-no-tenteki	情炎の点滴	久保書店
jounetsu-no-ingurisshu-rose	情熱のイングリッシュローズ	コアマガジン
joushi-ga-gomu-o-kuwaetara	上司がゴムを咥えたら	オークラ出版
joushi-ga-mukoiri	上司がムコ入り!?	フランス書院
junai-damontsu	純愛だもんッ!	ワニマガジン社
junjou-heart-kaihouku	純情はぁと解放区	コアマガジン
juu-no-rettou	獣の列島	ワニマガジン社
kada-giden	華陀偽伝	キルタイムコミュニケーション
kagami-no-kuni-no-bishoujo	鏡の国の美少女	久保書店
kagami-no-shoujo	鏡の少女	久保書店
kagaminomachi-no-kaguya-yakusoku-no-matsurihime	鏡野町のカグヤ 約束の祭姫	キルタイムコミュニケーション
kago-no-tsubomi	籠の莟	オークラ出版
kago-shintarou-no-sukatorojii-taizen	駕籠真太郎のスカトロジー大全	久保書店
kaihatsu-no-ojikan-desu	開発のお時間です	コアマガジン
kaijuu-joou-chronicle	怪獣王女chronicle	コアマガジン
kaira	回螺	ワニマガジン社
kairaku-hakurankai	快楽博覧会	オークラ出版
kairakubyoutou	快楽病棟	久保書店
kaiso-ichigenchou-hanafuda	怪鼠一見帳・花札	ジーオーティー
kakukaku	赫赫	茜新社
kamamoto-kenichi-juugosai	鎌本健一、十五歳	ヒット出版社
kamishiro-buchou-wa-ueteiru	神代部長は飢えている。	オークラ出版
kanata-ni-amane	彼方にあまね	エンジェル出版
kannosenritsu	姦の旋律	久保書店
kanojo-no-omocha	カノジョのオモチャ	エンジェル出版
kansaijin-to-fukumen-satsujinki	関西人と覆面殺人鬼	キルタイムコミュニケーション
kantorii-diary	カントリー・ダイアリー	茜新社
karada-goto-taberarechau	カラダごと食べられちゃう!?	オークラ出版
karamete-de-kudoite	からめ手で口説いて	コアマガジン
karamitsuku-ai-de-tojikomete	絡みつく愛でとじこめて。	ジーオーティー
karasu-wa-hibari-ni-amakute-amai	鴉は雲雀に甘くてあまい	コアマガジン
kare-no-shousou-to-koi-ni-tsuite	彼の焦燥と恋について	コアマガジン
karikare	仮カレ!!	コアマガジン
kashikoi-kodomo	かしこい子ども	ジーオーティー
katekyo	カテキョ!	コアマガジン
kawaii-hou-de-doudesuka	可愛い方でどうですか?	エンジェル出版
kawaii-kemono	かわいいケモノ	フランス書院
keeken-takanashi-ruri-no-ero-mangamichi	ケーケン! 小鳥遊ルリのエロまんが道	エンジェル出版
kenban-no-ue-no-caress	鍵盤の上のカレス	コアマガジン
kenshou-ookami	懸賞狼	久保書店
ki-ni-naru-otonari-san	気になるお隣りさん	ワニマガジン社
kids-torein	きっず・とれいん	フランス書院
kikangentei-kazoku	期間限定家族	文苑堂
kikou-jinruiden-body	機甲人類伝BODY	ワニマガジン社
kiku-no-yume	菊の夢	久保書店
kimi-ga-nozomeba	猫(きみ)が望めば	キルタイムコミュニケーション
kimi-mo-jinsei-bou-ni-futte-minai-ka	君も人生棒に振ってみないか?	茜新社
kimi-no-risou-no-maid-ni-naru	キミの理想のメイドになる!	キルタイムコミュニケーション
kin-su-gihotarude-mi-o-kogasu	近すぎほたるで身を焦がす	ジーオーティー
king-sitter	King sitter	コアマガジン
kinniku-banchou	筋肉番長	白夜書房
kinoko-no-akeko	キノコのアケコ	ジーオーティー
kinto-reijou-kuura-sama	筋ト令嬢クーラ様	ジーオーティー
kinyoubi-no-shinshitsu	金曜日の寝室	フランス書院
kioku-o-idaite-nemure	記憶を抱いて眠れ	茜新社
kioku-oobaarappu	記憶オーバーラップ	白夜書房
kirai-na-douryou-no-dakimakura-ni-narimashite	嫌いな同僚の抱き枕になりまして	ジーオーティー
kirepapa	キレパパ。	コアマガジン
kishidou-club	騎士堂倶楽部	コアマガジン
kiss-of-life	Kiss of life	コアマガジン
kisu-no-akusento	Kissのアクセント	コアマガジン
kita-no-kuni-kara-konnichiwa	北の国からこんにちわ	ワニマガジン社
kodoku-no-gunshuu	孤独の群衆	茜新社
kodomo-endorooru	こどもエンドロール	コアマガジン
kodomo-no-mori-kanketsuhen	子供の森	オークラ出版
kodomo-no-mori-kanketsuhen-1999	子供の森・完結編	オークラ出版
kohitsuji-project	子羊プロジェクト	オークラ出版
koi-ga-michitara	恋が満ちたら	コアマガジン
koi-kara-hajimaru	恋からはじまる	ワニマガジン社
koi-no-choujikuuhou	恋の超時空砲	久保書店
koibito-keiyaku-wa-beddo-no-naka-de	恋人契約はベッドの中で	オークラ出版
koijuu	恋獣	コアマガジン
koimoku	こいもく	キルタイムコミュニケーション
koisuru-sanobabitchi	恋するサノバビッチ	フランス書院
kojin-jugyou-rumoijun	個人授業	三和出版
kojirabu	こじラブ。	コアマガジン
koketsu-dining	虎穴ダイニング	フランス書院
koko-kara-saki-wa-yuuryou-desu-majime-otto-ni-etchi-na-service	※ここから先は有料です!マジメ夫にえっちなサービス!?	フランス書院
kokoro-mo-karada-mo-torawarete	ココロもカラダも囚われて	オークラ出版
kokuu-karano-chousen	虚空からの挑戦	白夜書房
komi-kobanashi	こみ小話	文苑堂
komochi-yakuza-to-doukyo-hajimemashita	子持ちヤクザと同居はじめました。	オークラ出版
konbini	コンビニ	オークラ出版
konna-ni-etchi-de-gomennasai	こんなにえっちでごめんなさい。	コアマガジン
kono-koi-wa-hardboiled	この恋はハードボイルド	茜新社
konohanasakuya	コノハナサクヤ	コアマガジン
konyaku-haki-no-jippunmae-ni-zense-o-omoidashimashita	婚約破棄の十分前に、前世を思い出しました	キルタイムコミュニケーション
konyaku-haki-shite-sashiagemasu-wa	婚約破棄してさしあげますわ	キルタイムコミュニケーション
kore-ijou-wa-ikenaino	これ以上はイケないの!!	オークラ出版
korogari-teiji	ころがり釘次	コアマガジン
kosumesu	コス娘s	エンジェル出版
kotetsu-no-daibouken	小鉄の大冒険	ワニマガジン社
kotobuki	寿	茜新社
kotoza-no-regashii	こと座のレガシー	ワニマガジン社
koukou-kyoushi-monogatari	高校教師物語	司書房
koushoku-shounen	好色少年	司書房
kuchibiru-wa-egoisuteikku	唇はエゴイスティック	オークラ出版
kuchidome-no-gohoubi-wa-dansou-otome-to-icha-ero-desu	口止めのご褒美は男装乙女とイチャエロです!	キルタイムコミュニケーション
kura-kuri	リラ + クリ	エンジェル出版
kuroneko-ochibi-no-isshou	黒猫おちびの一生	ジーオーティー
kusarizoroi-no-doukyuusei	腐揃いの同級生	コアマガジン
kusarizoroi-no-kyoushitsu	腐揃いの教室	コアマガジン
kuwareru-hodo-ni-abakarete	喰われるほどに暴かれて	コアマガジン
kuzesanchi-no-oyome-san	久世さんちのお嫁さん.	ジーオーティー
kuzu-otoko-no-poemu-ue	クズ男のポエム 上	ジーオーティー
kyou-de-anata-o-wasuremasu-dakara-douzo-oshiawase-ni	今日で貴方を忘れます。だからどうぞお幸せに。	フランス書院
kyou-kara-wa-binetsujin	今日からは微熱人	ワニマガジン社
kyoufu-buta-no-machi-hino-hideshi-animal-works	恐怖!!ブタの町+日野日出志アニマルワークス	久保書店
kyouju-to-shitsuji-no-shizuka-na-seikatsu	教授と執事の静かな生活	コアマガジン
kyoumei-glamorous-voice	共鳴-グラマラス・ヴォイス-	オークラ出版
kyrie-kuraka-2018	Kyrie	茜新社
kyuuai-pheromone	嗅愛フェロモン	ジーオーティー
kyuugorou-rekkyuuden	球五郎列球伝	白夜書房
lady-lynx	Ladyリンクス	ヒット出版社
last-resort	Last resort	コアマガジン
level-1-no-dakarekata	レベル1の抱かれ方	コアマガジン
lingerie-plump	ランジェリープランプ	キルタイムコミュニケーション
lip-suteikku	りっぷすてぃっく	白夜書房
little-sister	LITTLE SISTER	ワニマガジン社
long-period	ロングピリオド	フランス書院
lost-cats	ロスト・キャッツ	ジーオーティー
love-blossom	ラブロッサム	オークラ出版
love-cross	ラブクロス	エンジェル出版
love-hate-takagi-2020	LOVE & HATE	コアマガジン
love-miracle	ラヴミラクル	オークラ出版
love-nenrei	恋愛年齢	コアマガジン
love-paradox	恋愛Paradox	コアマガジン
love-plus-alpha	恋愛プラスα	コアマガジン
love-seeker	LOVE SEEKER	コアマガジン
love-sureivu	ラブスレイヴ	ジーオーティー
lovely-sick-ohmine-2004	ラブリーシック	オークラ出版
luck-master	ラックマスター	白夜書房
lullaby-bye-lily	ララバイバイリリー	ジーオーティー
machine-head	マシンヘッド	白夜書房
madk	MADK	フランス書院
magatte-soorou	曲がってそーろう	ワニマガジン社
mahou-shoujo-haiboku-saiban	魔法少女×敗北裁判	キルタイムコミュニケーション
mahou-shoujo-wa-koishinai	魔法少女は恋しない!	キルタイムコミュニケーション
maid-angel	メイドエンジェル	オークラ出版
maid-hirotta	メイド拾った	ジーオーティー
mainichi	マイニチ	久保書店
majime-ni-ikitai-onagawa-san	マジめにイキたい小名川さん	ジーオーティー
mako-chan-enikki	マコちゃん絵日記	茜新社
