slug	title	authors	year	publisher	total_volumes
boukenshatachi-no-sekaishi	冒険者たちの世界史	榊原晃三	1983	(unknown)	23
daichouhen-doraemon	大長編ドラえもん	藤子・F・不二雄・藤子不二雄	1983	shogakukan	38
shisaku-nansensu-senshuu	思索ナンセンス選集	久里洋二	1983	(unknown)	4
furusato	ふるさと	矢口高雄	1984	chuokoron	18
shieipu-up-ran	シェイプアップ乱	徳弘正也	1984	shueisha	29
nijinsky-guuwa	ニジンスキー寓話	有吉京子	1984	akita	11
ninja-hattori-kun	忍者ハットリくん	藤子不二雄Ⓐ	1984	shogakukan	9
kibaken	牙拳	かわぐちかいじ	1984	nihon-bungasha	11
inugamike-no-ichizoku	犬神家の一族	つのだじろう・Jet	1984	kodansha	3
ehon-kouroumu	画本紅楼夢	松枝茂夫	1984	chuokoron	4
kaze-no-tani-no-naushika-1984	風の谷のナウシカ	宮崎駿	1984	kodansha	3
kaze-no-tani-no-naushika	風の谷のナウシカ	宮崎駿	1984	tokuma	9
kaze-no-wa-toki-no-wa-suna-no-wa	風の輪・時の和・砂の環	神坂智子	1984	shinshokan	2
tokimekiarisu	ときめきアリス	吾妻ひでお	1985	(unknown)	2
hotel	ホテル	石ノ森章太郎	1985	shogakukan	58
manhattan-op	マンハッタン・オプ	谷口ジロー	1985	kobunsha	2
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	広岡球志	1985	kodansha	2
miyazawa-kenji-mangakan	宮沢賢治・漫画館	あすなひろし・たむらしげる・永島慎二・山松ゆうきち・水木しげる・水野英子・スズキコージ・飯野和好	1985	ushio-shuppan	2
senjou	戦場	バロン吉元・横山まさみち・政岡としや	1985	holp-shuppan	2
mobile-suit-z-gundam	機動戦士Zガンダム	山口宏	1985	kodansha	4
otonashi-genjuu	音無し幻十	さいとう・たかを	1985	akita	4
furoagari-no-yozora-ni	風呂上がりの夜空に	小林じんこ	1985	kodansha	8
bar-lemon-heart-2014	BARレモン・ハート	古谷三敏・ファミリー企画	1986	futabasha	38
mobile-suit-gundam-f90	Mobile suit gundam F90	中原れい	1986	(unknown)	3
b-boy	b-Boy	なると真樹・桃さくら	1986	biblos	4
kanon-takemiya-1986	カノン	竹宮惠子	1986	shinshokan	2
comic-chuurippu	コミックチューリップ	いまざきいつき	1986	(unknown)	6
the-combat	ザ・コンバット	望月三起也	1986	asahi-sonorama	2
powerful-mazegohan	パワフル☆まぜごはん	真鍋譲治	1986	byakuya-shobo	2
pumpkin	パンプキン	SABE・Yumi・わたなべわたる・亜麻木硅・池田秀一・空根ちゃらか・みづの剣士・北御牧慶・東・京都・MON-MON・あらいずみるい	1986	byakuya-shobo	21
mad-buru-34	マッド・ブル34	井上紀良	1986	shueisha	7
koike-kazuo-no-za-shibi-golf	小池一夫のザ・シビゴルフ	芳谷圭児	1986	studio-ship	3
shiyounan-bakusouzoku	湘南爆走族	西城隆詞	1986	shonen-gahosha	4
doughnuts-books	Doughnuts books	いしいひさいち	1987	futabasha	15
milky-comic	milky comic	PJ1	1987	taiyoh-tosho	5
ishii-hisaichi-no-keizai-gairon	いしいひさいちの経済外論	いしいひさいち	1987	asahi-shimbun	3
aimu-namu	アイムナム	細野不二彦	1987	shogakukan	2
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	水木プロ	1987	kodansha	3
comic-chuurippu-1988	コミックチューリップ	眠田直	1987	(unknown)	6
comic-tulip	コミックチューリップ	おおや舞	1987	(unknown)	5
perman-fujiko-1979	パーマン	藤子不二雄	1987	chuokoron	11
big-rival	ビッグライバル	ビッグ錠	1987	shueisha	2
horror-occult-kyousaku-daizenshuu	ホラーオカルト競作大全集	(unknown)	1987	tokyo-sanseisha	3
lilliput	リリパット	松崎司	1987	takeshobo	7
gekiga-oya-sama-monogatari	劇画教祖物語	中城健雄	1987	(unknown)	3
