slug	題	巻書誌に無い著者	頁の巻数	照合できた巻数	巻書誌にある著者	reason
10-nen-goshi-no-hiki-niito-o-yamete-gaishutsu-shitara-jitaku-goto-isekai-ni-teni-shiteta	10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた	石山さやか	3	3	たぢまよしかづ / たぢまよしかづ坂東太郎 / 坂東太郎	
100-kai-naku-koto	100回泣くこと	中村航	1	1	中村 / 愛 / 水谷 / 水谷愛中村航 / 航	
100-kai-naku-koto	100回泣くこと	水谷愛	1	1	中村 / 愛 / 水谷 / 水谷愛中村航 / 航	
100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-nattemo-sekaijuu-no-deshi-kara	100人の英雄を育てた最強預言者は、冒険者になっても世界中の弟子から慕われてます@comic	甘宇井白一	6	6	あまうい / あまうい白一天野英響眞 / 天野 / 白一 / 眞 / 英 / 響	
100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-nattemo-sekaijuu-no-deshi-kara	100人の英雄を育てた最強預言者は、冒険者になっても世界中の弟子から慕われてます@comic	響眞	6	6	あまうい / あまうい白一天野英響眞 / 天野 / 白一 / 眞 / 英 / 響	
100-no-shippo-monogatari	100のしっぽ物語	奈知未佐子	1	1	利昭 / 奈知 / 未佐子 / 石川 / 石川利昭奈知未佐子	
100-no-shippo-monogatari	100のしっぽ物語	石川利昭	1	1	利昭 / 奈知 / 未佐子 / 石川 / 石川利昭奈知未佐子	
1000-sai-toshishita-no-koutei-ni-shuuchaku-dekiaisaretemasu	1000歳年下の皇帝に執着されてます	LeeYunhee	4	4	Kara / KaraLeeYunhee / Lee / Yunhee	
15-fun-no-shoujo-tachi	15分の少女たち	戸井理恵	6	6	かっぴー / かっぴー戸井理恵 / 戸井 / 理恵	
15-shoujo-to-hyouryuuki	15少女と漂流記	George Mackenzie	2	2	AK24 / AK24GeorgeMackenzie / George / GeorgeMackenzieAK24 / Mackenzie	
16-byoukan-no-misshitsu	16秒間の密室	大橋薫	1	1	大橋薫（漫画家） / 大橋薫（漫画家）西澤保彦 / 西澤保彦	
19-sai-no-otto-niwa-himitsu-ga-aru	19歳の夫には秘密がある	皇りん	3	3	RIN。 / RIN。伊吹芹 / 伊吹芹	
1995-tokyo-kaimetsu	1995東京壊滅	神鳥ひかる	1	1	つのだじろう / 神島ひかる / 神島ひかるつのだじろう	
1997-daisanji-sekai-taisen	1997第三次世界大戦	神鳥ひかる	1	1	つのだじろう / 神島ひかる / 神島ひかるつのだじろう	
1999-jinrui-shuumatsu	1999人類終末	神鳥ひかる	1	1	つのだじろう / 神島ひかる / 神島ひかるつのだじろう	
2-densetsu-dai-2shou	天才伝説第2章	張傘	7	7	みのもけんじ	
2-hearts	2 hearts	松岡嵩春	4	4	松本嵩春	
2-i-4-6	2・4・6	荒井涼助	3	3	加登屋みつる / 加登屋みつる荒井涼介 / 荒井涼介	
2-jou-no-valkyria-2	戦場のヴァルキュリア2	西都大貴	2	2	セガ / 渡里 / 渡里セガ	
2-tenichiyon-jiken	2.14事件	菜槻さあり	1	1	穂波ゆきね	
20-seiki-shounen-no-wakiyaku	20世紀少年の脇役	ウジコウジオ	1	1	ウジオ / ウジコ / 浦沢 / 浦沢直樹ウジコウジオ / 直樹	
