slug	題	巻書誌に無い著者	頁の巻数	照合できた巻数	巻書誌にある著者	reason
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	蟹江鉄史	6	6	EVIL / EVILLINERECORDSうまみザウルス / EVILLINERECORDS相羽紀行百瀬祐一郎 / EVILLINEREC	
hiraba-no-hito	ひらばのひと	神田伯山 6代	6	6	久世 / 久世番子 / 番子	
hirari	ひらり、	TONO	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	ささだあすか	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	ふかさくえみ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	カザマアヤミ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	スカーレットベリ子	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	仙石寛子	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	前田とも	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	南国ばなな	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	古張乃莉	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	吉田丸悠	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	夏乃あゆみ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	木原音瀬	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	松本花	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	栗城偲	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	桑田乃梨子	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	橋本みつる	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	犬丸	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	王嶋環	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	石堂くるみ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	竹美家らら	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	茉崎ミユキ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	藤こよみ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	藤たまき	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	藤沢誠	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	藤生	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	藤生優	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	袴田めら	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	西炯子	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	遠田志帆	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	鈴木有布子	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	雁須磨子	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	雨	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hirari	ひらり、	高嶋ひろみ	7	7	アンソロジー / 一穂ミチ / 四ツ原フリ子 / 平尾アウリ / 平尾アウリ磯谷友紀 / 磯谷友紀 / 紺野キタ / 紺野キタ四ツ原フリ子 	
hiren	悲恋	小牧成	1	1	まつざきあけみ / まつざきあけみ六畳間 / 六畳間	
hiren	悲恋	柳野千	1	1	まつざきあけみ / まつざきあけみ六畳間 / 六畳間	
hiren	悲恋	藤本さみ	1	1	まつざきあけみ / まつざきあけみ六畳間 / 六畳間	
hiroshima-gangsta	広島ギャングスタ	芥瀬良せら	3	3	せら / 大地 / 大地芥瀬良せら / 芥瀬良	
hisokani-asare	ヒソカニアサレ	きむてみょん	5	5	きむ / てみょん / 古町 / 古町きむてみょん	
hitman-2013	ヒットマン	ガース・エニス	5	5	エニス / ガース / ガースエニスジョンマクリア海法紀光 / ガースエニス海法紀光 / ジョン / マクリア / 海法紀光	
hitman-2013	ヒットマン	ガース・ヱニス	5	5	エニス / ガース / ガースエニスジョンマクリア海法紀光 / ガースエニス海法紀光 / ジョン / マクリア / 海法紀光	
hito-ka-kera-no-koi	ひとかけらの恋	ベティ・ニールズ	1	1	ニールズ / ベティ / 神奈アズミ / 神奈アズミベティニールズ	
hitojichi-seikatsu-kara-hajimeru-surooraifu	人質生活から始めるスローライフ	大河原	4	4	小賀いちご / 小賀いちご森名尚 / 森名尚	
hitokui-mansion-to-ooya-no-maison	人喰いマンションと大家のメゾン	田中空	4	4	あきま / あきま田中空 / 田中 / 空	
hitokui-oni-no-hanayome	人喰い鬼の花嫁	綾里けいし	4	4	けいし / ワタヌキ / ワタヌキ綾里けいし / 綾里	
hitomebore-to-iwareta-noni-jitsu-wa-otori-dato-shitta-hakushaku-reijou-no-mikkakan	一目惚れと言われたのに実は囮だと知った伯爵令嬢の三日間	千石かのん	6	6	かのん / 八美☆わん / 千石 / 藤谷 / 藤谷陽子千石かのん八美☆わん / 陽子	
hitomebore-to-iwareta-noni-jitsu-wa-otori-dato-shitta-hakushaku-reijou-no-mikkakan	一目惚れと言われたのに実は囮だと知った伯爵令嬢の三日間	藤谷陽子	6	6	かのん / 八美☆わん / 千石 / 藤谷 / 藤谷陽子千石かのん八美☆わん / 陽子	
hitori-camp-shitara-isekai-ni-teni-shita-hanashi	一人キャンプしたら異世界に転移した話	トロ猫	4	4	はるちか / はるちかトロ猫（ツギクル） / トロ猫（ツギクル）	
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	野上たま	2	2	たま / チンジャオ娘 / チンジャオ娘野上たま / 野上	
hitsudan-hosutesu	筆談ホステス	斉藤里恵	2	2	蟹江ユアサ	
hitsugi-no-chaika	棺姫のチャイカ	なまにくATK	5	5	なまにくATK（ニトロプラス） / 榊一郎 / 榊一郎茶菓山しん太なまにくATK（ニトロプラス） / 茶菓山しん太	
hitsuji-no-ki	羊の木	山上たつひこ	5	5	いがらし / いがらしみきお / いがらしみきお山上たつひこ / たつひこ / みきお / 山上	
hittoraa-no-musuko	ヒットラーの息子	小堀洋	3	1	叶精作	
hiyokko-sharoushi-no-hinako	ひよっこ社労士のヒナコ	水生大海	1	1	別荘地 / 大海 / 水生 / 水生大海河野別荘地 / 河野	
hiyokko-sharoushi-no-hinako	ひよっこ社労士のヒナコ	河野別荘地	1	1	別荘地 / 大海 / 水生 / 水生大海河野別荘地 / 河野	
hizakura-oen	緋桜お艶	団鬼六	2	2	笠間しろう	
hodonaku-owakare-desu	ほどなく、お別れです	込由野しほ	5	5	しほ / 天音 / 込由野 / 長月 / 長月天音込由野しほ	
hodonaku-owakare-desu	ほどなく、お別れです	長月天音	5	5	しほ / 天音 / 込由野 / 長月 / 長月天音込由野しほ	
hokenshitsu-no-nemurihime	保健室の眠り姫	やなぎりと	2	2	もなか / やなぎ / やなぎりと兎山もなか / りと / 兎山	
hokenshitsu-no-nemurihime	保健室の眠り姫	兎山もなか	2	2	もなか / やなぎ / やなぎりと兎山もなか / りと / 兎山	
hokori-takaki-senjou	誇り高き戦場	アラン・シリトー	2	2	坂田靖子	
hokou-danshi	補講男子	EARTH STAR SPICA	1	1	EARTH / SPICA / STAR / 荻野スミ / 荻野スミEARTHSTARSPICA	
hokuheki-no-shitou	北壁の死闘	ボブ・ラングレー	2	2	ボブ / ラングレー / 井上康彦 / 井上康彦ボブラングレー	
hokuou-kizoku-to-moukinzuma-no-yukiguni-karigurashi	北欧貴族と猛禽妻の雪国狩り暮らし	江本マシメサ	10	10	あかねこ / マシメサ / 江本 / 白樺 / 白樺鹿夜江本マシメサあかねこ / 鹿夜	
hokuou-kizoku-to-moukinzuma-no-yukiguni-karigurashi	北欧貴族と猛禽妻の雪国狩り暮らし	白樺鹿夜	10	10	あかねこ / マシメサ / 江本 / 白樺 / 白樺鹿夜江本マシメサあかねこ / 鹿夜	
hokushin-denki	北神伝綺	大塚英志	2	2	森美夏	
hokuto-no-ken	北斗の拳	佐竹雅昭	45	45	原 / 原哲夫 / 原哲夫武論尊 / 哲夫 / 武論尊	
hokuto-no-ken-ichigoaji	北斗の拳 イチゴ味	しな	9	9	原哲夫 / 河田雄志 / 行徒妹 / 行徒妹河田雄志 / 行徒妹河田雄志原哲夫	
hokuto-no-ken-ichigoaji	北斗の拳 イチゴ味	武論尊	9	9	原哲夫 / 河田雄志 / 行徒妹 / 行徒妹河田雄志 / 行徒妹河田雄志原哲夫	
holmes-saigo-no-jiken	ホームズ最後の事件	アーサー・コナン・ドイル	1	1	アーサー / アーサーコナンドイル小林たつよし / コナン / ドイル / 小林たつよし	
holox-meeting	ホロックスみーてぃんぐ!	おかだアンミツ	2	2	おかだ / アンミツ / カバー株式会社 / カバー株式会社合同会社オムカレーおかだアンミツ / 合同会社オムカレー	
holox-meeting	ホロックスみーてぃんぐ!	オムカレー	2	2	おかだ / アンミツ / カバー株式会社 / カバー株式会社合同会社オムカレーおかだアンミツ / 合同会社オムカレー	
honey-coming	Honey Coming	K	3	3	高野うい	
honey-meguro-2013	ハニー	馬場美由紀	8	8	目黒あむ	
honnori-vanilla	ほんのりヴァニラ	胡原おみ	1	1	橘皆無 / 橘皆無水無月さらら / 水無月さらら	
honomieru-shounen	仄見える少年	後藤冬吾	4	4	健人 / 冬吾 / 後藤 / 松浦 / 松浦健人後藤冬吾	
honomieru-shounen	仄見える少年	松浦健人	4	4	健人 / 冬吾 / 後藤 / 松浦 / 松浦健人後藤冬吾	
honoo-no-inferno	炎のインフェルノ	林達永	6	6	金光鉉	
honoo-no-mirage	炎の蜃気楼	浜田翔子	7	7	桑原水菜 / 浜田翔子（漫画家） / 浜田翔子（漫画家）桑原水菜	
honoo-no-ryourinin-shuu-tomitoku	炎の料理人周富徳	K	9	9	Kisho / Kisho今泉伸二 / Kisho荒仁 / 今泉伸二 / 荒仁	
honoo-no-ryourinin-shuu-tomitoku	炎の料理人周富徳	企画	9	9	Kisho / Kisho今泉伸二 / Kisho荒仁 / 今泉伸二 / 荒仁	
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	チャールズ後藤	4	4	アンソロジー	
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	桜木さゆみ	4	4	アンソロジー	
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	梅宮あいこ	4	4	アンソロジー	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	かがり淳子	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	久世みずき	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	坂元勲	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	姫川きらら	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	栖川マキ	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	牧原若菜	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-kowai-hanashi	本当にあった怖い話	環方このみ	1	1	かがり / きらら / このみ / マキ / 姫川 / 小室栄子 / 小室栄子牧原若菜姫川きらら栖川マキ環方このみかがり淳子 / 栖川 / 	
hontou-ni-atta-shin-chou-kowai-gakkou-no-kaidan	ほんとうにあった新☆超こわい学校の怪談	吉田ミカン	3	3	原田亜香音 / 原田亜香音安藤まりり / 原田亜香音清斗真琴 / 原田亜香音鈴木比沙子 / 安藤まりり / 清斗真琴 / 鈴木比沙子	
hontou-ni-atta-shin-chou-kowai-gakkou-no-kaidan	ほんとうにあった新☆超こわい学校の怪談	基みるら	3	3	原田亜香音 / 原田亜香音安藤まりり / 原田亜香音清斗真琴 / 原田亜香音鈴木比沙子 / 安藤まりり / 清斗真琴 / 鈴木比沙子	
hontou-ni-atta-shin-chou-kowai-gakkou-no-kaidan	ほんとうにあった新☆超こわい学校の怪談	梅崎美佳	3	3	原田亜香音 / 原田亜香音安藤まりり / 原田亜香音清斗真琴 / 原田亜香音鈴木比沙子 / 安藤まりり / 清斗真琴 / 鈴木比沙子	
hontou-ni-kowai-otogibanashi	本当に怖いおとぎ話	小室栄子	1	1	このみ / まこ / まゆき / よこ / 寺下 / 小室 / 栄子 / 環方 / 真山リコ / 福永 / 阿南 / 阿南まゆき小室栄子真山	
hontou-ni-kowai-otogibanashi	本当に怖いおとぎ話	環方このみ	1	1	このみ / まこ / まゆき / よこ / 寺下 / 小室 / 栄子 / 環方 / 真山リコ / 福永 / 阿南 / 阿南まゆき小室栄子真山	
hontou-ni-kowai-otogibanashi	本当に怖いおとぎ話	阿南まゆき	1	1	このみ / まこ / まゆき / よこ / 寺下 / 小室 / 栄子 / 環方 / 真山リコ / 福永 / 阿南 / 阿南まゆき小室栄子真山	
honzuki-no-gekokujou	本好きの下剋上	椎名優	7	7	勝木光 / 戸部淑他 / 波野涼 / 鈴華 / 香月美夜	
hop-papamocco	Hop!Papamocco	深山はな	1	1	ウィリアム / ダンバー / 山本ルンルン / 山本ルンルンウィリアムダンバー	
hop-step-sing	Hop Step Sing!	小玉励	2	2	励 / 小玉 / 明日部 / 結衣 / 講談社 / 講談社小玉励明日部結衣	
hop-step-sing	Hop Step Sing!	明日部結衣	2	2	励 / 小玉 / 明日部 / 結衣 / 講談社 / 講談社小玉励明日部結衣	
horii-san-ga-tooru	ホリィさんが通る	岩井恭平	2	2	大庭下門	
hortensia-saga	オルタンシア・サーガ	彭傑	2	2	Land） / f4samurai / 彭傑&正璽 / 彭傑&正璽（FriendlyLand）f4samurai / （Friendly	
hortensia-saga	オルタンシア・サーガ	正璽	2	2	Land） / f4samurai / 彭傑&正璽 / 彭傑&正璽（FriendlyLand）f4samurai / （Friendly	
horus-master	ホルス☆マスター	嬉野秋彦	2	2	此路あゆみ	
horyo-eiyuu	捕虜英雄	海空 りく	3	3	りく / 海空 / 真じろう / 真じろう海空りく	
hoshi-no-fune	星の艦	小池一夫	2	2	井上紀良	
hoshi-no-hitomi-no-silhouette	星の瞳のシルエット	ホーム社	16	16	柊あおい	
hoshi-no-kirby-pupupu-hero	星のカービィプププヒーロー	あおきけい	5	5	あおきけい＆みかまる	
hoshi-no-kirby-pupupu-hero	星のカービィプププヒーロー	みかまる	5	5	あおきけい＆みかまる	
hoshi-no-kyoushitsu	星の教室	きたがわ 翔	1	1	きたがわ / 翔 / 郁 / 高田 / 高田郁きたがわ翔	
hoshi-no-kyoushitsu	星の教室	高田 郁	1	1	きたがわ / 翔 / 郁 / 高田 / 高田郁きたがわ翔	
hoshi-no-sabaku	星の砂漠	友谷蒼	1	1	維新研究会 / 維新研究会船戸明里 / 船戸明里	
hoshi-o-tsugu-mono	星を継ぐもの	J.P.ホーガン	4	4	J / P / P．ホーガン / ジェームズ / ホーガン / 之宣 / 星野 / 星野之宣 / 星野之宣JPホーガン / 星野之宣ジェーム	
hoshi-yo-kirameke	星くず	宮子あずさ	2	2	大谷博子	
hoshikage-no-bless	星影のブレス	しもがやぴくす＆みらい戻	2	2	しもがやぴくす / しもがやぴくすみらい戻 / みらい戻 / 藤本ひとみ / 藤本ひとみしもがやぴくす	
hoshiuta	ほしうた	フロントウイング	2	2	フミオ	
hoshokusha-kei-mahou-shoujo	捕食者系魔法少女	バショウ科バショウ属	3	3	KADOKAWA刊) / バショウ科バショウ属(ファミ通文庫 / バショウ科バショウ属(ファミ通文庫KADOKAWA刊)丸智之東西 / 丸 	
host-no-dai-chan	ホストの大ちゃん	源氏荘太郎	1	1	土山しげる	
hosutesu-no-1	ホステスno.1	京野一郎	3	3	郷力也	
hosutesu-no-1	ホステスno.1	松田康志	3	3	郷力也	
hot-zone	ホット・ゾーン	リチャード・プレストン	2	2	プレストン / リチャード / リチャードプレストン林日出夫 / 林日出夫	
hot-zone	ホット・ゾーン	柳澤一明	2	2	プレストン / リチャード / リチャードプレストン林日出夫 / 林日出夫	
hotaru-no-haka	火垂るの墓	高畑勲	1	1	三堂司 / 野坂昭如 / 野坂昭如三堂司	
hotel-de-dakishimete	ホテルで抱きしめて	粕谷秀夫	1	1	八月薫	
hotelier	HOTELIER-ホテリエ-	城アラキ	2	2	アラキ / 城 / 川口 / 川口幸範城アラキ / 幸範	
hotelier	HOTELIER-ホテリエ-	川口幸範	2	2	アラキ / 城 / 川口 / 川口幸範城アラキ / 幸範	
hottarakashi-meshi	ほったらかし飯	とうのきり	2	2	きり / とうの / とうのきりカカル / カカル	
houjin-dakkan	邦人奪還	伊藤祐靖	2	2	伊藤 / 伊藤祐靖須本壮一 / 壮一 / 祐靖 / 須本 / 須本壮一伊藤祐靖	
houjin-dakkan	邦人奪還	須本壮一	2	2	伊藤 / 伊藤祐靖須本壮一 / 壮一 / 祐靖 / 須本 / 須本壮一伊藤祐靖	
houjou-tokimune	北条時宗	道又力	6	6	さいとう / さいとうたかを / たかを	
houjou-tokimune	北条時宗	高橋克彦	6	6	さいとう / さいとうたかを / たかを	
houkago-isekai-futari-tabi	放課後異世界ふたり旅	海法紀光	2	2	モンスターラウンジ / 海法 / 海法紀光藍田鳴モンスターラウンジ / 紀光 / 藍田 / 鳴	
houkago-isekai-futari-tabi	放課後異世界ふたり旅	藍田鳴	2	2	モンスターラウンジ / 海法 / 海法紀光藍田鳴モンスターラウンジ / 紀光 / 藍田 / 鳴	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	千葉コズエ	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	市川ショウ	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	星森ゆきも	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	星空ゆきも	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	服部美紀	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	水瀬藍	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	池山田剛	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-kimi-to-koi-o-shite	放課後キミと恋をして。	白石ユキ	1	1	ゆきも / コズエ / ショウ / ユキ / 剛 / 千葉 / 市川 / 星森 / 水瀬 / 池山田 / 池山田剛水瀬藍白石ユキ千葉コズエ市	
houkago-no-iruma-kun	放課後の!入間くん	秋田書店	1	1	プリンセス編集部 / 編 / 西修 / 西修プリンセス編集部編	
houkago-pedal	放課後ペダル	秋田書店	3	3	プリンセス編集部 / 渡辺航 / 渡辺航プリンセス編集部 / 渡辺航プリンセス編集部編 / 編	
houkago-pedal-hai-keidensu	放課後ペダルハイケイデンス	秋田書店	1	1	プリンセス編集部 / 渡辺航 / 渡辺航プリンセス編集部編 / 編	
houkago-seifuku-o-nuide	放課後、制服を脱いで。	わたなべ志穂	1	1	さき / みこ / りゅう / わたなべ / 夜神 / 志穂 / 悠妃 / 晴子 / 藍川 / 蜜樹 / 車谷 / 車谷晴子藍川さき悠妃りゅ	
houkago-seifuku-o-nuide	放課後、制服を脱いで。	夜神里奈	1	1	さき / みこ / りゅう / わたなべ / 夜神 / 志穂 / 悠妃 / 晴子 / 藍川 / 蜜樹 / 車谷 / 車谷晴子藍川さき悠妃りゅ	
houkago-seifuku-o-nuide	放課後、制服を脱いで。	悠妃りゅう	1	1	さき / みこ / りゅう / わたなべ / 夜神 / 志穂 / 悠妃 / 晴子 / 藍川 / 蜜樹 / 車谷 / 車谷晴子藍川さき悠妃りゅ	
houkago-seifuku-o-nuide	放課後、制服を脱いで。	藍川さき	1	1	さき / みこ / りゅう / わたなべ / 夜神 / 志穂 / 悠妃 / 晴子 / 藍川 / 蜜樹 / 車谷 / 車谷晴子藍川さき悠妃りゅ	
houkago-seifuku-o-nuide	放課後、制服を脱いで。	蜜樹みこ	1	1	さき / みこ / りゅう / わたなべ / 夜神 / 志穂 / 悠妃 / 晴子 / 藍川 / 蜜樹 / 車谷 / 車谷晴子藍川さき悠妃りゅ	
houkago-seifuku-o-nuide	放課後、制服を脱いで。	車谷晴子	1	1	さき / みこ / りゅう / わたなべ / 夜神 / 志穂 / 悠妃 / 晴子 / 藍川 / 蜜樹 / 車谷 / 車谷晴子藍川さき悠妃りゅ	
houtei-yuugi	法廷遊戯	五十嵐律人	3	3	ユムコ / 五十嵐 / 五十嵐律人束ユムコ / 律人 / 束	
houtei-yuugi	法廷遊戯	束ユムコ	3	3	ユムコ / 五十嵐 / 五十嵐律人束ユムコ / 律人 / 束	
hp-5-desu-kedo-auto-heal-ga-areba-shinimasen	HP5ですけど自動治癒があれば死にません!	四葉夕卜	2	2	三可九丸 / 四葉夕ト / 四葉夕ト三可九丸	
hunter-cats	ハンター・キャッツ	スタヂオぱらのい屋	5	5	あろひろし	
hurdle	ハードル	吉富多美	4	4	湖東美朋	
hurdle	ハードル	青木和雄	4	4	湖東美朋	
hurler-derby	ハーラーダービー	森高夕次	5	5	あきら / 夕次 / 森高 / 森高夕次水上あきら / 水上	
hurler-derby	ハーラーダービー	水上あきら	5	5	あきら / 夕次 / 森高 / 森高夕次水上あきら / 水上	
hyakka-ryouran-samurai-bride	百花繚乱 サムライブライド	八乃多々良	2	2	すずきあきら / 緋尾乃嵩巳 / 緋尾乃嵩巳すずきあきら	
hyakka-ryouran-samurai-girls	百花繚乱サムライガールズ	岩崎じゅんいち	2	2	しらゆき昭士朗 / しらゆき昭士朗すずきあきら / しらゆき昭士郎 / しらゆき昭士郎すずきあきら / すずきあきら	
