title	number	isbn13	date	publisher	reason_pending
大海賊同盟 EXTRA EDITION	6	9784860022082	2006-03	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ちび本当にあった笑える話	107	9784821175819	2014-06	ぶんか社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	2	9784882711117	1992-03	地方・小出版流通センター	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	3	9784882711254	1992-05	地方・小出版流通センター	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	4	9784882711315	1992-07	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	5	9784882711384	1992-09	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	6	9784882711452	1992-11	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	7	9784882711599	1993-02	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	9	9784882711803	1993-06	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	11	9784882711995	1993-10	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	12	9784882712091	1993-12	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	13	9784882712190	1994-02	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	14	9784882712299	1994-04	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	15	9784882712404	1994-06	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	16	9784882712565	1994-08	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	17	9784882712664	1994-10	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	18	9784882712855	1994-12	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	19	9784882713029	1995-02	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
