tier	worst_days	shape	slug	title	ed_idx	ed_type	ed_label	ed_imprint	publisher	status	n_vols	n_pairs	n_offenders	offender_nums	worst_pair	prec	isbn_pattern	isbn_pub_code	max_same_date	in_5y_ledger
T3_1日以上	14	SCATTER	noragami	ノラガミ	1	deluxe	デラックス版	講談社コミックスデラックス. 月刊少年マガジン	講談社	completed	14	2	2	6,8	8巻(2025-04-16)→9巻(2025-04-02)	D/D	有→有	40653/40653	2	
T3_1日以上	14	SINGLE	yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	0	standard	通常版		光栄	completed	7	1	1	6	6巻(1995-03)→7巻(1995-02-15)	M/D	有→有	48771/48771	1	
T3_1日以上	10	SINGLE	1-2-3-to-4-5-roku	1・2・3と4・5・ロク	2	shinsoban	講談社コミックスフレンド	講談社コミックスフレンド	講談社	completed	3	2	1	1	1巻(1981-06-20)→2巻(1981-06-10)	D/D	有→有	40617/40617	2	
T3_1日以上	10	SINGLE	daisuki-aisenai	大好き愛せない	0	standard	通常版	Nichibun comics	日本文芸社	completed	3	1	1	1	1巻(2003-10-10)→2巻(2003-09)	D/M	有→有	45371/45371	1	
T3_1日以上	10	SINGLE	kyouhaku-dog-s-another-secret	キョウハクDOG's Another Secret	0	standard	通常版	電撃コミックス	角川グループパブリッシング	completed	6	1	1	1	1巻(2012-01-27)→2巻(2012-01-17)	D/D	有→有	40488/40488	1	
T3_1日以上	10	SINGLE	love-junkies	恋愛ジャンキー	0	standard	通常版	ヤングチャンピオンコミックス	秋田書店	completed	26	1	1	10	10巻(2003-10-10)→11巻(2003-09)	D/M	有→有	42531/42531	1	
T3_1日以上	10	SINGLE	migi-muke-hidari	右向け左!	1	bunkobon	文庫版	講談社漫画文庫	講談社	completed	6	1	1	1	1巻(1999-06-11)→2巻(1999-06-01)	D/D	有→有	40626/40626	2	
T3_1日以上	10	SINGLE	sabajiosu-no-akuma-no-toge	サバジオスの悪魔の棘	0	standard	通常版	Bamboo comics	竹書房	completed	2	1	1	1	1巻(2025-07-11)→2巻(2025-07-01)	D/D	有→有	48019/48019	1	
T3_1日以上	10	SINGLE	tadaima-ojama-saremasu	ただいま、おじゃまされます!	0	standard	通常版	ビーズログコミックス	KADOKAWA	ongoing	3	1	1	1	1巻(2025-12-12)→2巻(2025-12-02)	D/D	有→有	40473/40473	1	
T3_1日以上	9	SINGLE	ai-no-akujotachi	愛の悪女たち	0	standard	通常版	宙コミックス	主婦と生活社	completed	3	1	1	1	1巻(1994-06-10)→2巻(1994-06-01)	D/D	有→有	43919/43919	1	
T3_1日以上	8	SINGLE	hard-nuts	ハードナッツ	0	standard	通常版		光文社	completed	5	1	1	1	1巻(2010-04-30)→2巻(2010-04-22)	D/D	有→有	43348/43348	1	
T3_1日以上	7	SINGLE	change-up-2022	CHANGE UP!!	0	standard	通常版	ブリーゼコミックス	キルタイムコミュニケーション	ongoing	3	1	1	2	2巻(2025-09-13)→3巻(2025-09-06)	D/D	有→有	47992/47992	1	
T3_1日以上	7	SINGLE	chiisana-ochakai	小さなお茶会	4	shinsoban	このマンガがすごい!comics版	このマンガがすごい!comics	宝島社	completed	3	1	1	2	2巻(2025-11-17)→3巻(2025-11-10)	D/D	有→有	42990/42990	1	
T3_1日以上	7	SINGLE	datte-yanmama	だってヤンママ	0	standard	通常版	Bomboo comics	竹書房	completed	4	1	1	1	1巻(1998-05-24)→2巻(1998-05-17)	D/D	有→有	48124/48124	1	
T3_1日以上	7	SINGLE	futsukazuki-ni-sumu	二日月に栖む	0	standard	通常版	Bamboo comics. Qpa collection	竹書房	completed	2	1	1	1	1巻(2025-07-28)→2巻(2025-07-21)	D/D	有→有	48019/48019	1	
T3_1日以上	7	SINGLE	gyakkyou-no-riidaashippu	逆境のリーダーシップ	0	standard	通常版	BUSINESS COMICS	竹書房	completed	2	1	1	1	1巻(2013-05-02)→2巻(2013-04-25)	D/D	有→有	48124/48124	1	
T3_1日以上	7	SINGLE	haikara-san-ga-tooru	はいからさんが通る	3	bunkobon	文庫版	講談社漫画文庫	講談社	completed	4	2	1	4	2巻(1995-06-09)→4巻(1995-06-02)	D/D	有→有	40626/40626	2	
T3_1日以上	7	SINGLE	josei-senyou	女性専用。	0	standard	通常版	ヤングジャンプコミックス	集英社	completed	8	1	1	7	7巻(2025-06-14)→8巻(2025-06-07)	D/D	有→有	40889/40889	1	
T3_1日以上	7	SINGLE	kikkai-kun	キッカイくん	2	bunkobon	竹書房文庫	竹書房文庫	竹書房	completed	4	3	1	4	1巻(1995-12-18)→4巻(1995-12-11)	D/D	有→有	48124/48124	3	
T3_1日以上	7	SINGLE	mitsu-to-gekiyaku	蜜と劇薬	0	standard	通常版	ベツコミフラワーコミックス	小学館	ongoing	5	1	1	1	1巻(2025-03-21)→2巻(2025-03-14)	D/D	有→有	40987/40987	1	
T3_1日以上	7	SINGLE	mobu-kara-mita-biieru	モブから見たBL	0	standard	通常版	Canna Comics	フランス書院	completed	2	1	1	1	1巻(2025-08-25)→2巻(2025-08-18)	D/D	有→有	48296/48296	1	
T3_1日以上	7	SINGLE	naniwa-gokuraku-kaikan	なにわ極楽会館	0	standard	通常版	トクマ・コミックス	徳間書店	completed	2	1	1	1	1巻(1996-11)→2巻(1996-10-25)	M/D	有→有	41978/41978	1	
T3_1日以上	7	SINGLE	reikoku-na-juujin-ouji-ni-migawari-de-totsuidara-tsugai-toshite-dekiai-saremashita	冷酷な獣人王子に身代わりで嫁いだら、番として溺愛されました	0	standard	通常版	BF COMICS	スターツ出版	completed	3	1	1	1	1巻(2025-08-22)→2巻(2025-08-15)	D/D	有→有	48137/48137	1	
T3_1日以上	7	SINGLE	shounen-kyuuketsuki-no-nankin-beya	少年吸血鬼の軟禁部屋	0	standard	通常版	BONITA COMICS	秋田書店	completed	3	1	1	2	2巻(2025-03-19)→3巻(2025-03-12)	D/D	有→有	42532/42532	1	
T3_1日以上	7	SINGLE	soushitsu-mahoutsukai-no-saikyou-kenja	喪失魔法使いの最強賢者	0	standard	通常版	グラストCOMICS	スターツ出版	completed	4	1	1	1	1巻(2025-08-15)→2巻(2025-08-08)	D/D	有→有	48137/48137	1	
T3_1日以上	6	SINGLE	ginii-pig-wa-ori-no-soto-no-yume-o-minai	ギニーピッグは檻の外の夢を見ない	0	standard	通常版	arca comics	Jパブリッシング	completed	2	1	1	1	1巻(2024-05)→2巻(2024-04-25)	M/D	有→有	48666/48666	1	
T3_1日以上	6	SINGLE	nibelung-no-yubiwa	ニーベルングの指環	0	standard	通常版	新潮コミックス	新潮社	completed	8	1	1	3	3巻(2002-04-15)→4巻(2002-04-09)	D/D	有→有	41077/41077	2	
T3_1日以上	6	SINGLE	noodle-nude	ヌードルヌード	0	standard	通常版	タイガーコミックス	総和社	completed	4	1	1	2	2巻(2001-11-21)→3巻(2001-11-15)	D/D	有→有	49013/49013	1	
T3_1日以上	5	SINGLE	black-angels	ブラック・エンジェルズ	2	bunkobon	文庫版		集英社	completed	12	1	1	1	1巻(2000-07-23)→2巻(2000-07-18)	D/D	有→有	40861/40861	2	
T3_1日以上	5	SCATTER	captain-tsubasa	キャプテン翼	1	bunkobon	文庫版	集英社文庫コミック版	集英社	completed	21	3	2	5,21	5巻(1997-12-17)→6巻(1997-12-12)	D/D	有→有	40861/40861	2	
T3_1日以上	5	SINGLE	hana-no-deka	花の慶次	1	bunkobon	文庫版	集英社文庫 コミック版	集英社	completed	10	1	1	1	1巻(1999-03-23)→2巻(1999-03-18)	D/D	有→有	40861/40861	2	
T3_1日以上	5	SINGLE	hosutesu-no-1	ホステスno.1	0	standard	通常版	ビンゴ・コミックス	文藝春秋	completed	3	1	1	1	1巻(1998-10-25)→2巻(1998-10-20)	D/D	有→有	41609/41609	1	
T3_1日以上	5	SINGLE	island	アイランド	0	standard	通常版	BEAM COMIX	エンターブレイン	completed	7	1	1	1	1巻(2001-04-12)→3巻(2001-04-07)	D/D	有→有	47577/47577	1	
T3_1日以上	5	SINGLE	kaze-no-kinkan	風の金冠	0	standard	通常版	講談社コミックスフレンド	講談社	completed	2	1	1	1	1巻(1982-08-15)→2巻(1982-08-10)	D/D	有→有	40617/40617	1	
T3_1日以上	5	SINGLE	olympus-no-pollon	オリンポスのポロン	1	bunkobon	文庫版	ハヤカワコミック文庫	早川書房	completed	2	1	1	1	1巻(2005-02-15)→2巻(2005-02-10)	D/D	有→有	41503/41503	1	
T3_1日以上	5	SCATTER	saint-seiya	聖闘士星矢	1	bunkobon	文庫版	集英社文庫 コミック版	集英社	completed	15	3	2	5,15	5巻(2001-04-23)→6巻(2001-04-18)	D/D	有→有	40861/40861	2	
T3_1日以上	5	SCATTER	tokimeki-tonight	ときめきトゥナイト	1	bunkobon	文庫版	集英社文庫 コミック版	集英社	completed	16	3	3	7,9,13	7巻(1999-02-23)→8巻(1999-02-18)	D/D	有→有	40861/40861	2	
T3_1日以上	5	SCATTER	wild-7	ワイルド7	1	shinsoban	徳間書店版	トクマコミックス	徳間書店	completed	11	2	2	3,5	3巻(2001-05)→4巻(2001-04-26)	M/D	有→有	41978/41978	2	
T3_1日以上	5	SINGLE	za-nigao-show	Theにがおショー!	0	standard	通常版	セブンティーン・コミックス	集英社	completed	5	1	1	3	3巻(1989-03-08)→4巻(1989-03-03)	D/D	有→有	40885/40885	1	
T3_1日以上	3	SINGLE	aka-no-kekkon	赤の結婚	0	standard	通常版	ベツコミフラワーコミックススペシャル	小学館	ongoing	4	1	1	1	1巻(2025-10-13)→2巻(2025-10-10)	D/D	有→有	40987/40987	1	
T3_1日以上	3	SINGLE	wakusei-sutakola	惑星スタコラ	0	standard	通常版		講談社	completed	5	1	1	4	4巻(2015-12-22)→5巻(2015-12-19)	D/D	有→有	40636/40636	1	
T3_1日以上	2	SINGLE	meimon-takonishi-ouendan	名門!多古西応援団	1	bunkobon	文庫版	講談社漫画文庫	講談社	completed	10	1	1	5	5巻(2000-05-12)→6巻(2000-05-10)	D/D	有→有	40626/40626	2	
T3_1日以上	2	SINGLE	peach-girl	ピーチガール	1	bunkobon	文庫版	講談社漫画文庫	講談社	completed	9	2	1	1	1巻(2009-12-11)→2巻(2009-12-09)	D/D	有→有	40637/40637	2	
T3_1日以上	2	SINGLE	sukisuki-gokudou-papa	好き好き!!極道パパ	0	standard	通常版		双葉社	completed	5	1	1	3	3巻(1999-11-29)→4巻(1999-11-27)	D/D	有→有	45758/45758	1	
T3_1日以上	2	SINGLE	tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	0	standard	通常版		童心社	completed	10	4	1	6	6巻(2020-03-25)→7巻(2020-03-23)	D/D	有→有	44940/44940	5	
T3_1日以上	1	SINGLE	area-88	エリア88	2	bunkobon	文庫版	スコラ漫画文庫シリーズ	スコラ	completed	13	2	1	11	11巻(1994-12)→12巻(1994-11)	M/M	有→有	47962/47962	6	
T3_1日以上	1	BLOCK	garfield	ガーフィールド	0	standard	通常版		研究社	completed	20	4	2	6,7	6巻(1991-01)→8巻(1990)	M/Y	有→有	47674/47674	6	
T3_1日以上	1	SINGLE	haikei-catalog-mangaka-animeetaa-hikkei-no-shashin-shiryoushuu	背景カタログ	0	standard	通常版		マール社	completed	8	1	1	4	4巻(1995-07)→5巻(1995-06)	M/M	有→有	48373/48373	2	
T3_1日以上	1	SINGLE	kagegari	影狩り	4	bunkobon	小学館文庫	小学館文庫	小学館	completed	12	2	1	1	1巻(1976-05)→2巻(1976-04)	M/M	無→無	-/-	3	
T3_1日以上	1	SINGLE	maajan-hourouki-1990	まあじゃんほうろうき	1	bunkobon	文庫版	竹書房文庫	竹書房	completed	2	1	1	1	1巻(1996-06)→2巻(1996-05)	M/M	有→有	48124/48124	1	
T3_1日以上	1	SINGLE	mahootsukai-mimitchi	まほおつかいミミッチ	0	standard	通常版	IKKICOMIX	小学館	completed	3	1	1	1	1巻(2004-12)→2巻(2004-11)	M/M	有→有	40918/40918	1	
T3_1日以上	1	BLOCK	maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	1	bunkobon	文庫版	少年画報社文庫	少年画報社	completed	18	4	2	1,2	1巻(2007-12)→3巻(2007-11)	M/M	有→有	47859/47859	3	
T3_1日以上	1	SINGLE	rinta-no-momoiro-comic	りん太のももいろコミック	0	standard	通常版	エルティーンbooks	近代映画社	completed	19	2	1	3	1巻(1995-04)→3巻(1995-03)	M/M	有→有	47648/47648	2	
T3_1日以上	1	SINGLE	shin-kyojin-no-hoshi	新巨人の星	2	bunkobon	講談社漫画文庫	講談社漫画文庫	講談社	completed	6	2	1	6	4巻(1996-01-12)→6巻(1996-01-11)	D/D	有→有	40626/40626	3	
T3_1日以上	1	SINGLE	tsurikichi-sanpei	釣りキチ三平	0	standard	講談社コミックス	講談社コミックス	講談社	completed	65	1	1	54	54巻(1981-12-16)→55巻(1981-12-15)	D/D	有→有	40617/40617	2	
T3_1日以上	1	SINGLE	visionary	VISIONARY	0	standard	通常版	シュベールコミックス	シュベール出版	completed	9	1	1	1	1巻(1994-07-09)→2巻(1994-07-08)	D/D	有→有	48833/48833	1	
T3_1日以上	1	SINGLE	z-mazinger	Z Mazinger	0	standard	通常版	d/books	d/visual	completed	5	2	1	3	3巻(2005-01)→4巻(2004-12)	M/M	有→有	49027/49027	2	
