season	anime_title	kind	detail
2006-SPRING	シムーン	NO_PAGE	NO_PAGE:50738 シムーン 〜まじかる美勇伝〜 / NO_PAGE:33193 シムーン
2006-SPRING	いぬかみっ!	NO_PAGE	NO_PAGE:33117 いぬかみっ！
2006-FALL	護くんに女神の祝福を！	NO_CAND	
2006-FALL	夜明け前より瑠璃色な -Crescent Love-	NO_PAGE	NO_PAGE:34236 夜明け前より瑠璃色な
2006-FALL	レッド ガーデン	NO_PAGE	NO_PAGE:35600 レッド ガーデン
2006-FALL	BLACK BLOOD BROTHERS	NO_CAND	
2005-WINTER	ふたりはプリキュア Max Heart	NO_PAGE	NO_PAGE:144238 ふたりはプリキュア Max Heart プリキュアコレクション
2005-SUMMER	ガン×ソード	NO_PAGE	NO_PAGE:167110 ガン×ソード
2005-SPRING	絶対少年	NO_CAND	
2005-SPRING	ツバサ・クロニクル	NO_PAGE	NO_PAGE:30009 ツバサ -RESERVoir CHRoNiCLE-
2005-SPRING	スピードグラファー	NO_PAGE	NO_PAGE:35434 スピードグラファー
2005-FALL	魔法少女リリカルなのはＡ’ｓ	NO_PAGE	NO_PAGE:33236 魔法少女リリカルなのはＡ’ｓ
2005-FALL	ソルティレイ	NO_PAGE	NO_PAGE:45381 SoltyRei―赤の淑女―
2005-FALL	ガンパレード・オーケストラ	NO_PAGE	NO_PAGE:60305 ガンパレード・オーケストラ
2004-WINTER	MEZZO -メゾ-	NO_PAGE	NO_PAGE:104264 メゾ
2004-SUMMER	スウィート・ヴァレリアン	NO_PAGE	NO_PAGE:33309 スウィート・ヴァレリアン
2004-SUMMER	クラウ ファントムメモリー	NO_PAGE	NO_PAGE:53799 クラウ ファントムメモリー
2004-SUMMER	Wind -a breath of heart- (2004)	NO_PAGE	NO_PAGE:51648 Wind - a breath of heart- OFFICIAL COMIC
2004-FALL	ファンタジックチルドレン	NO_PAGE	NO_PAGE:50104 ファンタジックチルドレン
2004-FALL	うた∽かた	NO_PAGE	NO_PAGE:30930 うた∽かた
2003-SUMMER	シンデレラボーイ	NO_PAGE	NO_PAGE:71117 シンデレラボーイ
2003-SUMMER	おねがい☆ツインズ	NO_PAGE	NO_PAGE:30741 おねがい☆ツインズ
2003-SPRING	カレイドスター	NO_PAGE	NO_PAGE:92450 カレイドスター コミックアンソロジー
2003-FALL	無人惑星サヴァイヴ	NO_PAGE	NO_PAGE:117993 無人惑星サヴァイヴ
2003-FALL	君が望む永遠	NO_CAND	
2002-WINTER	アクエリアンエイジ Sign for Evolution	NO_PAGE	NO_PAGE:31317 のえる evolution
2002-SUMMER	G-onらいだーす	NO_PAGE	NO_PAGE:50032 G-onらいだーす
2002-SPRING	十二国記	NO_CAND	
2002-SPRING	デジモンフロンティア	NO_PAGE	NO_PAGE:33502 數碼寶貝04 無限地帶
2002-SPRING	サイキックアカデミー　煌羅万象	NO_PAGE	NO_PAGE:30489 サイキックアカデミー　煌羅万象
2002-FALL	灰羽連盟	NO_PAGE	NO_PAGE:35356 オールドホームの灰羽達
2002-FALL	ヒートガイジェイ	NO_PAGE	NO_PAGE:30360 ヒートガイジェイ
2002-FALL	シスター・プリンセス ～リピュア～	NO_CAND	
