slug	edition	vol	intruder	reason
suikoden-sentaro-1980	standard	2	9784418041602	複数候補[('9784845822034', ''), ('9784267904783', ''), ('9784267905575', '')]
sukeban-deka	standard	10	9784253275804	NDL候補なし
sukeban-deka	standard	11	9784253275811	NDL候補なし
sukeban-deka	standard	12	9784253275828	NDL候補なし
sukeban-deka	standard	7	9784253275774	NDL候補なし
sukeban-deka	standard	8	9784253275781	NDL候補なし
sukeban-deka	standard	9	9784253275798	NDL候補なし
super-sub	standard	1	9784834230611	楽天裏取り不可 NDL候補=[('9784785944971', '1985.4')]
ten	standard	10	9784801955158	NDL候補なし
ten	standard	2	9784801953369	NDL候補なし
ten	standard	3	9784801953598	NDL候補なし
ten	standard	4	9784801953772	NDL候補なし
ten	standard	5	9784801954106	NDL候補なし
ten	standard	6	9784801954328	NDL候補なし
ten	standard	7	9784801954458	NDL候補なし
ten	standard	8	9784801954656	NDL候補なし
ten	standard	9	9784801954861	NDL候補なし
ten-no-hate-made	bunkobon	2	9784122034310	NDL候補なし
tensai-bakabon	bunkobon	1	9784091935724	複数候補[('9784063113303', '1988.03.17'), ('9784884752934', '1994.6'), ('9784575487114', '')]
tsurikichi-sanpei	standard	8	9784063133936	NDL候補なし
wagaya-no-oinari-sama	standard	1	9784840241120	NDL候補なし
zakoken-maruchou	standard	1	9784862255082	楽天裏取り不可 NDL候補=[('9784091861511', '')]
