slug	title	authors	year	publisher	total_volumes
eguchi-hisashi-no-sekai	江口寿史の世界	江口寿史	1995	(unknown)	2
shoujo-hatsunetsu	少女発熱	文月晃	1996	(unknown)	1
planet-lovers	PLANET LOVERS	新名昭彦	1997	(unknown)	1
star-wars	STAR WARS	Cam Kennedy・Dave Dorman	1997	(unknown)	2
adult-kids	アダルトキッズ	山本夜羽音	1997	(unknown)	1
feauei-no-samurai	フェアウェイの侍	池沢早人師	1997	(unknown)	2
daimondai	大問題	いしいひさいち	1997	(unknown)	1
onna-niwa-mukanai-shokugyou	女には向かない職業	いしいひさいち	1997	(unknown)	2
waru-world	わるわーるど	いわおかめめ	1998	(unknown)	1
trouble-quartet	トラブル・カルテット	まんだ林檎	1998	(unknown)	1
yumedeaimashou	夢で逢いましょう。	水原賢治	1998	(unknown)	1
koisuru-houteishiki	恋する方程式	文月晃	1998	(unknown)	1
hoshizora-no-hanashi	星空の話	関口シュン	1998	(unknown)	1
haruka-na-kaze-to-sora-no-nozomi	はるかな風と空ののぞみ	水原賢治	1999	(unknown)	1
megurikuruharu	めぐりくるはる	OKAMA	1999	(unknown)	1
school-1999	スクール	OKAMA	1999	(unknown)	1
yawahada-midaretsubo	柔肌みだれ壷	ケン月影	1999	(unknown)	1
kakutoushi-rome-no-hoshi	格闘士ローマの星	ふくしま政美	1999	(unknown)	3
eguchi-hisashi-scrap-book-e	江口寿史スクラップブック「E」	江口寿史	1999	(unknown)	1
eguchi-hisashi-strip-show-h	江口寿史ストリップショウ「H」	江口寿史	1999	(unknown)	1
kaikisen	海帰線	今敏	1999	(unknown)	1
kami-sama-yurushite	神様ゆるして	比古地朔弥	1999	(unknown)	1
koukousei-prowler	高校星プラウラ	Isutoshi	1999	(unknown)	2
doraemon-2009	DORAEMON	海野一雄	2000	(unknown)	1
m4-featuring-metalmax-momo	M4 featuring metalmax Momo	山本貴嗣	2000	(unknown)	1
kitsune-no-hanayome	きつねの花嫁	椋陽児	2000	(unknown)	1
gaki-2000	ガキ	畑中純	2000	(unknown)	1
general-machine	ゼネラル・マシーン	夢野れい	2000	(unknown)	1
banji-kaichou	万事快調	駕籠真太郎	2000	(unknown)	1
yuurei-otoko	幽霊男	手塚治虫	2000	(unknown)	1
injuu-densetsu-onigari	淫獣伝説鬼狩り	前田俊夫	2000	(unknown)	1
kami-sama-no-namae	神様の名前	多田由美	2000	(unknown)	1
akai-chou-no-shoujo-umezu	赤いちょうの少女	楳図かずお	2000	(unknown)	1
macoto-no-ohime-sama	MACOTOのおひめさま	高橋真琴	2001	(unknown)	1
anata-no-koibito	あなたの恋人	韓丞媛	2001	(unknown)	3
umi-no-kirakira	うみのきらきら	鈴木翁二	2001	(unknown)	1
chitchana-yukitsukai-sugar	ちっちゃな雪使いシュガー	こげどんぼ*	2001	(unknown)	3
tonari-no-nono-chan	となりのののちゃん	いしいひさいち・おがわひろし	2001	(unknown)	1
ultra-bunbun	ウルトラブンブン	朴山河	2001	(unknown)	4
salesman	セールスマン	許英万	2001	(unknown)	4
noodle-nude	ヌードルヌード	梁栄淳	2001	(unknown)	4
full-house	フルハウス	元秀蓮	2001	(unknown)	4
hotel-africa	ホテルアフリカ	朴姫貞	2001	(unknown)	4
horror-no-mousou	ホラーの妄想	楳図かずお	2001	(unknown)	1
tengokukyou	天國狂	高屋未央	2001	(unknown)	1
eien-no-nakamahazure-no-kuni	永遠のなかまはずれの国	永野のりこ	2001	(unknown)	1
konno-san-to-asobou	紺野さんと遊ぼう	安田弘之	2001	(unknown)	1
seishouzu	聖慯図	高屋未央	2001	(unknown)	1
sougendentetsu	草原電鉄	古川益三	2001	(unknown)	1
kankoku-kiisen-monogatari	韓国キーセン物語	金童話	2001	(unknown)	4
pichonmu	飛天舞	金恵〔リン〕	2001	(unknown)	4
bgata-heiji-torimonohikae	B型平次捕物控	いしいひさいち	2002	(unknown)	1
dokutaa-moroo-no-lich-na-seikatsu	Dr.モローのリッチな生活	Dr.モロー	2002	(unknown)	3
run	Run	李相世	2002	(unknown)	2
kedamono-no-youni	けだもののように	比古地朔弥	2002	(unknown)	1
tonari-no-yamada-kun	となりの山田くん	いしいひさいち	2002	(unknown)	11
pukupuku-momo-chan	ぷくぷくモモちゃん	桃伊いづみ	2002	(unknown)	1
asechiren-lamp-no-yoru	アセチレン・ランプの夜	手塚治虫・米沢嘉博	2002	(unknown)	1
higeoyaji-no-bouken	ヒゲオヤジの冒険	手塚治虫・米沢嘉博	2002	(unknown)	1
bungou-shunjuu	文豪春秋	いしいひさいち	2002	(unknown)	1
kareinaru-rokku-home	華麗なるロック・ホーム	手塚治虫・米沢嘉博	2002	(unknown)	1
toumei-na-iro-shita-shoujo-no-tame-ni	透明な色した少女のために	藤原薫	2002	(unknown)	1
toriniku-club	鶏肉倶楽部	中村明日美子	2002	(unknown)	1
