type	subtype	severity	slug	title	status	year_started	year_ended	publisher_key	n_vols	n_eds	detail	evidence
YE_EARLY	serial_multied	26	kagegari	影狩り	completed	1972	1973	leed	54	5	year_ended=1973 < 最大巻#15の初版年=1999 (26年後に新刊)	#15=1999-03-01 :: [standard]SPコミックス/リイド社 1998-1999 n=15 | [shinsoban]パーフェクト・メモワール/リイド社 2020-2021 n=15 | [shinsoban]別版/不明 1972-1972 n=2 | [bunkobon]リイド文庫/リイド社 2002-2002 n=10 | [bunkobon]小学館文庫/小学館 1976-1978 n=12
YE_EARLY	solo_reprint	26	kaze-no-naka-no-cleo	風の中のクレオ	completed	1971	1971	shueisha	1	1	year_ended=1971 < 最大巻#1の初版年=1997 (26年後に新刊)	#1=1997-12-01 :: [standard]りぼんマスコットコミックス/集英社 1997-1997 n=1
YE_EARLY	solo_reprint	26	shin-yajikita-douchuuki	新やじきた道中記	completed	1972	1972	asahi-shimbun	1	1	year_ended=1972 < 最大巻#1の初版年=1998 (26年後に新刊)	#1=1998-08-01 :: [standard]通常版/朝日新聞社 1998-1998 n=1
YE_EARLY	solo_reprint	26	yasujinodochuukenhajikou	ヤスジのド忠犬ハジ公	completed	1983	1983	asahi-shimbun	1	1	year_ended=1983 < 最大巻#1の初版年=2009 (26年後に新刊)	#1=2009-01-30 :: [standard]ヤングジャンプ・コミックス/朝日新聞出版 2009-2009 n=1
YE_EARLY	solo_reprint	25	knife	Knife	completed	1992	1992	takeshobo	1	1	year_ended=1992 < 最大巻#1の初版年=2017 (25年後に新刊)	#1=2017-03-01 :: [standard]光文社コミックス/竹書房 2017-2017 n=1
YE_EARLY	solo_reprint	25	last-shot	ラストショット	completed	1974	1974	kodansha	1	1	year_ended=1974 < 最大巻#1の初版年=1999 (25年後に新刊)	#1=1999-02-10 :: [standard]講談社コミックスフレンド/講談社 1999-1999 n=1
YE_EARLY	serial_1ed	25	ore-wa-otoko-da	おれは男だ!	completed	1973	1973	shueisha	2	1	year_ended=1973 < 最大巻#2の初版年=1998 (25年後に新刊)	#2=1998-04-01 :: [standard]セブンティーン・コミックス/集英社 1998-1998 n=2
YE_EARLY	solo_reprint	25	shoufumarii	娼婦マリー	completed	1980	1980	seiunsha	1	1	year_ended=1980 < 最大巻#1の初版年=2005 (25年後に新刊)	#1=2005-08-01 :: [standard]Keisei Comics/星雲社 2005-2005 n=1
YE_EARLY	solo_reprint	25	uchuu-sakusen-dai-ichigou	宇宙作戦第一号	completed	1981	1981	shogakukan-creative	1	1	year_ended=1981 < 最大巻#1の初版年=2006 (25年後に新刊)	#1=2006-02-01 :: [standard]通常版/小学館クリエイティブ 2006-2006 n=1
YE_EARLY	solo_reprint	25	yamato-yo-eien-ni	ヤマトよ永遠に	completed	1980	1980	asahi-sonorama	1	1	year_ended=1980 < 最大巻#1の初版年=2005 (25年後に新刊)	#1=2005-05-01 :: [standard]サンコミックス/メディアファクトリー 2005-2005 n=1
YE_EARLY	solo_reprint	24	beeshitsu-kun	べーしっ君	completed	1992	1992	(unknown)	1	1	year_ended=1992 < 最大巻#1の初版年=2016 (24年後に新刊)	#1=2016-07-01 :: [standard]ログイン別冊/リットーミュージック 2016-2016 n=1
YE_EARLY	solo_reprint	24	chim-re	シメール	completed	1979	1979	kadokawa	1	1	year_ended=1979 < 最大巻#1の初版年=2003 (24年後に新刊)	#1=2003-03-01 :: [standard]花とゆめCOMICS/講談社 2003-2003 n=1
YE_EARLY	solo_reprint	24	geta-o-haku-made	下駄を履くまで	completed	1980	1980	takeshobo	1	1	year_ended=1980 < 最大巻#1の初版年=2004 (24年後に新刊)	#1=2004-04-01 :: [standard]通常版/竹書房 2004-2004 n=1
YE_EARLY	serial_1ed	24	horobi-no-oukoku-no-renkinjutsu-reijou	滅びの王国の錬金術令嬢	completed	2000	2000	hifumi-shobo	2	1	year_ended=2000 < 最大巻#2の初版年=2024 (24年後に新刊)	#2=2024-04-25 :: [standard]NOVA COMICS/一二三書房 2023-2024 n=2
YE_EARLY	solo_reprint	24	kaijakuou	海雀王	completed	1986	1986	jitsugyo-no-nihon	1	1	year_ended=1986 < 最大巻#1の初版年=2010 (24年後に新刊)	#1=2010-12-07 :: [standard]マンサンコミックス/実業之日本社 2010-2010 n=1
YE_EARLY	serial_1ed	24	kare-to-kare-no-love-houshiki	彼と彼の恋愛方式	completed	2000	2000	hifumi-shobo	3	1	year_ended=2000 < 最大巻#3の初版年=2024 (24年後に新刊)	#3=2024-03-25 :: [standard]ビアンココミックス/一二三書房 2023-2024 n=3
YE_EARLY	solo_reprint	24	mahoutsukai-sally	魔法使いサリー	completed	1980	1980	kodansha	1	1	year_ended=1980 < 最大巻#1の初版年=2004 (24年後に新刊)	#1=2004-08-01 :: [standard]MUSHI COMICS/講談社 2004-2004 n=1
YE_EARLY	serial_1ed	24	miyamoto-musashi	宮本武蔵	completed	1974	1974	mediafactory	2	1	year_ended=1974 < 最大巻#2の初版年=1998 (24年後に新刊)	#2=1998-10-01 :: [standard]希望コミックス/メディアファクトリー 1998-1998 n=2
YE_EARLY	serial_1ed	24	sono-akujo-ni-ki-o-tsukete-kudasai	その悪女に気をつけてください	completed	2000	2000	hifumi-shobo	3	1	year_ended=2000 < 最大巻#3の初版年=2024 (24年後に新刊)	#3=2024-05-02 :: [standard]LAVARE comics plus/一二三書房 2022-2024 n=3
YE_EARLY	solo_reprint	24	tabibito-kun	旅人くん	completed	1977	1977	michishuppan	1	1	year_ended=1977 < 最大巻#1の初版年=2001 (24年後に新刊)	#1=2001-12-01 :: [standard]メルヘンコミックス/道出版 2001-2001 n=1
YE_EARLY	serial_1ed	24	touketsu-shita-pureiyaa-no-kikan	凍結したプレイヤーの帰還	completed	2000	2000	hifumi-shobo	2	1	year_ended=2000 < 最大巻#2の初版年=2024 (24年後に新刊)	#2=2024-04-25 :: [standard]NOVA COMICS+/一二三書房 2023-2024 n=2
YE_EARLY	solo_reprint	24	tsumitobatsu	罪と罰	completed	1953	1953	kodansha	1	1	year_ended=1953 < 最大巻#1の初版年=1977 (24年後に新刊)	#1=1977-06-10 :: [standard]手塚治虫漫画全集/講談社 1977-1977 n=1
YE_EARLY	serial_1ed	23	ankokugai-no-moto-kougou-no-danzai-to-mitsuyaku	暗黒街の元皇后の断罪と密約	completed	2000	2000	hifumi-shobo	2	1	year_ended=2000 < 最大巻#2の初版年=2023 (23年後に新刊)	#2=2023-06-05 :: [standard]LAVARE comics plus/一二三書房 2023-2023 n=2
YE_EARLY	serial_1ed	23	ano-akujo-niwa-bou-kun-ga-hitsuyou-da	あの悪女には暴君が必要だ	completed	2000	2000	hifumi-shobo	3	1	year_ended=2000 < 最大巻#3の初版年=2023 (23年後に新刊)	#3=2023-06-05 :: [standard]LAVARE comics plus/一二三書房 2022-2023 n=3
YE_EARLY	solo_reprint	23	golden-boy	ゴールデンボーイ	completed	1972	1972	kodansha	1	1	year_ended=1972 < 最大巻#1の初版年=1995 (23年後に新刊)	#1=1995-07-20 :: [standard]サン・コミックス/笠倉出版社 1995-1995 n=1
YE_EARLY	solo_reprint	23	metamorphosis-foshisuden	メタモルフォシス伝	completed	1977	1977	kadokawa	1	1	year_ended=1977 < 最大巻#1の初版年=2000 (23年後に新刊)	#1=2000-02-01 :: [standard]花とゆめコミックス/秋田書店 2000-2000 n=1
YE_EARLY	solo_reprint	23	mikara-deta-saba	身から出た鯖	completed	1993	1993	shonen-gahosha	1	1	year_ended=1993 < 最大巻#1の初版年=2016 (23年後に新刊)	#1=2016-09-01 :: [standard]YKコミックス/少年画報社 2016-2016 n=1
YE_EARLY	solo_reprint	23	ouji-sama-ga-iino	王子さまがいいの!	completed	1978	1978	kadokawa	1	1	year_ended=1978 < 最大巻#1の初版年=2001 (23年後に新刊)	#1=2001-02-01 :: [standard]花とゆめコミックス/秋田書店 2001-2001 n=1
YE_EARLY	solo_reprint	23	pink-2008	Pink	completed	1985	1985	shueisha	1	1	year_ended=1985 < 最大巻#1の初版年=2008 (23年後に新刊)	#1=2008-06-01 :: [standard]GLコミックス/集英社 2008-2008 n=1
YE_EARLY	solo_reprint	22	10-2016	10	completed	1994	1994	shodensha	1	1	year_ended=1994 < 最大巻#1の初版年=2016 (22年後に新刊)	#1=2016-05-01 :: [standard]バルプリティ Kobunsha comics/祥伝社 2016-2016 n=1
YE_EARLY	solo_reprint	22	chou-denji-robo-kon-batoraa-v	超電磁ロボコン・バトラーV	completed	1977	1977	daitosha	1	1	year_ended=1977 < 最大巻#1の初版年=1999 (22年後に新刊)	#1=1999-03-01 :: [standard]サンコミックス/大都社 1999-1999 n=1
