slug	title_id	カテゴリ	商品題
fuguu-skill-no-shien-madoushi	838861	ライトノベル/男性向けライトノベル	不遇スキルの支援魔導士【電子版限定書き下ろしSS付】 1巻
gaidoyaku-no-tenshi-o-naguri-taoshitara-shiryoujutsushi-ni-narimashita	1579682	ライトノベル/男性向けライトノベル	ガイド役の天使を殴り倒したら、死霊術師になりました１　～裏イベントを最速で引き当てた結果、世界が終焉を迎えるそうです～
genji-monogatari-asaki-yumemishi	292934	小説・文芸/児童書	よみもの	源氏物語　あさきゆめみし（１）
gogo-no-akubi	818530	小説・文芸/エッセイ・紀行	エッセイ	午后のあくび
gokai-sareta-migawari-no-majo-wa-kokuou-kara-saisho-no-koi-to-saigo-no-koi-o-sasagerareru	20056102	ライトノベル/女性向けライトノベル	誤解された『身代わりの魔女』は、国王から最初の恋と最後の恋を捧げられる 1巻
guild-no-cheat-na-uketsukejou	282541	ライトノベル/男性向けライトノベル	ギルドのチートな受付嬢 ： 1
guuzen-tasuketa-bishoujo-ga-naze-ka-ore-ni-natsuiteshimatta-ken-nitsuite	20115188	ライトノベル/男性向けライトノベル	偶然助けた美少女がなぜか俺に懐いてしまった件について
gyakkou-akuyaku-reijou-wa-tadaima-kyuukon-chuu	20062360	ライトノベル/女性向けライトノベル	逆行悪役令嬢はただ今求婚中　近くに居た騎士に求婚しただけのはずが、溺愛ルートに入りました！？ 【電子書籍限定特典SS付き】
gyakutai-sarete-ita-shouka-no-reijou-wa-seijo-no-chikara-o-te-ni-ire-mujikaku-ni-yousha-naku	839536	ライトノベル/女性向けライトノベル	虐待されていた商家の令嬢は聖女の力を手に入れ、無自覚に容赦なく逆襲する【電子特典付き】
gyaru-no-jitensha-o-naoshitara-natsukareta	1648557	ライトノベル/男性向けライトノベル	ギャルの自転車を直したら懐かれた 1
hachinan-tte-sore-wa-nai-deshou	261962	ライトノベル/男性向けライトノベル	八男って、それはないでしょう！ 1
hadan-zentei-migawari-hanayome-wa-katabutsu-onzoushi-no-mouai-ni-torokasareru	1452872	TL/TL小説	破談前提、身代わり花嫁は堅物御曹司の猛愛に蕩かされる
haha-o-nakushita-toki-boku-wa-ikotsu-o-tabetai-to-omotta	576321	小説・文芸/エッセイ・紀行	エッセイ	母を亡くした時、僕は遺骨を食べたいと思った。
hai-no-sekai-wa-kami-no-me-de-irozuku	1352250	ライトノベル/男性向けライトノベル	灰の世界は神の眼で彩づく 1　～俺だけ見えるステータスで、最弱から最強へ駆け上がる～
haikara-san-ga-tooru	60007615	小説・文芸/児童書	よみもの	はいからさんが通る　上
haikei-heika-2-dome-no-ouhi-wa-okotowari	569681	ライトノベル/女性向けライトノベル	拝啓陛下、２度目の王妃はお断り！　【電子特典付き】
hanayome-wa-motodanshi	362972	小説・文芸/エッセイ・紀行	エッセイ	花嫁は元男子。
hangyaku-no-soul-eater	650755	ライトノベル/男性向けライトノベル	反逆のソウルイーター　～弱者は不要といわれて剣聖（父）に追放されました～１
harapeko-na-joushi-no-i-o-tsukamu-houhou	613812	ライトノベル/男性向けライトノベル	腹ぺこな上司の胃をつかむ方法　～左遷先は宮廷魔導師の専属シェフ～
hazure-skill-sekai-toshokan-ni-yoru-isekai-no-chishiki-to-hajimeru-sangyou-kakumei	1236557	ライトノベル/男性向けライトノベル	外れスキル「世界図書館」による異世界の知識と始める『産業革命』１　～ファイアーアロー？うるせえ、こっちはライフルだ！！～
heimin-shusshin-no-teikoku-shoukan-munou-na-kizoku-joukan-o-juurin-shite-nariagaru	20078790	ライトノベル/男性向けライトノベル	平民出身の帝国将官、無能な貴族上官を蹂躙して成り上がる
henkyou-no-mahou-kusushi	20056723	ライトノベル/男性向けライトノベル	辺境の魔法薬師　～自由気ままな異世界ものづくり日記～１
henkyou-no-shishi-wa-ruriiro-no-bara-o-dekiai-suru	608310	ライトノベル/女性向けライトノベル	辺境の獅子は瑠璃色のバラを溺愛する【電子版特典付】
heroine-ga-kuru-mae-ni-ninshin-shimashita	1478067	ライトノベル/女性向けライトノベル	ヒロインが来る前に妊娠しました　詰んだはずの悪役令嬢ですが、どうやら違うようです【電子版限定描き下ろし付き】
hikikomari-kyuuketsuki-no-monmon	698745	ライトノベル/男性向けライトノベル	ひきこまり吸血姫の悶々
hina-chan-no-nichijou	487029	小説・文芸/児童書	よみもの	ひなちゃんの日常1
hinata-to-hikari	1212964	小説・文芸/児童書	よみもの	ひなたとひかり（１）
hisshou-dungeon-unei-houhou	323780	ライトノベル/男性向けライトノベル	必勝ダンジョン運営方法 ： 1
hitorizumou	647443	小説・文芸/エッセイ・紀行	エッセイ	ひとりずもう
honehime-rozarii	1581576	ライトノベル/男性向けライトノベル	骨姫ロザリー 1.死者の力を引き継ぐ最強少女、正体を隠して魔導学園に入学する
honmono-no-kanojo-ni-shitakunaru-made-watashi-de-tameshite-ii-yo	1561857	ライトノベル/男性向けライトノベル	本物のカノジョにしたくなるまで、私で試していいよ。
housekihime-wa-kudakenai	1413460	ライトノベル/女性向けライトノベル	宝石姫は、砕けない　～毒親にネグレクトされていた私は、帝国皇子に溺愛されて輝きます～
