slug	title	remaining_gaps
da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	(1巻が無い):[1]
miaki-hitamuki	みあき♥ひたむき	(1巻が無い):[1, 2, 3]
black-sweep-sisters	ブラック・スイープ・シスターズ	(1巻が無い):[1, 2]
mitarai	ミタライ	(1巻が無い):[1]
boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	(1巻が無い):[1]
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	standard:[9, 10, 11, 13, 18, 19, 20, 22, 23, 24, 32, 40, 41, 42, 43, 44, 45, 46, 51, 58, 61, 67, 71, 73, 82, 88, 89, 90, 92, 98, 99, 100];shinsoban:[6, 7, 8, 12, 14, 15, 16, 17, 21, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 59, 60, 62, 63, 64, 65, 66, 68, 69, 70, 72, 74, 75, 76, 77, 78, 79, 80, 81, 83, 84, 85, 86, 87, 91, 93, 94, 95, 96, 97, 101]
chotto-morimashita	ちょっと盛りました。	(1巻が無い):[1, 2]
nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	(1巻が無い):[1, 2, 3, 4]
kick-ass	キック・アス	(1巻が無い):[1]
pachisuro-de-atta-zenbu-umai-hanashi-zetto	パチスロであった全部旨い話Z	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8]
ramen-daisuki-koizumi-san-narumi-2014	ラーメン大好き小泉さん	standard:[12, 13]
jinrou-game	人狼ゲーム	standard:[2]
nippon-jinbutsushi	日本人物史	(1巻が無い):[1, 2, 3]
itadakimasu-uekan-2015	いただきます	standard:[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]
bouken-kyouryuukan	まんが 冒険恐竜館	(1巻が無い):[1]
kemono-otoko-to-yuutousei-joshi	ケモノ男子と優等生女子	(1巻が無い):[1, 2]
sidekick-fighting-rule	サイドキック☆ファイティングルール	(1巻が無い):[1]
hitokui-origin	ヒトクイ-origin-	(1巻が無い):[1, 2]
booska-plus	ブースカプラス	(1巻が無い):[1]
rekitan	レキタン!	(1巻が無い):[1, 2, 3, 4, 5]
shitsuji-emu	執事M	(1巻が無い):[1, 2]
gakkou-kachinukisen-jikken-taiketsu-2016	学校勝ちぬき戦 実験対決	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
rinjin-o-maiseyo	隣人を妹 (まい) せよ!	(1巻が無い):[1, 2, 3]
piisu-maker-kurogane	PEACE MAKER鐡	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
romeo	Romeo	(1巻が無い):[1]
hal-ayase-2017	ハル	(1巻が無い):[1]
shin-nippon-jinbutsushi	新日本人物史	(1巻が無い):[1, 2]
u12-2018	U12(アンダートゥエルブ)	(1巻が無い):[1, 2, 3, 4, 5, 6]
uchi-no-kore-ga-kore-na-monde	うちの相方(コレ)が腐(コレ)なもんで。	(1巻が無い):[1, 2]
kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	(1巻が無い):[1, 2]
toaru-majutsu-no-baacharon	とある魔術の電脳戦機(バーチャロン)	(1巻が無い):[1]
nee-piyo-chan	ねぇ、ぴよちゃん	standard:[11]
gacha-o-mawashite-nakama-o-fuyasu-saikyou-no-bishoujo-gundan-o-tsukuriagero	ガチャを回して仲間を増やす最強の美少女軍団を作り上げろ	standard:[13]
captain-harlock-jigen-koukai	キャプテンハーロック	(1巻が無い):[1, 2, 3, 4, 5, 6, 7]
palm	パーム	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]
nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	(1巻が無い):[1]
touhai-minagoroshihen	凍牌 ミナゴロシ篇	standard:[2]
houkago-pedal	放課後ペダル	(1巻が無い):[1, 2, 3, 4, 5]
hoshi-no-kirby-manpukupupupufantajii	星のカービィ	(1巻が無い):[1]
mobile-suit-zeta-gundam-difain-char-azunaburu-aka-no-bunsuirei	機動戦士ΖガンダムDefineシャア・アズナブル赤の分水嶺	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
hannintachi-no-file-kindaichi-shounen-no-file-gaiden	犯人たちの事件簿	(1巻が無い):[1, 2]
azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	(1巻が無い):[1, 2, 3, 4]
houga-purezen-joshikousei-houkichi-eiko-san	邦画プレゼン女子高生邦キチ!映子さん	standard:[14]
f1-sokuhou-guranpuri-tengoku	F1速報グランプリ天国	(1巻が無い):[1, 2, 3, 4, 5, 6]
netchuu-kobo-chan	熱中!コボちゃん	standard:[10]
dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	(1巻が無い):[1]
kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
fate-grand-order	Fate/grand order	(1巻が無い):[1]
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	(1巻が無い):[1]
katakoi-kekkon	片恋結婚	(1巻が無い):[1]
hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama	隼人くんと早穂ちゃんは本日もいちゃ甘。	(1巻が無い):[1]
moto-yakuza-wa-shinshi-de-moujuu	(元) ヤクザは紳士で猛獣	(1巻が無い):[1]
haishin-chuu-megami-channel	【配信中】女神チャンネル!	(1巻が無い):[1]
linkman	リンクマン	(1巻が無い):[1]
collar-me	Collar me	(1巻が無い):[1]
honomi-bureikutsu	ほのみぶれいくっ!	(1巻が無い):[1]
pittosporum	ピットスポルム	standard:[2, 3]
kimi-to-natsu-no-naka	君と夏のなか	(1巻が無い):[1]
kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita	救国の聖女ですが、国外追放されちゃいましたー!?	(1巻が無い):[1]
sora-made-itchau	空までイっちゃう	(1巻が無い):[1]
odake-no-chounan-ni-umaremashita	織田家の長男に生まれました	standard:[12]
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	(1巻が無い):[1]
succubus-tamer-no-isekai-musou	サキュバステイマーの異世界無双	standard:[6]
sandman	サンドマン	standard:[5]
doll-hime-wa-koi-o-uranau	人形姫は恋を占う	(1巻が無い):[1]
moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	元ヤンOLはこじらせエリートのいいなりおもちゃ♡	(1巻が無い):[1]
minami-kun-wa-sono-koe-ni-jirasaretai	南くんはその声に焦らされたい	(1巻が無い):[1]
kiken-na-chouai	危険な寵愛	(1巻が無い):[1]
shinsei-rome-teikoku-sanjuunen-sensou	神聖ローマ帝国三十年戦争	standard:[2, 3]
watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard:[6, 7, 8, 9]
chou-ten-chan	超てんちゃん!	(1巻が無い):[1]
ginga-tetsudou-999-andoromedahen	銀河鉄道999アンドロメダ編	(1巻が無い):[1, 2, 3, 4]
nuclear	Nuclear	(1巻が無い):[1]
pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、1食で1レベルアップする前代未聞の最強スキルでした。3日で人類最強になりましたわ～!	(1巻が無い):[1]
tsumari-souiu-koto-karada-wa-ai-ni-hairimasuka	つまりそういうコト。	(1巻が無い):[1]
nanda-kanda-de-onna-no-hashori-michi	なんだかんだで!女のはしょり道	(1巻が無い):[1, 2, 3, 4, 5]
yuru-days	ゆるデイズ	(1巻が無い):[1]
onikogi	オニコギ	(1巻が無い):[1]
blue-flight	ブルーフライト	standard:[4]
hereteku-no-ana	ヘレテクの穴	(1巻が無い):[1]
hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	(1巻が無い):[1]
ore-to-mou-ichido-hatsukoi	俺ともう一度、初恋。	(1巻が無い):[1, 2]
tokugawa-kun-ga-komarasetekuru	十九川くんが困らせてくる!	standard:[2, 3, 4, 5]
youko-no-danna-sama	妖狐の旦那さま	(1巻が無い):[1]
love-taishitsu	恋愛体質	(1巻が無い):[1]
mobile-suit-zeta-gundam-difain-char-azunaburu-guripusu-seneki	機動戦士ΖガンダムDefineシャア・アズナブルグリプス戦役	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
shintouki	神統記	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
ura-aka-otoko-wa-dakaretai-seme-sama-no-1-ni-xx-saretai	裏アカ男子は抱かれたい攻め様No.1にXXされたい	(1巻が無い):[1, 2]
let-s-go-nirvana	Let's go nirvana	(1巻が無い):[1]
saitsuyo-akuyaku-reijou-nikki	さいつよ☆悪役令嬢日記	(1巻が無い):[1]
batchiri-scratch	ばっちりスクラッチ	(1巻が無い):[1]
samurai-musou	サムライ無双	(1巻が無い):[1]
samenyan	サメにゃん	(1巻が無い):[1]
cherry-yuusha-to-sei-naru-tsurugi	チェリー勇者とせいなる剣	standard:[9]
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	ドS騎士団長のご奉仕メイドに任命されましたが、私××なんですけど!?	(1巻が無い):[1]
hanabasu	ハナバス	(1巻が無い):[1]
rasubosu-tachi-no-kakushi-go	ラスボスたちの隠し仔	(1巻が無い):[1]
yontouryuu-no-saikyou-haishinsha	四刀流の最強配信者	(1巻が無い):[1]
kuni-o-owareta-ryuushi-san-hirowareta-ringoku-de-ukkari-musou-shite-shimau	国を追われた竜師さん、拾われた隣国でうっかり無双してしまう。	(1巻が無い):[1]
kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	嫌われ令嬢は銀の王子に甘やかされる	(1巻が無い):[1]
yama-kaimashita	山、買いました	(1巻が無い):[1]
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	(1巻が無い):[1, 2]
akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	(1巻が無い):[1]
saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う	(1巻が無い):[1]
kiwami-to-tsubomi	極と蕾	(1巻が無い):[1]
hai-to-gin-no-hane	灰と銀の羽根	(1巻が無い):[1]
mushoku-kakutou-niito-konbatto	無職格闘-ニート・コンバット-	(1巻が無い):[1]
munou-no-akudou-ouji-wa-ikinokoritai	無能の悪童王子は生き残りたい	(1巻が無い):[1]
nekomimi-shoujo-wa-mori-de-slow-life-o-okuritai	猫耳少女は森でスローライフを送りたい	(1巻が無い):[1]
danshikou-no-hime	男子校の姫	(1巻が無い):[1]
oda-chan-to-akechi-kun	織田ちゃんと明智くん	(1巻が無い):[1]
sagesumareta-reijou-wa-daini-no-jinsei-de-akogare-no-renkinjutsushi-no-michi-o-erabu	蔑まれた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ	(1巻が無い):[1]
tsuihousareta-sareta-renkinjutsushi-adaruto-guzzu-de-sekai-o-sukuu	追放された錬金術師、アダルトグッズで世界を救う	(1巻が無い):[1]
