slug	title	remaining_gaps
big-rival	ビッグライバル	standard:[2]
horror-occult-kyousaku-daizenshuu	ホラーオカルト競作大全集	standard:[2, 3, 4, 5, 7]
maboroshi-no-futsuu-shoujo	幻想の普通少女	standard:[2]
crescent-2	CRESCENT	standard:[2, 4, 7, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 26, 31, 32, 35, 37, 38, 40, 42]
help-1988	HELP	standard:[3, 4, 5]
mindy-land	Mindy land	(1巻が無い):[1]
shion	Shion	standard:[2]
himitsu-de-naito	ひ・み・つでナイト	standard:[2]
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	standard:[2, 9, 25]
pokkapoka	ぽっかぽか	standard:[2, 3, 4, 5, 6]
ooi-yamabiko	オーイ!!やまびこ	standard:[5]
comic-luna	コミックルナ	(1巻が無い):[1, 2, 3, 4]
saibaa-comics	サイバーコミックス	standard:[6, 7, 8, 9, 10, 12]
doctor-hankotsui	ドクター反骨医	standard:[11]
bikkuriman-omoshirorando	ビックリマン おもしろランド	standard:[4, 6]
bikkuriman-omoshiro-land	ビックリマンおもしろランド	standard:[5]
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	standard:[2, 3, 4, 5, 10]
red-mask	レッドマスク	standard:[3, 4]
shoki-sakuhin-shuu	レフトアンドライト	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]
ningen-no-jouken	人間の條件	standard:[3]
kizudarake-no-tenshitachi	傷だらけの天使たち	standard:[2]
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	standard:[16, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32]
ashita-e-hashire	明日へ奔れ	(1巻が無い):[1, 2]
nagi	椰	standard:[3]
manga-heiki-saibaa-comics	漫画兵器サイバーコミックス	(1巻が無い):[1, 2, 3]
kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	(1巻が無い):[1, 2, 3, 4, 5, 6, 7]
wakaoku-sama-wa-udemakuri	若奥さまは腕まくり!	standard:[2]
nishi-no-rooman	西の浪漫	standard:[2]
fuuhai-ni-kike	風牌に訊け	standard:[2]
foot-gear	Foot gear	(1巻が無い):[1, 2]
non-sutoppu-kyouhei	NON STOP!恭平	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9]
maruboukabushikigaisha	〔○暴〕株式会社	standard:[23]
aburemon	あぶれもん	shinsoban:[4]
shippo-ga-tomodachi	シッポがともだち	deluxe:[2]
lemon-kids	レモンキッズ	standard:[2, 4, 8, 9, 10]
gekiga-ningen-kakumei	劇画人間革命	standard:[3]
senmonogatari	千物語	(1巻が無い):[1, 2, 3, 4, 5, 6]
