season	title	class	gensaku	kousei
2018-FALL	れいぞうこのつけのすけ！	?	小学館集英社プロダクション、集英社	
2018-FALL	ほら、耳がみえてるよ！	?	特雷西胡 監督・演出：菅野千愛	
2018-FALL	INGRESS THE ANIMATION	?	Niantic, Inc.	
2018-FALL	CONCEPTION	?	スパイク・チュンソフト「 CONCEPTION 俺の子供を産んでくれ！」	
2018-FALL	BEATLESS Final Stage	?	長谷敏司「 BEATLESS 」（KADOKAWA） 原作イラスト：redjuice	
2017-WINTER	龍の歯医者	?	舞城王太郎	
2017-WINTER	闇芝居（第4期）	?		
2017-WINTER	探偵オペラ ミルキィホームズ ファンファンパーリーナイト♪～ケンとジャネットの贈り物～	?		
2017-WINTER	怪獣娘～ウルトラ怪獣擬人化計画～	?	円谷プロダクション 設定・原案：海法紀光	
2017-WINTER	ちょぼらうにょぽみ劇場 あいまいみー ～Surgical Friends～	MANGA?	ちょぼらうにょぽみ「あいまいみー」 掲載：「まんがライフWIN」 発行：竹書房 監督・脚本・演出・キャラクターデザイン・作画監督：いまざきいつき	
2017-WINTER	おそ松さん おうまでこばなし	?		
2017-WINTER	Spiritpact	MANGA?	瓶子(テンセントアニメ連載）	
2017-WINTER	SUPER LOVERS 2	?	あべ美幸「 SUPER LOVERS 」（「エメラルド」KADOKAWA刊）	
2017-WINTER	CHAOS;CHILD	?	志倉千代丸 MAGES. 監督・シリーズ構成：神保昌登 シナリオ監修：林直孝 梅原英司 松原達也 松本裕介 キャラクター原案：ささきむつみ 松尾ゆきひろ キャラクターデザイン・総作画監督：山吉一幸 プロップデザイン：氏家嘉宏	
2017-WINTER	AKIBA’S TRIP -THE ANIMATION-	?	アクワイア	
2017-SUMMER	闇芝居（第5期）	?		
2017-SUMMER	直感×アルゴリズム♪	?		
2017-SUMMER	捏造トラップ -NTR-	MANGA?	コダマナオコ（一迅社刊「コミック百合姫」連載） 総監督・音響監督：ひらさわひさよし	
2017-SUMMER	人妻つぶ子	?		
2017-SUMMER	カイトアンサ	?		
2017-SUMMER	イケメン戦国◆時をかけるが恋は始まらない	?		
2017-SPRING	少年アシベ GO！ GO！ ゴマちゃん（第2期）	?		
2017-SPRING	境界のRINNE（第3期）	?	高橋留美子	
2017-SPRING	僕のヒーローアカデミア（2期）	MANGA?	堀越耕平 （集英社「 週刊少年ジャンプ 」連載）	
2017-SPRING	モンストアニメ セカンドシーズン	?		
2017-SPRING	ベルセルク（第2期）	?		
2017-SPRING	ベイブレードバースト ゴッド	?	森多ヒロ	
2017-SPRING	ソード・オラトリア ダンジョンに出会いを求めるのは間違っているだろうか外伝	non-manga	大森藤ノ(GA文庫/SBクリエイティブ刊) キャラクター原案：はいむらきよたか/ヤスダスズヒト	
2017-SPRING	スタミュ（第2期）	?		
2017-SPRING	オトナの一休さん（第2期）	?		
2017-SPRING	ね子とま太	?		
2017-SPRING	あはれ！名作くん シーズン2	?	Pie in the sky	
2017-FALL	鬼灯の冷徹 第弐期	MANGA?	江口夏実 (講談社「モーニング」連載)	
2017-FALL	銀魂.ポロリ篇	MANGA?	空知英秋 連載：集英社「 週刊少年ジャンプ 」	
2017-FALL	焼肉店センゴク	MANGA?	覆面うさぎ／COMICSMARTINC.（マンガアプリ「ＧＡＮＭＡ！」で連載中） 監督・脚本・編集：長井勝見 企画・キャラクターデザイン：渡邊百香 作画：溝口広幸 美術：下井孝司 音響効果：安江史男	
2017-FALL	僕の彼女がマジメ過ぎるしょびっちな件	MANGA?	松本ナミル（株式会社KADOKAWAコミックNewtype連載）	
2017-FALL	ドリフェス！R	?	BN Pictures 原案：BANDAI	
2017-FALL	クラシカロイド 第2シリーズ	?		
2017-FALL	THE IDOLM@STER Prologue SideM Episode of Jupiter	non-manga	バンダイナムコエンターテインメント	
2017-FALL	Infini-T Force	?		
2017-FALL	GLAMOROUS HEROES	?		
2017-FALL	Dies irae	?	light キャラクター原案：Gユウスケ	
2016-WINTER	闇芝居（第3期）	?		
2016-WINTER	がんばれ！ルルロロ TINY★TWIN★BEARS（第3期）	?		
2016-WINTER	Dimension W	MANGA?	岩原裕二 （掲載 月刊「ビッグガンガン」 スクウェア・エニックス刊）	
2016-SUMMER	食戟のソーマ 弐ノ皿	MANGA?	附田祐斗 佐伯俊 協力：森崎友紀（集英社「 週刊少年ジャンプ 」連載）	
2016-SUMMER	一人之下 the outcast	?	テンセント	
2016-SUMMER	ヘボット！	?	「 B-PROJECT 」（MAGES.) 総合プロデュース： 西川貴教 企画・原作： 志倉千代丸 原作イラスト：雪広うたこ	
2016-SUMMER	パズドラクロス	?	ガンホー・オンライン・エンターテイメント	
2016-SUMMER	トランスフォーマー アドベンチャー -マイクロンの章-	?		
2016-SUMMER	サバパラ	?		
2016-SUMMER	ガンダムビルドファイターズトライ アイランド・ウォーズ	?	矢立肇 富野由悠季	
2016-SUMMER	ももくり	MANGA?	くろせ（comico） 監督・シリーズ構成・脚本：平池芳正	
2016-SUMMER	PERSONA5 the Animation -THE DAY BREAKERS-	?	「 ペルソナ5 」(アトラス) ストーリー原案：橋野桂 キャラクター原案：副島成記 悪魔デザイン原案：金子一馬	
2016-SUMMER	LEGO スター・ウォーズ／フリーメーカーの冒険	?		
2016-SUMMER	D.Gray-man HALLOW	MANGA?	星野桂（集英社「ジャンプ SQ.CROWN」連載）	
2016-SPRING	薄桜鬼 ～御伽草子～	?	アイデアファクトリー	
2016-SPRING	美少女戦士セーラームーンCrystal 第3期（デス・バスターズ編）	?	武内直子	
2016-SPRING	熱血ゴリラ教師 イチゴリ先生	?		
2016-SPRING	機動戦士ガンダムUC RE:0096	?	矢立肇 富野由悠季 「機動戦士ガンダム」より	
2016-SPRING	政宗ダテニクル	?		
2016-SPRING	影鰐-KAGEWANI-承	?		
2016-SPRING	境界のRINNE（第2期）	?	高橋留美子	
2016-SPRING	レゴ ネックスナイツ	?		
2016-SPRING	ラララ ララちゃん	?		
2016-SPRING	ネコこのゴロ	?		
2016-SPRING	オトナの一休さん	?		
2016-SPRING	ふりぃきぃ～はいすく～る	?		
2016-SPRING	うしおととら 第2シーズン	?		
2016-SPRING	SUPER LOVERS	MANGA?	あべ美幸（株式会社KADOKAWA／「エメラルド」連載中）	
2016-SPRING	RS計画 -Rebirth Storage-	?		
2016-SPRING	CoCO&NiCO	?	MMDGP	
2016-FALL	魔法少女なんてもういいですから。 セカンドシーズン	MANGA?	双見酔 「 魔法少女なんてもういいですから。 」デジタル版コミック アース・スター連載	
2016-FALL	機動戦士ガンダム 鉄血のオルフェンズ（2期）	?	矢立肇 富野由悠季	
2016-FALL	侍霊演武：将星乱	MANGA?	白猫 侍霊演武（ソウルバスター）『尚漫』連載中	
2016-FALL	ドリフターズ	?		
2016-FALL	コチンPa！ 2nd	?		
2016-FALL	ななにんのあやかし -ちみちみ魍魎!!現代物語-	?		
2016-FALL	CHEATING CRAFT	?		
2016-FALL	Bloodivores	?	白驍	
2016-FALL	12歳。～ちっちゃなムネのトキメキ～ セカンドシーズン	?	まいた菜穂	
2015-WINTER	美少女戦士セーラームーンCrystal 第2期（ブラック・ムーン編）	?	武内直子	
2015-WINTER	東京喰種トーキョーグール√A	MANGA?	石田スイ（集英社「週刊ヤングジャンプ」連載） オリジナル原案：石田スイ	
2015-WINTER	憑物語	?	西尾維新 『 憑物語 』（講談社BOX） キャラクター原案：VOFAN	
2015-WINTER	DOG DAYS"	?		
2015-SUMMER	金夜、安部礼司～平均的なサラリーマンの異常な日常～	?	あ、安部礼司（TOKYO FM ）	
2015-SUMMER	Classroom☆Crisis	?	MONTWO	
2015-SPRING	極道酒場でんでん ～極道大戦争外伝～	?		
2015-SPRING	レゴ ニンジャゴー	?		
2015-SPRING	ベイビーステップ 第2シリーズ	?	勝木光	
2015-SPRING	トランスフォーマー アドベンチャー	?		
2015-SPRING	ゴー！ゴー！キッチン戦隊クックルン	?		
2015-SPRING	うたの☆プリンスさまっ♪ マジLOVEレボリューションズ	?	上松範康／ブロッコリー	
2015-FALL	金田一少年の事件簿R（第2期）	MANGA?	天樹征丸・さとうふみや『 金田一少年の事件簿R 』（講談社『週刊少年マガジン』連載） チーフプロデューサー：諏訪道彦 清水慎治 プロデューサー：永井幸治 石川啓 二階堂理紗 シリーズディレクター：池田洋子	
2015-FALL	牙狼 -紅蓮ノ月-	?	雨宮慶太	
2015-FALL	想いのかけら	?		
2015-FALL	ルパン三世 PART4	?	モンキー・パンチ(C)ＴＭＳ 『ルパン三世』公式サイト &nbsp; 「ルパン三世 PART4」のグッズを探す <h2 class="c-heading-h2"	
2015-FALL	モンストアニメ	?		
2015-FALL	ハッカドール THE あにめ～しょん	?	ハッカドールチーム（DeNA） 監督・キャラクターデザイン： げそいくお	
2015-FALL	ゆるゆり さん☆ハイ！	MANGA?	なもり（コミック百合姫・一迅社刊）	
2015-FALL	VALKYRIE DRIVE -MERMAID-	?	VALKYRIE DRIVE PROJECT 監督・キャラクターデザイン：金子ひらく	
2015-FALL	DD北斗の拳2	MANGA?	「北斗の拳」（原作：武論尊／漫画： 原哲夫 ） スーパーバイザー： 原哲夫	
2014-WINTER	ＧＯ！ＧＯ！５７５	non-manga	株式会社セガ	
2014-WINTER	銀の匙 Silver Spoon 第2期	MANGA?	荒川弘 （小学館「 週刊少年サンデー 」連載）	
2014-WINTER	攻殻機動隊入門 あらいず	?		
2014-WINTER	地下すぎアイドル あかえちゃん	?		
2014-WINTER	カードファイト!! ヴァンガード レギオンメイト編	MANGA?	ブシロード 伊藤彰 連載：月刊ブシロード	
2014-WINTER	めいたんていラスカル	?		
2014-WINTER	pupa	MANGA?	茂木清香（アース・スターエンターテイメント『月刊コミック アース・スター』連載）	
2014-SUMMER	闇芝居（第2期）	?		
2014-SUMMER	目玉焼きの黄身 いつつぶす？	?	おおひなたごう 脚本・アニメーション監督：ラレコ	
2014-SUMMER	学校のコワイうわさ 新・花子さんがきた!! シーズン2	?	森京詞姫「 学校のコワイうわさ 新・花子さんがきた!! 」（竹書房 刊）	
2014-SUMMER	ちょぼらうにょぽみ劇場第二幕 あいまいみー -妄想カタストロフ-	MANGA?	ちょぼらうにょぽみ「あいまいみー」 掲載：「まんがライフWIN」 発行：竹書房 監督・脚本・演出：いまざきいつき キャラクターデザイン・作画監督：いまざきいつき	
2014-SUMMER	RAIL WARS!	non-manga	豊田巧「 RAIL WARS! -日本國有鉄道公安隊-」（創芸社クリア文庫刊） 原作イラスト：バーニア600	
2014-SUMMER	DRAMAtical Murder	?	Nitro＋CHiRAL 製作： DRAMAtical Murder 製作委員会	
2014-SPRING	野良スコ	?		
2014-SPRING	恋するニャントニオ	?		
2014-SPRING	史上最強の弟子ケンイチ 闇の襲撃	?		
2014-SPRING	ワールドフールニュース	?		
2014-SPRING	ソウルイーターノット！	MANGA?	大久保篤 （掲載月刊「少年ガンガン」スクウェア・エニックス刊） 監督・シリーズ構成：橋本昌和 キャラクターデザイン・総作画監督：小池智史	
2014-SPRING	ガイストクラッシャー ゴッド編	non-manga	カプコン	
2014-FALL	牙狼＜GARO＞-炎の刻印-	?	雨宮慶太	
2014-FALL	ログ・ホライズン 第2シリーズ	?	橙乃ままれ ストーリー監修：桝田省治 キャラクター原案：ハラカズヒロ	
2014-FALL	バディ・コンプレックス 完結編 -あの空に還る未来で-	?	矢立肇	
2014-FALL	ナノ・インベーダーズ	?		
2014-FALL	ソードアート・オンラインII マザーズ・ロザリオ編	non-manga	川原礫（「電撃文庫」刊） 原作イラスト・キャラクター原案：abec	
2014-FALL	ソードアート・オンラインII キャリバー編	non-manga	川原礫 （「電撃文庫」刊） 原作イラスト・キャラクター原案：abec	
2014-FALL	なりヒロwww	?		
2014-FALL	がんばれ！ルルロロ TINY★TWIN★BEARS（第2期）	?		
2013-WINTER	生徒会の一存 Lv.2	non-manga	葵せきな・狗神煌(富士見ファンタジア文庫刊）	
2013-WINTER	猫物語（黒）	?	西尾維新 （講談社BOX） キャラクター原案：VOFAN	
2013-WINTER	僕の妹は「大阪おかん」	?	中経出版｢大阪おかんルール｣｢大阪ルール｣ 脚本・演出：石舘光太郎 キャラクター原案：菅原そうた	
2013-SUMMER	八犬伝―東方八犬異聞― 第2期	?	あべ美幸（角川書店）	
2013-SUMMER	マジでオタクなイングリッシュ！りぼんちゃん the TV	?		
2013-SUMMER	おはよう忍者隊ガッチャマン（復活版）	?		
2013-SUMMER	DIABOLIK LOVERS	?	オトメイト(アイディアファクトリー・Rejet) キャラクター原案：さとい	
2013-SPRING	機動戦士ガンダムSEED DESTINY HDリマスター	?	矢立肇 富野由悠季	
2013-SPRING	島耕作のアジア立志伝	?	弘兼憲史	
2013-SPRING	宇宙戦艦ヤマト2199	?	西﨑義展	
2013-SPRING	リボンちゃん（第2期）	?		
2013-SPRING	キングダム 第2シリーズ	?	原泰久	
2013-SPRING	キルラキル	?	TRIGGER 中島かずき	
2013-SPRING	ガッ活！ 第2シリーズ	?		
2013-SPRING	ゆうとくんがいく	?		
2013-SPRING	すすめ！キッチン戦隊クックルン	?		
2013-SPRING	NINJAハットリくんリターンズ	?	藤子不二雄Ⓐ シリーズ構成＆監督：やすみ哲夫 キャラクター＆プロップデザイン：富永貞義 美術設定：天水 勝	
2013-SPRING	LINE TOWN	?	LINE	
2013-SPRING	DEVIL SURVIVOR 2 THE ANIMATION	?	「デビルサバイバー２」（ATLUS）	
2013-FALL	超ゼンマイロボ パトラッシュ	?		
2013-FALL	最強銀河 究極ゼロ ～バトルスピリッツ～	?	矢立肇	
2013-FALL	大怪獣ラッシュ ウルトラフロンティア	?		
2013-FALL	ファイ・ブレイン 神のパズル（第3シリーズ）	?	矢立肇	
2013-FALL	みんなだいすきそらジロー	?		
2013-FALL	IS＜インフィニット・ストラトス＞2	non-manga	弓弦イズル（オーバーラップ文庫刊）	
2013-FALL	COPPELION	MANGA?	井上智徳 講談社｢月刊ヤングマガジン｣連載 監督・キャラクターデザイン：鈴木信吾	
2013-FALL	BLAZBLUE ALTER MEMORY	?	ARC SYSTEM WORKS 監修：森利道	
2013-FALL	ANISAVA	?	ANISAVA 製作委員会	
2012-WINTER	秘密結社鷹の爪外伝 むかしの吉田くん	?		
2012-WINTER	機動戦士ガンダムSEED HDリマスター	?	矢立肇 富野由悠季	
2012-WINTER	ズーブルズ！	?		
2012-WINTER	オズマ	?		
2012-WINTER	BRAVE10	MANGA?	霜月かいり (メディアファクトリー｢月刊コミックジーン｣連載中)	
2012-WINTER	Another	?	綾辻行人『 Another 』（角川書店刊） キャラクター原案： いとうのいぢ	
2012-SUMMER	探偵オペラ ミルキィホームズ Alternative ONE & TWO	non-manga	ブシロード・クロノギアクリエイティヴ	
2012-SUMMER	たまごっち！ゆめキラドリーム	?		
2012-SUMMER	この中に1人、妹がいる！	non-manga	田口一（MF文庫J/メディアファクトリー刊） 原作イラスト：CUTEG	
2012-SUMMER	うぽって!!	MANGA?	天王寺キツネ（月刊少年エース/4コマなのエース連載）	
2012-SUMMER	DOG DAYS'	?		
2012-SPRING	超ロボット生命体 トランスフォーマー プライム	?		
2012-SPRING	レゴ フレンズ	?		
2012-SPRING	ペンギンの問題POW	?	永井ゆうじ	
2012-SPRING	ファイ・ブレイン 神のパズル（第2シリーズ）	?	矢立肇	
2012-SPRING	キングダム 第1シリーズ	MANGA?	原泰久 『 キングダム 』（集英社「ヤングジャンプ」連載中）	
2012-SPRING	ぬっこ。	?		
2012-SPRING	とっとこハム太郎（第5期）	?	河井リツ子	
2012-SPRING	ZETMAN	MANGA?	桂正和（集英社「週刊ヤングジャンプ」連載）	
2012-FALL	頭文字D Fifth Stage	?	しげの秀一	
2012-FALL	銀魂' 延長戦	MANGA?	空知英秋 連載：「 週刊少年ジャンプ 」 発行：集英社 監修：高松信司	
2012-FALL	蒼い世界の中心で	MANGA?	クリムゾン、アナスタシア・シェスタコワ（マイクロマガジン社刊）	
2012-FALL	紙兎ロペ ～笑う朝には福来たるってマジっすか!?～	?	内山勇士	
2012-FALL	ロンゴマックス	?		
2012-FALL	バクマン。（第3期）	?	大場つぐみ・小畑 健	
2012-FALL	ソードアート・オンライン フェアリィ・ダンス編	non-manga	川原礫 （電撃文庫／アスキー・メディアワークス刊） 原作イラスト・キャラクターデザイン原案：abec	
2012-FALL	ジョジョの奇妙な冒険 戦闘潮流	?		
2012-FALL	ジョジョの奇妙な冒険 ファントムブラッド	?		
2012-FALL	えびてん 公立海老栖川高校天悶部	MANGA?	すかぢ、狗神煌(月刊コンプエース連載/角川コミックス・エース刊)	
2011-SUMMER	アップルシードXIII	?	士郎正宗 「アップルシード」（青心社刊）	
2011-SUMMER	R-15	non-manga	伏見ひろゆき 藤真拓哉 (角川スニーカー文庫刊）	
2011-SPRING	爆丸 バトルブローラーズ ガンダリアンインベーダーズ	?		
2011-SPRING	はっぴーカッピ	non-manga	サンキャラット ティー ワイ リミテッド 小学館 タカラトミーアーツ 監督・演出：峯沢琢也	
2011-SPRING	とっとこハム太郎 でちゅ	?	河井リツ子	
2011-SPRING	ごはんかいじゅうパップ	?		
2011-SPRING	けんぷファー für die Liebe	non-manga	築地俊彦（メディアファクトリーＭＦ文庫Ｊ）	
2011-SPRING	Suzy's Zoo だいすき! ウィッツィー	?	スージー・スパッフォード	
2011-SPRING	DOG DAYS	?		
2011-FALL	灼眼のシャナIII-FINAL-	non-manga	高橋弥七郎（アスキー・メディアワークス/電撃文庫刊） イラスト：いとうのいぢ	
2011-FALL	ラストエグザイル―銀翼のファム―	?	GONZO	
2011-FALL	バクマン。（第2期）	?	大場つぐみ 小畑健	
2011-FALL	ひだまりスケッチ×SP	?	蒼樹うめ	
2011-FALL	Persona4 the ANIMATION	?	「 ペルソナ4 」（Index）	
2010-WINTER	遙かなる時空の中で3 終わりなき運命	?	コーエー キャラクター原案：水野十子（白泉社LaLa LaLaDX） 監修：ルビー・パーティー 総監督・アニメーションキャラクターデザイン：つなきあき	
2010-WINTER	爆丸 バトルブローラーズ ニューヴェストロイア	?		
2010-WINTER	ヴァイス・サヴァイヴR	?		
2010-WINTER	やんやんマチコ	?	ニシムラトモコ	
2010-WINTER	ひだまりスケッチ×☆☆☆	?	蒼樹うめ	
