series_key	title	class	subtitle	vols	first_date	last_date	imprints	authors	isbn	既存頁slug	類似頁	材料	著者既掲載
name:池波正太郎|name:剣客商売 BEST SELECTION	剣客商売 BEST SELECTION	未掲載		5	2015-07	2017-08	SP pocket wide	池波正太郎 / 大島やすいち	9784845846320		kenkaku-shoubai	未取得	済
qid:Q11560284|name:カンナさーん! アラフォー編	カンナさーん! アラフォー編	未掲載		3	2017-07	2017-08	クイーンズコミックス	深谷かほる	9784088656762		kannasaan	未取得	済
name:説話社|name:心霊実況中継スペシャル	心霊実況中継スペシャル	同題別著者(要確認)		3	2014-08	2017-07	マンサンコミックス	山本まゆり / きもとのりこ / 秋山るんな	9784408175034			未取得	済
qid:Q8062691|name:夢幻紳士 怪奇篇	夢幻紳士 怪奇篇	未掲載		2	2007-05	2017-04	 / ハヤカワコミック文庫	高橋葉介	9784150308896		mugen-shinshi	未取得	済
qid:Q11673673|name:アスタロト・クロニクル	アスタロト・クロニクル	未掲載		2	2017-02-11	2017-04		魔夜峰央	9784778038113		astaroth	未取得	済
qid:Q3201020|name:SWAN ドイツ編	SWAN ドイツ編	未掲載		2	2016-04	2017-04		有吉京子	9784582287776		swan	未取得	済
qid:Q9124928|name:アタック!!～約束のコート～	アタック!!～約束のコート～	未掲載		2	2016-05	2017-02	ACTION COMICS	大島司	9784575848076		attack	未取得	済
qid:Q8972749|name:GAME	GAME	同題別著者(要確認)		2	2006-09	2017-01	Daito comics BL シリーズ / Shodensha boys love collection	今市子	9784396780203			未取得	済
name:クロノギアクリエイティヴ|name:探偵オペラミルキィホームズはじめまして。	探偵オペラミルキィホームズはじめまして。	未掲載		2	2016-01	2016-11	単行本コミックス	水島空彦	9784048994156		tantei-opera-milky-holmes	未取得	済
qid:Q3045424|name:グラップラー刃牙 幼年編	グラップラー刃牙 幼年編	未掲載		3	2016-08	2016-10	Akita top comics wide	板垣恵介	9784253244787		grappler-baki	未取得	済
qid:Q11541939|name:Do Da Dancin'! ヴェネチア国際編	Do Da Dancin'! ヴェネチア国際編	未掲載		6	2016-08	2016-10	コミック版	槇村さとる	9784086196314		do-da-dancin	未取得	済
qid:Q7497596|name:ドカベン ドリームトーナメント編別巻	ドカベン ドリームトーナメント編別巻	未掲載		2	2016-02-15	2016-09-15	SHŌNEN CHAMPION COMICS	水島新司	9784253219105		dokaben	未取得	済
name:及川コウ|name:ナニワ銭道	ナニワ銭道	同題別著者(要確認)		5	2015-11	2016-07	このマンガがすごい!comics	雲之助 / 雲之助	9784800248251			未取得	
qid:Q302859|name:RiN	RiN	同題別著者(要確認)		14	2013-05-17	2016-06-17	MONTHLY SHONEN MAGAZINE COMICS / 講談社コミックスデラックス	ハロルド作石	9784063768237			未取得	済
qid:Q3045424|name:グラップラー刃牙 地下闘技場編	グラップラー刃牙 地下闘技場編	未掲載		2	2016-05	2016-06	Akita top comics wide	板垣恵介	9784253244282		grappler-baki	未取得	済
qid:Q17572|name:オバケのQ太郎	オバケのQ太郎	同題別著者(要確認)		24	2009-07-29	2016-05-03	The complete works of Fujiko・F・Fujio / てんとう虫コミックス / 藤子・F・不二雄大全集	藤子不二雄Ⓐ / 藤子・F・不二雄	9784091420480			未取得	済
qid:Q1188657|name:セクシーボイス＆ロボ	セクシーボイス＆ロボ	未掲載		2	2016-03	2016-04	モーニングKC	黒田硫黄	9784063885354			紹介文+書影	済
qid:Q208582|name:ドラゴンボール ピッコロ大魔王編	ドラゴンボール ピッコロ大魔王編	未掲載		4	2016-03-09	2016-03-09	ジャンプ・コミックス	鳥山明	9784088806211		dragon-ball	未取得	済
