分類	slug	頁題	著者	頁巻数	対象巻数	再録元候補	isbn	楽天題	楽天副題	レーベル	同著者他頁数
RECOLLECT	boku-kara-kimi-e	僕から君へ	羅川真里茂	1	1	しゃにむにGO(32巻) / ましろのおと(31巻)	9784592886242	僕から君へ	羅川真里茂傑作集	白泉社文庫	9
RECOLLECT	brightworks	ブライトワークス	宮川匡代	1	1	林檎と蜂蜜(27巻) / 林檎と蜂蜜walk(21巻)	9784086187640	宮川匡代bright　works	宮川匡代傑作集	集英社文庫	37
VERSION_MIX	byoon-youkai-gakkyuu	びょ～ん!!陽快学級	いとうなおあき	3	1		9784088705897	びよ〜ん！！陽快学級（1）	最強ジャンプGAGセレクション4	ジャンプコミックス	0
RECOLLECT	cherry-etc	Cherry etc.	荒井チェリー	2	2	未確認で進行形(16巻) / 三者三葉(14巻)	9784832247017	Cherry　etc．（上）	荒井チェリー傑作集	まんがタイムKRコミックス	11
RECOLLECT	cherry-etc	Cherry etc.	荒井チェリー	2	2	未確認で進行形(16巻) / 三者三葉(14巻)	9784832247161	Cherry　etc．（下）	荒井チェリー傑作集	まんがタイムKRコミックス	11
RECOLLECT	crack-down-on	Crack down on	森田信吾	1	1	栄光なき天才たち(21巻) / 明楽と孫蔵(10巻)	9784088758657	Crack　down　on	森田信吾傑作集	ヤングジャンプコミックスBJ	16
RECOLLECT	dakishimete-midnight	抱きしめてミッドナイト	すぎ恵美子	1	1	♂と♀の方程式(15巻) / げっちゅー(13巻)	9784091320926	抱きしめてミッドナイト	すぎ恵美子傑作集 2	フラワーコミックス	35
VERSION_MIX	damenzu-walker	だめんず・うぉ～か～	倉田真由美	35	1		9784594606275	だめんず・うぉ〜か〜（究極のダメ男・ダメ女編）	傑作選	扶桑社mook	12
VERSION_MIX	dark-angel-selection	ダーク・エンジェルselection	風間宏子	3	2		9784253162845	ダーク・エンジェルselection（2）	傑作選	ＡＣエレガンスα	32
VERSION_MIX	dark-angel-selection	ダーク・エンジェルselection	風間宏子	3	2		9784253162852	ダーク・エンジェルselection（3）	傑作選	ＡＣエレガンスα	32
RECOLLECT	dead-end	デッド・エンド	秋里和国	1	1	花のO-ENステップ(16巻) / The B.B.B.(16巻)	9784091321114	デッド・エンド	秋里和国傑作集１	フラワーコミックス	23
RECOLLECT	denki-mochizuki-1986	伝鬼	望月三起也	1	1	ワイルド7(95巻) / 秘密探偵JA(29巻)	9784257960775	伝鬼	冒険SF傑作選	Sun　wide　comics	40
RECOLLECT	densetsu-no-sasupensu-ando-horror	伝説のサスペンス＆ホラー	関よしみ・犬木加奈子・御茶漬海苔・川口まどか・大橋薫・谷間夢路・渡千枝・日野日出志・蕪木彩子・井口かのん・有田景・かずはしとも	1	1	死と彼女とぼく(15巻) / やさしい悪魔(14巻)	9784063723281	伝説のサスペンス＆ホラー（血の章）	ベスト・オブ・恐怖傑作選	KCデラックス	266
REVIEW	densha-de-kora	電車でコラ	辛酸なめ子	1	1		9784893085535	電車でコラ	辛酸なめ子の〈生首コラ〉セレクション		7
VERSION_MIX	dokusha-toukou-shinrei-taiken	読者投稿心霊体験	高港基資	3	2		9784785925758	読者投稿心霊体験	高港基資ホラー傑作選	YK　best	10
VERSION_MIX	dokusha-toukou-shinrei-taiken	読者投稿心霊体験	高港基資	3	2		9784785937058	読者投稿心霊体験（28（ひがんばな））	高港基資ホラー傑作選	ＹＫベスト	10
RECOLLECT	doll-kuyou	人形供養	永久保貴一	1	1	カルラ舞う!(26巻) / 新・カルラ舞う!(18巻)	9784253094078	人形供養	永久保怪異傑作集	ボニータコミックス	30
REVIEW	doll-no-ie	人形の家	まつざきあけみ	1	1		9784821185962	人形の家	まつざきあけみ傑作集	ホラーMコミック文庫	51
VERSION_MIX	doraemon	ドラえもん	藤子・F・不二雄	46	1		9784091948014	ドラえもん［爆笑パニック編］	ドラえもん テーマ別傑作選 1	小学館コロコロ文庫（少年）	74
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784757500617	ドラゴンクエスト4コママンガ劇場（23）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870252943	ドラゴンクエスト4コママンガ劇場（20）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870253605	ドラゴンクエスト4コママンガ劇場（21）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870254572	ドラゴンクエスト4コママンガ劇場（22）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870256835	ドラゴンクエスト4コママンガ劇場（19）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870258204	ドラゴンクエスト4コママンガ劇場（11）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870258549	ドラゴンクエスト4コママンガ劇場（12）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870258747	ドラゴンクエスト4コママンガ劇場（13）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870259010	ドラゴンクエスト4コママンガ劇場（14）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870259195	ドラゴンクエスト4コママンガ劇場（15）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870259379	ドラゴンクエスト4コママンガ劇場（16）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870259546	ドラゴンクエスト4コママンガ劇場（17）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784870259799	ドラゴンクエスト4コママンガ劇場（18）	番外編　4コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784900527591	ドラゴンクエスト4コママンガ劇場（〔1〕）	番外編　４コマクラブ傑作集		3
VERSION_MIX	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	ゲームドラゴンクエストシリーズ	22	15		9784900527706	ドラゴンクエスト4コママンガ劇場（2）	番外編　４コマクラブ傑作集		3
RECOLLECT	en-2016	宴-en-	佐野タカシ	1	1	イケてる2人(33巻) / 今宵、妻が。(22巻)	9784785957452	宴	被虐浪漫傑作選集	ヤングキングコミックス	32
REVIEW	ergo	ergo	木原音瀬	4	4		9784883863334	エルゴ（v．1）	木原音瀬セレクション	Holly　comix	3
REVIEW	ergo	ergo	木原音瀬	4	4		9784883863396	エルゴ（v．2）	木原音瀬セレクション	Holly　comix	3
REVIEW	ergo	ergo	木原音瀬	4	4		9784883863464	エルゴ（v．3）	木原音瀬セレクション	Holly　comix	3
REVIEW	ergo	ergo	木原音瀬	4	4		9784883863495	エルゴ（v．4）	木原音瀬セレクション	Holly　comix	3
RECOLLECT	esupaa3	エスパー3	桑田次郎	1	1	月光仮面(14巻) / エリート(6巻)	9784775911280	エスパ-3完全版＋悪魔博士＋般若	桑田次郎ＳＦ短編傑作集２	マンガショップシリ-ズ	44
RECOLLECT	first-love-kiss-xxx	FIRST LOVE,KISS,XXX	やまもり三香・宮城理子・佐藤ざくり・田島みみ・創美社・上森優	1	1	花になれっ!(25巻) / メイちゃんの執事DX(20巻)	9784088466149	FIRST　LOVE，KISS，×××	マーガレットベストセレクション	マーガレットコミックス	42
RECOLLECT	fude-oroshi	筆下ろし	山口譲司	1	1	不倫食堂(21巻) / 村祀り(20巻)	9784088767222	筆下ろし	山口譲司傑作集	ヤングジャンプコミックス	31
RECOLLECT	fukushuu	復讐	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779625701	復讐	手塚治虫セレクション	サンエイムック　手塚シリーズ	330
RECOLLECT	futari-no-pinchi-o-h-ni-norikiru	ふたりのピンチをHにのりきる	酒井美羽	1	1	その男、ワガママにつき(16巻) / ￥十億少女(15巻)	9784592152620	ふたりのピンチをHにのりきる	酒井美羽スペシャルセレクション　2	白泉社レディースコミックス	105
RECOLLECT	fuwafura	ふわふら	八神健	1	1	ななか6/17(12巻) / 密❤リターンズ!(7巻)	9784088711669	ふわふら	八神健傑作選	ジャンプコミックス	8
VERSION_MIX	gals	GALS!	藤井みほな	12	2		9784086188814	Gals！（1）	天下無敵の恋バナ傑作選	集英社文庫	7
VERSION_MIX	gals	GALS!	藤井みほな	12	2		9784086188821	Gals！（2）	天下無敵の恋バナ傑作選	集英社文庫	7
RECOLLECT	gashin-show-tan	臥薪嘗胆	里見桂	1	1	ゼロ(78巻) / なんか妖かい!?(16巻)	9784537109900	臥薪嘗胆	里見桂時代劇傑作選２	ニチブンコミックス	18
RECOLLECT	gekitourobotto-hero	激闘!ロボットヒーロー	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779626180	激闘！ロボットヒーロー	手塚治虫セレクション	サンエイムック	330
RECOLLECT	gekiuma-sake-no-sakana-rankingu	激ウマ!酒の肴ランキング	ラズウェル細木	1	1	酒のほそ道(59巻) / 美味い話にゃ肴あり(13巻)	9784832234291	激ウマ！酒の肴ランキング	ラズウェル細木傑作選	芳文社コミックス	51
RECOLLECT	giniro-no-romance	銀色のロマンス	木原敏江	1	1	摩利と新吾(22巻) / 夢の碑(20巻)	9784091907615	銀色のロマンス	ロマンス傑作選	小学館文庫	62
VERSION_MIX	god-cooking-kurume-ryourikyou	ゴッドクッキングクルメ料理教!	ゆうきかずふみ	2	1		9784088705866	ゴッドクッキングクルメ料理教！（1）	最強ジャンプGAGセレクション2	ジャンプコミックス 最強ジャンプ	0
VERSION_MIX	gokuraku-shinshi	ごくらく紳士	前谷惟光	2	1		9784775912249	ごくらく紳士	前谷惟光傑作集７	マンガショップシリ-ズ	14
RECOLLECT	grappler-baki-fighting	グラップラー刃牙Fighting	板垣恵介	1	1	グラップラー刃牙(42巻) / 範馬刃牙(37巻)	9784253132602	グラップラー刃牙fighting	バキ総集編	少年チャンピオンコミックスエクストラ	15
RECOLLECT	gym-2000	ジム	池上遼一	1	1	男組(39巻) / 覇-LORD(22巻)	9784091848758	ジム	池上遼一幻のコミック傑作選	ビッグコミックススペシャル	46
