分類	slug	頁題	著者	頁巻数	対象巻数	再録元候補	isbn	楽天題	楽天副題	レーベル	同著者他頁数
RECOLLECT	keroro-gunsou-green	ケロロ軍曹green	吉崎観音	1	1	ケロロ軍曹(35巻) / 日本の歴史(15巻)	9784049249675	ケロロ軍曹Green	特別編集版	あすかコミックスエース	17
RECOLLECT	keroro-gunsou-pink	ケロロ軍曹pink	吉崎観音	1	1	ケロロ軍曹(35巻) / 日本の歴史(15巻)	9784049249699	ケロロ軍曹Pink	特別編集版	あすかコミックスエース	17
RECOLLECT	keroro-gunsou-red	ケロロ軍曹red	吉崎観音	1	1	ケロロ軍曹(35巻) / 日本の歴史(15巻)	9784049249682	ケロロ軍曹Red	特別編集版	あすかコミックスエース	17
VERSION_MIX	kimi-ga-suki-dakara	君が好きだから!!	河原和音	2	1		9784086183789	君が好きだから！！	河原和音初期名作セレクション	集英社文庫	9
RECOLLECT	kimi-ni-straight	君にストレート	やぶうち優	1	1	水色時代(16巻) / ドーリィ♪カノン(10巻)	9784091351715	君にストレート	やぶうち優傑作集 1	フラワーコミックス	27
VERSION_MIX	kimi-no-koto-suki-nanda	きみのことすきなんだ	谷川史子	2	1		9784086185486	きみのことすきなんだ	谷川史子傑作選	集英社文庫	26
VERSION_MIX	kin-no-henachoko	金のへなちょこ	西本英雄	3	2		9784063130140	金のへなちょこ（1）	へなちょこ大作戦Ｚ・ベストセレクション	少年マガジンＫＣ	7
VERSION_MIX	kin-no-henachoko	金のへなちょこ	西本英雄	3	2		9784063130232	金のへなちょこ（2）	へなちょこ大作戦Ｚ・ベストセレクション	少年マガジンＫＣ	7
RECOLLECT	kin-no-nami-gin-no-kaze	金の波銀の風	浜田翔子	1	1	炎の蜃気楼R(ミラージュリブート)(10巻) / 夢の子供(10巻)	9784253096911	金の波銀の風	浜田翔子傑作集	ボニータコミックス	23
RECOLLECT	kindaichi-shounen-no-satsujin	金田一少年の殺人	さとうふみや	1	1	金田一少年の事件簿(61巻) / 探偵学園Q(34巻)	9784063343359	金田一少年の殺人	「金田一少年の事件簿」ベストセレクション	ＫＣデラックス	17
RECOLLECT	kinou-to-ashita-to	きのうとあしたと	坂田靖子	1	1	バジル氏の優雅な生活(14巻) / 水の森綺譚(9巻)	9784592137924	きのうとあしたと	初期傑作集	ジェッツコミックス	74
RECOLLECT	kisou-tengai-sf-hero	奇想天外!!SFヒーロー	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779626449	奇想天外！！SFヒーロー	手塚治虫セレクション	サンエイムック	330
RECOLLECT	kiyohime-monogatari	清姫ものがたり	篠有紀子	1	1	花きゃべつひよこまめ(21巻)	9784847037122	清姫ものがたり	篠有紀子傑作集		21
RECOLLECT	koi-to-h-wa-seme-de-iku	恋とHは攻め!でいく	酒井美羽	1	1	その男、ワガママにつき(16巻) / ￥十億少女(15巻)	9784592152637	恋とHは攻め！でいく	酒井美羽スペシャルセレクション　3	白泉社レディースコミックス	105
RECOLLECT	kokushichou-satsujin-jiken	黒死蝶殺人事件	さとうふみや・天樹征丸	1	1	金田一少年の事件簿(61巻) / 金田一少年の事件簿(61巻)	9784063343564	黒死蝶殺人事件	「金田一少年の事件簿」ベストセレクション	KCデラックス	21
VERSION_MIX	korosu-tsuki	殺す月	曽祢まさこ	2	1		9784821186938	殺す月	曽祢まさこ傑作集	ホラーMコミック文庫	64
RECOLLECT	kosodate-afro-tanaka	子育てアフロ田中	のりつけ雅春	1	1	高校アフロ田中(10巻) / 結婚アフロ田中(10巻)	9784098610808	子育てアフロ田中	結婚アフロ田中 育児セレクション	ビッグ コミックス	8
RECOLLECT	kujakusou	孔雀草	名香智子	1	1	PARTNER(33巻) / マダム・ジョーカー(30巻)	9784575724905	孔雀草	ミステリ-名作選集３	双葉文庫	67
RECOLLECT	kuramochi-fusako-the-best	くらもちふさこthe best	くらもちふさこ	2	2	天然コケッコー(23巻) / いつもポケットにショパン(8巻)	9784088652443	くらもちふさこthe　best（1）	Betsuma　days読みきりセレクション	クイーンズコミックス	24
RECOLLECT	kuramochi-fusako-the-best	くらもちふさこthe best	くらもちふさこ	2	2	天然コケッコー(23巻) / いつもポケットにショパン(8巻)	9784088652542	くらもちふさこthe　best（2）	Chorus　days読みきりセレクション	クイーンズコミックス	24
VERSION_MIX	kurayami-ni-akuma-ga	くらやみに悪魔が!	高階良子	3	1		9784041950029	くらやみに悪魔が！	高階良子傑作集	角川ホラー文庫	78
RECOLLECT	kuro-majutsushi-kuroi-misa-ekoeko-azaraku	黒魔術師・黒井ミサ エコエコアザラク	古賀新一	1	1	エコエコアザラク(19巻) / エコエコアザラク Ⅱ(6巻)	9784048537131	黒魔術師・黒井ミサエコエコアザラク	ベストセレクション	単行本コミックス	29
VERSION_MIX	kyou-no-hon	恐之本	高港基資	10	6		9784785950910	恐之本（3）	高港基資ホラー傑作選集	SGコミックス	10
VERSION_MIX	kyou-no-hon	恐之本	高港基資	10	6		9784785952099	恐之本（4）	高港基資ホラー傑作選集	SGコミックス	10
VERSION_MIX	kyou-no-hon	恐之本	高港基資	10	6		9784785953423	恐之本（5）	高港基資ホラー傑作選集	SGコミックス	10
VERSION_MIX	kyou-no-hon	恐之本	高港基資	10	6		9784785954703	恐之本（6）	高港基資ホラー傑作選集	SGコミックス	10
VERSION_MIX	kyou-no-hon	恐之本	高港基資	10	6		9784785955922	恐之本（7）	高港基資ホラー傑作選集	SGコミックス	10
VERSION_MIX	kyou-no-hon	恐之本	高港基資	10	6		9784785957032	恐之本（8）	高港基資ホラー傑作選集	SGコミックス	10
RECOLLECT	kyoufu-taiken	恐怖体験	高港基資	1	1	恐之本(10巻)	9784785931964	別冊読者投稿心霊体験恐怖体験	高港基資ホラ-作品総集編「おくり火」	ＹＫ　ｂｅｓｔ	10
VERSION_MIX	kyoushitsu-no-naka	教室の中	永田正実	2	1		9784086183406	教室の中	永田正実初期作品セレクション	集英社文庫	10
RECOLLECT	last-tango	ラストタンゴ	木原敏江	1	1	摩利と新吾(22巻) / 夢の碑(20巻)	9784091907622	ラストタンゴ	愛のハーモニー傑作選	小学館文庫	62
RECOLLECT	lovely-works	ラブリーワークス	宮川匡代	1	1	林檎と蜂蜜(27巻) / 林檎と蜂蜜walk(21巻)	9784086187633	宮川匡代lovely　works	宮川匡代傑作集	集英社文庫	37
REVIEW	maboroshi-no-hana	幻の花	白山宣之	1	1		9784835452845	幻の花	白山宣之傑作集		3
VERSION_MIX	mad-papa	マッドパパ	関よしみ	2	1		9784821188505	マッドパパ	関よしみ傑作集	ホラ-Ｍコミック文庫	20
RECOLLECT	maiko-usomitai	マイコうそみたい	えびはら武司	1	1	まいっちんぐマチコ先生(8巻)	9784051004941	マイコうそみたい	えびはら武司傑作集	少年チャレンジ・コミックス	6
RECOLLECT	majo-jigoku	魔女地獄	古賀新一	1	1	エコエコアザラク(19巻) / エコエコアザラク Ⅱ(6巻)	9784041947012	魔女地獄	古賀新一傑作集	角川ホラー文庫	29
RECOLLECT	majutsu-ressha-satsujin-jiken	魔術列車殺人事件	さとうふみや・天樹征丸	1	1	金田一少年の事件簿(61巻) / 金田一少年の事件簿(61巻)	9784063343366	魔術列車殺人事件	「金田一少年の事件簿」ベストセレクション	ＫＣデラックス	21
RECOLLECT	maku	幕之内	窪之内英策	1	1	ツルモク独身寮(18巻) / ショコラ(7巻)	9784091538215	特選幕之内	窪之内英策傑作集	ヤングサンデーコミックス	5
REVIEW	mama-no-special	ママの恋人	陸奥A子	1	1		9784088650968	ママの恋人	陸奥Ａ子名作集	クイーンズコミックス	31
RECOLLECT	man-eater	マンイーター	高橋葉介	1	1	学校怪談(23巻) / 夢幻紳士(15巻)	9784821175390	マンイーター	高橋葉介傑作集	Bunkasha　comics	51
REVIEW	manga-de-wakaru-nippon-no-ijinden	まんがでわかる日本の偉人伝	よだひでき	1	1		9784834772630	まんがでわかる日本の偉人伝	総集編	ブティック・ムック	9
REVIEW	manga-de-wakaru-sekai-no-ijinden	まんがでわかる世界の偉人伝	よだひでき	1	1		9784834772623	まんがでわかる世界の偉人伝	総集編	ブティック・ムック	9
RECOLLECT	manga-yose	まんが寄席	前谷惟光	1	1	ロボット三等兵(14巻) / ロボットくん(5巻)	9784839368586	まんが寄席	古典落語傑作選		14
REVIEW	mangakasanchi-no-neko	漫画家さんちの猫	猫好き漫画家同盟	2	2		9784062609814	漫画家さんちの猫	人気作家のネコマンガ傑作集	講談社漫画文庫	0
REVIEW	mangakasanchi-no-neko	漫画家さんちの猫	猫好き漫画家同盟	2	2		9784063602166	漫画家さんちの猫（2）	人気作家のネコマンガ傑作集	講談社漫画文庫	0
RECOLLECT	mashou-no-rasen	魔性の螺旋	望月玲子	1	1	タケコさんの恋人(18巻) / 新・タケコさんの恋人(8巻)	9784575724646	魔性の螺旋	望月玲子自選ミステリ-傑作集	双葉文庫	37
RECOLLECT	mata-ashita-1989	また明日!	石塚夢見	1	1	朝倉くんちょっと!(22巻) / ピアニシモでささやいて(12巻)	9784091330826	また明日！	石塚夢見傑作集 2	フラワーコミックス	24
RECOLLECT	maya-no-souretsu	摩耶の葬列	一条ゆかり	1	1	有閑倶楽部(30巻) / プライド(19巻)	9784086183932	摩耶の葬列	一条ゆかり異色長編傑作選	集英社文庫	36
RECOLLECT	metaborika	めたボリカ	弓月光	1	1	甘い生活(52巻) / みんなあげちゃう(32巻)	9784088775517	めたボリカ	弓月光傑作選1	ヤングジャンプコミックスBJ	18
RECOLLECT	michikusa-no-hi	道草の日	小沢真理	1	1	世界でいちばん優しい音楽(24巻) / 銀のスプーン(17巻)	9784088645049	道草の日	小沢真理読み切りセレクション	YOUNG　YOUコミックス　コーラスシリーズ	32
VERSION_MIX	mito-no-mado	ミトの窓	倉多江美	2	1		9784575720914	ミトの窓	倉多江美自選傑作集１	双葉文庫	13
RECOLLECT	mix-risa	ミックスリサ	伊藤理佐	2	2	おるちゅばんエビちゅ(21巻) / おいピータン!!(17巻)	9784063604672	ミックスリサ	伊藤理佐傑作集	講談社漫画文庫	42
RECOLLECT	mix-risa	ミックスリサ	伊藤理佐	2	2	おるちゅばんエビちゅ(21巻) / おいピータン!!(17巻)	9784063608953	ミックスリサ（2）	伊藤理佐傑作集	講談社漫画文庫	42
RECOLLECT	miyawaki-akiko-the-best	宮脇明子the best	宮脇明子	2	2	名探偵保健室のオバさん(13巻) / ヤヌスの鏡(6巻)	9784088650463	宮脇明子the　best	呪い〜ホラー漫画セレクション	クイーンズコミックス	28
RECOLLECT	miyawaki-akiko-the-best	宮脇明子the best	宮脇明子	2	2	名探偵保健室のオバさん(13巻) / ヤヌスの鏡(6巻)	9784088651729	宮脇明子the　best（2）	悪夢〜ホラー漫画セレクション〜	クイーンズコミックス	28
RECOLLECT	mizusumashi-gengorou	水すまし源五郎	かわぐちかいじ	1	1	ジパング(65巻) / 沈黙の艦隊(59巻)	9784797700053	水すまし源五郎	かわぐちかいじ初期作品傑作集	日本漫画家名作シリーズ	48
VERSION_MIX	mugen-gaiden	夢幻外伝	高橋葉介	4	1		9784022140777	夢幻外伝（1）	高橋葉介セレクション	ASAHI　COMICS	51
RECOLLECT	musuko-e	息子へ	金子節子	1	1	のんちゃんの手のひら(10巻) / オッス!美里ちゃん(7巻)	9784253121798	息子へ	金子節子“家族”傑作選	秋田レディースコミックスセレクション　アラ還愛子ときどき母	35
RECOLLECT	musume-e	娘へ	金子節子	1	1	のんちゃんの手のひら(10巻) / オッス!美里ちゃん(7巻)	9784253121781	娘へ	金子節子“家族”傑作選	秋田レディースコミックスセレクション　アラ還愛子ときどき母	35
VERSION_MIX	muteki-no-love-power	無敵のLOVE POWER	河原和音	2	1		9784086183772	無敵のlove　power	河原和音初期名作セレクション	集英社文庫	9
RECOLLECT	my-collaboration-works	マイ・コラボレーション・ワークス	吾妻ひでお	1	1	ななこSOS(8巻) / やけくそ天使(7巻)	9784835452968	マイ・コラボレーション・ワークス	吾妻ひでおコミカライズ傑作選		46
RECOLLECT	my-girl-2000	My girl	七瀬あゆむ	1	1	君だけをみつめてる(7巻)	9784088760773	My　girl	七瀬あゆむ選集　恋愛漫画傑作選	ヤングジャンプコミックス	8
RECOLLECT	mystery-kan	ミステリー館	岩館真理子・高口里純	1	1	花のあすか組!(40巻) / ロンタイbaby(31巻)	9784796607650	ミステリー館（part　1）	少女漫画恐怖傑作選		118
REVIEW	nagashima-kun	ナガシマくん	わちさんぺい	1	1		9784775912805	ナガシマくん（赤バットの巻）	わちさんぺい傑作集１	マンガショップシリ-ズ	1
VERSION_MIX	nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	楳図かずお	4	1		9784063708202	夜がこわい	なかよしブック総集編2	講談社漫画文庫	100
RECOLLECT	natsu-taiken-shimasho	夏・体験しましょ	すぎ恵美子	1	1	♂と♀の方程式(15巻) / げっちゅー(13巻)	9784091320940	夏・体験しましょ	すぎ恵美子傑作集 4	フラワーコミックス	35
RECOLLECT	neko-nochi-hare	ネコのち晴れ!	生藤由美	1	1	ゾッチャの日常(14巻) / ねこノート(5巻)	9784086194563	ネコのち晴れ！	ゾッチャの日常傑作選	集英社文庫	8
RECOLLECT	neko-punch-deka-mori	ねこぱんちデカ盛	たらさわみち	1	1	しっぽ街のコオ先生(21巻) / MF動物病院日誌(19巻)	9784785931889	ねこぱんちデカ盛	ＭＦ動物病院日誌猫傑作集	にゃんＣＯＭＩ	32
RECOLLECT	nekomata-no-koi	猫又の恋	水木しげる	1	1	水木しげる漫画大全集(103巻) / ゲゲゲの鬼太郎(41巻)	9784257960225	猫又の恋	水木しげる短編傑作集「幻想編」	Sun　wide　comics	197
RECOLLECT	nemurenu-yoru-ni-yomu-black-jack	眠れぬ夜に読むブラック・ジャック	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784253132701	眠れぬ夜に読むブラック・ジャック	ブラック・ジャックセレクション	少年チャンピオンコミックス　エクストラ	330
RECOLLECT	obake-to-neko-to	おばけとネコと	坂田靖子	1	1	バジル氏の優雅な生活(14巻) / 水の森綺譚(9巻)	9784592137931	おばけとネコと	初期傑作集	ジェッツコミックス	74
RECOLLECT	ojou-sama-niwa-kanawanai	お嬢様にはかなわない	やぶうち優	1	1	水色時代(16巻) / ドーリィ♪カノン(10巻)	9784091351722	お嬢様にはかなわない	やぶうち優傑作集 2	フラワーコミックス	27
RECOLLECT	okaa-san	おかあさん	くりた陸	1	1	くじらの親子(15巻) / ゆめ色クッキング(7巻)	9784253159609	おかあさん	くりた陸傑作集　3	秋田レディースコミックスDX	34
RECOLLECT	omiyage-wa-naani	お土産はなあに?	八潮路つとむ	1	1	キャンパスクロッキー(24巻) / 2丁目のドンキホーテ(5巻)	9784088611402	おみやげはなあに	八潮路つとむ短編傑作集	ヤングジャンプコミックス	9
REVIEW	oshiete-furendou-wonder-san	おしえて!ふれん道和ん田～さん	田辺洋一郎	2	2		9784088705910	おしえて！ふれん道和ん田〜さん（1）	最強ジャンプGAGセレクション5	ジャンプコミックス	2
REVIEW	oshiete-furendou-wonder-san	おしえて!ふれん道和ん田～さん	田辺洋一郎	2	2		9784088706276	おしえて！ふれん道和ん田〜さん（2）	最強ジャンプGAGセレクション5	ジャンプコミックス　最強ジャンプ	2
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170116	男一匹ガキ大将　1	本宮ひろ志傑作選	集英社文庫コミック版	62
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170123	男一匹ガキ大将　2	本宮ひろ志傑作選	集英社文庫コミック版	62
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170130	男一匹ガキ大将　3	本宮ひろ志傑作選	集英社文庫コミック版	62
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170147	男一匹ガキ大将　4	本宮ひろ志傑作選	集英社文庫コミック版	62
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170154	男一匹ガキ大将　5	本宮ひろ志傑作選	集英社文庫コミック版	62
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170161	男一匹ガキ大将　6	本宮ひろ志傑作選	集英社文庫コミック版	62
VERSION_MIX	otoko-ippiki-gaki-daishou	男一匹ガキ大将	本宮ひろ志	52	7		9784086170178	男一匹ガキ大将　7	本宮ひろ志傑作選	集英社文庫コミック版	62
RECOLLECT	otou-san-no-christmas	お父さんのクリスマス	ふくやまけいこ	1	1	東京物語(10巻) / まぼろし谷のねんねこ姫(7巻)	9784886534224	お父さんのクリスマス	ファンタジー傑作選		23
RECOLLECT	otto-e	夫へ	金子節子	1	1	のんちゃんの手のひら(10巻) / オッス!美里ちゃん(7巻)	9784253121972	夫へ	金子節子“家族”傑作選	秋田レディースコミックスセレクション　アラ還愛子ときどき母	35
RECOLLECT	oyayubihime-no-bouken	親指姫の冒険	小林じんこ	1	1	風呂上がりの夜空に(8巻)	9784796607599	親指姫の冒険	小林じんこ傑作集		5
RECOLLECT	p-rumiko-kessakushuu	Pの悲劇	高橋留美子	1	1	うる星やつら(71巻) / 犬夜叉(56巻)	9784091847218	Pの悲劇	高橋留美子傑作集	ビッグコミックススペシャル	26
RECOLLECT	pandora-yoshinaga-1995	パンドラ	明智抄	2	2	サンプル・キティ(8巻) / 死神の惑星(6巻)	9784835450230	パンドラ〈完全版〉（前編）	明智抄名作選2		14
RECOLLECT	pandora-yoshinaga-1995	パンドラ	明智抄	2	2	サンプル・キティ(8巻) / 死神の惑星(6巻)	9784835450247	パンドラ〈完全版〉（後編）	明智抄名作選3		14
REVIEW	panic-capsule	パニック母子関係	曽根富美子	1	1		9784821189625	パニック母子関係	曽根富美子傑作選		31
VERSION_MIX	papa-told-me	Papa told me	榛野なな恵	27	1		9784087851069	Papa　told　me（春）	シーズンセレクション	Young　you特別企画文庫	11
REVIEW	papa-told-mii-aki	(索引に無し)			1		9784087851083	Papa　told　me（秋）	シーズンセレクション	Ｙｏｕｎｇ　ｙｏｕ特別企画文庫	0
REVIEW	papa-told-mii-natsu	(索引に無し)			1		9784087851076	Papa　told　me（夏）	シーズンセレクション	Young　you特別企画文庫	0
RECOLLECT	premier	プレミア	遊人	1	1	桜通信(20巻) / PEACH!(16巻)	9784796205351	プレミア（1）	遊人傑作集	スコラ漫画文庫シリーズ	45
RECOLLECT	raburetaa-ni-kiss	ラブレターにKISS	藤田和子	1	1	ライジング!(29巻) / 真コール!(13巻)	9784778011543	ラブレターにKISS	藤田和子セレクション　5	ジュディーコミックスCRIE	35
RECOLLECT	razuueru-hosoki-no-gekiuma-sake-no-sakana-doujou	ラズウェル細木の激ウマ!酒の肴道場	ラズウェル細木	1	1	酒のほそ道(59巻) / 美味い話にゃ肴あり(13巻)	9784832233836	激ウマ！酒の肴道場	ラズウェル細木傑作選	芳文社コミックス	51
RECOLLECT	retsuganki	烈願記	平田弘史	1	1	黒田・三十六計(8巻) / 薩摩義士伝(6巻)	9784883791965	烈願記	平田弘史傑作選昭和四三年		28
VERSION_MIX	roboko-san	ロボ子さん	前谷惟光	4	1		9784775912157	ロボ子さん	前谷惟光傑作集６	マンガショップシリ-ズ	14
RECOLLECT	robot-fuuraibou-gokuraku-meitantei	ロボット風来坊+ごくらく名探偵	前谷惟光	1	1	ロボット三等兵(14巻) / ロボットくん(5巻)	9784775912881	ロボット風来坊＋ごくらく名探偵	前谷惟光傑作集１７	マンガショップシリ-ズ	14
RECOLLECT	robot-golden-boy	ロボットゴールデンボーイ	前谷惟光	1	1	ロボット三等兵(14巻) / ロボットくん(5巻)	9784775912751	ロボットゴ-ルデンボ-イ	前谷惟光傑作集１３	マンガショップシリ-ズ	14
VERSION_MIX	robot-kun	ロボットくん	前谷惟光	5	2		9784775913093	ロボットくん（上）	前谷惟光傑作集２１	マンガショップシリ-ズ	14
VERSION_MIX	robot-kun	ロボットくん	前谷惟光	5	2		9784775913109	ロボットくん（下）	前谷惟光傑作集２１	マンガショップシリ-ズ	14
VERSION_MIX	robot-nichou-kenjuu	ロボット二挺拳銃	前谷惟光	3	1		9784775911921	ロボット二挺拳銃	前谷惟光傑作集１	マンガショップシリ-ズ	14
RECOLLECT	robot-torimonochou-megumi-no-robot	ロボット捕物帖+め組のロボット	前谷惟光	1	1	ロボット三等兵(14巻) / ロボットくん(5巻)	9784775911938	ロボット捕物帖＋め組のロボット	前谷惟光傑作集2	マンガショップシリーズ	14
RECOLLECT	robotto-douwa	ロボット童話	前谷惟光	2	2	ロボット三等兵(14巻)	9784775912102	ロボット童話（上）	前谷惟光傑作集５	マンガショップシリ-ズ	14
RECOLLECT	robotto-douwa	ロボット童話	前谷惟光	2	2	ロボット三等兵(14巻)	9784775912119	ロボット童話（下）	前谷惟光傑作集５	マンガショップシリ-ズ	14
RECOLLECT	rose-cinq	ロゼ・サンク	望月三起也	1	1	ワイルド7(95巻) / 秘密探偵JA(29巻)	9784821187096	ロゼ・サンク	望月三起也短編傑作選	ぶんか社コミック文庫	40
RECOLLECT	rouningyoujou-satsujin-jiken	蝋人形城殺人事件	さとうふみや・天樹征丸	1	1	金田一少年の事件簿(61巻) / 金田一少年の事件簿(61巻)	9784063343373	蝋人形城殺人事件	「金田一少年の事件簿」ベストセレクション	ＫＣデラックス	21
RECOLLECT	ryuuseikachou	流星課長	しりあがり寿	1	1	弥次喜多 in DEEP(8巻)	9784812450284	流星課長	しりあがり寿傑作集1	バンブーコミックス	57
RECOLLECT	sabbath	サバス!	土田世紀	1	1	編集王(26巻) / 競馬狂走伝 ありゃ馬こりゃ馬(17巻)	9784766333633	サバス！	土田世紀単行本未収録傑作集２	Ｇｒｅｅｎ　ａｒｒｏｗ　ｃｏｍｉｃｓ　ｓｐｅｃｉａｌ	23
RECOLLECT	sakura-sakura-1998	さくらサクラ	倉多江美	1	1	静粛に、天才只今勉強中!(11巻) / 一万十秒物語(5巻)	9784575720921	さくらサクラ	倉多江美自選傑作集２	双葉文庫	13
RECOLLECT	sangokushi-shokatsu-koumei-shikoutei	三国志諸葛孔明 始皇帝	石ノ森章太郎	1	1	マンガ日本の歴史(110巻) / サイボーグ009(97巻)	9784418111527	三国志諸葛孔明　始皇帝	石ノ森章太郎傑作選 中国歴史英雄列伝	アリババコミックス	132
RECOLLECT	sasurai	さすらい	青木雄二	1	1	ナニワ金融道(35巻)	9784838709021	さすらい	青木雄二傑作集	Mag　comics	8
RECOLLECT	senkitachi	戦鬼たち	さいとう・たかを・甲良幹二郎・石川フミヤス・武本サブロー	1	1	ゴルゴ13(437巻) / ゴルゴ13(437巻)	9784845838066	戦鬼たち	時代劇ベストセレクション	ＳＰコミックス　ＳＰ　ｗｉｄｅ　ｐｏｃｋｅｔ	131
RECOLLECT	senmu-no-inu	専務の犬	高橋留美子	1	1	うる星やつら(71巻) / 犬夜叉(56巻)	9784091847225	専務の犬	高橋留美子傑作集	ビッグコミックススペシャル	26
RECOLLECT	sensou-kidan	戦争奇談	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779629686	戦争奇談	手塚治虫セレクション	サンエイムック	330
RECOLLECT	sensou-no-kioku	戦争の記憶	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779626043	戦争の記憶	手塚治虫セレクション　戦後70年　手塚治虫と第二次	サンエイムック	330
REVIEW	sherbert-wa-agenai	シャーベットはあげない	陸奥A子	1	1		9784088624549	シャーベットはあげない	陸奥A子名作集	YOUコミックス	31
REVIEW	shibosei-no-niwa	死母性の庭	曽根富美子	1	1		9784821189632	死母性の庭	曽根富美子傑作選		31
VERSION_MIX	shiiku-byoutou	飼育病棟	関よしみ	2	1		9784821187157	飼育病棟	関よしみ傑作集	ホラ-Ｍコミック文庫	20
RECOLLECT	shijo-no-te	死女の手	水木しげる	1	1	水木しげる漫画大全集(103巻) / ゲゲゲの鬼太郎(41巻)	9784257960454	死女の手	水木しげる短編傑作集「不思議編」	Sun　wide　comics	197
REVIEW	shijuukunichi-made	四十九日まで	もりたじゅん	1	1		9784088650999	四十九日まで	もりたじゅん名作集	クイーンズコミックス	33
RECOLLECT	shikaku	刺客	さいとう・たかを・さいとうプロダクション	1	1	ゴルゴ13(437巻) / ゴルゴ13(437巻)	9784845840311	刺客	時代劇ベストセレクション	SPコミックス	110
RECOLLECT	shimoda-sho-kun	志茂田★諸君!!	モリタイシ	1	1	ラジエーションハウス(19巻) / いでじゅう!(13巻)	9784091270818	茂志田・諸君！！	モリタイシ傑作集	少年サンデーコミックス	7
RECOLLECT	shinshou-yumeiro-cooking	新章ゆめ色クッキング	くりた陸	1	1	くじらの親子(15巻) / ゆめ色クッキング(7巻)	9784253159913	新章ゆめ色クッキング	くりた陸傑作集　5	秋田レディースコミックスDX	34
RECOLLECT	shiritsu-nagatachou-gakuen-hosutogumi	私立永田町学園ホスト組	弓月光	1	1	甘い生活(52巻) / みんなあげちゃう(32巻)	9784088778716	私立永田町学園ホスト組	弓月光傑作選2	ヤングジャンプコミックスBJ	18
RECOLLECT	shiryou-no-hana-1996	死霊の花	Jet	1	1	倫敦魔魍街(13巻) / 十兵衛紅変化(12巻)	9784063197280	死霊の花	ホラー傑作集	KCデラックス　ミステリーセレクションシリーズ	28
RECOLLECT	shiryou-no-sakebi	死霊の叫び	古賀新一	1	1	エコエコアザラク(19巻) / エコエコアザラク Ⅱ(6巻)	9784041947029	死霊の叫び	古賀新一恐怖傑作集	角川ホラー文庫	29
RECOLLECT	shiryoukon	死霊婚	わたなべまさこ	1	1	金瓶梅(17巻) / ガラスの城(16巻)	9784821187980	死霊婚	わたなべまさこ傑作集	ホラ-Ｍコミック文庫	96
RECOLLECT	shounen-marketer-gorou	少年マーケッター五郎	しりあがり寿	1	1	弥次喜多 in DEEP(8巻)	9784812450468	少年マーケッター五郎	しりあがり寿傑作集3	バンブーコミックス	57
RECOLLECT	shuukan-shounen-magazine-meisaku-selection-climax-o-mou-ichido	週刊少年マガジン名作セレクションクライマックスをもう一度	水木しげる	1	1	水木しげる漫画大全集(103巻) / ゲゲゲの鬼太郎(41巻)	9784063346367	週刊少年マガジンクライマックスをもう一度	昭和の漫画名作セレクション	ＫＣデラックス	197
RECOLLECT	snow-2006	SNOW	村上もとか	1	1	龍(63巻) / 六三四の剣(45巻)	9784408169774	Snow	村上もとか叙情傑作選	マンサンコミックス	23
RECOLLECT	soregashi-kojiki-ni-arazu	それがし乞食にあらず	平田弘史	1	1	黒田・三十六計(8巻) / 薩摩義士伝(6巻)	9784883791873	それがし乞食にあらず	平田弘史傑作選昭和45年〜46年		28
RECOLLECT	sukitte-ienai	好きって言えない。	華夜・後藤みさき・水瀬藍・千葉コズエ・藤中千聖・徳永さつき・美咲りょう	1	1	青春ヘビーローテーション(20巻) / ハチミツにはつこい(12巻)	9784091338297	好きって言えない。（1）	〜純愛セレクション〜	フラワーコミックス	77
RECOLLECT	sunadokei-ikegami	砂時計	池上遼一	1	1	男組(39巻) / 覇-LORD(22巻)	9784821180523	砂時計	青春ロマン傑作集	ぶんか社コミックス	46
RECOLLECT	sunadokei-wa-chi-no-nioi	砂時計は血の匂い	和田慎二	1	1	スケバン刑事(34巻) / ピグマリオ(27巻)	9784253107822	砂時計は血の匂い	和田慎二傑作選		36
RECOLLECT	susume-arajin	進めアラジン	久松文雄	1	1	史記(22巻) / まんがで読む古事記(7巻)	9784775912065	進めアラジン	久松文雄傑作集２	マンガショップシリ-ズ	23
