tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	garasunoshiro	ガラスの城	canon:extra[1]	2	shinsoban	わたなべまさこ名作集	わたなべまさこ名作集	4	MID	9784834280340	1991-08	ガラスの城(4)	わたなべまさこ	ホーム社（千代田区）	o	o	o	o	o	9784834	3	9784834280333	1991-07	5	9784834280357		ホーム社	2	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	isshokenmei-hajime-hajime-kun	いっしょけんめいハジメくん	canon:extra[3]	4	shinsoban	ビジネスジャンプ・コミックス	ビジネスジャンプ・コミックス	8	MID	9784088630489	1989-09-29	いっしょけんめいハジメくん(8)	コンタロウ	集英社	o	o	o	o	o	9784088	7	9784088630472	1989-01	9	9784088630496	1990-06	集英社	2	版元o+ISBN連番o+日付o	
ACCEPT	orenosora	俺の空	canon:extra[1]	2	shinsoban	スーパー・プレイボーイ・コミックス	スーパー・プレイボーイ・コミックス	2	MID	9784088573526	1989-12-19	俺の空(2)	本宮ひろ志	集英社	o	o	o	o	o	9784088	1	9784088573519	1989-12-19	3	9784088573533	1990-01-19	集英社	2	版元o+ISBN連番o+日付o(既存候補3件も有)	
ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	2	MID	9784063131253	1990-02-17	プラモ狂四郎(2)	やまと虹一/クラフト団	講談社	o	o	o	o	o	9784063	1	9784063131246	1990-01-17	4	9784063131277		講談社	4	版元o+ISBN連番o+日付o(既存候補12件も有)	
ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	3	MID	9784063131260	1990-03-17	プラモ狂四郎(3)	やまと虹一/クラフト団	講談社	o	o	o	o	o	9784063	1	9784063131246	1990-01-17	4	9784063131277		講談社	2	版元o+ISBN連番o+日付o(既存候補10件も有)	
ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	5	MID	9784063131284	1990-05-17	プラモ狂四郎(5)	やまと虹一/クラフト団	講談社	o	o	o	o	o	9784063	4	9784063131277		6	9784063131291	1990-06-16	講談社	3	版元o+ISBN連番o+日付o(既存候補10件も有)	
ACCEPT	sengoku-shishiden	戦国獅子伝	canon:extra[1]	2	shinsoban	アクション・コミックス版(1990-91)	アクション・コミックス	5	MID	9784575816884	1990-12-15	戦国獅子伝(5)	横山光輝/辻真先	双葉社	o	o	x	o	o	9784575	4	9784575816853	1990-12-28	6	9784575816891	1991-01-15	双葉社	2	版元o+ISBN連番o+著者o(既存候補3件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	2	MID	9784845818389	2000-06-20	サバイバル(2)	さいとう・たかを	リイド社	o	o	x	o	o	9784845	1	9784845818372	2000-07-06	5	9784845818419	2000-09-08	リイド社	4	版元o+ISBN連番o+著者o(既存候補12件も有)	
ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	3	MID	9784845813131	1992-06	サバイバル(3)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	2	9784845813124	1992-05-01	5	9784845813155	1992-08	リイド社	6	版元o+ISBN連番o+日付o(既存候補8件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	3	MID	9784845818396	2000-07-11	サバイバル(3)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	1	9784845818372	2000-07-06	5	9784845818419	2000-09-08	リイド社	6	版元o+ISBN連番o+日付o(既存候補8件も有)	
ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	4	MID	9784845813148	1992-07	サバイバル(4)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	2	9784845813124	1992-05-01	5	9784845813155	1992-08	リイド社	6	版元o+ISBN連番o+日付o(既存候補7件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	4	MID	9784845818402	2000-07-25	サバイバル(4)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	1	9784845818372	2000-07-06	5	9784845818419	2000-09-08	リイド社	6	版元o+ISBN連番o+日付o(既存候補7件も有)	
ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	6	MID	9784845813162	1992-09	サバイバル(6)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	5	9784845813155	1992-08	8	9784845813186	1992-11	リイド社	6	版元o+ISBN連番o+日付o(既存候補9件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	6	MID	9784845818426	2000-08-22	サバイバル(6)	さいとう・たかを	リイド社	o	o	x	o	o	9784845	5	9784845818419	2000-09-08	8	9784845818440	2000-10	リイド社	6	版元o+ISBN連番o+著者o(既存候補9件も有)	
ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	7	MID	9784845813179	1992-10	サバイバル(7)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	5	9784845813155	1992-08	8	9784845813186	1992-11	リイド社	6	版元o+ISBN連番o+日付o(既存候補9件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	7	MID	9784845818433	2000-09-12	サバイバル(7)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	5	9784845818419	2000-09-08	8	9784845818440	2000-10	リイド社	6	版元o+ISBN連番o+日付o(既存候補9件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	10	MID	9784845818464	2000-10-24	サバイバル(10)	さいとう・たかを	リイド社	o	o	x	o	o	9784845	9	9784845818457	2000-11	11	9784845818471	2000-12-07	リイド社	4	版元o+ISBN連番o+著者o(既存候補8件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	12	MID	9784845818488	2000-11-21	サバイバル(12)	さいとう・たかを	リイド社	o	o	x	o	o	9784845	11	9784845818471	2000-12-07	14	9784845818501		リイド社	2	版元o+ISBN連番o+著者o(既存候補2件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	13	MID	9784845818495	2000-12-14	サバイバル(13)	さいとう・たかを	リイド社	o	o	o	o	o	9784845	11	9784845818471	2000-12-07	14	9784845818501		リイド社	2	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	16	MID	9784845818525	2001-01-23	サバイバル(16)	さいとう・たかを	リイド社	o	o	x	o	o	9784845	15	9784845818518	2001-02-09	17	9784845818532	2001-03-06	リイド社	4	版元o+ISBN連番o+著者o(既存候補2件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	4	MID	9784063113402	1988-04-16	天才バカボン(4)	赤塚不二夫	講談社	o	o	o	o	o	9784063	3	9784063113396	1988-04-16	5	9784063113488		講談社	2	版元o+ISBN連番o+日付o(既存候補1件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	6	MID	9784063113495	1988-05-17	天才バカボン(6)	赤塚不二夫	講談社	o	o	o	o	o	9784063	5	9784063113488		14	9784063113860	1988-09-17	講談社	1	版元o+ISBN連番o+日付o(既存候補1件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	7	MID	9784063113587	1988-06-17	天才バカボン(7)	赤塚不二夫	講談社	o	o	o	o	o	9784063	5	9784063113488		14	9784063113860	1988-09-17	講談社	2	版元o+ISBN連番o+日付o(既存候補1件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	8	MID	9784063113594	1988-06-17	天才バカボン(8)	赤塚不二夫	講談社	o	o	o	o	o	9784063	5	9784063113488		14	9784063113860	1988-09-17	講談社	1	版元o+ISBN連番o+日付o(既存候補1件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	9	MID	9784063113679	1988-07-16	天才バカボン(9)	赤塚不二夫	講談社	o	o	o	o	o	9784063	5	9784063113488		14	9784063113860	1988-09-17	講談社	1	版元o+ISBN連番o+日付o(既存候補1件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	10	MID	9784063113686	1988-07-16	天才バカボン(10)	赤塚不二夫	講談社	o	o	o	o	o	9784063	5	9784063113488		14	9784063113860	1988-09-17	講談社	1	版元o+ISBN連番o+日付o(既存候補1件も有)	
ACCEPT	tensai-bakabon	天才バカボン	canon:extra[1]	2	shinsoban	講談社コミックス(1988)	講談社コミックス	11	MID	9784063113754	1988-08-17	天才バカボン(11)	赤塚不二夫	講談社	o	o	o	o	o	9784063	5	9784063113488		14	9784063113860	1988-09-17	講談社	2	版元o+ISBN連番o+日付o(既存候補1件も有)	
