title	kana	authors	vols	lacking
あなたは私におとされたい = You want to be Fall in love me.	アナタワワタクシニオトサレタイ	梅涼/宮口ジュン	[13]	巻不連続[13];v1書影無(楽天)
あの乙女ゲーは俺たちに厳しい世界です = THAT OTOME GAMES IS A TOUGH WORLD FOR US.	アノオトメゲーワオレタチニキビシイセカイデス	三嶋与夢/福原蓮士	[2]	巻不連続[2];v1書影無(楽天)
あの娘はおじさんの穴	アノコワオジサンノアナ	おそまつ	[1]	v1書影無(楽天)
アフターゴッド = After God.	アフターゴッド	江野朱美	[8]	巻不連続[8];v1書影無(楽天)
雨夜の月 = the moon on a rainy night.	アマヨノツキ	くずしろ	[8]	巻不連続[8];v1書影無(楽天)
余りモノ異世界人の自由生活 : 勇者じゃないので勝手にやらせてもらいます.	アマリモノイセカイジンノジユウセイカツ:ユウシャジャナイノデカッテニヤラセテモラ	藤森フクロウ/村松麻由	[4]	巻不連続[4];v1書影無(楽天)
あやかしお宿に嫁入りします。 : かくりよの宿飯.	アヤカシオヤドニヨメイリシマス:カクリヨノヤドメシ	衣丘わこ/友麻碧	[11]	巻不連続[11];v1書影無(楽天)
アラフォー独身バリキャリおばさんたちが年下男子との関係にハマる話	アラフォードクシンバリキャリオバサンタチガトシシタダンシトノカンケイニハマルハナ	三船誠二郎	[1]	v1書影無(楽天)
アラフォー冒険者、伝説となる : SSランクの娘に強化されたらSSSランクになりました.	アラフォーボウケンシャデンセツトナル:エスエスランクノムスメニキョウカサレタラエ	タッ公/延野正行	[8]	巻不連続[8];v1書影無(楽天)
アルケミスト : 夢を旅した少年	アルケミスト:ユメオタビシタショウネン	中村環/パウロ・コエーリョ	[1]	題不一致(NDL/楽天):アルケミスト 夢を旅した少年
ある日、惰眠を貪っていたら一族から追放されて森に捨てられました : そのまま寝てたら周りが勝手に魔物の国を作ってたけど、私は気にせず今日も眠ります.	アルヒダミンオムサボッテイタライチゾクカラツイホウサレテモリニステラレマシタ:ソ	伊草さゆ/白波ハクア	[4]	巻不連続[4];v1書影無(楽天)
アンサー = Answer.	アンサー	Maria	[9]	巻不連続[9];v1書影無(楽天)
アンサングシンデレラ : 病院薬剤師葵みどり.	アンサングシンデレラ:ビョウインヤクザイシアオイミドリ	荒井ママレ/富野浩充 医療原案	[13]	巻不連続[13];v1書影無(楽天)
アンダーク = Undark : 新しい透明な力のすべて.	アンダーク	アキリ	[1]	題不一致(NDL/楽天):アンダーク 新しい透明な力の
アンビバレント = AMBIVALENT : 童貞を捨てたら死ぬ世界.	アンビバレント	オクショウ/増渕ウナム	[2]	巻不連続[2];v1書影無(楽天)
いいから黙ってキスをして = Kiss me,without a word.	イイカラダマッテキスオシテ	わたなべ志穂	[3]	巻不連続[3];v1書影無(楽天)
家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら.	イエカラニゲダシタイワタクシガ、ウッカリアコガレノダイマホウツカイサマオカッテシ	琴子, TCB/鷹来タラ	[6]	巻不連続[6];v1書影無(楽天)
異形頭さんとニンゲンちゃん = VARIANT HEAD AND WOMAN.	イギョウトウサントニンゲンチャン	三毛たま	[2]	巻不連続[2];v1書影無(楽天)
育オジ×ベイビー.	イクオジベイビー	ねてる	[2]	巻不連続[2];v1書影無(楽天)
イサック = ISSAK.	イサック	真刈信二/DOUBLE-S	[18]	巻不連続[18];v1書影無(楽天)
異世界行ったら私の職業『野生児』だった.	イセカイイッタラワタシノショクギョウヤセイジダッタ	mucco/堂本葉知子	[3]	巻不連続[3];v1書影無(楽天)
異世界から来た魔族、拾いました。 : うっかりもらった莫大な魔力で、ダンジョンのある暮らしを満喫します。.	イセカイカラキタマゾクヒロイマシタ:ウッカリモラッタバクダイナマリョクデダンジョ	Saida/ミヤイチ	[1]	題不一致(NDL/楽天):異世界から来た魔族、拾いまし
異世界から聖女が来るようなので、邪魔者は消えようと思います.	イセカイカラセイジョガクルヨウナノデジャマモノワキエヨウトオモイマス	ばち/蓮水涼	[9]	巻不連続[9];v1書影無(楽天)
