tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	src	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	munou-no-akudou-ouji-wa-ikinokoritai	無能の悪童王子は生き残りたい	seed4	0	standard	通常版	モンスターコミックス	1	LEAD	9784575420906	2025-02	ndl	無能の悪童王子は生き残りたい = The Survival of an Incompetent Villainous Prince. : 恋愛RPGの悪役モブに転生したけど、原作無視して最強を目指す. 1	水面, ミレ/サンボン	双葉社	o	o	o	x	o	9784575				2	9784575421781	2025-06-21	双葉社	1	版元o+ISBN連番o+日付o	
ACCEPT	mushoku-kakutou-niito-konbatto	無職格闘-ニート・コンバット-	seed4	0	standard	通常版	ヤンマガKC	1	LEAD	9784065388976	2025-04	ndl	無職格闘-ニート・コンバット- = NEET COMBAT. 1	若生, 真也	講談社	o	o	o	o	o	9784065				2	9784065401798	2025-07-21	講談社	1	版元o+ISBN連番o+日付o	
ACCEPT	nekokko-club	猫っこ倶楽部	seed4	0	standard	通常版	スコラLC	1	LEAD	9784796287388	1996-08-07	rakuten-live	猫っこ倶楽部(1)	アンソロジー	スコラ	o	o	o	x	o	9784796				2	9784796287562	1996-11-16	スコラ	2	版元o+ISBN連番o+日付o	
ACCEPT	nuclear	Nuclear	seed4	0	standard	通常版	Nichibun comics	1	LEAD	9784537148732	2024-09	ndl	Nuclear = ニュークリア. 1	木村, 航, 漫画家	日本文芸社	o	o	o	o	o	9784537				2	9784537149265	2024-12-04	日本文芸社	1	版元o+ISBN連番o+日付o	
ACCEPT	rasubosu-tachi-no-kakushi-go	ラスボスたちの隠し仔	seed4	0	standard	通常版	電撃コミックスNEXT	1	LEAD	9784049160307	2024-09	ndl	ラスボスたちの隠し仔 = The Hidden Cubs of the LASTBOSS : 魔王城に転生した元社畜プログラマーは自由気ままに『魔導言語』を開発する. 1	森, 清士郎/熊乃, げん骨	KADOKAWA	o	o	o	o	o	9784049				2	9784049164398	2025-04-25	KADOKAWA	1	版元o+ISBN連番o+日付o	
ACCEPT	seishun-porunogurafutei	青春ぽるのぐらふてい	seed4	0	standard	通常版	富士見コミックス	1	LEAD	9784829181010	1984-09	rakuten-live	青春ぽるのぐらふてい(1)	しのざき芳乃/いなばあいこ	富士見書房	o	o	o	o	o	9784829				3	9784829181034	1985-10-15	富士見書房	1	版元o+ISBN連番o+日付o	
ACCEPT	seishun-porunogurafutei	青春ぽるのぐらふてい	seed4	0	standard	通常版	富士見コミックス	2	LEAD	9784829181027	1984-09	rakuten-live	青春ぽるのぐらふてい(2)	しのざき芳乃/いなばあいこ	富士見書房	o	o	o	o	o	9784829				3	9784829181034	1985-10-15	富士見書房	1	版元o+ISBN連番o+日付o	
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		1	LEAD	9784880238685	2004-11	rakuten-live	世界の名作オペラ(1)	つづき佳子	ティーケイシー出版	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023868.jpg
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		2	LEAD	9784880238692	2004-11	rakuten-live	世界の名作オペラ(2)	つづき佳子	ティーケイシー出版	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023869.jpg
ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		3	LEAD	9784880238708	2004-12	rakuten-live	世界の名作オペラ(3)	つづき佳子	ティーケイシー出版	o	o	o	x	o	9784880				8	9784880238753	2005-02	ティーケイシー出版	1	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8802/88023870.jpg
