class	severity	slug	title	ed_idx	ed_label	ed_imprint	ed_publisher	n_vols	numbers	date	verdict	detail	extra
PRE_ISBN_ERA	情報	mariekan-37goushitsu	マリエ館37号室	0	通常版	講談社コミックスフレンドB	講談社	1	1	1978-08-15		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061064508
PRE_ISBN_ERA	情報	marionette-1975	マリオネット	0	通常版	講談社コミックス	講談社	1	1	1975-03-05		ISBN有なのに1975年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061096592
PRE_ISBN_ERA	情報	mars-yokoyama-1976	マーズ	0	通常版	SHONEN CHAMPION COMICS	秋田書店	1	1	1976-05-10		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033930
PRE_ISBN_ERA	情報	mars-yokoyama-1976	マーズ	0	通常版	SHONEN CHAMPION COMICS	秋田書店	1	2	1976-12		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033947
PRE_ISBN_ERA	情報	mars-yokoyama-1976	マーズ	0	通常版	SHONEN CHAMPION COMICS	秋田書店	1	3	1977-02		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033954
PRE_ISBN_ERA	情報	mars-yokoyama-1976	マーズ	0	通常版	SHONEN CHAMPION COMICS	秋田書店	1	4	1977-03		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033961
PRE_ISBN_ERA	情報	mars-yokoyama-1976	マーズ	0	通常版	SHONEN CHAMPION COMICS	秋田書店	1	5	1977-04		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033978
PRE_ISBN_ERA	情報	mazin-garon	魔神ガロン	0	通常版	SUNDAY COMICS	講談社	1	1	1968-03-01		ISBN有なのに1968年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253061971
PRE_ISBN_ERA	情報	metamorphose	メタモルフォーゼ	0	通常版	手塚治虫漫画全集	講談社	1	1	1977-09-20		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061086883
PRE_ISBN_ERA	情報	metropolis	メトロポリス	2	手塚治虫漫画全集(1979)	手塚治虫漫画全集	講談社	1	1	1979-01-20		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061086449
PRE_ISBN_ERA	情報	mezameyo-namidakko	めざめよ涙っ子	0	通常版	講談社コミックスフレンド	講談社	1	1	1980-05-15		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061738492
PRE_ISBN_ERA	情報	microid-s	ミクロイドS	0	通常版	少年チャンピオン・コミックス	秋田書店	1	1	1973-07		ISBN有なのに1973年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253031240
PRE_ISBN_ERA	情報	microid-s	ミクロイドS	0	通常版	少年チャンピオン・コミックス	秋田書店	1	2	1973-10-30		ISBN有なのに1973年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253031257
PRE_ISBN_ERA	情報	microid-s	ミクロイドS	0	通常版	少年チャンピオン・コミックス	秋田書店	1	3	1974-02		ISBN有なのに1974年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253031264
PRE_ISBN_ERA	情報	midoriiro-no-sunadokei	緑色の砂時計	0	通常版	講談社コミックスミミ	講談社	1	1	1975-12-15		ISBN有なのに1975年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061089037
PRE_ISBN_ERA	情報	miki-ando-yuutei	みき＆ユーティ	0	通常版	花とゆめCOMICS	白泉社	1	1	1979-04-20		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784592110446
PRE_ISBN_ERA	情報	miki-ando-yuutei	みき＆ユーティ	0	通常版	花とゆめCOMICS	白泉社	1	2	1979-10-20		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784592110453
PRE_ISBN_ERA	情報	mikio-to-mikio	みきおとミキオ	0	通常版	てんとう虫コミックス		1	1	1978-02-28		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091402110
PRE_ISBN_ERA	情報	mimoza-kan-de-tsukamaete	ミモザ館でつかまえて	0	通常版	サン・コミックス	朝日ソノラマ	1	1	1975-01-25		ISBN有なのに1975年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784257913092
PRE_ISBN_ERA	情報	miraijin-chaos	未来人カオス	0	通常版	手塚治虫漫画全集	講談社	1	1	1978-08-30		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087316
PRE_ISBN_ERA	情報	miraijin-chaos	未来人カオス	0	通常版	手塚治虫漫画全集	講談社	1	2	1979-03-30		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087323
PRE_ISBN_ERA	情報	miraijin-chaos	未来人カオス	0	通常版	手塚治虫漫画全集	講談社	1	3	1979-08-20		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087330
