ataerareta-skill-o-tsukatte-kaseide-isekai-bijo-tachi-to-ichaicha-shitai	manga.v2	isekai	isekai<tag+text:異世界
ato-365-nichi-no-bansan	manga.v2	gourmet	gourmet<tag+text:料理/グルメ/美食
b-no-shokutaku	manga.v2	gourmet	gourmet<tag+text:食卓
bakegyamon	manga.v2	isekai	isekai<tag+text:異世界
bakudanma-na-youhei-douji-shoukan-sareta-saikyou-cheat-domo-o-katappashi-kara-keshitobasu	manga.v2	isekai	isekai<tag+text:異世界/召喚
bakutsuri-hantaazu	manga.v2	gourmet	gourmet<tag+text:料理/シェフ
bambino-secondo	manga.v2	gourmet	gourmet<tag+text:料理/シェフ
band-of-children	manga.v2	isekai	isekai<tag+text:異世界/召喚
banrai-no-hekatoncheir	manga.v2	isekai	isekai<tag+text:異世界
banzoku-tensei-makeikusa-kara-hajimaru-isekai-seifuku	manga.v2	isekai	isekai<tag+text:転生
batsu-x-ichi	manga.v2	gourmet	gourmet<tag+text:コーヒー/喫茶;romcom<text:ラブコメ
battle-healer-wa-shugyouchuu	manga.v2	isekai	isekai<tag+text:異世界
bazukoi-recipe-seikatsu	manga.v2	gourmet	gourmet<tag+text:レシピ/ケーキ;romcom<text:ラブコメ
bazure-alice	manga.v2	isekai	isekai<tag+text:異世界
bikei-shisho-san-wa-zetsurin-nikutaiha-nurunuru-nanowa-mukimuki-no-sei-de-dekiai-saremashita	manga.v2	isekai	isekai<tag+text:前世;romcom<text:ラブコメ
bimi-no-ikoku-meshi	manga.v2	gourmet	gourmet<tag+text:料理/グルメ/飯
bocchi-jieikan-no-isekai-funsenki	manga.v2	isekai	isekai<tag+text:異世界/転生
boku-no-heya-ga-dungeon-no-kyuukeijo-ni-natte-shimatta-ken	manga.v2	isekai	isekai<tag+text:異世界
boku-no-kawaii-konyakusha-no-tame-naraba	manga.v2	isekai	isekai<tag+text:乙女ゲー
boku-to-kanojo-no-meguru-isekai	manga.v2	isekai	isekai<tag+text:異世界/転生/前世
botsuraku-kizoku-no-ore-ga-hazure-skill-chou-kiyou-binbou-de-dai-kenja-to-yobareru-made	manga.v2	isekai	isekai<tag+text:異世界/転生/前世
botsuraku-yotei-nanode-kaji-shokunin-o-mezasu	manga.v2	isekai	isekai<tag+text:転生/前世
buiaaru-erogee-yattetara-isekai-ni-tensei-shita-node-bishoujo-maou-o-doreika-suru	manga.v2	isekai	isekai<tag+text:異世界/転生/ゲームの世界
bungou-natsume-wa-ryourinin-ga-kirai	manga.v2	gourmet	gourmet<tag+text:料理/グルメ/ラーメン
busamen-gachi-fighter	manga.v2	isekai	isekai<tag+text:異世界
buta-koushaku-ni-tensei-shitakara-kondo-wa-kimi-ni-suki-to-iitai	manga.v2	isekai	isekai<tag+text:転生/前世;romcom<text:ラブコメ
buta-no-liver-wa-kanetsu-shiro	manga.v2	isekai	isekai<tag+text:異世界/転生
butsuri-san-de-musou-shitetara-motemote-ni-narimashita	manga.v2	isekai	isekai<tag+text:異世界
