slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
dash-yonkurou	standard	通常版	14	1	1	11
deimosu-no-hanayome	standard	通常版	17	1	1	1
dekochin	standard	通常版	2	1	1	2
doctor-chichibuyama	standard	通常版	3	1	1	2
doll-1992	standard	通常版	5	1	1	5
doronko-ace	standard	通常版	3	1	1	2
dreamer	standard	通常版	5	1	1	1
emuemu-santa	standard	通常版	3	1	1	2
eroika-yori-ai-o-komete	shinsoban	PRINCESS COMICS	21	1	1	7
etchi-de-happy-pin-pin-pin	standard	通常版	2	1	1	1
fire	shinsoban	standard版	3	1	1	0
fugurumakan-raihouki	standard	通常版	2	1	1	2
funwari-hunter	standard	通常版	2	1	1	2
futago-no-kishi	standard	通常版	2	1	1	2
fuubaku-no-shiyou	standard	通常版	7	1	1	1
fuudooru	standard	通常版	2	1	1	2
fuuunjitachi-bakumatsu-hen	standard	通常版	29	1	1	5
ganbare-goemon	deluxe	デラックス版	3	1	1	1
gekitotsu	standard	通常版	2	1	1	2
genjin-bibi	standard	通常版	3	1	1	2
getter-robo-g	standard	通常版	3	1	1	3
getter-robo-gou	standard	通常版	7	1	1	7
gin-no-toushiyuuzu	standard	通常版	6	1	1	6
ginrou-ni-kodoku-o-mita	standard	通常版	3	1	1	1
gokudoukishu	standard	通常版	2	1	1	2
gokuraku-shinshi	standard	通常版	2	1	1	2
gyanbarugyangu	standard	通常版	4	1	1	3
hadashi-no-gen	standard	通常版	10	1	1	8
hagure-houchounin-mushuku-abare-ita-gousuke	standard	通常版	2	1	1	2
hakka-shoujo	standard	通常版	5	1	1	5
hakuchuumu	standard	通常版	2	1	1	2
hana-no-bijohime	standard	通常版	3	1	1	1
hana-no-sakitarou	shinsoban	KCスペシャル	4	1	1	4
happouyabure	standard	通常版	6	1	1	6
harajuku-fasshon-monogatari	standard	通常版	6	1	1	1
hard-boiled	standard	通常版	6	1	1	1
haru-ga-kita	other	劇画キングシリーズ版	2	1	1	1
hashi-no-shita-no-gyaruson	standard	通常版	2	1	1	1
hey-cathy	standard	通常版	2	1	1	1
hi-to-koori	standard	通常版	5	1	1	1
hiatari-ryoukou	standard	通常版	5	1	1	4
himitsu-de-naito	standard	通常版	2	1	1	1
hitori-toranpu	standard	通常版	5	1	1	2
hiyaku-monogatari-bai-yooko	standard	通常版	2	1	1	2
hiyaku-monogatari	standard	通常版	2	1	1	2
hommage	standard	通常版	2	1	1	1
hone-no-saki	standard	通常版	2	1	1	2
honoo-mau	standard	通常版	14	1	1	6
horobi-no-fue	bunkobon	文庫版	4	1	1	2
horror-occult-kyousaku-daizenshuu	standard	通常版	3	1	1	6
hyouman	standard	通常版	2	1	1	1
ichigeki-den	standard	通常版	12	1	1	6
igano-kabamaru	standard	通常版	12	1	1	4
ikenai-inbiteeshon	standard	通常版	11	1	1	1
ikichi-o-suu-youjo	standard	通常版	2	1	1	1
ikiru	standard	通常版	2	1	1	0
ishi-no-hana	standard	通常版	6	1	1	6
ishinomori-shoutarou-super-girls-comic-deluxe	standard	通常版	2	1	1	1
isshokenmei-hajime-hajime-kun	shinsoban	ヤングジャンプ・コミックス	8	1	1	12
itadakiyasubee	standard	通常版	3	1	1	3
itoshi-no-kamira	standard	通常版	2	1	1	1
itsumo-houkago	standard	通常版	7	1	1	2
itsumo-kokoro-ni-taiyou-o-yamada	standard	通常版	3	1	1	1
jankihokutosei	standard	通常版	2	1	1	1
janus-no-kagami	standard	通常版	2	1	1	2
