slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
sarutobi-sasuke-1995	standard	通常版	2	1	1	2
school-zone	standard	通常版	3	1	1	1
sei-naru-shinnyuu	standard	通常版	2	1	1	2
seishuku-ni-tensai-tadaima-benkyouchuu	standard	通常版	11	1	1	11
seishun-tenkabutsu	standard	通常版	2	1	1	2
seishunbinta	standard	通常版	3	1	1	1
sen-no-rikyuu	standard	通常版	3	1	1	3
serafikku-feather-irasutoreeshonzu	standard	通常版	2	1	1	2
shakugan-no-shana-x-eternal-song-harukanaru-uta	standard	通常版	4	1	1	3
shigatsukaidan	standard	通常版	2	1	1	2
shimokitazawa-4-beat-soldier	standard	通常版	2	1	1	1
shin-tsurikichi-itchokusen	standard	通常版	5	1	1	5
shinigami-hakase	standard	通常版	2	1	1	2
shinshin-agatte-nanbo-taichi-yo-nakuna	standard	通常版	5	1	1	4
shishi-no-gotoku	standard	通常版	5	1	1	1
shounen-captain-serekuto	standard	通常版	3	1	1	2
shounen-keniya	bunkobon	文庫版(角川文庫)	10	1	1	4
shounen-tanteidan	standard	通常版	4	1	1	4
show-to-daichi	standard	通常版	3	1	1	1
sora-ni-aru-mori	standard	通常版	2	1	1	1
sora-no-kairou	standard	通常版	2	1	1	2
sore-ike-iwashimizu	standard	通常版	2	1	1	1
soubou-no-daichi-horobu	bunkobon	文庫版	4	1	1	2
souruzu-nyuuyooku-yamatogumi	standard	通常版	2	1	1	1
stop-hibari-kun	standard	通常版	4	1	1	1
strange-academy	standard	通常版	4	1	1	4
sugata-sanshirou	standard	通常版	5	1	1	0
suit-bankou	standard	通常版	2	1	1	2
super-sub	standard	通常版	3	1	1	1
survival	shinsoban	SPコミックス(1995)	4	1	1	0
susanoou-densetsu	standard	通常版	7	1	1	6
suttobi-no-kei	standard	通常版	6	1	1	5
suzume-no-chun-chan	standard	通常版	3	1	1	1
tanpopo-san-no-uta	standard	通常版	5	1	1	2
taraobannai	shinsoban	講談社コミックス(1978)	3	1	1	1
tatamidori-kasajirou	standard	通常版	3	1	1	2
tea-time	standard	通常版	2	1	1	2
tenmatenpei	standard	通常版	5	1	1	5
the-live	standard	通常版	4	1	1	1
thomas-no-shinzou	bunkobon	文庫版	2	1	1	1
to-heart-4-koma-manga-gekijou	standard	通常版	2	1	1	2
togi-hime-zoushi-no-ni-kobyoubu	standard	通常版	2	1	1	2
tokimeite-pako	standard	通常版	5	1	1	1
tokyo-mafia	standard	通常版	6	1	1	6
toshishita-no-anchikushou	standard	通常版	2	1	1	2
touring-express-euro	standard	通常版	10	1	1	1
tsugaru-seishun-sanga	standard	通常版	5	1	1	1
umi-no-concerto	standard	通常版	3	1	1	3
upper-road	standard	通常版	3	1	1	3
vampire	shinsoban	サンデー・コミックス(1968)	2	1	1	1
venus-senki	standard	通常版	4	1	1	1
w3	shinsoban	SUNDAY COMICS	2	1	1	2
