tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
2	shiroki-ouji-no-koimonogatari	shiroki-ouji-no-koimonogatari	白き王子の恋物語	シロキオウジノコイモノガタリ	ジョウオウ オ アイシタ アンサツシャ	ジョオウ オ アイシタ アンサツシャ	KANA_DIFF_RAKUTEN;KANA_DIFF_MADB
2	shirosunamura-chi-tan	shirosunamura-chi-tan	白砂村血譚	シロスナムラチタン	イトウ ジュンジ キョウフ ハクブツカン	シロスナムラ チタン	KANA_DIFF_RAKUTEN
2	shisha-ni-bara-no-hanataba-o	shisha-ni-bara-no-hanataba-o	死者に薔薇の花束を	シシャニバラノハナタバオ	ロドン ノ ヒゲキ		KANA_DIFF_RAKUTEN
2	shishoukan-no-kai	shishoukan-no-kai	私娼館の怪	シショウカンノカイ	マユリ ノ ショック レポート コレクション	シショウカン ノ カイ	KANA_DIFF_RAKUTEN
2	shishunki-kokoro-2011	shishunki-kokoro-2011	思春期	シシュンキ	シシュンキ ソレ ワ アマク イタイ コト	シシュンキ	SLUG_TOKEN_MISMATCH:kokoro
2	shisukore	shisukore	しすこれ	シスコレ		シスコレ	NOHYPHEN_UNVERIFIED
2	shitsurakuen-kawashima-1988	shitsurakuen-kawashima-1988	失楽園	シツラクエン	シツラクエン	シツラクエン	SLUG_TOKEN_MISMATCH:kawashima
2	shocking-momoko	shocking-momoko	ショッキングMOMOKO	ショッキングモモコ	コタニケンイチタンペンシユウ	ショッキング モモコ	KANA_DIFF_RAKUTEN
2	shocking-pink-33-13	shocking-pink-33-13	しょっきんぐぴんく33 1/3	ショッキングピンク331/3	シヨツキングピンクサンジユ		SLUG_TOKEN_MISMATCH:shocking
2	shocking-pink-sky	shocking-pink-sky	ショッキングpink-sky	ショッキングpink-sky	シヨッキング ピンク スカイ		KANA_DIFF_RAKUTEN
2	shoe-maker	shoe-maker	Shoe maker	Shoemaker	シュー メイカー		KANA_DIFF_RAKUTEN
2	shojo-kaihatsu-doukyo-seikatsu	shojo-kaihatsu-doukyo-seikatsu	処女開発同居生活	ショジョカイハツドウキョセイカツ		Daito comics TLシリーズ	KANA_DIFF_MADB
2	shoki-no-urasawa	shoki-no-urasawa	初期のUrasawa	ショキノUrasawa	ショキノウラサワ	ショキ ノ Urasawa	KANA_DIFF_RAKUTEN
