tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	34	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	35	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	36	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	37	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	38	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	39	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	40	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	41	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	42	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	43	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	44	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	45	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	46	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	47	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	48	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	49	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
NOHIT	itadakimasu-uekan-2015	いただきます	seed4	0	standard	通常版	A.L.C. DX	50	MID										o	9784253	2	9784253159432	2016-06-16	51	9784253159906	2018-06	秋田書店	0	NDLにも該当巻なし	
