slug	頁題	頁最大巻	巻	isbn	発売日	楽天題	楽天副題	楽天著者	出版社	レーベル	見送り理由
tengen-toppa-gurenragan	天元突破グレンラガン	5	8	9784048862844	2012-01-27	天元突破グレンラガン（8）		森　小太郎/GAINAX/中島　かずき	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
tengen-toppa-gurenragan	天元突破グレンラガン	5	9	9784048910248	2012-09-27	天元突破グレンラガン（9）		森　小太郎/GAINAX/中島　かずき	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
tengen-toppa-gurenragan	天元突破グレンラガン	5	10	9784048917711	2013-06-27	天元突破グレンラガン（10）		森小太郎/GAINAX	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
tensei-kizoku-no-isekai-boukenroku-sasaki	転生貴族の異世界冒険録	10	11	9784824207531	2026-09-15	転生貴族の異世界冒険録（11）	カインのやりすぎギルド日記	夜州/香本セトラ/藻	一二三書房	ポルカコミックス　11	G2:レーベル不一致(ポルカコミックス　11≠コミックポルカ)
tenshi-no-koi	天使の恋	2	3	9784777191123	2009-10	天使の恋　3		阿部　摘花/ｓｉｎ	ゴマブックス	おりおん☆ＣＯＭＩＣＳ	G2:レーベル不一致(おりおん☆ＣＯＭＩＣＳ≠Goma comics)
tezuka-osamu-no-kowai-hon	手塚治虫のこわい本	1	2	9784040675862	2015-08-08	手塚治虫のこわい本　2		手塚　治虫	KADOKAWA		G3:日付逆行(2015-08-08<2016-11)
tezuka-osamu-no-kowai-hon	手塚治虫のこわい本	1	3	9784040675886	2015-08-22	手塚治虫のこわい本　3		手塚　治虫	KADOKAWA		G3:日付逆行(2015-08-22<2016-11)
tezuka-osamu-no-kowai-hon	手塚治虫のこわい本	1	4	9784040678177	2015-09-12	手塚治虫のこわい本　4		手塚　治虫	KADOKAWA		G3:日付逆行(2015-09-12<2016-11)
the-band	THE BAND	0	1	9784065389461	2025-04-16	THE　BAND（1）		ハロルド作石	講談社	KCデラックス	G1:standard版なし
toheart2-anotherdays	ToHeart2 AnotherDays	1	2	9784048705271	2011-04-27	ToHeart2　AnotherDays（2）		双/Leaf	KADOKAWA	電撃コミックス	G2:レーベル不一致(電撃コミックス≠DENGEKI COMICS)
tokitoki-channel	ときときチャンネル	1	2	9784049524208	2026-09-10	ときときチャンネル 2 〜近所の異世界散歩してみた〜		とこみち/宮澤　伊織/めばち	KADOKAWA	電撃コミックスNEXT	G5:series_key bind不可
tokkou-artemis	特攻!アルテミス	19	20	9784785920203	2000-08-26	特攻アルテミス（20）		森左智	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS)
tokusen-kobo-chan	特選コボちゃん	24	2	9784832263574	2004-09-28	特選コボちゃん（2（よりぬき仲よし家族編））		植田まさし	芳文社	まんがタイムｍｙ　ｐａｌ　ｃｏｍｉｃｓ	G3:穴の日付不整合(2004-09-28 vs 2006-12..2005-02)
tokusen-kobo-chan	特選コボちゃん	24	3	9784832263673	2004-11-29	特選コボちゃん（3（よりぬきニコニコわんぱく編）		植田まさし	芳文社	まんがタイムｍｙ　ｐａｌ　ｃｏｍｉｃｓ	G3:穴の日付不整合(2004-11-29 vs 2006-12..2005-02)
tomodachi-game	トモダチゲーム	25	26	9784065370186	2024-10-08	トモダチゲーム（26）		佐藤 友生/山口 ミコト	講談社	講談社コミックス	G2:レーベル不一致(講談社コミックス≠SHONEN MAGAZINE COMICS)
tomodachizukuri-eto	ともだちづくり	2	3	9784065418918	2026-08-07	ともだちづくり（3）		江渡 ピリカ	講談社	KCデラックス	G2:レーベル不一致(KCデラックス≠KCDX. 週刊少年マガジン)
tonari-no-nobukuni-san-wa-ore-no-koto-ga-sukina-ki-ga-suru	となりの信國さんは俺のことが好きな気がする	6	7	9784592166474	2024-10-29	となりの信國さんは俺のことが好きな気がする 7		安田 剛助	白泉社	ヤングアニマルコミックス	G2:レーベル不一致(ヤングアニマルコミックス≠YOUNG ANIMAL COMICS)
tonari-no-otoko-wa-yoku-taberu	隣の男はよく食べる	6	7	9784420154833	2025-02-25	隣の男はよく食べる 7		美波 はるこ	集英社クリエイティブ	オフィスユーコミックス	G2:レーベル不一致(オフィスユーコミックス≠office YOU COMICS)
totteoki-maxion	とっておきMaxion	1	2	9784056017717	1997-11-07	とっておきMAXION（2）		武林武士	Gakken	NORAコミックス	G2:レーベル不一致(NORAコミックス≠ノーラコミックス)
