vols	base	brand	pub	first_date	last_date	isbns
5	秘密の扉	ダイヤモンドコミックス	松文館	2006-05	2007-04	9784790119159,9784790118824,9784790118299,9784790117704,9784790117094
5	星矢同人誌傑作アンソロジー	Poe backs	ふゅーじょんぷろだくと	1989-06	1990-06-25	9784893930408,9784893930514,9784893930811,9784893930651,9784893930736
5	裏激男	爆男comics	古川書房	2007-08	2008-10	9784892364174,9784892364068,9784892363993,9784892363955,9784892363894
5	乙女的恋革命・ラブレボ!!アンソロジーコミック	ビーズログコミックス	エンターブレイン	2006-04	2006-12	9784757731011,9784757729438,9784757727960,9784757726802,9784757727908
5	SHOTGUN BOYS	エーピーセレクション	ハイランド	2003-04	2004-01	9784894862593,9784894863026,9784894862845,9784894863125,9784894862746
5	マフィアンパラダイス	北辰コミックス同人アンソロジー	風林館	2006-10	2007-06	9784861235375,9784861235313,9784861235269,9784861235252,9784861235245
5	フルハウスキス・オフィシャルアンソロジーコミック	カプコンオフィシャルブックス	カプコン	2005-01	2006-01	9784906582839,9784906582723,9784906582570,9784862330215,9784906582389
5	スターオーシャン Till the End of Time	スーパーコミック劇場	スクウェア・エニックス	2003-06	2004-04	9784757511453,9784757510814,9784757510449,9784757509764,9784757509573
5	こみっくパーティー	ラポートコミックス	ラポート	2002-01	2002-08	9784897994406,9784897994376,9784897994338,9784897994314,9784897994499
5	Party×party		ジャイブ	2004-12	2005-07	9784861761911,9784861761904,9784861761416,9784861760792,9784861760716
5	Hanaotoスパイス		芳文社	2000-03	2001-03	9784832281547,9784832281448,9784832281332,9784832281226,9784832281134
5	HUNTER'S Cafe	Oak comix	オークラ出版	1999-03	2000-06	9784872786125,9784872785111,9784872784848,9784872784435,9784872784053
5	アンリミテッドファンタズム	Fox comics	文苑堂	2004-04	2005-02	9784925148672,9784925148610,9784925148580,9784925148566,9784925148559
5	CRESCENT	マイコミックスパートナー	東京三世社	1988-06	1993-09	9784885703614,9784885702594,9784885702501,9784885702327,9784885702259
5	シュラトグラフィティー	FRESH-PACKS	青磁ビブロス	1989-12	1990-07	9784882710455,9784882710325,9784882710295,9784882710240,9784882710196
5	花音spice		芳文社	1998-10	1999-12	9784832281066,9784832280984,9784832280908,9784832280823,9784832280724
5	メイドイン星矢	FRESH PACKS	青磁ビブロス	1988-04-20	1989-03-13	9784882710035,9784882710103,9784882710097,9784882710059,9784882710011
5	標的獄寺	北辰コミックス同人アンソロジー	北辰堂出版	2007-04	2009-04	9784904086452,9784904086285,9784904086117,9784861235429,9784861235344
5	マジキュー4コマ 夜明け前より瑠璃色な	マジキューコミックス	角川グループパブリッシング	2009-09	2010-06	9784047265530,9784047264052,9784047262829,9784047261235,9784757750036
5	マジキュー4コマ 劇場版空の境界	マジキューコミックス	エンターブレイン	2008-10	2009-06	9784757749047,9784757747777,9784757746732,9784757745339,9784757744264
5	マジキュー4コマ Fate/hollow ataraxia	マジキューコミックス	エンターブレイン	2008-01	2009-01	9784757745957,9784757743793,9784757742758,9784757740204,9784757739956
4	漫画パチンカースペシャル	GW mook	ガイドワークス	2019-08	2026-03-04	9784867105948,9784865359305,9784867103289,9784867104019
4	新機動戦記ガンダムW	Movic film comic collection	ムービック	1995-12	1996-01	9784896011982,9784896011975,9784896011838,9784896011821
4	B-boy zips		ビブロス	1997-05	1999-01	9784882717560,9784882716624,9784882717980,9784882719328
4	松びより	PARODIA COMICS	鹿砦社	2017-11	2018-01	9784846390112,9784846390082,9784846390099,9784846390105
4	おいしいごはんなつかし亭	主婦の友ヒットシリーズ	主婦の友社	2018-02	2018-12	9784074301379,9784073401155,9784074307753,9784074303670
4	スライムにエッチなイタズラされちゃうアンソロジーコミック	IDコミックス	講談社	2018-04	2018-12	9784758067249,9784758067690,9784758067799,9784758067621
4	文豪とアルケミストコミックアンソロジー	DNAメディアコミックス	講談社	2017-06	2018-11	9784758020152,9784758009706,9784758009850,9784758009485
4	女のブラック履歴書	バンブームック	竹書房	2018-12	2021-12	9784801917309,9784801921016,9784801925137,9784801929548
4	刀剣乱舞-online-コミックアンソロジー	DNAメディアコミックス	一迅社	2018-08	2020-01	9784758009942,9784758020381,9784758020671,9784758021524
4	麺	Comic	少年画報社	2013-05	2021-03	9784785963767,9784785968717,9784785950361,9784785960278
4	ドールズフロントラインコミックアンソロジー	DNAメディアコミックス	講談社	2019-02	2020-02	9784758020244,9784758020435,9784758020466,9784758020596
4	女のブラック事件簿	バンブームック	竹書房	2016-09	2019-03	9784801918269,9784801915206,9784801908642,9784801911284
4	BLおとぎ話		ブライト出版	2012-04	2018-08	9784861237638,9784861232336,9784861235474,9784861236952
4	思い出食堂Bランチ	Comic	少年画報社	2019-04	2022-08	9784785964207,9784785967024,9784785969790,9784785971908
4	敵国王子にイカされちゃうアンソロジー	ベビードール×comics	講談社	2019-11	2024-09	9784758016735,9784758016902,9784758018333,9784758019248
4	コミック酒肴人	Comic	少年画報社	2012-06	2019-12	9784785965563,9784785938666,9784785951092,9784785953522
4	アニメコミックもっと!まじめにふまじめかいけつゾロリ		ポプラ社	2021-03	2022-02	9784591169520,9784591169537,9784591170618,9784591172346
4	ひだまりスケッチアンソロジー・コミック	Kirara menu	芳文社	2007-03	2012-11	9784832276185,9784832242142,9784832278981,9784832277274
4	BiQ		ブライト出版	2011-06	2011-12	9784861234705,9784861234880,9784861234903,9784861234927
4	BOX ONE!	OKS comix	オークス	2012-08	2012-12	9784799003213,9784799003541,9784799003718,9784799003596
4	ブラバス!	OKS comix	オークス	2012-10	2013-02	9784799004029,9784799003725,9784799003602,9784799003558
4	マジキュー4コマ Fate/Zero四コマ聖杯戦争	マジキューコミックス	角川グループパブリッシング	2011-12	2012-09	9784047277359,9784047278585,9784047281219,9784047282803
4	エディス		まんだらけ	2009-10	2012-01	9784860720827,9784860720780,9784860720728,9784860720704
4	クロスラブシスト	OKS comix	オークス	2011-07	2012-03	9784799001325,9784799002216,9784799002322,9784799002483
4	クロスラブシスト 騎士團の章	OKS comix	オークス	2011-08	2011-11	9784799001479,9784799001622,9784799001752,9784799001899
4	シンカン		朝日新聞出版	2010-11	2012-03	9784022140760,9784022140913,9784022140647,9784022140517
4	モンスターハンター3Gオフィシャルアンソロジーコミック	カプコンオフィシャルブックス	カプコン	2012-04	2012-10	9784862333469,9784862333551,9784862333629,9784862333711
4	モンスターハンターポータブル3rdオフィシャルアンソロジーコミック	カプコンオフィシャルブックス	カプコン	2011-05	2011-11	9784862333063,9784862333186,9784862333230,9784862333032
4	新ラブプリ		クイン出版	2012-04	2013-01	9784862841322,9784862841315,9784862841285,9784862841308
4	燐-rin-	ほくこみ同人アンソロジー	北辰堂出版	2011-10	2012-04	9784864270403,9784864270458,9784864270496,9784864270533
4	祓魔師読本		クイン出版	2011-07	2011-12	9784862841124,9784862841162,9784862841209,9784862841223
4	ルナティック・パーティー	Poe backs	ふゅーじょんぷろだくと	1993-05	1994-04	9784893931368,9784893931498,9784893931429,9784893931290
4	スーパーダンガンロンパ2さよなら絶望学園4コマKINGS	DNAメディアコミックス	一迅社	2012-11	2013-11	9784758007351,9784758007238,9784758007504,9784758007825
4	スーパーダンガンロンパ2さよなら絶望学園コミックアンソロジー	DNAメディアコミックス	一迅社	2012-12	2013-12	9784758007436,9784758007276,9784758007573,9784758007856
4	HQ MIX!!	Philippe Comics	三交社	2014-11	2015-05	9784879194022,9784879194138,9784879194237,9784879194329
4	うみねこのなく頃に Episode collection	DNAメディアコミックスspecial	一迅社	2009-10	2011-03	9784758005456,9784758005166,9784758006040,9784758006132
4	真剣で私に恋しなさい!S コミックアンソロジー	DNAメディアコミックス	一迅社	2012-05	2013-01	9784758007146,9784758007313,9784758006972,9784758006873
4	ダンガンロンパ希望の学園と絶望の高校生4コマKINGS	DNAメディアコミックス	一迅社	2011-08	2014-05	9784758008051,9784758006392,9784758006569,9784758007917
4	ダンガンロンパ希望の学園と絶望の高校生コミックアンソロジー	DNAメディアコミックス	一迅社	2011-09	2014-06	9784758006774,9784758007931,9784758008082,9784758006507
4	Shy		大洋図書	1998-07	1999-01	9784813000099,9784813000020,9784813000211,9784813000174
4	あいぱらきっず	Oak comix	オークラ出版	1997-07	1998-03	9784872781625,9784872781830,9784872782035,9784872782325
4	あいぱらまっぷ	Oak comix	オークラ出版	1997-07	1998-02	9784872781991,9784872781618,9784872781823,9784872782165
4	Mickey ＆ Donald	ディズニーテレビコミックス	講談社	1985-04	1985-08	9784061009608,9784061009592,9784061009585,9784061009554
4	ラブ・エクソシスト	エーピーセレクション	ハイランド	2005-03	2005-08	9784894863859,9784894863903,9784894863927,9784894863941
4	カプコンオールスターズカプコミック	DNAメディアコミックス	スタジオDNA	2001-06	2002-04	9784758000291,9784758000192,9784758000079,9784921066925
4	コミックジャム		ピラミッド社	1987-07	1988-07	9784803311259,9784803312041,9784803313192,9784803315356
4	ぽにぱに		スクウェア・エニックス	2005-12	2007-10	9784757521124,9784757517370,9784757515826,9784757517004
4	.ism	アクアコミックスDX	オークラ出版	2005-05	2006-03	9784775505564,9784775505908,9784775506394,9784775507117
4	ウエルカムアイランド	Oak comix	オークラ出版	2002-06	2003-01	9784775500514,9784775500910,9784872789652,9784872789997
4	ダビスタコミック	Ascii comix	アスキー	1995-03	1996-03	9784756111401,9784756111531,9784756111944,9784756112095
4	To heart	エニックススーパーコミック劇場	エニックス	1999-09	2001-04	9784757501676,9784757502734,9784757504257,9784757500754
4	新世紀エヴァンゲリオンフィルムブック	NEWTIPE FILM BOOK	角川書店ニュータイプ	1996-01-20	1996-04-20	9784048526111,9784048526128,9784048526104,9784048526098
4	フジミ同人誌ワールド	ジュネコミックス	マガジンマガジン	1995-06-15	2000-04	9784906011728,9784906011278,9784906011155,9784906011100
4	Macaroon		青磁ビブロス	1994-02	1994-10	9784882712633,9784882712503,9784882712275,9784882712176
4	ヤダモン	アニメージュコミックススペシャル	徳間書店	1992-12	1993-08	9784197730513,9784197730100,9784197721245,9784197730803
4	伝説巨神イデオン	テレビマガジンデラックス	講談社	1982-06	1982-09	9784061724648,9784061724631,9784061724624,9784061724617
4	Group		SG企画	1995-10	1996-05	9784900872752,9784900872745,9784900872738,9784900872721
4	アニパロバラエティ	Poe backs	ふゅーじょんぷろだくとComic box編集部	1989-11-10	1990-10	9784893930941,9784893930804,9784893930699,9784893930583
4	Vキッズ	Oak comix	オークラ出版	1998-04	1999-04	9784872782530,9784872784220,9784872783513,9784872783193
4	MANGA EROTICS		太田出版			9784872334517,9784872335019,9784872334845,9784872334708
4	Ja!Weiss		ムービック	1998-08	1999-03	9784896013795,9784896014259,9784896014129,9784896014112
4	銀恋	北辰コミックス同人アンソロジー	風林館	2006-08	2007-05	9784861235368,9784861235238,9784861235214,9784861235207
4	逆転裁判オフィシャルアンソロジーコミック	カプコンオフィシャルブックス	カプコン	2006-03	2006-09	9784862330826,9784862330819,9784862330390,9784862330406
4	まんがミッキーとドナルド	講談社のディズニーこどもえほん	講談社	1984-06	1985-05	9784061747487,9784061747463,9784061747432,9784061747371
4	純情イエローカード	KTCアンソロジーコミックス	キルタイムコミュニケーション	2001-08	2002-08	9784860320270,9784860320195,9784860320102,9784906650958
4	咎狗の血アンソロジーコミック	ビーズログコミックス	エンターブレイン	2005-12	2006-04	9784757726796,9784757726284,9784757725911,9784757725188
4	卍解魂	OKS comix	オークス	2006-04	2007-08	9784861054587,9784861053955,9784861053269,9784861053764
4	ペルソナ3アンソロジーコミック	Bros.comics EX	エンターブレイン	2006-10	2007-03	9784757729513,9784757733749,9784757733107,9784757731264
4	まじかる・アンティークコミックアンソロジー	DNAメディアコミックス	スタジオDNA	2001-01	2001-08	9784921066932,9784921066772,9784758000017,9784921066642
4	餓狼伝説	ホビージャパンコミックス	ホビージャパン	1993-08	1995-01	9784894250543,9784894250321,9784894250109,9784938461997
4	ぱろぱろ王国	Oak comix	オークラ出版	1998-06	1998-11	9784872783711,9784872783636,9784872783315,9784872782868
4	なるひな荘へようこそっ	Oak comix	オークラ出版	2000-09	2002-03	9784872788624,9784872787474,9784872787054,9784872786439
4	なるひなz	Oak comix	オークラ出版	2001-06	2001-09	9784872788242,9784872788211,9784872787825,9784872787795
4	ナデシコ愛のコミック	A-collection	ムービック	1997-08	1998-09	9784896013702,9784896013542,9784896013290,9784896013085
4	ソウルパニック	KTCアンソロジーコミックス	キルタイムコミュニケーション	2004-01	2004-11	9784860321215,9784860320959,9784860320621,9784860320812
4	スターオーシャン セカンドストーリー	エニックススーパーコミック劇場	エニックス	2001-08	2002-10	9784757504981,9784757507999,9784757506831,9784757506008
4	グランドパイレーツZ×S	OKS comix	オークス	2004-12	2006-12	9784861053528,9784861052538,9784861051951,9784861053962
4	グランドパイレーツ 剣豪×ラブコック最強宣言!!	OKS comix	オークス	2005-11	2007-06	9784861054327,9784861053658,9784861053139,9784861052729
4	B street	BIRZ COMICS DELUXE	ソニー・マガジンズ	2000-02	2001-08	9784789783767,9784789783606,9784789783330,9784789782081
4	グランドパイレーツ	OKS comix	オークス	2003-03	2004-08	9784861051562,9784861051159,9784861050091,9784861051012
4	Mr. Kiasu		Comix Factory			9789810046392,9789810059149,9789810039547,9789810021696
4	Wビート	ラポートコミックス	ラポート	1996-01	1996-06	9784897992136,9784897992105,9784897992044,9784897991894
4	Marble	MARBLE COMICS	東京漫画社	2004-08	2005-06	9784902671247,9784902671179,9784902671100,9784902671032
4	GENEROUS	Gust comic	桜桃書房	1993-04	1995-09	9784756709455,9784871839532,9784871839358,9784871836463
4	Ovis		茜新社	1994-04	1996-03	9784871821902,9784871821216,9784871821087,9784871821018
4	Double	Sanwa comics	三和出版	2001-09	2002-09	9784883561322,9784883561162,9784883560998,9784883560899
4	Deathtix		東京漫画社	2004-09	2005-02	9784902671155,9784902671124,9784902671117,9784902671070
4	エクストラ・ゲーム		ノアール出版	2002-07	2003-04	9784860020705,9784860020637,9784860020507,9784860020491
4	バンパイア	ピチコミックス	学習研究社	2003-05	2004-02	9784056033700,9784056032765,9784056031386,9784056031362
4	庭球プリンス 氷の貴公子たち	OKS comix	オークス	2003-09	2005-03	9784861051524,9784861051166,9784861050749,9784861050510
4	標的雲雀	北辰コミックス同人アンソロジー	北辰堂出版	2007-02	2009-06	9784904086407,9784904086032,9784861235412,9784861235306
4	超時空要塞マクロス	小学館テレビ名作	小学館	1983-05	1983-10	9784091017178,9784091017154,9784091017130,9784091017123
4	ドルチェはいかが	OKS comix	オークス	2008-07	2008-11	9784861056307,9784861056154,9784861055829,9784861055683
4	ツナ・ショータイム	OKS comix	オークス	2008-12	2009-05	9784861057311,9784861056918,9784861056758,9784861056451
4	つなよしメンテナンス	北辰コミックス同人アンソロジー	北辰堂出版	2008-11	2009-08	9784904086537,9784904086360,9784904086308,9784904086261
4	BL Style	Aqua comics	オークラ出版	2006-07	2007-04	9784775509173,9784775508770,9784775508473,9784775507681
4	Try!ダグオン		ブロッコリー	1993-11	1997-01	9784938867300,9784938867225,9784938867126,9784938867102
4	Soccer!		ふゅーじょんぷろだくと	2002-06	2003-03	9784893933706,9784893933416,9784893933355,9784893933294
4	ドラゴンクエスト4コママンガ大全集		エニックス	2002-07	2003-11	9784757507289,9784757510425,9784757509399,9784757508460
4	高機動幻想ガンパレード・マーチ 4コママンガ劇場		エニックス	2001-12	2003-03	9784757508859,9784757508330,9784757507586,9784757505902
4	幻想水滸伝5	Bros.comics EX	エンターブレイン	2006-12	2007-07	9784757736009,9784757735910,9784757733091,9784757730694
4	マジキュー4コマ タユタマ-Kiss on my Deity-	マジキューコミックス	エンターブレイン	2009-05	2009-11	9784757750173,9784757749269,9784047260795,9784757748446
4	マジキュー4コマ RO extreme!	マジキューコミックス	エンターブレイン	2007-02	2007-06	9784757736016,9784757735439,9784757734401,9784757733336
4	スーパーマリオ 4コママンガ劇場	ゲーム4コママンガシリーズ	エニックス	1995-07-23	1997-03-21	9784870259454,9784870259133,9784870258655,9784870258198
4	スーパーマリオ 4コママンガ劇場		エニックス	1991-05-27	1993-01	9784870257030,9784900527874,9784900527713,9784900527669
4	スターオーシャン ブルースフィア 4コママンガ劇場		エニックス	2001-12	2002-11	9784757508200,9784757506275,9784757505810,9784757507296
4	コミック遥かなる時空の中で カーニバル	Koei game comics	光栄	2000-08	2001-03	9784877198237,9784877198725,9784877198442,9784877198435
4	コミック遥かなる時空の中で3 カーニバル	Koei game comics	光栄	2005-03	2005-07	9784775802991,9784775802984,9784775802892,9784775802809
4	コミック遥かなる時空の中で2 カーニバル	Koei game comics	光栄	2002-03	2002-11	9784775800041,9784775800034,9784877199869,9784877199647
4	コミック金色のコルダカーニバル	Koei game comics	光栄	2004-04	2004-12	9784775802588,9784775802243,9784775801888,9784775801871
4	こみっくパーティー 4コママンガ劇場		エニックス	2001-11	2002-10	9784757507593,9784757507081,9784757506428,9784757505179
4	コミックアンジェリーク パラレルカーニバル	Koei game comics	光栄	2002-03	2003-02	9784877199982,9784877199975,9784877199968,9784877199630
4	コミックアンジェリークトロワカーニバル	Koei game comics	光栄	2001-02	2001-08	9784877199081,9784877198954,9784877198718,9784877198701
3	偽聖女だと言われましたが、どうやら私が本物のようですよ?	IDコミックス. Zero-sum comics	講談社	2024-10-06	2026-01-26	9784758085977,9784758086882,9784758088664
3	虐げられ乙女の幸せな嫁入り	IDコミックス. Zero-sum comics	講談社	2024-10-06	2025-12-15	9784758085984,9784758086899,9784758088671
3	年末年始思い出食堂	ぐる漫	少年画報社	2023-12	2025-12-23	9784785978181,9784785980887,9784785975487
3	ブルーアーカイブコミックアンソロジー	IDコミックス. DNAメディアコミックス	講談社	2025-01-03	2026-02-09	9784758028240,9784758029445,9784758089289
3	令嬢たちの幸せな結婚	Bamboo comics	竹書房	2023-09	2025-01-10	9784801985209,9784801981485,9784801983502
3	婚約破棄されましたが、幸せに暮らしておりますわ!	IDコミックス. Zero-sum comics	講談社	2025-03-27	2026-06-15	9784758086677,9784758088176,9784758099240
3	#BがLする4ページアンソロジー	クロフネdeluxe	リブレ	2022-05	2026-01-02	9784799776216,9784799748657,9784799757222
3	Ovis count down		茜新社	1996-09	1997-02	9784871822381,9784871822268,9784871822510
3	GUSH peche	Gush comics	海王社	2018-02	2018-06	9784796411035,9784796411332,9784796411554
3	ブラックご近所SP	バンブームック	竹書房	2016-06	2018-03	9784801914254,9784801907744,9784801910393
3	Fate/Grand Orderコミックアンソロジー	DNAメディアコミックス	講談社	2017-07	2018-04	9784758009829,9784758009423,9784758009669
3	朝ごはん	Comic	少年画報社	2016-06	2023-02	9784785961930,9784785973209,9784785957940
3	Craft	H &amp	大洋図書	2018-08	2019-02	9784813032021,9784813032120,9784813031956
3	高貴なエルフを辱めるアンソロジーコミック	IDコミックス	講談社	2019-01	2019-07	9784758067829,9784758068031,9784758068130
3	誇り高い女騎士が堕ちていくアンソロジーコミック	IDコミックス	講談社	2019-01	2019-07	9784758067812,9784758068024,9784758068123
3	異世界転生して勇者になろう!	IDコミックス	一迅社	2016-08	2017-02	9784758066471,9784758066358,9784758066167
3	ねこぱんちプレミアム	にゃんcomi	少年画報社	2015-02	2018-12	9784785963408,9784785954727,9784785955830
3	号外on blue 3rd season		祥伝社	2018-08	2018-12	9784396784645,9784396784553,9784396784607
3	ねこぱんちセカンド	にゃんcomi	少年画報社	2017-07	2020-10	9784785963699,9784785967666,9784785960353
3	King of prism by pretty rhythmコミックアンソロジー	DNAメディアコミックス	一迅社	2016-07	2016-10	9784758009041,9784758009218,9784758009157
3	ヤンデレ少女にいちゃラブされちゃうアンソロジーコミック	IDコミックス	講談社	2018-10	2021-09	9784758067935,9784758067669,9784758069410
3	トランスフォーマークラシックス	MEDIABOY MOOK	メディアボーイ	2019-01	2019-04	9784863882683,9784863882874,9784863882911
3	ひょっとしてギャルは俺らに優しいのでは?アンソロジーコミック	IDコミックス	講談社	2017-03	2018-08	9784758066495,9784758067584,9784758066754
3	男達の食卓	Comic	少年画報社	2016-05	2018-07	9784785962258,9784785957704,9784785959951
3	スキだらけJKといちゃエロできちゃうアンソロジーコミック	IDコミックス	講談社	2017-07	2018-08	9784758066914,9784758067409,9784758066693
3	Craft	H & C comics	大洋図書	2019-05	2019-11	9784813032229,9784813032335,9784813032434
3	刀剣乱舞-ONLINE-アンソロジーコミック4コマらんぶっ	単行本コミックス	KADOKAWA	2015-09	2020-11	9784048994507,9784048994705,9784048994125
3	DUNGEONS & DRAGONSバルダーズゲートの伝説		KADOKAWA	2020-03	2021-01	9784049126181,9784049131932,9784049131949
3	メイドインアビス公式アンソロジー	Bamboo comics	竹書房	2020-08	2022-08	9784801970212,9784801973916,9784801978034
3	転生したら断罪スタートなんて聞いてませんっ!	IDコミックス	講談社	2021-02	2023-01	9784758035804,9784758036955,9784758038263
3	バリューレディコミ	ぶんか社ムック	ぶんか社	2021-03	2021-07	9784821168323,9784821168347,9784821168385
3	Laurus異世界偏愛コミックアンソロジー	コロナ・コミックス	TOブックス	2021-04	2021-07	9784866991757,9784866991740,9784866992488
3	平凡な俺♂だけど異世界で溺愛されてます	IDコミックス	講談社	2021-04	2024-04	9784758035989,9784758037853,9784758084956
3	藍渓鎮		KADOKAWA	2021-05	2023-02	9784049135633,9784049140699,9784049147995
3	鬼憚活動記録	L♡uis series = ルイシリーズ	ジーウォーク	2020-11	2020-11	9784867170168,9784867172346,9784867172711
3	チーム・フェニックス	SHŌNEN CHAMPION COMICS	秋田書店	2021-10	2022-10	9784253229845,9784253229852,9784253229869
3	ペルソナ5コミックアンソロジー	DNAメディアコミックス	講談社	2017-06	2017-09	9784758009492,9784758009607,9784758009522
3	アイドルマスターside M	DNAメディアコミックス	講談社	2015-12	2018-07	9784758009898,9784758008839,9784758008822
3	悪役令嬢にハッピーエンドの祝福を!	Avarus series	マッグガーデン	2022-04	2023-11	9784800011992,9784800012715,9784800013972
3	ぼっち・ざ・ろっく!	Kirara menu	芳文社	2022-11	2024-06	9784832274143,9784832274808,9784832295506
3	没落令嬢が婚約者に溺愛されちゃうアンソロジー	ベビードール×comics	講談社	2022-12	2024-05	9784758017978,9784758018395,9784758018869
3	虐げられ乙女の幸せな嫁入り	IDコミックス	講談社	2022-11	2024-03	9784758038126,9784758038973,9784758084734
3	死に戻り令嬢は、完璧な幸せを手に入れた	IDコミックス	講談社	2022-12	2023-12	9784758038287,9784758038850,9784758039666
3	漫画パチンコパニック7	GW mook	ガイドワークス	2022-07	2023-04	9784867103876,9784867104026,9784867103241
3	コミック版三国志		ポプラ社	2023-02	2023-02	9784591177068,9784591177051,9784591177075
3	君は世界で一番美しい色		KADOKAWA	2023-03	2023-03	9784048112000,9784048112017,9784048112024
3	偽聖女だと言われましたが、どうやら私が本物のようですよ?	IDコミックス	講談社	2023-05	2024-04	9784758038867,9784758039383,9784758084963
3	チート×セックス	IDコミックス	講談社	2023-08	2024-07	9784758084314,9784758084703,9784758085489
3	俺流!絶品めし.	Bunkasha comics	ぶんか社	2023-10	2024-01	9784821157037,9784821157358,9784821157785
3	コミックダブルX		東京三世社	1991-03-31	1991-07-31	9784885702648,9784885702679,9784885702709
3	ペルソナ4コミックアンソロジー	火の玉ゲームコミックシリーズ	光文社	2008-10	2009-01	9784334807108,9784334807023,9784334807061
3	ペルソナ4コミックアンソロジー	DNAメディアコミックス	一迅社	2008-11	2009-06	9784758004817,9784758004671,9784758004954
3	グランド海賊王	ダイヤモンドコミックス	松文館	2004-04	2005-07	9784790112990,9784790112488,9784790115168
3	6LOVERS	F-BOOK selection	ブライト出版	2012-09	2013-12	9784861232404,9784861232763,9784861235580
3	BLACK GENERATION	OKS comix	オークス	2012-11	2013-08	9784799003589,9784799003800,9784799004692
3	Craft	ミリオンコミックス	大洋図書	2011-11	2012-05	9784813053347,9784813053446,9784813053583
3	ぱち★ぱち		東京漫画社	2010-12	2012-05	9784864420150,9784864420488,9784904101919
3	マイ・プリンセスフィルムコミック		キネマ旬報社	2011-08	2011-09	9784873763712,9784873763729,9784873763736
3	イエロー・ジェネレーションBOX ONE! EX	OKS comix	オークス	2013-04	2013-08	9784799004227,9784799004456,9784799004746
3	うちねこぱんち	にゃんcomi	少年画報社	2013-04	2017-02	9784785950101,9784785955076,9784785959517
3	クロコメソッド	ほくこみ同人アンソロジー	北辰堂出版	2012-06	2012-10	9784864270571,9784864270588,9784864270632
3	けいおん!ストーリーアンソロジーコミック	Kirara menu	芳文社	2011-12	2013-03	9784832240865,9784832240858,9784832242661
3	シークレットブルー	ほくこみ同人アンソロジー	北辰堂出版	2012-02	2012-04	9784864270502,9784864270526,9784864270540
3	スノーファイア	ほくこみ同人アンソロジー	北辰堂出版	2012-01	2012-05	9784864270489,9784864270519,9784864270557
3	のじゃロリ＆ロリババァ〈21〉		幻冬舎	2013-02	2013-06	9784344827158,9784344828094,9784344828575
3	マジキュー4コマ STEINS;GATE	マジキューコミックス	角川グループパブリッシング	2010-05	2012-01	9784047277663,9784047267749,9784047264816
3	マジキュー4コマリトルバスターズ!Re:play	[マジキューコミックス]	角川グループパブリッシング	2013-01	2013-04	9784047285842,9784047286504,9784047287761
3	マジキュー4コマ真・恋姫✝無双 萌将伝	[マジキューコミックス]	角川グループパブリッシング	2012-05	2012-09	9784047280120,9784047281448,9784047282797
3	マジキュー4コマ 探偵オペラミルキィホームズ	マジキューコミックス	角川グループパブリッシング	2011-04	2011-08	9784047272903,9784047273856,9784047271586
3	メリは外泊中フィルムコミック		キネマ旬報社			9784873763620,9784873763637,9784873763644
3	謙也君♥光君	K-Book Selection	ブライト出版	2010-08	2012-02	9784861232022,9784861233999,9784861234590
3	黒子CHASE	ほくこみ同人アンソロジー	北辰堂出版	2013-04	2013-10	9784864270694,9784864270946,9784864270977
3	四天宝寺の王子様❤	K-Book Selection	ブライト出版	2010-09	2012-05	9784861232169,9784861234026,9784861234200
3	Air	Missy★comics	宙出版	2001-06	2005-04	9784872875119,9784872875218,9784776715801
3	マジキュー4コマ Fate/EXTRA	マジキューコミックス	角川グループパブリッシング	2010-11	2011-04	9784047270688,9784047269378,9784047268371
3	モンスターハンターオフィシャルアンソロジーコミックてんこ盛り!	カプコンオフィシャルブックス	カプコン	2010-05	2011-04	9784862333001,9784862332684,9784862332608
3	乙女通信	Miginaname 45do	文苑堂	2010-07	2011-03	9784861171802,9784861171871,9784861171901
3	僕の彼女は九尾狐		キネマ旬報社	2011-03	2011-04	9784873763545,9784873763552,9784873763569
3	Craft	H＆C comics	大洋図書	2013-11	2017-02	9784813030324,9784813030614,9784813031437
3	ちっちゃいくろばすのキセキたち	OKS comix	オークス	2014-01	2014-08	9784799005200,9784799005576,9784799006351
3	黒子っちへの手紙	Philippe Comics	三交社	2014-03	2014-04	9784879196750,9784879196712,9784879196729
3	紅蓮の調査兵団	OKS comix	オークス	2014-05	2014-08	9784799005866,9784799006252,9784799006344
3	JOJOJO!	OKS comix	オークス	2014-06	2015-03	9784799005965,9784799005972,9784799007495
3	やはり俺の青春ラブコメはまちがっている。コミックアンソロジー	DNAメディアコミックス	一迅社	2013-06	2015-09	9784758007481,9784758008563,9784758007658
3	先輩が好かれる10の法則	mimi.comics	ジュリアン	2014-04	2014-11	9784864570633,9784864570770,9784864570930
3	KARASUNO DAYS	Philippe Comics	三交社	2014-07	2015-02	9784879196835,9784879196941,9784879194183
3	江戸ぱんち	Comic江戸日和	少年画報社	2014-09	2015-08	9784785953683,9784785954840,9784785955939
3	真・恋姫・無双	EARTH STAR Books	泰文堂	2014-09	2014-11	9784803005974,9784803006100,9784803006391
3	アルドノア・ゼロ アルドノア・ゼロアンソロジーコミック	Kirara menu	芳文社	2014-10	2015-04	9784832244894,9784832245150,9784832245563
3	ロミオ	光彩コミックス	光彩書房	1997-05	1999-05	9784905965039,9784905965558,9784877750039
3	ロミオ	いずみコミックス	一水社	1996-11	1997-03	9784870762466,9784870762718,9784870762862
