vols	base	brand	pub	first_date	last_date	isbns
17	極楽封神伝	エーピーセレクション	ハイランド	1998-07	2001-07	9784894860322,9784894860230,9784894860124,9784938827991,9784938827854,9784938827786,9784894860407,9784894861466
17	Love prince	エーピーセレクション	ハイランド	2001-04	2004-12	9784894862654,9784894862852,9784894863804,9784894863064,9784894862944,9784894862586,9784894862425,9784894862388
17	ぐるぐるぱらだいす	エーピーセレクション	ハイランド	2000-06	2004-08	9784894861664,9784894863613,9784894863170,9784894862951,9784894862395,9784894861954,9784894861787,9784894861534
17	シュラト同人誌傑作アンソロジー	Poe backs	ふゅーじょんぷろだくとComic box編集部	1989-10-31	1991-07-21	9784893930798,9784893930842,9784893931214,9784893931139,9784893931078,9784893930989,9784893930958,9784893930743
16	おもしろ日本史		ぎょうせい	1997-05-20	1998-07-15	9784324051313,9784324051320,9784324051337,9784324051344,9784324051351,9784324051368,9784324051375,9784324051382
16	電脳武闘娘	Oak comix	オークラ出版	1995-09	2002-09	9784775500255,9784872789515,9784872788945,9784872788631,9784872788488,9784872787337,9784872786941,9784872786330
16	マジキュー4コマ Fate/stay night climax!	マジキューコミックス	エンターブレイン	2006-03	2009-03	9784757729094,9784757746916,9784757744929,9784757743397,9784757742451,9784757739932,9784757738119,9784757737044
15	HQ ＋ カレシ	HQアンソロジーspike番外編	ふゅーじょんぷろだくと	2014-09	2017-03	9784865892895,9784865893069,9784865892680,9784865892949,9784865892819,9784865891980,9784865891690,9784865890761
15	悪役令嬢ですが、幸せになってみせますわ!	IDコミックス	講談社	2019-10	2024-06	9784758034630,9784758034944,9784758035347,9784758035866,9784758036061,9784758036276,9784758036634,9784758036948
15	Comic必剣	RK mook	楽楽出版	2021-06	2023-10	9784867040645,9784867040690,9784867040768,9784867040843,9784867040898,9784867040942,9784867041017,9784821163007
15	マジキュー4コマ真・恋姫✝無双 萌将伝	MC comics	角川グループパブリッシング	2010-11	2014-06	9784047285835,9784047287099,9784047290303,9784047273306,9784047274594,9784047275539,9784047277298,9784047278530
15	高橋葉介作品集		朝日ソノラマ	1987-07	1993-07	9784257901945,9784257901907,9784257901891,9784257901860,9784257901846,9784257901778,9784257901747,9784257901716
15	ぐるぐる忍術帖	KTCアンソロジーコミックス	キルタイムコミュニケーション	2000-08	2003-04	9784906650972,9784906650927,9784906650903,9784906650880,9784906650804,9784906650743,9784906650569,9784860320386
15	WINNING RUN	FRESH-PACKS	青磁ビブロス	1991-11	1994-02	9784882712213,9784882712145,9784882712046,9784882711933,9784882711834,9784882711759,9784882711674,9784882711636
15	忍	OKS comix	オークス	2003-05	2007-02	9784861051364,9784861050800,9784861050756,9784861050503,9784861054112,9784861053627,9784861053153,9784861050664
14	コミックマスター		ホビージャパン	1990-11	1996-05	9784938461690,9784938461669,9784894250246,9784938461935,9784938461744,9784894251236,9784894250680,9784894250307
14	B❤YS JAM!		新書館	2005-08	2008-12	9784403661976,9784403661884,9784403661815,9784403662102,9784403662317,9784403662225,9784403661716,9784403661662
14	めしざんまい	Bunkasha comics	ぶんか社	2016-05	2018-10	9784821135677,9784821135981,9784821136810,9784821136599,9784821136261,9784821178384,9784821178964,9784821179350
14	漫画時代劇	GW mook	ガイドワークス	2017-08	2023-06	9784865359992,9784865356717,9784867102961,9784867103517,9784867102954,9784867103869,9784867103692,9784867103982
14	真・恋姫・無双 萌将伝	EARTH STAR Books	泰文堂	2012-04	2015-01	9784803003277,9784803003444,9784803003789,9784803003895,9784803004106,9784803004243,9784803004649,9784803004823
14	まんだらけ		まんだらけ出版部			9784944099559,9784944099467,9784944099412,9784944099399,9784944099320,9784944099306,9784944099283,9784944099252
14	Dunk beat	エーピーセレクション	ハイランド	1994-12	1998-04	9784938827687,9784938827519,9784938827458,9784938827335,9784938827274,9784938827250,9784938827236,9784938827199
14	抜刀ろまんす	エーピーセレクション	ハイランド	1996-05	1999-08	9784894860261,9784894860056,9784938827922,9784938827885,9784938827595,9784938827816,9784938827755,9784938827656
13	ときめきごはん	ぐる漫	少年画報社	2023-08	2026-04-18	9784785977276,9784785979027,9784785979560,9784785979942,9784785980412,9784785980832,9784785981358,9784785981600
13	ねこぱんち	にゃんcomi	少年画報社	2019-08	2026-06-22	9784785979850,9784785980344,9784785982010,9784785964825,9784785965723,9784785967000,9784785967017,9784785967215
13	Comic陣	ぶんか社ムック	ぶんか社	2017-06	2019-06	9784821167388,9784821167449,9784821167784,9784821167890,9784821167975,9784821168064,9784821167708,9784821167616
13	劇漫デラックス	バンブームック	竹書房	2016-02	2020-07	9784801913684,9784801914599,9784801915572,9784801923171,9784801923935,9784801906044,9784801907409,9784801908109
13	コミックG.G.	爆男comics	古川書房	2011-02	2014-06	9784892364556,9784892364570,9784892364594,9784892364624,9784892364662,9784892364686,9784892364754,9784892364792
13	スマッシュプリンス	KTCアンソロジーコミックス	キルタイムコミュニケーション	2001-07	2003-10	9784860320041,9784860320119,9784860320157,9784860320225,9784860320263,9784860320324,9784860320348,9784860320355
13	漫画ナックルズ撃	ミリオンコミックス	大洋図書	2007-10	2009-09	9784813050865,9784813050964,9784813051107,9784813051183,9784813051244,9784813051350,9784813051480,9784813051596
13	恋だろ!?恋!	光彩コミックス	光彩書房	2002-04	2004-08	9784877751531,9784860931599,9784877752477,9784860931438,9784860930899,9784860930707,9784860930141,9784877752378
13	ディープアクア		オークラ出版	2003-01	2004-11	9784775504246,9784775504079,9784775503638,9784775503300,9784775502822,9784775502358,9784775502150,9784775501757
13	ごむ魂	Oak comix	オークラ出版	2000-03	2002-09	9784872789799,9784872789225,9784872788747,9784872788440,9784872787986,9784872787764,9784872787405,9784872787047
13	To heartコミックアンソロジー	DNAメディアコミックス	スタジオDNA	2000-02	2002-08	9784758000574,9784758000369,9784758000239,9784758000161,9784758000055,9784921066963,9784921066789,9784921066710
13	仙界演義録		ノアール出版	1999-06	2001-06	9784931396890,9784931396661,9784931396876,9784931396753,9784931396739,9784931396692,9784931396616,9784931396593
12	あなたが体験した怖い話	Bunkasha comics	ぶんか社	2021	2025-09-29	9784821159635,9784821110476,9784821110957,9784821128211,9784821128921,9784821129515,9784821154173,9784821155132
12	MVP	Poe backs	ふゅーじょんぷろだくと	2013-02	2014-12-13	9784893938503,9784893938718,9784893939661,9784893939012,9784893939234,9784893938633,9784893939074,9784893937988
12	アズールレーンコミックアンソロジー	DNAメディアコミックス	講談社	2018-02	2020-05	9784758009805,9784758009843,9784758020183,9784758020350,9784758020237,9784758020138,9784758020428,9784758020534
12	食男	Be comics	ふゅーじょんぷろだくと	2016-03	2017-02	9784865892956,9784865892697,9784865892826,9784865891911,9784865892475,9784865891645,9784865892369,9784865891492
12	アウトドアごはん	Comic	少年画報社	2020-10	2023-05	9784785966560,9784785967420,9784785968281,9784785968809,9784785969332,9784785969868,9784785970291,9784785971045
