slug	title	ours	rakuten	year	isbn
ijippari-na-senpai-no-shitsukekata	意地っ張りな先輩のしつけ方	八神凪	あさみ　青子	2025	9784046846518
ijiwaru-osananajimi-to-toroama-fuufu-seikatsu	いじわる幼馴染ととろあま夫婦生活	久松エイト	ひさまつえいと	2025	9784821159918
inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました	甘露アメ	カヅチ	2025	9784040759029
incubus-datte-junai-shitai	インキュバスだって純愛したい	北川あじゅ	脳みそ海綿隊	2025	9784434350696
inma-na-shachou-ni-yabai-cry-shuuchaku-sarete-imasu	淫魔な社長にヤバいくらい執着されています!?	吉舎和幸 / 森こさち	卯月　たける / 蘇我 空木	2025	9784829626931
isekai-kaeri-no-otsu-san-wa-shuumatsu-sekai-de-musou-suru	異世界還りのおっさんは終末世界で無双する	羽々音色	ダンタガワ	2025	9784891997991
isekai-kara-elf-san-ga-ochitekita-nodesuga	異世界からエルフさんが落ちてきたのですが!?	かえで透	山田ぱすた	2025	9784434364440
jizou-iyashi	地蔵癒し	パラリラ	天海 夏矩	2025	9784098633869
junai-joutou	純愛上等!	家田明歩	七緒	2025	9784910528694
kagura-ga-yuku	神楽がゆく!	けだま柴	奥一	2025	9784065384121
kaikai-gi-gi-gi-gi-gi	怪怪ギギギギギ	ひよどり祥子	うぐいす　祥子	2025	9784575861372
kairanban-no-etchi-na-rule-wa-zettai-desu	回覧板のエッチなルールは絶対です。	大友しゅうま	ラララ・ホリディ	2025	9784434352584
kakusei-shitara-ao-ga-moeta	覚醒したら青が燃えた	清永卵	爽	2025	9784065404928
kakushita-koi-no-owari-made	隠した恋の終わりまで	立川譲	みのり	2025	9784434367526
kami-eno-esa-wa-kanojotachi	神への餌は彼女達	蔵人健吾 / 伊藤里	蔵人　幸明 / まりお	2025	9784040757360
kawaihara-senpai-wa-kawaii-saotome-kun-ga-suki	可愛原先輩はかわいい〈早乙女くん〉がすき!	伊月一	せらみっく	2025	9784046849212
