display	base	volumes	authors	publisher	latest	title_cands
ずっとキミの側にいました　ーすべてがサヨナラになる　オムニバス短編　ー【フルカラー版】	ずっとキミの側にいました　ーすべてがサヨナラになる　オムニバス短編　ー	1	projectcomusix,なかはらももた	ビーグリー	2024年06月25日	
ちっちゃなやさしさに、今日も救われてます　るしこの子育て日記	ちっちゃなやさしさに、今日も救われてます　るしこの子育て日記	1	るしこ	KADOKAWA	2025年03月26日	
ちびネコ どんぐり フルカラー版	ちびネコ どんぐり	1	ねこまきミュズワク	集英社	2016年01月25日	
ねえ、ぴよちゃん	ねえ、ぴよちゃん	1	青沼貴子	竹書房	2024年06月27日	
びしょ濡れとろとろマッサージ［フルカラー版］	びしょ濡れとろとろマッサージ	1	uk	『ひめ恋』編集部	2015年09月15日	
びしょ濡れ敏感メイド［フルカラー版］	びしょ濡れ敏感メイド	1	uk	『ひめ恋』編集部	2015年09月15日	
ぼくんち＜全＞オールカラー版	ぼくんち＜全＞	1	西原理恵子	小学館	2016年09月01日	
まんが ねこねこ横丁 東京かんばん猫 フルカラー版	まんが ねこねこ横丁 東京かんばん猫	1	ミュズワクねこまき	集英社	2018年03月23日	
まんが　動物そんなのいるんだ　〜『天地創造デザイン部』フルカラー版〜	まんが　動物そんなのいるんだ　〜『天地創造デザイン部』〜	1	たら子,蛇蔵,鈴木ツタ	講談社	2020年03月23日	
めだかボックス カラー版 PART7 未来へのブーケトス編	めだかボックスPART7 未来へのブーケトス編	1	暁月あきら,西尾維新	集英社	2016年06月03日	
イケメン女子とイケメン女子 カラー版	イケメン女子とイケメン女子	1	しぐま	ナンバーナイン	2023年08月04日	
【オールカラー版】らき☆すた　おきらくカーニバル	らき☆すた　おきらくカーニバル	1	美水かがみ	KADOKAWA	2013年08月10日	
カラー版　SHUAS	SHUAS	1	川村一真	角川アスキー総合研究所	2014年01月04日	
[カラー版]調教学園〜カラダ開発占い	調教学園〜カラダ開発占い	1	とり鳥子,芳澤ばにら	パルソラ	2018年04月20日	
【カラー版】転生貴族の異世界冒険録　〜カインのやりすぎギルド日記〜シリーズ	転生貴族の異世界冒険録　〜カインのやりすぎギルド日記〜シリーズ	1	佐々木あかね,夜州	一二三書房	2022年09月05日	
ガチ恋と私、捧げます　ーすべてがサヨナラになる　オムニバス短編　ー【フルカラー版】	ガチ恋と私、捧げます　ーすべてがサヨナラになる　オムニバス短編　ー	1	projectcomusix,猫井ヤスユキ	ビーグリー	2024年06月25日	
〜サラリーマン三国志〜三国社（カラー版）	〜サラリーマン三国志〜三国社	1	あしか望,末弘	講談社	2020年07月08日	
ダブル発情期〜その双子、野獣につき〜［フルカラー版］	ダブル発情期〜その双子、野獣につき〜	1	uk	『ひめ恋』編集部	2015年09月15日	
「バートレット英雄譚〜スローライフしたいのにできない弱小貴族奮闘記〜」シリーズ【カラー版】	「バートレット英雄譚〜スローライフしたいのにできない弱小貴族奮闘記〜」シリーズ	1	三國大和,上谷岩清,桧野ひなこ	一二三書房	2022年06月01日	
【フルカラー版】餌付けしたい男の子と餌付けされる女の子	餌付けしたい男の子と餌付けされる女の子	1	快晴	ナンバーナイン	2024年07月05日	
フロイトとソーカモ　その悩み、猫が答えます	フロイトとソーカモ　その悩み、猫が答えます	1	呉佩慈,徐慢慢心理話,武志紅	扶桑社	2024年12月01日	
ボロボロのエルフさんを幸せにする薬売りさん カラー版	ボロボロのエルフさんを幸せにする薬売りさん	1	ぎばちゃん	集英社	2023年12月19日	
人妻日記 特別編 カラー版	人妻日記 特別編	1	仙道ますみ	集英社	2014年05月19日	
佐藤くんは覗ている。	佐藤くんは覗ている。	1	ゆきの	竹書房	2018年05月24日	
変態巫女だらけの神社、ビッチギャルと同居ハーレム（フルカラー版）	変態巫女だらけの神社、ビッチギャルと同居ハーレム	1	みるく舞華	デジタルコミック流通ネットワーク	2026年08月06日	
外国でざんねんな嫁扱いされる日本人【電子限定フルカラー版】	外国でざんねんな嫁扱いされる日本人【電子限定	1	ホリ亜紀	竹書房	2019年11月14日	
夫婦を続ける自信がない 【電子限定フルカラー版】	夫婦を続ける自信がない 【電子限定	1	ゆむい	竹書房	2021年07月29日	
子に託す思い【フルカラー版】	子に託す思い	1	かげやまあづさ,きたがわかよこ	PsycheLoss	2024年07月10日	
常識改変されて片っ端からハメられまくる制服女子たち（フルカラー版）	常識改変されて片っ端からハメられまくる制服女子たち	1	綾乃れな	デジタルコミック流通ネットワーク	2026年08月13日	
彼女の友達　うわきセレクション　フルカラー版	彼女の友達　うわきセレクション	1	じゅら	講談社	2024年11月20日	
描き下ろし「女教師優子」(カラー版)	描き下ろし「女教師優子」	1	西川秀明	白泉社	2013年11月19日	
月刊アクション	月刊アクション	1	月刊アクション編集部	双葉社	2021年06月24日	
未熟な林檎【フルカラー版】	未熟な林檎	1	カポ,魚骨工造	クロスフォリオ出版	2021年06月18日	
母のお酒をやめさせたい	母のお酒をやめさせたい	1	三森みさ,今成知美,松本俊彦	KADOKAWA	2022年12月22日	
生徒会にも穴はある！　公式フルカラー版『生穴せれくしょん！』	生徒会にも穴はある！　公式『生穴せれくしょん！』	1	むちまろ	講談社	2025年07月16日	
蜜恋シェアメイト［フルカラー版］	蜜恋シェアメイト	1	ヒラサワカオリ	『ひめ恋』編集部	2015年09月15日	
蝶か犯か　〜極道様　溢れて溢れて泣かせたい〜（４）特装版　電子限定ドキドキ☆セミカラー版（エロきゅん小冊子つき）	蝶か犯か　〜極道様　溢れて溢れて泣かせたい〜（４）特装版　電子限定ドキドキ☆（エロきゅん小冊子つき）	1	鳥海ペドロ	講談社	2021年04月13日	
許嫁になったダウナーギャル・フルカラー	許嫁になったダウナーギャル・フルカラー	1	こみちぽた,エルトリア,月見ハク,聖華快楽書店	クロスフォリオ出版	2025年12月26日	
誹謗中傷犯に勝訴しました　〜障害児の息子を守るため〜	誹謗中傷犯に勝訴しました　〜障害児の息子を守るため〜	1	moro	竹書房	2021年10月28日	
距離感がバグってる義妹・フルカラー	距離感がバグってる義妹・フルカラー	1	かわさき,エルトリア,聖華快楽書店	クロスフォリオ出版	2026年01月30日	
転生したらスライムだった件（３２）　「悪魔の囁き」フルカラー版小冊子付き特装版	転生したらスライムだった件（３２）　「悪魔の囁き」小冊子付き特装版	1	みっつば,伏瀬,川上泰樹	講談社	2026年06月09日	
転生コロシアム　〜最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります〜　わからせセレクション　フルカラー版	転生コロシアム　〜最弱スキルで最強の女たちを攻略して奴隷ハーレム作ります〜　わからせセレクション	1	zunta,はらわたさいぞう	KADOKAWA	2026年02月09日	
隣の席の佐藤さん【カラー版】	隣の席の佐藤さん	1	sumie,げみ,森崎緩	一二三書房	2020年01月06日	
雨の街のテル:オリジナルカラー版	雨の街のテル:オリジナル	1	猫分儀スミレ	Amaitorte	2021年11月11日	
【電子限定フルカラー版】ケンちゃんと猫。 ときどきアヒル	【電子限定ケンちゃんと猫。 ときどきアヒル	1	ねこまきミュズワク	幻冬舎	2018年07月25日	
高校生のわたしが精神科病院に入り自分のなかの神様とさよならするまで	高校生のわたしが精神科病院に入り自分のなかの神様とさよならするまで	1	もつお	KADOKAWA	2022年12月01日	
