tier	slug	title	publishers	year	cover_missing
T2	14sai-ootomateikku	14さいオートマティック	オークラ出版	2002	1/1
T2	adlib-offside	アドリブオフサイド	白夜書房	2002	2/2
T2	afternoon-potaufen	Afternoon potaufen	コアマガジン	2001	1/1
T2	ai-aru-juuyonya	愛ある十四夜	ワニマガジン社	2003	1/1
T2	ai-to-yokubou-no-1-6	愛と欲望の1/6	ワニマガジン社	2002	1/1
T2	aishiteru-tte-iwanakya-korosu	愛してるって言わなきゃ殺す	茜新社	2013	1/1
T2	alice-club-mihappyou-selection	アリスくらぶ未発表セレクション	コアマガジン	2000	2/2
T2	anata-no-to-nari-no-yami-sekai	あなたのとなりの闇世界	コアマガジン	2013	1/1
T2	arijigoku-vs-barabara-shoujo	アリ地獄vsバラバラ少女	久保書店	2009	1/1
T2	asagaya-kusarezu-gakuen	阿佐谷腐れ酢学園	ワニマガジン社	2003	1/1
T2	ayame-to-amane	あやめとあまね	コアマガジン	2018	1/1
T2	bakada-bakasuke-no-chousen	バカ田バカ助の挑戦	白夜書房	2002	1/1
T2	cherry-2004-2	Cherry	ワニマガジン社	2004	2/2
T2	chichi-bakka	乳ばっか!!	ワニマガジン社	2003	1/1
T2	chuuken-didii	忠犬ディディー	コアマガジン	2002	1/1
T2	climber	Climber	フランス書院	2003	1/1
T2	dark-moon	Dark Moon	白夜書房	2000	1/1
T2	doesn-t	Doesn't	ワニマガジン社	2003	1/1
T2	flower-bath-garden	フラワー・バス・ガーデン	久保書店	2004	1/1
T2	good-luck-charm	good luck charm	コアマガジン	2005	1/1
T2	hanafuda	華札	ワニマガジン社	2002	1/1
T2	hanakui-gentouki	花喰幻燈機	ワニマガジン社	2005	1/1
T2	harem-assort	ハーレムアソート	コアマガジン	2019	1/1
T2	harem-heaven	ハーレムヘブン	コアマガジン	2019	1/1
T2	hatsu-echi	はつ☆えち	コアマガジン	2017	1/1
T2	hentai-shounen	変態少年	久保書店	2005	1/1
T2	hitozuma-no-tameshikata	人妻の試し方	コアマガジン	2020	1/1
T2	hitozuma-no-yuuwaku	人妻の誘惑	コアマガジン	2018	1/1
T2	honkon-tokusou-lady	香港特捜Lady	ワニマガジン社	2000	1/1
T2	hotaru-2000	ほたる	ワニマガジン社	2000	1/1
T2	ice-lolly	Ice lolly	茜新社	2003	1/1
T2	ichigo-milk	いちご・みるく	コアマガジン	2002	1/1
T2	ijirarekei-kanojo-no-sugao-o-mitai-to-omoimasenka	いじられ系カノジョの素顔をみたいと思いませんか?	コアマガジン	2017	1/1
T2	incest-heaven	インセストヘブン	フランス書院	2003	1/1
T2	jigoku-niito	地獄ニート	コアマガジン	2012	1/1
T2	jitsuroku-yanagawagumi	実録柳川組	コアマガジン	2006	1/1
T2	jouen-no-tenteki	情炎の点滴	久保書店	2004	1/1
T2	kagami-no-shoujo	鏡の少女	久保書店	2002	1/1
T2	kaijuu-joou-chronicle	怪獣王女chronicle	コアマガジン	2002	1/1
T2	kantorii-diary	カントリー・ダイアリー	茜新社	2018	1/1
T2	kawaii-kemono	かわいいケモノ	フランス書院	2002	1/1
T2	kenshou-ookami	懸賞狼	久保書店	2007	2/2
T2	kikou-jinruiden-body	機甲人類伝BODY	ワニマガジン社	2000	2/2
T2	kimi-mo-jinsei-bou-ni-futte-minai-ka	君も人生棒に振ってみないか?	茜新社	2013	1/1
T2	koi-kara-hajimaru	恋からはじまる	ワニマガジン社	2004	1/1
T2	koi-no-choujikuuhou	恋の超時空砲	久保書店	2015	1/1
T2	kotobuki	寿	茜新社	2021	1/1
T2	magatte-soorou	曲がってそーろう	ワニマガジン社	2000	1/1
T2	manga-abunai-geinoukai-dx	まんが危ない芸能界DX	コアマガジン	2014	1/1
T2	manga-kokuhatsuhidoi-oshigoto	まんが告発!非道いお仕事	コアマガジン	2013	1/1
T2	maria-chan-no-tsubomi	まりあちゃんのつぼみ	コアマガジン	2015	1/1
T2	miseijuku-2024	未成熟	久保書店	2024	1/1
T2	miwaku-no-kanojo-to-xxx	魅惑のカノジョと×××!	コアマガジン	2018	1/1
T2	moon-love	Moon love	コアマガジン	2005	1/1
T2	mukidou-meruhen	無軌道メルヘン	コアマガジン	2001	1/1
T2	mushroom-yamamoto-2003	MUSHROOM	フランス書院	2003	1/1
T2	naikouerosu	内向エロス	ワニマガジン社	2001	1/1
T2	namaiki-kanojo-no-shitsukekata	生意気カノジョのしつけ方	コアマガジン	2017	1/1
T2	nanakosantekina-nichijou	菜々子さん的な日常	コアマガジン	2000	2/2
T2	natural-high	ナチュラル・ハイ	コアマガジン	2004	1/1
T2	neko-banashi	ねこばなし	司書房	2007	1/1
T2	neko-no-yurikago	猫のゆりかご	フランス書院	2003	1/1
T2	nietagiru-mitsu	にえたぎる蜜	久保書店	2004	1/1
T2	ningen-ijou	人間以上	久保書店	2002	1/1
T2	ninpou-midare-karakuri	忍法乱れからくり!	フランス書院	2002	1/1
T2	not-love	Not/love	オークラ出版	2003	1/1
T2	ohirune	おひるね	ワニマガジン社	2002	1/1
T2	ojou-sama-mo-majo	お嬢さまも魔女	ワニマガジン社	2000	1/1
T2	okamax	Okamax	ワニマガジン社	2002	1/1
T2	onna-kyoushi-saiko-2002	女教師綾子2002	フランス書院	2002	1/1
T2	onnanoko-de-etosetora	女の子deエトセトラ	コアマガジン	2000	1/1
T2	onnanoko-wa-tokubetsukyou	女の子は特別教	コアマガジン	2002	1/1
T2	orange-2002	Orange	フランス書院	2002	1/1
T2	otsuki-sama-no-kaerimichi	おつきさまのかえりみち	ワニマガジン社	2002	1/1
T2	pachislo-diohead	パチスロダイオヘッド	白夜書房	2001	2/2
T2	para-izo	ぱら★いぞ	ワニマガジン社	2011	2/2
T2	paradise-in-harem	パラダイスインハーレム	コアマガジン	2018	1/1
T2	pathos	PATHOS	オークラ出版	2004	2/2
T2	pegimin-h	Pegimin H	フランス書院	2003	1/1
T2	raburetaa-from-jigoku	ラブレターフロム地獄	久保書店	2008	1/1
T2	rakuda-ga-warau	ラクダが笑う	ワニマガジン社	2003	1/1
T2	ryouki-deka-marusai	猟奇刑事マルサイ	コアマガジン	2007	1/1
T2	sakura-hanayashiki	桜・ハナヤシキ	ワニマガジン社	2000	1/1
T2	sasotte-hoshiiyon	誘ってほしいよん	ワニマガジン社	2000	1/1
T2	school-girl	スクールガール	コアマガジン	2019	1/1
T2	secret-school	シークレットスクール	コアマガジン	2020	1/1
T2	seinaru-shisou	性なる死想	久保書店	2015	1/1
T2	seiso-na-kanojo-ga-nikushoku-joshi-tte-hontoudesuka	清楚な彼女が肉食女子って本当ですか?	コアマガジン	2017	1/1
T2	seiso-na-kurokami-bishoujo-to-asa-kara-ban-made-etchi-na-date	清楚な黒髪美少女と朝から晩までエッチなデート♥	コアマガジン	2018	1/1
T2	sekuhara-gakuen	セクハラ学園	コアマガジン	2019	1/1
T2	servant	SERVANT	フランス書院	2002	1/1
T2	shisukore	しすこれ	コアマガジン	2002	2/2
T2	shoujo-guitar-o-hiku	少女、ギターを弾く	ワニマガジン社	2002	2/2
T2	shoujo-mandala	少女曼陀羅	久保書店	2015	1/1
T2	shounen-heroine	少年ヒロイン	オークラ出版	2003	1/1
T2	sora-kakeru-junjou	宇宙かける純情	久保書店	2015	1/1
T2	speed-yamamoto	SPEED	ワニマガジン社	2000	1/1
T2	sweetest-tripper	SWEETEST-TRIPPER	オークラ出版	2004	1/1
T2	the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	白夜書房	2001	3/3
T2	tokyo-dungeon-shimai	東京ダンジョン姉妹	ワニマガジン社	2002	1/1
T2	tokyo-kazoku-2019	東京家族	茜新社	2019	1/1
T2	towa-ni-miru-yume	とわにみるゆめ。	ワニマガジン社	2004	1/1
T2	tsugomori-no-toorimichi	つごもりの通り道	茜新社	2018	2/2
T2	tsuzuraori	九十九織	コアマガジン	2003	1/1
T2	uchuu-no-housoku-sekai-no-kihon	宇宙の法則世界の基本	コアマガジン	2001	2/2
T2	ultra-sword	Ultra sword	コアマガジン	2004	1/1
T2	virgin-pachisuro	ゔぁーじんパチスロ	白夜書房	2002	1/1
T2	yaeba-no-maria-chan	八重歯のまりあちゃん	コアマガジン	2016	1/1
T2	yaritaikei-gal-to-tenage-etchi	ヤりたい系ギャルとテンアゲえっち	コアマガジン	2018	1/1
T2	yogore-hime	汚レ姫	久保書店	2003	1/1
T2	yoiko-no-uta	よいこの唄	コアマガジン	2002	1/1
T2	yomoyama-byouin-he-doozo	よもやま病院へどーぞ!	ワニマガジン社	2001	1/1
T2	yoshitsune-kagemaru	義経	ワニマガジン社	2000	1/1
T2	your-eyes-only	Your eyes only	ワニマガジン社	2002	1/1
T2	zodiac-lovers	Zodiac lovers	ワニマガジン社	2004	1/1
T3	0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	秋水社	2021	0/9
T3	138-e	138°E	ワニマガジン社	2012	0/2
T3	14sai-manual	14さいマニュアル	オークラ出版	1998	1/1
T3	2-dome-no-jinsei-wa-oshi-no-shokuryou-desu	2度目の人生は推しの食糧です!?	秋水社	2024	0/5
T3	3manen-no-kareshi	3万円の彼氏	オークラ出版	2013	0/1
T3	5-byou-de-omae-o-ikasete-yaruyo	5秒でお前をイかせてやるよ	オークラ出版	2022	0/3
T3	abners	アブナーズ	白夜書房	1984	2/2
T3	abnormal-switch	アブノーマル・スイッチ	オークラ出版	2018	0/2
