kind	popularity	season	anime_title	gensaku(animatetimes)
AT無し(2010以前/表記差)	8538	2017-WINTER	ようじょしぇんき	
AT無し(2010以前/表記差)	8281	2009-SPRING	グイン・サーガ	
AT無し(2010以前/表記差)	8196	2021-SPRING	ちびりべ	
AT無し(2010以前/表記差)	8170	2014-SUMMER	モモキュンソード	
AT無し(2010以前/表記差)	8139	2022-FALL	かげじつ！	
AT無し(2010以前/表記差)	7967	2014-SUMMER	みじかもん	
AT無し(2010以前/表記差)	6614	2007-FALL	BLUE DROP ～天使達の戯曲～	
AT無し(2010以前/表記差)	6417	2015-SPRING	雨色ココア	
AT無し(2010以前/表記差)	6108	1991-SPRING	シティーハンター'91	
AT無し(2010以前/表記差)	5779	1994-FALL	キャプテン翼Ｊ	
AT無し(2010以前/表記差)	5614	2021-WINTER	Re:ゼロから始める休憩時間(ブレイクタイム) 2nd Season Part 2	
AT無し(2010以前/表記差)	5548	2018-FALL	狐狸之声	
AT無し(2010以前/表記差)	5428	2017-FALL	少女週末授業	
AT無し(2010以前/表記差)	5257	2017-FALL	○○さえいればいい。	
AT無し(2010以前/表記差)	4915	2018-SPRING	カードファイト!! ヴァンガード (2018)	
AT無し(2010以前/表記差)	4858	2023-FALL	かげじつ！せかんど	
AT無し(2010以前/表記差)	4695	2019-FALL	みにゆり	
AT無し(2010以前/表記差)	4610	2019-SUMMER	銀魂 ～モンスターストライク編～	
AT無し(2010以前/表記差)	4608	2016-FALL	侍灵演武	
AT無し(2010以前/表記差)	4457	2010-SPRING	家庭教師ヒットマンREBORN! ボンゴレファミリー総登場! ボンゴレ式修学旅行、来る!!	
AT無し(2010以前/表記差)	4349	2020-FALL	スライムたちの井戸端会議：スライム使いとスライムの魔王	
AT無し(2010以前/表記差)	3950	2023-FALL	猫猫のひとりごと	
AT無し(2010以前/表記差)	3937	2004-FALL	遙かなる時空の中で〜八葉抄〜	
AT無し(2010以前/表記差)	3895	2014-SPRING	ノラネコ	
AT無し(2010以前/表記差)	3889	2020-FALL	べあべあべあくまー！	
AT無し(2010以前/表記差)	3807	2022-FALL	ヒューマンバグ大学	
AT無し(2010以前/表記差)	3688	2021-WINTER	炎炎ノ消防隊ミニアニメ	
AT無し(2010以前/表記差)	3603	2024-FALL	Re:ゼロから始める休憩時間(ブレイクタイム) 3rd Season	
AT無し(2010以前/表記差)	3425	2011-SPRING	ワーキング!! アナウンス スペシャル	
AT無し(2010以前/表記差)	3376	2014-SUMMER	少年ハリウッド -HOLLY STAGE FOR 49-	
AT無し(2010以前/表記差)	3208	2019-SUMMER	変好き▽	
AT無し(2010以前/表記差)	3030	1997-FALL	エルフを狩るモノたち II	
AT無し(2010以前/表記差)	2810	2020-WINTER	虚構占い	
AT無し(2010以前/表記差)	2630	2015-FALL	雨色ココア Rainy colorへようこそ！	
AT無し(2010以前/表記差)	2621	2026-SPRING	Re:ゼロから始める休憩時間(ブレイクタイム) 4th Season	
AT無し(2010以前/表記差)	2323	2025-WINTER	猫猫のひとりごと 第2期	
AT無し(2010以前/表記差)	2190	2020-FALL	無能なナナ ミニアニメ	
AT無し(2010以前/表記差)	2161	2003-FALL	円盤皇女ワるきゅーレ 十二月の夜想曲	
AT無し(2010以前/表記差)	2128	2021-SUMMER	セリア先生のわくわくまじかる教室	
AT無し(2010以前/表記差)	1997	2003-SUMMER	住めば都のコスモス荘 すっとこ大戦ドッコイダー	
AT無し(2010以前/表記差)	1969	2005-SUMMER	ぺとぺとさん	
AT無し(2010以前/表記差)	1890	2016-FALL	企業戦士アルスラーン	
AT無し(2010以前/表記差)	1875	2012-SPRING	こいけん！～私たちアニメになっちゃった！～	
AT無し(2010以前/表記差)	1866	2002-FALL	ヴァイスクロイツ・グリーエン	
AT無し(2010以前/表記差)	1847	2020-SPRING	カタリナと学ぼう	
AT無し(2010以前/表記差)	1821	2007-SUMMER	BUZZER BEATER (2007)	
AT無し(2010以前/表記差)	1783	2016-FALL	雨色ココア in Hawaii	
AT無し(2010以前/表記差)	1762	2020-WINTER	カタリナ脳内会議	
AT無し(2010以前/表記差)	1662	2017-FALL	「雨色ココアシリーズ　『あめこん!!』	
AT無し(2010以前/表記差)	1633	1997-WINTER	爆走兄弟レッツ＆ゴー!!　ＷＧＰ	
AT無し(2010以前/表記差)	1604	2015-WINTER	少年ハリウッド -HOLLY STAGE FOR 50-	
