title	kana	authors	vols	lacking
あなたとわたしの恋色模様	アナタトワタシノコイイロモヨウ	かたせなの	[1]	v1書影無(楽天)
異世界水族館のつくりかた = How to make the isekai aquarium : モンスター娘たちと無人島で楽園創造スローライフ!	イセカイスイゾクカンノツクリカタ	もくはち	[1]	題不一致(NDL/楽天):異世界水族館のつくりかた〜モ
陰キャ同士のセックスが一番エロいよね	インキャドウシノセックスガイチバンエロイヨネ	どじろー	[1]	v1書影無(楽天)
うしちちガールズ	ウシチチガールズ	ちるまくろ	[1]	v1書影無(楽天)
エロ漫研とかにようこそ!	エロマンケントカニヨウコソ	きづかかずき	[1]	v1書影無(楽天)
おーばーふろぉ. [8]	オーバーフロォ	かいづか	[8]	巻不連続[8];v1書影無(楽天)
おしりで性処理はセックスでは、ない	オシリデセイショリワセックスデワナイ	愉快田うちお	[1]	v1書影無(楽天)
君のえっちな弱点	キミノエッチナジャクテン	旅口工路	[1]	v1書影無(楽天)
ギャルすこパコる	ギャルスコパコル	旅烏	[1]	v1書影無(楽天)
クジラの葬列 = fauna of Killer falls.	クジラノソウレツ	矢木直樹	[2]	巻不連続[2];v1書影無(楽天)
黒獣外伝淫慾の大娼館THE COMIC	クロイヌガイデンインヨクノダイショウカンザコミック	ジンナイ/Liquid	[1]	v1書影無(楽天)
軍属麗奴ツバキ淫れ散る三戦華THE COMIC	グンゾクレイドツバキミダレチルサンセンカザコミック	からすま弐式/高岡智空	[1]	v1書影無(楽天)
極楽温泉物語	ゴクラクオンセンモノガタリ	赤木リオ	[1]	v1書影無(楽天)
最強魔王は無双してたのに : 女体化解除のカギは人助けの旅でした.	サイキョウマオウワムソウシテタノニ:ニョタイカカイジョノカギワヒトダスケノタビデ	ワス	[1]	題不一致(NDL/楽天):最強魔王は無双してたのに 〜
貴方の為に××されて...	アナタオタメニバツバツサレテ	唄飛鳥	[1]	v1書影無(楽天)
アモラルアイランド. 上	アモラルアイランド	あるぷ	[1]	v1書影無(楽天)
