slug	vol	isbn	date	quote	note
aisarenakatta-shachiku-reijou-wa-daini-ouji-mofumofu-ni-iyasare-chuu	2	9784046852250	2026-01-09	もふっと変身しちゃう王子様!? 魔力を持った公爵令嬢の異世界ファンタジー最終巻！	
aisuru-tsumori-nazo-naindeshoukara	3	9784098544332	2026-02-16	お互いを尊重していくほっこりすれ違い物語、完結。	
aitora	3	9784065392690	2025-07-11	トライアングル・ラブストーリー完結！！	
aka-chan-honbuchou	3	9784065185278	2020-02	さらば、赤ちゃん本部長。サラリーマン人生譚、堂々の最終巻！	
akane-sasu-zakuro-no-miyako	3	9784047374799	2023-07	穏やかで優しい筆致で描かれるスペイン古都暮らしコミック、新たな旅立ちを祝う、完結巻です。	
akazukin-tabi-no-tochuu-de-shitai-to-deau	4	9784575860931	2025-06-14	名作メルヘン・ミステリのコミカライズ堂々完結！	
akebonobashi-sansaro-hakuhou-kissashitsu-nite	5	9784592231288	2026-05-25	すべての謎が明かされる、感動の最終巻。	
akenagi-no-meeteru	2	9784801948891	2026-04-13	新たなチームメンバーを迎えてからの葛藤と強くなり続けていった瑞原の人生を描いた完結巻。	
aki-no-shika-wa-fue-ni-yoru	3	9784088915715	2020-06	女性の社会進出や雇用の問題に切り込む社会派“妊活"コミック、堂々完結!!	
aki-wa-haru-to-gohan-o-tabetai	3	9784801975279	2022-02	食べる事を大事にする二人の大学生活完結編！	
akinroodo	3	9784091870650	2015-08	商社マン・大佛晃人の物語ーーーーーーーーーーーーー本巻にて堂々完結！！	
akiresu	2	9784065387269	2025-03-12	下克上剣戟ファンタジー、堂々完結!!!	
akko-no-ko	2	9784800016355	2025-09-27	孤独な少女と訳あり霊獣の、中華風・破邪契約伝奇譚、完結！	
akuma-de-amai-watashi-no-kanojo	4	9784065417812	2026-02-23	悪魔ティックガールズラブコメ、切なく甘い最終巻。	
akuma-de-kore-wa-koi-janai	7	9784098733200	2026-03-16	あますぎてラブラブすぎてやばい！大人気ラブ感動の最終巻！	
akuma-koujo	3	9784065364017	2024-08	現代ディアボリック・ファンタジー、完結！	
