巻数	タイトル	最新巻発売月	未発売	状態	著者	出版社	総巻数(全版合計)	slug	URL
10	10年間友達だと思ってた男の子に告白されるお話	2026-03		completed	○線	kadokawa	10	10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	https://mangal.shuichi0725.workers.dev/manga/10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi
10	R15+じゃダメですか?	2025-04		completed	岸谷轟/裏谷なぎ	kodansha	10	r15-ja-dame-desu-ka	https://mangal.shuichi0725.workers.dev/manga/r15-ja-dame-desu-ka
10	てんこ盛り!かりあげクン	2026-10	予約	ongoing	植田まさし	futabasha	10	tenkomori-kariage-kun	https://mangal.shuichi0725.workers.dev/manga/tenkomori-kariage-kun
10	ダメスキル〈自動機能(オートモード)〉が覚醒しました	2025-07		ongoing	LA軍/中島零	kodansha	10	dame-skill-ooto-mode-ga-kakusei-shimashita	https://mangal.shuichi0725.workers.dev/manga/dame-skill-ooto-mode-ga-kakusei-shimashita
10	今でも忘れられないアノ体験談、話します	2025-03		completed	八月薫	leed	10	ima-demo-wasurerarenai-ano-taikendan-hanashimasu	https://mangal.shuichi0725.workers.dev/manga/ima-demo-wasurerarenai-ano-taikendan-hanashimasu
10	半妖の夜叉姫	2025-08		completed	椎名高志	shogakukan	10	hanyou-no-yashahime	https://mangal.shuichi0725.workers.dev/manga/hanyou-no-yashahime
10	定額制夫のこづかい万歳	2026-02		ongoing	吉本浩二	kodansha	10	teigakusei-otto-no-kozukai-banzai	https://mangal.shuichi0725.workers.dev/manga/teigakusei-otto-no-kozukai-banzai
10	帝王上司の溺愛セックス	2025-12		ongoing	空海リク	daitosha	10	teiou-joushi-no-dekiai-sex	https://mangal.shuichi0725.workers.dev/manga/teiou-joushi-no-dekiai-sex
10	弟の顔して笑うのはもう、やめる	2025-04		completed	神寺千寿	shobunkan	10	otouto-no-kao-shite-warau-nowa-mou-yameru	https://mangal.shuichi0725.workers.dev/manga/otouto-no-kao-shite-warau-nowa-mou-yameru
10	旅情ミステリー事件簿	2025-12		ongoing	西村京太郎/中西ゆか/内田康夫/稜敦水	jitsugyo-no-nihon	10	ryojou-mystery-file	https://mangal.shuichi0725.workers.dev/manga/ryojou-mystery-file
10	王子に溺愛されたくないので元プリンセスですが男装執事になります!	2025-04		completed	にーづま	hakusensha	10	ouji-ni-dekiai-saretakunai-node-motoprincess-desu-dansou-shitsuji-ni-narimasu	https://mangal.shuichi0725.workers.dev/manga/ouji-ni-dekiai-saretakunai-node-motoprincess-desu-dansou-shitsuji-ni-narimasu
10	異世界でも鍵屋さん	2026-05		completed	黒六/もりこも	takarajimasha	10	isekai-demo-kagiya-san	https://mangal.shuichi0725.workers.dev/manga/isekai-demo-kagiya-san
10	阿闍梨蒼雲霊幻怪異始末	2026-07		ongoing	永久保貴一	asahi-shimbun	10	ajari-souun-reigen-kaii-shimatsu	https://mangal.shuichi0725.workers.dev/manga/ajari-souun-reigen-kaii-shimatsu
9	Wilderness	2025-10		completed	伊藤明弘	shogakukan	9	wilderness	https://mangal.shuichi0725.workers.dev/manga/wilderness
9	X-MEN	2025-03		completed	ジョナサン・ヒックマン/レイニル・フランシス・ユー	takeshobo	21	x-men	https://mangal.shuichi0725.workers.dev/manga/x-men
9	おはよう!うんこ先生	2026-09		ongoing	古屋雄作/水野輝昭	bunkyousha	9	ohayou-unko-sensei	https://mangal.shuichi0725.workers.dev/manga/ohayou-unko-sensei
9	アナザー・フロンティア・オンライン～生産系スキルを極めたらチートなNPCを雇えるようになりました～@COMIC	2025-10		completed	ぺんぎん/fufufu	to-books	9	another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	https://mangal.shuichi0725.workers.dev/manga/another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni
9	再婚承認を要求します	2026-07		ongoing	SUMPUL	shueisha	9	saikon-shounin-o-youkyuu-shimasu	https://mangal.shuichi0725.workers.dev/manga/saikon-shounin-o-youkyuu-shimasu
9	天才アミバの異世界覇王伝説	2025-02		completed	錦ソクラ/なっとうごはん	coamix	9	tensai-amiba-no-isekai-haou-densetsu	https://mangal.shuichi0725.workers.dev/manga/tensai-amiba-no-isekai-haou-densetsu
9	恋愛操作	2026-04		completed	蓮川愛	libre	9	love-control	https://mangal.shuichi0725.workers.dev/manga/love-control
9	柳生裸真剣	2026-05		ongoing	永井豪/ダイナミックプロダクション	shogakukan	9	yagyuu-rashinken	https://mangal.shuichi0725.workers.dev/manga/yagyuu-rashinken
9	死がふたりを分かつとも	2025-03		completed	あまいろちゆ	shueisha	9	shi-ga-futari-o-wakatsu-tomo	https://mangal.shuichi0725.workers.dev/manga/shi-ga-futari-o-wakatsu-tomo
9	継母だけど娘が可愛すぎる	2026-08		ongoing	mo9rang	ichijinsha	9	mamahaha-dakedo-musume-ga-kawai-sugiru	https://mangal.shuichi0725.workers.dev/manga/mamahaha-dakedo-musume-ga-kawai-sugiru
9	院内警察	2025-02		completed	酒井義/林いち	akita	9	innai-keisatsu	https://mangal.shuichi0725.workers.dev/manga/innai-keisatsu
9	静かなるドン-もうひとつの最終章-	2026-09		ongoing	新田たつお	jitsugyo-no-nihon	9	shizukanaru-don-mouhitotsu-no-saishuushou	https://mangal.shuichi0725.workers.dev/manga/shizukanaru-don-mouhitotsu-no-saishuushou
8	Fate/stay night〈Unlimited Blade Works〉	2026-03		ongoing	TYPE-MOON/森山大輔	kadokawa	8	fate-stay-night-unlimited-blade-works	https://mangal.shuichi0725.workers.dev/manga/fate-stay-night-unlimited-blade-works
8	S級ギルドを追放されたけど、実は俺だけドラゴンの言葉がわかるので、気付いたときには竜騎士の頂点を極めてました。	2026-07		ongoing	三木なずな/ひそな	kadokawa	8	esukyuu-guild-o-tsuihousareta-sareta-kedo-jitsu-wa-ore-dake-dragon-no-kotoba-ga-wakaru-no-de	https://mangal.shuichi0725.workers.dev/manga/esukyuu-guild-o-tsuihousareta-sareta-kedo-jitsu-wa-ore-dake-dragon-no-kotoba-ga-wakaru-no-de
8	じつは義妹(いもうと)でした。	2026-04		ongoing	白井ムク/堺しょうきち	kadokawa	8	jitsuwa-imouto-deshita	https://mangal.shuichi0725.workers.dev/manga/jitsuwa-imouto-deshita
8	キラーズホリディ	2025-10		ongoing	松イラストレーター	micro-magazine	8	killers-holiday	https://mangal.shuichi0725.workers.dev/manga/killers-holiday
8	ヒロイン?聖女?いいえ、オールワークスメイドです〈誇〉!@COMIC	2026-08		ongoing	あてきち/螢子	to-books	8	heroine-seijo-iie-all-works-maid-desu-hokori-comic	https://mangal.shuichi0725.workers.dev/manga/heroine-seijo-iie-all-works-maid-desu-hokori-comic
8	ブラック・ラグーンエダイニシャルステージ	2026-03		ongoing	やまむらはじめ/広江礼威	shogakukan	8	black-lagoon-eda-initial-stage	https://mangal.shuichi0725.workers.dev/manga/black-lagoon-eda-initial-stage
8	爆笑戦士!SDガンダム	2026-04		completed	佐藤元	kodansha	12	bakushou-suit-sd-gundam	https://mangal.shuichi0725.workers.dev/manga/bakushou-suit-sd-gundam
8	織田ちゃんと明智くん	2026-08		ongoing	常盤魚	kodansha	8	oda-chan-to-akechi-kun	https://mangal.shuichi0725.workers.dev/manga/oda-chan-to-akechi-kun
7	0日婚でも恋したい	2026-05		completed	青山理砂	bunkasha	7	0nichikon-demo-koishitai	https://mangal.shuichi0725.workers.dev/manga/0nichikon-demo-koishitai
7	13回目の足跡	2026-03		completed	三部敬	kadokawa	7	13-kaime-no-ashiato	https://mangal.shuichi0725.workers.dev/manga/13-kaime-no-ashiato
7	3秒後、野獣。	2025-12		completed	百瀬こあ	seiunsha	7	3-byougo-yajuu	https://mangal.shuichi0725.workers.dev/manga/3-byougo-yajuu
7	Nyaight of the living cat	2025-07		ongoing	ホークマン	mag-garden	7	nyaight-of-the-living-cat	https://mangal.shuichi0725.workers.dev/manga/nyaight-of-the-living-cat
7	〈急募〉猜疑王の契約王妃〈※短期のお仕事です〉	2025-04		completed	乙川れい/新矢りん	flex-comix	7	kyuubo-saigiou-no-keiyaku-ouhi	https://mangal.shuichi0725.workers.dev/manga/kyuubo-saigiou-no-keiyaku-ouhi
7	その初恋は甘すぎる	2026-06		ongoing	itoka/陽華エミ	harpercollins-japan	7	sono-hatsukoi-wa-amasugiru	https://mangal.shuichi0725.workers.dev/manga/sono-hatsukoi-wa-amasugiru
7	ななしの皇女と冷酷皇帝	2025-07		completed	藍上イオタ/赤佐たな	futabasha	7	nanashi-no-koujo-to-reikoku-koutei	https://mangal.shuichi0725.workers.dev/manga/nanashi-no-koujo-to-reikoku-koutei
7	めぐみとつぐみ	2025-12		ongoing	S井ミツル	takeshobo	7	megumi-to-tsugu-mi	https://mangal.shuichi0725.workers.dev/manga/megumi-to-tsugu-mi
7	ウラミン	2025-11		ongoing	飯星シンヤ	bunkasha	7	uramin	https://mangal.shuichi0725.workers.dev/manga/uramin
7	エロゲの世界でスローライフ	2025-10		completed	白石新/ツタロー	shueisha	7	eroge-no-sekai-de-slow-life	https://mangal.shuichi0725.workers.dev/manga/eroge-no-sekai-de-slow-life
7	ガテン農家と朝まで絶倫H	2025-03		completed	ななみあいす	daitosha	7	gaten-nouka-to-asa-made-zetsurin-h	https://mangal.shuichi0725.workers.dev/manga/gaten-nouka-to-asa-made-zetsurin-h
7	キミの撫で方躾け方	2026-04		ongoing	かさいちあき	kaiohsha	7	kimi-no-nadekata-shitsukekata	https://mangal.shuichi0725.workers.dev/manga/kimi-no-nadekata-shitsukekata
7	ギャルがシルバニアファミリーを溺愛したら。	2026-01		ongoing	岡野く仔	kodansha	7	gal-ga-sylvanian-family-o-dekiai-shitara	https://mangal.shuichi0725.workers.dev/manga/gal-ga-sylvanian-family-o-dekiai-shitara
7	クラス《無職》の英雄譚	2026-05		ongoing	アメカワリーチ/Salah-D	akita	7	class-mushoku-no-eiyuu-tan	https://mangal.shuichi0725.workers.dev/manga/class-mushoku-no-eiyuu-tan
7	コロコロ創刊伝説	2026-07		ongoing	のむらしんぼ	shogakukan	7	korokoro-soukan-densetsu	https://mangal.shuichi0725.workers.dev/manga/korokoro-soukan-densetsu
7	デビルズライン2〈逆襲〉	2025-09		ongoing	花田陵	kodansha	7	devils-line-2-gyakushuu	https://mangal.shuichi0725.workers.dev/manga/devils-line-2-gyakushuu
7	プリンセスくんとナイトさん	2026-06		ongoing	ヨコザワ	shogakukan-creative	7	princess-kun-to-knight-san	https://mangal.shuichi0725.workers.dev/manga/princess-kun-to-knight-san
7	二度追放された冒険者、激レアスキル駆使して美少女軍団を育成中!	2026-06		ongoing	南野雪花/青木千尋	bunkasha	7	nido-tsuihousareta-sareta-boukensha-gekirea-skill-kushi-shite-bishoujo-gundan-o-ikusei-chuu	https://mangal.shuichi0725.workers.dev/manga/nido-tsuihousareta-sareta-boukensha-gekirea-skill-kushi-shite-bishoujo-gundan-o-ikusei-chuu
7	俺にトラウマを与えた女子達がチラチラ見てくるけど、残念ですが手遅れです	2026-07		ongoing	いちたか/御堂ユラギ	overlap	7	ore-ni-trauma-o-ataeta-joshi-tachi-ga-chirachira-mitekuru-kedo-zannen-desu-teokure-desu	https://mangal.shuichi0725.workers.dev/manga/ore-ni-trauma-o-ataeta-joshi-tachi-ga-chirachira-mitekuru-kedo-zannen-desu-teokure-desu
7	俺は知らないうちに学校一の美少女を口説いていたらしい	2025-07		completed	午前の緑茶/あたる	square-enix	7	ore-wa-shiranai-uchi-ni-gakkou-ichi-no-bishoujo-o-kudoite-ita-rashii	https://mangal.shuichi0725.workers.dev/manga/ore-wa-shiranai-uchi-ni-gakkou-ichi-no-bishoujo-o-kudoite-ita-rashii
7	泣いてみろ、乞うてもいい	2026-10	予約	ongoing	LINE Digital Frontier株式会社/VAN JI/Solche	kadokawa	7	naitemiro-koutemo-ii	https://mangal.shuichi0725.workers.dev/manga/naitemiro-koutemo-ii
7	深愛なるF(ファントム)へ	2025-03		completed	七尾美緒	shogakukan	7	shinai-naru-phantom-e	https://mangal.shuichi0725.workers.dev/manga/shinai-naru-phantom-e
7	着物ちゃんとロリータちゃん	2025-05		completed	岡野く仔	mandarakerazahenshuubu	7	kimono-chan-to-lolita-chan	https://mangal.shuichi0725.workers.dev/manga/kimono-chan-to-lolita-chan
7	空気が(「読める」)新入社員と無愛想な先輩	2025-11		ongoing	鳥原習	ichijinsha	7	kuuki-ga-yomeru-shinnyuu-shine-to-buaiso-na-senpai	https://mangal.shuichi0725.workers.dev/manga/kuuki-ga-yomeru-shinnyuu-shine-to-buaiso-na-senpai
7	竜女戦記	2025-07		completed	都留泰作	heibonsha	7	ryuujo-senki	https://mangal.shuichi0725.workers.dev/manga/ryuujo-senki
7	結婚商売	2026-10	予約	ongoing	Antstudio/KEN	kadokawa	7	kekkon-shoubai	https://mangal.shuichi0725.workers.dev/manga/kekkon-shoubai
7	落ちこぼれ〈☆1〉魔法使いは、今日も無意識にチートを使う	2026-02		ongoing	右薙光介/ももしか藤子	seiunsha	7	ochikobore-hoshi-1-mahoutsukai-wa-kyou-mo-muishiki-ni-cheat-o-tsukau	https://mangal.shuichi0725.workers.dev/manga/ochikobore-hoshi-1-mahoutsukai-wa-kyou-mo-muishiki-ni-cheat-o-tsukau
7	転生してあらゆるモノに好かれながら異世界で好きな事をして生きて行く	2026-08		ongoing	都尾　琉/御峰。	kadokawa	7	tensei-shite-arayuru-mono-ni-sukarenagara-i-sekai-de-sukinakoto-o-shite-ikiteiku	https://mangal.shuichi0725.workers.dev/manga/tensei-shite-arayuru-mono-ni-sukarenagara-i-sekai-de-sukinakoto-o-shite-ikiteiku
7	転生先で捨てられたので、もふもふ達とお料理しますR	2025-02		ongoing	桜井悠/壬明	futabasha	7	tenseisaki-de-suterareta-node-mofumofutachi-to-oryouri-shimasu-aaru	https://mangal.shuichi0725.workers.dev/manga/tenseisaki-de-suterareta-node-mofumofutachi-to-oryouri-shimasu-aaru
7	追放貴族は、外れスキル〈古代召喚〉で英霊たちと辺境領地を再興する	2026-05		ongoing	たかたちひろ/三神みかみ	starts-shuppan	7	tsuihousareta-kizoku-wa-hazure-skill-kodai-shoukan-de-eireitachi-to-henkyou-ryouchi-o-saikou-suru	https://mangal.shuichi0725.workers.dev/manga/tsuihousareta-kizoku-wa-hazure-skill-kodai-shoukan-de-eireitachi-to-henkyou-ryouchi-o-saikou-suru
6	Fate/Grand Order-Epic of Remnant-亜種特異点1悪性隔絶魔境新宿 新宿幻霊事件	2025-07		completed	TYPE-MOON/佐々木少年	kadokawa	6	fate-grand-order-epic-of-remnant-ashu-tokuiten-1-akusei-kakuzetsu-makyou-shinjuku-shinjuku-genrei	https://mangal.shuichi0725.workers.dev/manga/fate-grand-order-epic-of-remnant-ashu-tokuiten-1-akusei-kakuzetsu-makyou-shinjuku-shinjuku-genrei
6	Fate/Grand Order-Epic of Remnant-亜種特異点3/亜種並行世界 屍山血河舞台 下総国 英霊剣豪七番勝負	2026-04		ongoing	TYPE-MOON/渡れい	kodansha	6	fate-grand-order-epic-of-remnant-ashu-tokuiten-3-ashu-heikou-sekai-shizan-ketsuga-butai	https://mangal.shuichi0725.workers.dev/manga/fate-grand-order-epic-of-remnant-ashu-tokuiten-3-ashu-heikou-sekai-shizan-ketsuga-butai
6	HACKING GHOST	2026-06		ongoing	六壱/マサイ	kodansha	6	hacking-ghost	https://mangal.shuichi0725.workers.dev/manga/hacking-ghost
6	K-9	2026-06		ongoing	奧山哲矢	kodansha	6	k-9	https://mangal.shuichi0725.workers.dev/manga/k-9
6	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、1食で1レベルアップする前代未聞の最強スキルでした。3日で人類最強になりましたわ～!	2026-05		ongoing	音速炒飯/島知宏	kodansha	6	pakupaku-desuwa-tsuihousareta-sareta-ojousama	https://mangal.shuichi0725.workers.dev/manga/pakupaku-desuwa-tsuihousareta-sareta-ojousama
6	えっちなお尻じゃダメですか?	2025-03		completed	鳩屋タマ	kaiohsha	6	etchina-oshiri-ja-dame-desuka	https://mangal.shuichi0725.workers.dev/manga/etchina-oshiri-ja-dame-desuka
6	かたわれ令嬢が男装する理由	2026-08		completed	ソラジマ/雨宮レイ/MONA	futabasha	6	kataware-reijou-ga-dansou-suru-wake	https://mangal.shuichi0725.workers.dev/manga/kataware-reijou-ga-dansou-suru-wake
6	となりはふつうのニジカ〈ちゃん〉	2026-02		completed	柚原瑞香	shueisha	6	tonari-wa-futsuu-no-nijika-chan	https://mangal.shuichi0725.workers.dev/manga/tonari-wa-futsuu-no-nijika-chan
6	ふたごの魔法使い	2026-07		ongoing	中井はるの/TurMíriam Bonastre	gakken-2	6	futago-no-mahoutsukai	https://mangal.shuichi0725.workers.dev/manga/futago-no-mahoutsukai
6	みんなが輝くために	2025-07		completed	梅田真理/河西哲郎	manabirinku	6	minna-ga-kagayaku-tame-ni	https://mangal.shuichi0725.workers.dev/manga/minna-ga-kagayaku-tame-ni
6	よくある令嬢転生だと思ったのに	2026-09		ongoing	LINE Digital Frontier株式会社/DOYOSAY/Lemonfrog	kadokawa	6	yoku-aru-reijou-tensei-da-to-omotta-noni	https://mangal.shuichi0725.workers.dev/manga/yoku-aru-reijou-tensei-da-to-omotta-noni
6	りえさん手帖	2025-09		completed	西原理恵子	mainichi	6	rie-san-techou	https://mangal.shuichi0725.workers.dev/manga/rie-san-techou
6	イツやめ	2025-11		ongoing	こしあん	bright-shuppan	6	itsu-yame	https://mangal.shuichi0725.workers.dev/manga/itsu-yame
6	オフ会したらとんでもないやつが来た話	2025-01		completed	miim	kodansha	6	ofukai-shitara-tondemonai-yatsu-ga-kita-hanashi	https://mangal.shuichi0725.workers.dev/manga/ofukai-shitara-tondemonai-yatsu-ga-kita-hanashi
6	カードファイト!!ヴァンガードスカイライド	2026-09		ongoing	大円坊真	shogakukan	6	cardfight-vanguard-skyride	https://mangal.shuichi0725.workers.dev/manga/cardfight-vanguard-skyride
6	クロの戦記2	2026-06		ongoing	サイトウアユム/ユリシロ	kadokawa	6	kuro-no-senki-2	https://mangal.shuichi0725.workers.dev/manga/kuro-no-senki-2
6	ゲーム中盤で死ぬ悪役貴族に転生したので、外れスキル〈テイム〉を駆使して最強を目指してみた	2026-07		ongoing	月山可也/八又ナガト	kodansha	6	game-chuuban-de-shinu-akuyaku-kizoku-ni-tensei-shita-no-de-hazure-skill-tame-o-kushi-shite-saikyou	https://mangal.shuichi0725.workers.dev/manga/game-chuuban-de-shinu-akuyaku-kizoku-ni-tensei-shita-no-de-hazure-skill-tame-o-kushi-shite-saikyou
6	サンドマン	2026-03		ongoing	柳下毅一郎/KiethSam/GaimanNeil/海法紀光/JonesKelly/JonesMalcolm/DringenbergMike	intaabukkusu	7	sandman	https://mangal.shuichi0725.workers.dev/manga/sandman
6	ザ・ボクサー	2025-09		ongoing	JH	shueisha	6	the-boxer	https://mangal.shuichi0725.workers.dev/manga/the-boxer
6	スキル〈再生〉と〈破壊〉から始まる最強冒険者ライフ	2025-11		ongoing	シンギョウガク/華尾ス太郎	starts-shuppan	6	skill-saisei-to-hakai-kara-hajimaru-saikyou-boukensha-life	https://mangal.shuichi0725.workers.dev/manga/skill-saisei-to-hakai-kara-hajimaru-saikyou-boukensha-life
6	ハボウの轍	2026-06		ongoing	ながてゆか	shueisha	6	habou-no-wadachi	https://mangal.shuichi0725.workers.dev/manga/habou-no-wadachi
6	ホラー女優が天才子役に転生しました	2026-03		completed	鉄箱/樫谷	square-enix	6	horror-joyuu-ga-tensai-koyaku-ni-tensei-shimashita	https://mangal.shuichi0725.workers.dev/manga/horror-joyuu-ga-tensai-koyaku-ni-tensei-shimashita
6	マイピュアレディー	2026-05		ongoing	とみさわ千夏/八月薫	futabasha	6	my-pure-lady-2024	https://mangal.shuichi0725.workers.dev/manga/my-pure-lady-2024
6	モブ顔令嬢	2025-03		ongoing	白黒	kill-time-communication	6	mobugao-reijou	https://mangal.shuichi0725.workers.dev/manga/mobugao-reijou
6	世界最強の魔女、始めました	2026-05		ongoing	坂木持丸	kodansha	11	sekai-saikyou-no-majo-hajimemashita	https://mangal.shuichi0725.workers.dev/manga/sekai-saikyou-no-majo-hajimemashita
6	今夜、うちにおいで	2026-06		ongoing	椿野イメリ	taiseisha	6	konya-uchi-ni-oide	https://mangal.shuichi0725.workers.dev/manga/konya-uchi-ni-oide
6	出稼ぎ令嬢の婚約騒動	2025-07		ongoing	黒湖クロコ/NRMEN	ichijinsha	6	dekasegi-reijou-no-konyaku-soudou	https://mangal.shuichi0725.workers.dev/manga/dekasegi-reijou-no-konyaku-soudou
6	喧嘩独学	2025-10		ongoing	パクテジュン/キムゾンヒョン	shueisha	6	kenka-dokugaku	https://mangal.shuichi0725.workers.dev/manga/kenka-dokugaku
6	妖狐の旦那さま	2026-02		ongoing	百乃モト	kadokawa	6	youko-no-danna-sama	https://mangal.shuichi0725.workers.dev/manga/youko-no-danna-sama
6	孕むまで乱れいけ	2026-07		ongoing	神崎柚	seiunsha	6	haramu-made-midare-ike	https://mangal.shuichi0725.workers.dev/manga/haramu-made-midare-ike
6	悪役令嬢〈仮〉の奮闘	2026-07		ongoing	氷堂れん/木村るか/梶山ミカ	kadokawa	6	akuyaku-reijou-kari-no-funtou	https://mangal.shuichi0725.workers.dev/manga/akuyaku-reijou-kari-no-funtou
6	悪役令嬢の中の人	2025-07		ongoing	白梅ナズナ/まきぶろ	ichijinsha	6	akuyaku-reijou-no-naka-no-hito	https://mangal.shuichi0725.workers.dev/manga/akuyaku-reijou-no-naka-no-hito
6	愛も憎しみも沈黙の中で	2025-06		completed	The Shubl Website/kkworld/QiangTang	libre	6	ai-mo-nikushimi-mo-chinmoku-no-naka-de	https://mangal.shuichi0725.workers.dev/manga/ai-mo-nikushimi-mo-chinmoku-no-naka-de
6	星旅少年	2026-01		ongoing	坂月さかな	pie-international	6	hoshitabi-shounen	https://mangal.shuichi0725.workers.dev/manga/hoshitabi-shounen
6	暴君のシンデレラ	2026-05		completed	ナガトカヨ	starts-shuppan	6	bou-kun-no-cinderella	https://mangal.shuichi0725.workers.dev/manga/bou-kun-no-cinderella
6	最強治癒師の手違いスローライフ	2025-12		completed	いぬやまりこ/向原行人	starts-shuppan	6	saikyou-chiyushi-no-techigai-slow-life	https://mangal.shuichi0725.workers.dev/manga/saikyou-chiyushi-no-techigai-slow-life
6	未来のアラブ人	2026-03		completed	リアド・サトゥフ	(unknown)	6	mirai-no-arabujin	https://mangal.shuichi0725.workers.dev/manga/mirai-no-arabujin
6	淑女の鑑やめました。	2025-11		completed	糸加/林倉吉	futabasha	6	shukujo-no-kagami-yamemashita	https://mangal.shuichi0725.workers.dev/manga/shukujo-no-kagami-yamemashita
6	演じ屋	2025-01		completed	野口照夫	taiseisha	6	enjiya	https://mangal.shuichi0725.workers.dev/manga/enjiya
6	生まれ変わってもよろしく	2025-10		ongoing	LEEHYE	shueisha	6	umarekawattemo-yoroshiku	https://mangal.shuichi0725.workers.dev/manga/umarekawattemo-yoroshiku
6	異世界に来たみたいだけど如何すれば良いのだろう ～社畜SEのマイペース冒険記～	2026-06		ongoing	舞/天野こひつじ	gentosha	6	isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	https://mangal.shuichi0725.workers.dev/manga/isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou
6	異世界車中泊物語	2025-06		completed	芳賀概夢/灯まりも	kodansha	6	isekai-shachuuhaku-monogatari	https://mangal.shuichi0725.workers.dev/manga/isekai-shachuuhaku-monogatari
6	百合SMでふたりの気持ちはつながりますか?	2026-07		ongoing	みら漫画家	houbunsha	6	yuri-sm-de-futari-no-kimochi-wa-tsunagarimasuka	https://mangal.shuichi0725.workers.dev/manga/yuri-sm-de-futari-no-kimochi-wa-tsunagarimasuka
6	空までイっちゃう	2026-01		ongoing	吉沢りょう	akita	6	sora-made-itchau	https://mangal.shuichi0725.workers.dev/manga/sora-made-itchau
6	緋弾のアリア-Gの血族-	2025-02		completed	赤松中学/こよかよしの	kadokawa	6	hidan-no-aria-g-no-ketsuzoku	https://mangal.shuichi0725.workers.dev/manga/hidan-no-aria-g-no-ketsuzoku
6	落ちこぼれ魔剣使いの英雄譚	2025-10		completed	五月蒼/よつやのはじめ	starts-shuppan	6	ochikobore-maken-tsukai-no-eiyuu-tan	https://mangal.shuichi0725.workers.dev/manga/ochikobore-maken-tsukai-no-eiyuu-tan
6	追放された付与魔法使いの成り上がり	2026-09		ongoing	蒼月浩二/伊香透	hifumi-shobo	6	tsuihousareta-sareta-fuyo-mahoutsukai-no-nariagari	https://mangal.shuichi0725.workers.dev/manga/tsuihousareta-sareta-fuyo-mahoutsukai-no-nariagari
6	釣って食べたいギャル澤さん	2026-06		ongoing	ふなつ一輝	shueisha	6	tsutte-tabetai-gyaruzawa-san	https://mangal.shuichi0725.workers.dev/manga/tsutte-tabetai-gyaruzawa-san
6	陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです	2026-03		ongoing	結石/神奈なごみ	kadokawa	6	inkya-no-boku-ni-batsugame-de-kokuhaku-shitekita-hazu-no-gal-ga-doumitemo-boku-ni-betabore-desu	https://mangal.shuichi0725.workers.dev/manga/inkya-no-boku-ni-batsugame-de-kokuhaku-shitekita-hazu-no-gal-ga-doumitemo-boku-ni-betabore-desu
6	隻眼・隻腕・隻脚の魔術師@COMIC	2026-06		ongoing	矢上裕/すずすけ/しばの番茶	to-books	6	sekigan-sekiwan-sekikyaku-no-majutsushi	https://mangal.shuichi0725.workers.dev/manga/sekigan-sekiwan-sekikyaku-no-majutsushi
6	高坂社長は我慢できない	2025-04		completed	織田はるか	kodansha	7	kousaka-shachou-wa-gaman-dekinai	https://mangal.shuichi0725.workers.dev/manga/kousaka-shachou-wa-gaman-dekinai
6	魔法少女三十路	2025-08		completed	三倉ゆめ	shonen-gahosha	6	mahou-shoujo-misoji	https://mangal.shuichi0725.workers.dev/manga/mahou-shoujo-misoji
6	魔王令嬢の教育係	2026-01		completed	鈴木貴昭/松原剛/新人/日本チェス連盟	hifumi-shobo	6	maou-reijou-no-kyouikugakari	https://mangal.shuichi0725.workers.dev/manga/maou-reijou-no-kyouikugakari
6	黒崎くんは独占したがる	2025-12		completed	桜田霊子/香乃子	starts-shuppan	6	kurosaki-kun-wa-dokusen-shitagaru	https://mangal.shuichi0725.workers.dev/manga/kurosaki-kun-wa-dokusen-shitagaru
5	ATRI	2025-03		completed	アニプレックス/じゃこ	kadokawa	5	atri	https://mangal.shuichi0725.workers.dev/manga/atri
5	Nuclear	2025-12		ongoing	木村航	nihon-bungeisha	5	nuclear	https://mangal.shuichi0725.workers.dev/manga/nuclear
5	TIGER & BUNNY 2	2025-08		completed	桂正和/西田征史/バンダイナムコピクチャーズ/榊原瑞紀	kadokawa	5	tiger-bunny-2	https://mangal.shuichi0725.workers.dev/manga/tiger-bunny-2
