巻数	タイトル	最新巻発売月	未発売	状態	著者	出版社	総巻数(全版合計)	slug	URL
5	婚約破棄の手続きはお済みですか?	2026-02		completed	あかこ/ナタココ	kadokawa	5	konyaku-haki-no-tetsuzuki-wa-osumi-desu-ka	https://mangal.shuichi0725.workers.dev/manga/konyaku-haki-no-tetsuzuki-wa-osumi-desu-ka
5	婚約者に忘れられた私、隣国の皇太子殿下と偽装婚約することになりました（※ただし、殿下の本命は私みたいです！？）	2026-08		ongoing	一分 咲/北宮 あみ/まち	kodansha	5	konyakusha-ni-wasurerareta-watashi-ringoku-no-koutaishi-denka-to-gisou-konyaku	https://mangal.shuichi0725.workers.dev/manga/konyakusha-ni-wasurerareta-watashi-ringoku-no-koutaishi-denka-to-gisou-konyaku
5	幼女無双	2026-09		ongoing	吉岡榊/yocco	hifumi-shobo	5	youjo-musou	https://mangal.shuichi0725.workers.dev/manga/youjo-musou
5	引きこもり令嬢は皇妃になんてなりたくない!	2026-06		ongoing	百門一新/直江亜季子	starts-shuppan	5	hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	https://mangal.shuichi0725.workers.dev/manga/hikikomori-reijou-wa-kouhi-ni-nante-naritakunai
5	彼は友達	2026-09		ongoing	浦野月鼓	kodansha	5	kare-wa-tomodachi-urano	https://mangal.shuichi0725.workers.dev/manga/kare-wa-tomodachi-urano
5	忍ぶ恋ほど	2025-11		ongoing	鶴来いちろ	bright-shuppan	5	shinobu-koi-hodo	https://mangal.shuichi0725.workers.dev/manga/shinobu-koi-hodo
5	恩を仇で返された令嬢の家族が黙っている訳がない	2026-06		ongoing	コミックルーム/七ツ河ほづみ	futabasha	5	on-o-ada-de-kaesareta-reijou-no-kazoku-ga-damatte-iru-wake-ga-nai	https://mangal.shuichi0725.workers.dev/manga/on-o-ada-de-kaesareta-reijou-no-kazoku-ga-damatte-iru-wake-ga-nai
5	悪夢令嬢は一家滅亡の夢を見た	2026-04		completed	大菊小菊/泉乃せん/近衛悠	kodansha	5	akumu-reijou-wa-ikka-metsubou-no-yume-o-mita	https://mangal.shuichi0725.workers.dev/manga/akumu-reijou-wa-ikka-metsubou-no-yume-o-mita
5	悪役令嬢は嫌なので、医務室助手になりました。	2026-04		ongoing	花煉/東由宇	harpercollins-japan	5	akuyaku-reijou-wa-iya-na-no-de-imushitsu-joshu-ni-narimashita	https://mangal.shuichi0725.workers.dev/manga/akuyaku-reijou-wa-iya-na-no-de-imushitsu-joshu-ni-narimashita
5	悪役令嬢は王子の本性〈溺愛〉を知らない	2026-01		ongoing	霜月せつ/西賀スオミ	kadokawa	5	akuyaku-reijou-wa-ouji-no-honshou-dekiai-o-shiranai	https://mangal.shuichi0725.workers.dev/manga/akuyaku-reijou-wa-ouji-no-honshou-dekiai-o-shiranai
