bou-kun-vaaderu-no-hanayome	standard/通常版	12	NDL在(適用済)	isbn=9784776746539 date=2018.3
bou-kun-vaaderu-no-hanayome	standard/通常版	4	NDL在(適用済)	isbn=9784776740407 date=2015.7
bou-kun-vaaderu-no-hanayome	standard/通常版	5	NDL在(適用済)	isbn=9784776741473 date=2015.12
bou-kun-vaaderu-no-hanayome	standard/通常版	6	NDL在(適用済)	isbn=9784776742234 date=2016.4
bou-kun-vaaderu-no-hanayome	standard/通常版	7	NDL在(適用済)	isbn=9784776742739 date=2016.7
bou-kun-vaaderu-no-hanayome	standard/通常版	8	NDL在(適用済)	isbn=9784776743590 date=2016.11
bou-kun-vaaderu-no-hanayome	standard/通常版	9	NDL在(適用済)	isbn=9784776744276 date=2017.3
boukenshatachi-no-sekaishi	standard/通常版	17	手掛かりなし	
canon-1995	standard/通常版	7	手掛かりなし	
chiikawa	standard/通常版	7	NDL在(適用済)	isbn=9784065375440 date=2024.11
chiyu-mahou-no-machigatta-tsukaikata	standard/通常版	15	NDL在(適用済)	isbn=9784041155196 date=2024.10
cobra-1995	standard/通常版	13	percaseで適用(2015年KADOKAWA線・楽天COBRA 13/14。題も全大文字COBRAへ是正)	
cobra-1995	standard/通常版	14	percaseで適用(2015年KADOKAWA線・楽天COBRA 13/14。題も全大文字COBRAへ是正)	
comic-inagawa-junji-no-sugooku-kowai-hanashi	standard/通常版	2	手掛かりなし	
crescent	standard/通常版	10	手掛かりなし	
crescent	standard/通常版	11	手掛かりなし	
crescent	standard/通常版	13	手掛かりなし	
crescent	standard/通常版	14	手掛かりなし	
crescent	standard/通常版	15	手掛かりなし	
crescent	standard/通常版	16	手掛かりなし	
crescent	standard/通常版	17	手掛かりなし	
crescent	standard/通常版	19	手掛かりなし	
crescent	standard/通常版	2	手掛かりなし	
crescent	standard/通常版	20	手掛かりなし	
crescent	standard/通常版	21	手掛かりなし	
crescent	standard/通常版	22	手掛かりなし	
crescent	standard/通常版	24	手掛かりなし	
crescent	standard/通常版	26	手掛かりなし	
crescent	standard/通常版	31	手掛かりなし	
crescent	standard/通常版	32	手掛かりなし	
crescent	standard/通常版	35	手掛かりなし	
crescent	standard/通常版	37	手掛かりなし	
crescent	standard/通常版	38	手掛かりなし	
crescent	standard/通常版	4	手掛かりなし	
crescent	standard/通常版	40	手掛かりなし	
crescent	standard/通常版	42	手掛かりなし	
crescent	standard/通常版	7	手掛かりなし	
crew-1994	standard/通常版	1	2周目適用(ndl-live2)	isbn=9784885703706
crew-1994	standard/通常版	2	手掛かりなし	
crew-1994	standard/通常版	3	手掛かりなし	
crew-1994	standard/通常版	4	手掛かりなし	
crew-1994	standard/通常版	5	手掛かりなし	
crew-1994	standard/通常版	6	手掛かりなし	
crew-1994	standard/通常版	8	手掛かりなし	
crew-de-gozaimasu	standard/通常版	2	手掛かりなし	
