class	title	sid	edition	imprint	isbn0	date0	min_numbered	numbered	頁
HIDDEN_HASV1	えぶりでいホスト	125302	standard	ASUKA COMICS DX	9784041170229	2025-12-02	2026-04-15	1,2,3,4	everyday-host
HIDDEN_HASV1	えぶりでいホスト	125302	standard	ASUKA COMICS DX	9784041170236	2025-12-02	2026-04-15	1,2,3,4	everyday-host
HIDDEN_HASV1	おやすみ、またね。ましろくん。	134417	standard	B.Pilz comics	9784861239502	2022-09	2024-07	2,3	oyasumi-matane-mashiro-kun
HIDDEN_HASV1	かえで台風	37818	standard	マーガレットコミックス	9784088471389	1999-10	2015-10	1	kaede-typhoon
HIDDEN_HASV1	かけた耳	134747	standard	タンタンの冒険	9784990109783	2005-07	2011-06	1	kaketa-mimi
HIDDEN_HASV1	かけた耳	134747	standard	タンタンの冒険	9784990109776	2005-07-10	2011-06	1	kaketa-mimi
HIDDEN_HASV1	こあくまメレンゲ	36182	standard	MFコミックス	9784840125499	2009-04-30	2014-01	1	koakuma-merenge
HIDDEN_HASV1	こんな死に方はゴメンだ!	33447	standard	BAMBOO ESSAY SELECTION	9784812488874	2014-09	2015-10	1	konna-shinikata-wa-gomen-da
HIDDEN_HASV1	さよなら恋人、またきて友だち	66565	standard	Poe backs	9784865894790	2018-05	2021-05	2,3,4,5	sayonara-koibito-mata-kite-tomodachi
HIDDEN_HASV1	できちゃった男子	68089	standard	Super be×boy comics	9784862637055	2009-12	2011-07	1	dekichatta-otoko
HIDDEN_HASV1	できちゃった男子	68089	standard	Super be×boy comics	9784862636492	2009-08	2011-07	1	dekichatta-otoko
HIDDEN_HASV1	なのはな	37944	standard	Flower comics special	9784091791351	2012-03-12	2016-03	1	nanohana
HIDDEN_HASV1	ねこ道楽	2955	standard	Bunkasha comics	9784821188758	2009-10	2018-03	1	neko-douraku
HIDDEN_HASV1	ねこ道楽	2955	standard	Bunkasha comics	9784821172825	2012-04	2018-03	1	neko-douraku
HIDDEN_HASV1	ねこ道楽	2955	standard	Bunkasha comics	9784821174997	2013-12	2018-03	1	neko-douraku
HIDDEN_HASV1	ねこ道楽	2955	standard	Bunkasha comics	9784821170609	2010-10	2018-03	1	neko-douraku
HIDDEN_HASV1	ねこ道楽	2955	standard	Bunkasha comics	9784821179015	2016-10	2018-03	1	neko-douraku
HIDDEN_HASV1	のぞき屋	48228	standard	ヤングサンデーコミックス	9784091514417	1993-02	2002-12	1,2,3,4,5,6	nozokiya
HIDDEN_HASV1	ぴっぴら帳	46524	standard	ACTION COMICS	9784575938906	2004-05	2017-11	1,2	pippira-note
HIDDEN_HASV1	みくよん	71158	standard		9784872579918	2008-11	2014-04	1	mikuyon
HIDDEN_HASV1	みこすり半劇場	15779	standard	Bunkasha comics	9784821194865	1996-08	1996-11	13,14,18	mikosuri-gekijou-kuradashi
HIDDEN_HASV1	もっと抵抗してくれよ	71606	standard	Daito comics BLシリーズ	9784864954877	2022-01	2023-03	2	motto-teikou-shitekureyo
HIDDEN_HASV1	ゆめのかよいじ	13215	standard	YKコミックス	9784785910860	1988-10	1988-10-15	1	yume-no-kayoiji
HIDDEN_HASV1	アニメあたしンち	46778	standard		9784840131216	2009-12	2010-07	1	anime-atashinchi
HIDDEN_HASV1	アラタカンガタリ	37138	standard	少年サンデーコミックススペシャル	9784091243355	2013-04	2014-10-22	4,5,6,7,8,9,10,11	arata-kangatari
