first_date	latest_date	n_vols	slug	title	missing	genres	authors
2013-03-09	2013-03-09	5	kyouraku-region	京洛れぎおん	both	action,supernatural	浅野りん
2013-04-16	2013-04-16	5	cafe	cafe	syn	romance,slice-of-life	琴川彩
2011-03-12	2013-11-12	5	hikari-no-daishain	光の大社員	both	comedy,slice-of-life	ÖYSTER
2012-03-20	2014-02-20	5	eguzamurai-sengoku-generation	エグザムライ戦国G	both	historical,action	山口陽史
2012-10-05	2014-03-05	5	devilman-g	デビルマンG	catch	action,comedy,drama,fantasy,horror,supernatural	高遠るい
2013-05-14	2014-03-14	5	mitsuen-otoko	蜜園男子	both	romance,school	兄崎ゆな
2014-03-15	2014-03-15	5	hajirau-hada	恥じらう肌	both	romance,drama	優斗
2012-10-05	2014-04-05	5	sengoku-saga-fuuma-fuujin-den	戦国SAGA風魔風神伝	both	historical,samurai	かわのいちろう
2012-09-22	2014-04-22	5	final-fantasy-reishiki-gaiden-hyouken-no-shinigami	ファイナルファンタジー零式外伝氷剣の死神	catch	action,fantasy,slice-of-life	塩沢天人志
2013-10-20	2014-06-20	5	uten-kekkou	雨天決行	both	sports	重本ハジメ
2011-12-15	2014-08-08	5	tabemono-sensen-ijou-nashi	タベモノ戦線異状ナシ	both	gourmet,comedy,essay	アタモト
2012-12-10	2014-08-09	5	sonicomi	ソニコミ	both	music,comedy,school	仏さんじょ
2014-11-12	2014-11-12	5	haiyore-super-nyaruko-chan-time	這いよれ!スーパーニャル子ちゃんタイム	catch	4-koma,comedy	星野蒼一朗
2013-06-13	2014-12-17	5	kanashimi-no-mukuro	悲しみの骸	both	drama	庄司陽子
2013-07-19	2015-07-17	5	shin-mimibukuro	新耳袋	both	horror,supernatural	
2015-08-15	2015-08-15	5	otokuyou-mainichi-kaa-san	お徳用毎日かあさん	both	comedy,essay,slice-of-life	西原理恵子
2016-01-04	2016-01-04	5	bunbuku-tanuki-no-teii-party	ぶんぶくたぬきのティーパーティ	catch	comedy,slice-of-life	森長あやみ
2011-10-07	2016-04-07	5	paparoba	パパロバ	both	comedy,slice-of-life	胡桃ちの
2016-05-17	2016-05-17	5	tabata-chan-ha	たばたちゃん派	both	comedy,slice-of-life	みずしな孝之
2014-09-10	2016-10-08	5	akaneya-yakumo	あかねや八雲	both	fantasy,historical,supernatural	森野きこり
2016-11-01	2016-11-01	5	dr-kiriko-shiroi-shinigami	Dr.キリコ白い死神	catch	drama	藤澤勇希
2015-02-12	2016-12-12	5	aldnoah-zero-2nd-season	アルドノア・ゼロ2nd season	both	mecha,sci-fi,action	Olympus Knights
2014-06-12	2017-04-12	5	mahou-shoujo-taruto-magica	魔法少女たると☆マギカ	both	fantasy	蛙空/枡狐
2013-08-07	2017-06-07	5	tomari-ni-oideyo	泊まりにおいでよ♥	both	romance,comedy,drama	師走冬子
2015-04-10	2017-06-09	5	psycho-pass-2	PSYCHO-PASS 2	catch	mind-game,mystery,sci-fi	橋野サル
2013-11-05	2017-07-05	5	watashi-no-kawahara-izumi	ワタシの川原泉	both	baseball,sports	川原泉
2017-06-24	2017-10-24	5	orinposu-no-togabito	オリンポスの咎人	both	romance,fantasy,historical	アリスン/岩崎陽子/冬木るりか/藍まりと
2016-07-15	2017-11-08	5	rumble-fist	ランブル・フィスト	both	action,sports	野部優美
2018-02-15	2018-02-15	5	marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second Season	both	fantasy	越智善彦
2011-11-02	2018-04-12	5	duel-masters-haouden-gachi	デュエル・マスターズ覇王伝ガチ!!	both	action,fantasy	藤崎聖人
2018-09-15	2019-01-15	5	kimi-wa-kirei-na-ahiru-no-ko	君は綺麗なアヒルの子	both	drama	タナカトモ
2018-05-01	2019-03-01	5	warugaki	悪童 (ワルガキ)	both	action,drama	志名坂高次
2018-08-08	2019-03-08	5	mound-no-taiyou	マウンドの太陽	both	baseball,sports	水森崇史
2017-04-14	2019-03-14	5	perfect-human	パーフェクトヒューマン	both	comedy,drama	髙橋一仁
2019-04-25	2019-05-30	5	asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	浅見光彦ミステリー&旅愁サスペンス	both	mystery,drama	ひたか良/宗美智子
2018-10-19	2019-09-20	5	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	catch	drama,fantasy,romance	千歳四季
2011-12-16	2019-09-20	5	busamen-otoko	ブサメン男子♂	catch	bl,comedy,drama,romance,romcom,school	野々宮ちよ子
2016-07-15	2019-10-08	5	getter-robo-devolution	ゲッターロボデヴォリューション	both	action	清水栄一
2017-04-21	2019-11-28	5	kakushibeya	隠し部屋	catch	ecchi,romance,supernatural	さかきなおもと
2018-12-17	2019-12-16	5	tamakikku	玉キック	catch	action,comedy,ecchi,supernatural	いのまる
2019-04-16	2020-09-16	5	alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	syn	adventure,fantasy,romance	中山星香
2017-07-18	2021-03-18	5	nindan	妊男	catch	bl,fantasy,romance	真澄弥
